H	"Florida Gas Transmission Company, LLC"	C000255	4/2/2018	O	4/1/2018	B	B	Iain Russell (713) 989-2615				
P	MQ	St Petersburg North-PGS                 	95	16207	M                   	5000	 	 	 	 	 	
P	MQ	St Petersburg-PGS                       	95	16208	M                   	6487	 	 	 	 	 	
P	MQ	Tampa E-PGS                             	95	16202	M                   	7600	 	 	 	 	 	
P	MQ	Tampa North-PGS                         	95	16203	M                   	7600	 	 	 	 	 	
P	MQ	Tampa NW-TECO/PGS                       	95	62995	M                   	717	 	 	 	 	 	
P	MQ	Tampa South-PGS                         	95	16201	M                   	6650	 	 	 	 	 	
P	MQ	Tampa W-PGS                             	95	16209	M                   	6000	 	 	 	 	 	
P	MQ	Treasure Coast Energy Center            	95	78443	M                   	15000	 	 	 	 	 	
P	MQ	Umatilla-PGS                            	95	16155	M                   	3947	 	 	 	 	 	
D	"MOSAIC FERTILIZER, LLC                  "	602503976	N 	FTS-1   	5054	11/1/1993	7/31/2025	0	N	1500	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	598	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	541	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	361	 	 	 	 	 	
P	MQ	Tampa-Mosaic                            	95	16283	M                   	1500	 	 	 	 	 	
D	"UNITED TECHNOLOGIES, PRATT & WHITNEY    "	1447952	N 	SFTS    	5072	11/1/1993	9/30/2024	0	N	1364	 	
A	PENINSULA ENERGY SERVICES COMPANY       	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	586	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	491	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	287	 	 	 	 	 	
P	MQ	Pratt &  Whitney                        	95	16214	M                   	1364	 	 	 	 	 	
D	"TALLAHASSEE, CITY OF                    "	930321073	N 	FTS-1   	5080	11/1/1993	7/31/2020	0	N	34761	 	X7
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	1320	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	11129	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	6682	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	2824	 	 	 	 	 	
P	M2	Tejas Calhoun Co ITE                    	95	71444	W                   	4900	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	6356	 	 	 	 	 	
P	M2	Tres Palacios Storage (Rec)             	95	78475	W                   	1550	 	 	 	 	 	
P	MQ	Buckeye Cellulose                       	95	16239	M                   	2500	 	 	 	 	 	
P	MQ	Lauderdale B-FPL                        	95	53369	M                   	2500	 	 	 	 	 	
P	MQ	Martin-FPL                              	95	78522	M                   	675	 	 	 	 	 	
P	MQ	Tallahassee South                       	95	56667	M                   	16250	 	 	 	 	 	
P	MQ	Tallahassee-St Marks(Purdom)            	95	16238	M                   	25000	 	 	 	 	 	
P	MQ	Tallahassee-W (Hopkins)                 	95	16237	M                   	29086	 	 	 	 	 	
D	"STATE OF FLORIDA, DEPARTMENT OF MANAGEME"	809396955	N 	FTS-1   	5085	11/1/1993	9/30/2023	0	N	1722	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	95	 	 	 	 	 	
P	M2	HPL Magnet Withers                      	95	8576	W                   	296	 	 	 	 	 	
P	M2	NGPL Jefferson                          	95	10240	W                   	162	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	193	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	162	 	 	 	 	 	
P	M2	Sabine-Kaplan                           	95	23062	W                   	193	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	173	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	95	 	 	 	 	 	
P	M2	TETCO-Atchafalaya (Rec)                 	95	10147	W                   	353	 	 	 	 	 	
P	MQ	Madison                                 	95	16139	M                   	900	 	 	 	 	 	
P	MQ	Raiford State Prison                    	95	16250	M                   	822	 	 	 	 	 	
D	GEORGIA-PACIFIC LLC                     	9020777	N 	FTS-1   	5107	11/1/1993	7/31/2023	0	N	2000	 	
A	"KOCH ENERGY SERVICES, LLC               "	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	420	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	860	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	720	 	 	 	 	 	
P	MQ	Georgia Pacific                         	95	16251	M                   	2000	 	 	 	 	 	
D	ST. JOE NATURAL GAS COMPANY             	8803884	N 	FTS-1   	5109	11/1/1993	2/28/2029	0	N	1590	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	684	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	572	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	334	 	 	 	 	 	
P	MQ	St. Joe Overstreet                      	95	56657	M                   	1590	 	 	 	 	 	
D	REEDY CREEK IMPROVEMENT DISTRICT        	91306597	N 	FTS-1   	5114	11/1/1993	7/31/2025	0	N	13243	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	2693	 	 	 	 	 	
P	M2	Frisco Acadian                          	95	78533	W                   	1500	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	829	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	1000	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	4723	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	2498	 	 	 	 	 	
P	MQ	Reedy Creek Gen                         	95	16257	M                   	9665	 	 	 	 	 	
P	MQ	Reedy Creek Resid                       	95	16174	M                   	2340	 	 	 	 	 	
P	MQ	Reedy Creek Theme                       	95	16175	M                   	1238	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141	10/1/1993	7/31/2030	0	N	45552	 	X2/X5
P	M2	ANR St Landry Parish                    	95	78303	W                   	1000	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	5877	 	 	 	 	 	
P	M2	Enbridge-Orange Co                      	95	78499	W                   	15389	 	 	 	 	 	
P	M2	Frisco Acadian                          	95	78533	W                   	8356	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	1808	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	2000	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	69	 	 	 	 	 	
P	M2	SNG Koch-Shadyside                      	95	930300	W                   	1673	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	5360	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	750	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	381	 	 	 	 	 	
P	M2	TX Gas Eunice                           	95	10178	W                   	2889	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-5761	1/1/1998	1/31/2027	0	N	400	 	X5
P	MQ	Sunrise                                 	95	16111	M                   	400	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-6068	6/1/2000	1/31/2027	0	N	100	 	X5
P	MQ	Crescent City                           	95	16154	M                   	100	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-6162	7/1/2001	1/31/2027	0	N	1660	 	X5
P	MQ	Sunrise                                 	95	16111	M                   	1660	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-104358	6/1/2005	7/31/2020	0	N	1780	 	X5
P	MQ	Lake City                               	95	16141	M                   	1780	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-104359	6/1/2005	1/31/2027	0	N	390	 	X5
P	MQ	Live Oak                                	95	16140	M                   	390	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-104360	6/1/2005	7/31/2020	0	N	1040	 	X5
P	MQ	Marianna                                	95	16135	M                   	1040	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-104361	6/1/2005	2/28/2021	0	N	540	 	X2/X5
P	MQ	Palatka Gas-E Palatka                   	95	16153	M                   	113	 	 	 	 	 	
P	MQ	Palatka Gas-Palatka                     	95	16152	M                   	484	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-104362	6/1/2005	7/31/2025	0	N	130	 	X5
P	MQ	Williston                               	95	16147	M                   	130	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-104678	9/1/2005	11/30/2072	0	N	5676	 	X5
P	MQ	Kissimmee Cane Island                   	95	61237	M                   	3147	 	 	 	 	 	
P	MQ	Treasure Coast Energy Center            	95	78443	M                   	2529	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-107349	10/1/1993	7/31/2020	0	N	2732	 	X2/X5
P	MQ	Homestead Generating                    	95	16216	M                   	2732	 	 	 	 	 	
P	MQ	Homestead Generating #2                 	95	16217	M                   	2732	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-107350	10/1/1993	7/31/2020	0	N	4360	 	X5
P	MQ	Kissimmee Cane Island                   	95	61237	M                   	4360	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-107352	10/1/1993	1/31/2027	0	N	7219	 	X2/X5
P	MQ	Clearwater East                         	95	16204	M                   	4000	 	 	 	 	 	
P	MQ	Clearwater North                        	95	16205	M                   	3000	 	 	 	 	 	
P	MQ	Clearwater South                        	95	16206	M                   	4000	 	 	 	 	 	
P	MQ	Clearwater Trinity                      	95	78137	M                   	1000	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-107354	10/1/1993	1/31/2027	0	N	1100	 	X2/X5
P	MQ	Ft Pierce North                         	95	16181	M                   	1100	 	 	 	 	 	
P	MQ	Ft Pierce South                         	95	16182	M                   	1100	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-107358	10/1/1993	1/31/2027	0	N	6500	 	X2/X5
P	MQ	Leesburg                                	95	16164	M                   	5000	 	 	 	 	 	
P	MQ	Leesburg-Haines Creek                   	95	16163	M                   	2000	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-107360	10/1/1993	7/31/2020	0	N	170	 	X5
P	MQ	Starke                                  	95	16148	M                   	170	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-107362	10/1/1993	1/31/2027	0	N	10917	 	X5
P	MQ	Treasure Coast Energy Center            	95	78443	M                   	10917	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-110125	5/1/2010	12/31/2026	0	N	488	 	X5
P	MQ	DeFuniak Springs                        	95	56658	M                   	488	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-119256	4/1/2016	9/30/2020	0	N	200	 	X5
P	MQ	Blountstown                             	95	16136	M                   	200	 	 	 	 	 	
D	FLORIDA GAS UTILITY                     	966335010	N 	FTS-1   	5141-119257	4/1/2016	9/30/2023	0	N	150	 	X5
P	MQ	Chipley                                 	95	16132	M                   	150	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-2   	5295	3/1/1995	7/31/2025	0	N	22400	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	6790	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	9210	 	 	 	 	 	
P	M2	SNG High Point-TOCA                     	95	100016	W                   	6400	 	 	 	 	 	
P	MQ	Tiger Bay-FPC                           	95	59953	M                   	22400	 	 	 	 	 	
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-2   	5319	3/1/1995	2/28/2025	0	N	20000	 	X4
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-2   	5319-3619	3/1/1995	2/28/2025	0	N	3400	 	X4
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-2   	5319-5909	11/1/1998	2/28/2025	0	N	10000	 	X4
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-2   	5319-5940	5/1/2001	4/30/2021	0	N	15000	 	X4
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-2   	5319-6148	5/1/2001	4/30/2021	0	N	3500	 	X4
P	M2	ANR St Landry Parish                    	95	78303	W                   	5929	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	5000	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	8842	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	6776	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	828	 	 	 	 	 	
P	M2	Tejas Calhoun Co ITE                    	95	71444	W                   	3880	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	7082	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	12903	 	 	 	 	 	
P	M2	TRANSCO Vinton                          	95	408	W                   	660	 	 	 	 	 	
P	MQ	Avon Park-PGS                           	95	16191	M                   	1000	 	 	 	 	 	
P	MQ	Daytona Beach-PGS                       	95	16159	M                   	6986	 	 	 	 	 	
P	MQ	Ft Myers CTG-PGS                        	95	78152	M                   	7000	 	 	 	 	 	
P	MQ	Lakewood Ranch-TECO/PGS                 	95	71403	M                   	15000	 	 	 	 	 	
P	MQ	North Miami-PGS                         	95	16115	M                   	2897	 	 	 	 	 	
P	MQ	Ocala-PGS                               	95	16146	M                   	3350	 	 	 	 	 	
P	MQ	Oneco-TECO/PGS                          	95	16195	M                   	12466	 	 	 	 	 	
P	MQ	Palm Beach-TECO/PGS                     	95	16102	M                   	2651	 	 	 	 	 	
P	MQ	Panama City-PGS                         	95	16134	M                   	50	 	 	 	 	 	
D	"MOSAIC FERTILIZER, LLC                  "	602503976	N 	FTS-1   	5326	4/1/1994	1/31/2027	0	N	670	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	288	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	241	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	141	 	 	 	 	 	
P	MQ	Bartow-Mosaic                           	95	16271	M                   	670	 	 	 	 	 	
D	"PIVOTAL UTILITY HOLDINGS, INC.          "	56711344	N 	FTS-2   	5364	3/1/1995	2/28/2025	0	N	12655	 	
A	"SEQUENT ENERGY MANAGEMENT, L.P.         "	N 	 	 	 	 	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	3679	 	 	 	 	 	
P	M2	NGPL Jefferson                          	95	10240	W                   	3782	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	5194	 	 	 	 	 	
P	MQ	Cocoa-City Gas                          	95	16178	M                   	500	 	 	 	 	 	
P	MQ	Cutler Ridge-NUI City Gas               	95	62966	M                   	600	 	 	 	 	 	
P	MQ	Eau Gallie-City Gas (Cocoa)             	95	16179	M                   	1000	 	 	 	 	 	
P	MQ	Indian River-City Gas                   	95	60606	M                   	3355	 	 	 	 	 	
P	MQ	Lake Forest-City Gas                    	95	16114	M                   	400	 	 	 	 	 	
P	MQ	NW Hialeah-City Gas                     	95	16117	M                   	1500	 	 	 	 	 	
P	MQ	Opa Locka-City Gas                      	95	16116	M                   	1050	 	 	 	 	 	
P	MQ	Port St Lucie-City Gas                  	95	58921	M                   	650	 	 	 	 	 	
P	MQ	SE Hialeah-City Gas                     	95	16118	M                   	1050	 	 	 	 	 	
P	MQ	South Miami-City Gas                    	95	16124	M                   	650	 	 	 	 	 	
P	MQ	Vero Beach North-City Gas               	95	62898	M                   	625	 	 	 	 	 	
P	MQ	Vero Beach South-City Gas               	95	62897	M                   	625	 	 	 	 	 	
P	MQ	W Miami-City Gas                        	95	16122	M                   	650	 	 	 	 	 	
D	NFH   MANAGEMENT CORPORATION            	967019803	N 	FTS-2   	5365	3/1/1995	2/28/2025	0	N	10	 	
P	M2	Pledger-Enterprise                      	95	100022	W                   	10	 	 	 	 	 	
P	MQ	North Florida Holsteins                 	95	61552	M                   	10	 	 	 	 	 	
D	JEA                                     	77580223	N 	FTS-1   	5405	1/1/1995	7/31/2020	0	N	20000	 	X4
D	JEA                                     	77580223	N 	FTS-1   	5405-5103	11/1/1993	7/31/2020	0	N	5000	 	X4
A	"THE ENERGY AUTHORITY, INC.              "	N 	 	 	 	 	 	 	 	 	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	8000	 	 	 	 	 	
P	M2	HPL Magnet Withers                      	95	8576	W                   	5000	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	2305	 	 	 	 	 	
P	M2	Tejas Calhoun Co ITE                    	95	71444	W                   	4000	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	5695	 	 	 	 	 	
P	MQ	Jacksonville-PGS                        	95	16151	M                   	25000	 	 	 	 	 	
D	ORANGE COGENERATION LIMITED PARTNERSHIP 	101093706	N 	FTS-2   	5480	7/1/1995	12/31/2025	0	N	9850	 	
A	RAINBOW ENERGY MARKETING CORPORATION    	N 	 	 	 	 	 	 	 	 	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	3458	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	4482	 	 	 	 	 	
P	M2	TX Gas Eunice                           	95	10178	W                   	1910	 	 	 	 	 	
P	MQ	Bartow B-CUC                            	95	60923	M                   	9850	 	 	 	 	 	
D	POWERSOUTH ENERGY COOPERATIVE           	6900005	N 	FTS-WD  	5538	11/1/1995	10/31/2030	0	N	15907	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	9907	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	6000	 	 	 	 	 	
P	MQ	Alabama Electric Co-Op                  	95	62215	W                   	15907	 	 	 	 	 	
D	"MOSAIC FERTILIZER, LLC                  "	602503976	N 	FTS-1   	5539	12/1/1995	7/31/2025	365	N	900	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	700	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	200	 	 	 	 	 	
P	MQ	Bartow-Mosaic                           	95	16271	M                   	400	 	 	 	 	 	
P	MQ	Tampa-Mosaic                            	95	16283	M                   	500	 	 	 	 	 	
D	"STATE OF FLORIDA, DEPARTMENT OF MANAGEME"	809396955	N 	FTS-2   	5626	2/1/1997	2/28/2025	365	N	300	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	105	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	57	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	138	 	 	 	 	 	
P	MQ	St. Joe Overstreet                      	95	56657	M                   	300	 	 	 	 	 	
D	CENTERPOINT ENERGY ENTEX                	46700779	N 	FTS-WD  	5628	7/1/1996	6/30/2022	0	N	30	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	30	 	 	 	 	 	
P	MQ	Ramsey Entex                            	95	16128	W                   	30	 	 	 	 	 	
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-2   	5721	9/1/1997	2/28/2025	0	N	7793	 	X7
P	M2	Frisco Acadian                          	95	78533	W                   	5000	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	1010	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	1783	 	 	 	 	 	
P	MQ	Indian River Ctg-Reliant                	95	78037	M                   	7793	 	 	 	 	 	
P	MQ	Indian River-OUC                        	95	16260	M                   	7793	 	 	 	 	 	
P	MQ	Stanton-OUC                             	95	78384	M                   	7793	 	 	 	 	 	
D	CLARKE-MOBILE COUNTIES GAS DISTRICT     	71948723	N 	FTS-WD  	5762	1/1/1998	12/31/2020	0	N	12000	 	
P	M2	Destin P/L                              	95	71298	W                   	12000	 	 	 	 	 	
P	MQ	Clarke-Mobile/Mt Vernon TBS             	95	62908	W                   	10000	 	 	 	 	 	
P	MQ	Enerfin Clarke-Mobile (Del)             	95	10145	W                   	2000	 	 	 	 	 	
D	"LAKELAND, CITY OF                       "	959116302	N 	FTS-1   	5787	3/1/1998	4/30/2020	0	N	3500	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	1120	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	2380	 	 	 	 	 	
P	MQ	Lakeland McIntosh                       	95	55687	M                   	3500	 	 	 	 	 	
D	"LAKELAND, CITY OF                       "	959116302	N 	FTS-2   	5788	3/1/1998	3/31/2025	0	N	7500	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	6485	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	1015	 	 	 	 	 	
P	MQ	Lakeland McIntosh                       	95	55687	M                   	7500	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-1   	5815	4/1/1998	7/31/2025	0	N	44028	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	2657	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	17395	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	9077	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	791	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	3781	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	2044	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	8283	 	 	 	 	 	
P	MQ	Bartow B-FPC                            	95	63053	M                   	10215	 	 	 	 	 	
P	MQ	Gainesville University Cogen            	95	59956	M                   	9300	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	13910	 	 	 	 	 	
P	MQ	Tiger Bay-FPC                           	95	59953	M                   	10603	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-2   	5816	4/1/1998	7/31/2025	0	N	7000	 	
P	M2	Destin P/L                              	95	71298	W                   	5745	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	1255	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	7000	 	 	 	 	 	
D	GAINESVILLE REGIONAL UTILITIES          	82635004	N 	FTS-1   	5884	10/1/1998	7/31/2020	0	N	27861	 	X7
A	"THE ENERGY AUTHORITY, INC.              "	N 	 	 	 	 	 	 	 	 	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	5323	 	 	 	 	 	
P	M2	Cognac Line (TGPL) from MS Canyon 109   	95	685600	W                   	1015	 	 	 	 	 	
P	M2	HPL Magnet Withers                      	95	8576	W                   	6307	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	1180	 	 	 	 	 	
P	M2	SNG Koch-Shadyside                      	95	930300	W                   	1015	 	 	 	 	 	
P	M2	Tejas Calhoun Co ITE                    	95	71444	W                   	8000	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	555	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	4466	 	 	 	 	 	
P	MQ	Gainesville Gas-North                   	95	16142	M                   	8000	 	 	 	 	 	
P	MQ	Gainesville Gas-Plt                     	95	16144	M                   	4000	 	 	 	 	 	
P	MQ	Gainesville Gas-University              	95	16143	M                   	4500	 	 	 	 	 	
P	MQ	Gainesville Gas-West                    	95	16145	M                   	5000	 	 	 	 	 	
P	MQ	Gainesville Generating                  	95	16241	M                   	8500	 	 	 	 	 	
P	MQ	Gainesville-Deerhaven Gen               	95	16240	M                   	18000	 	 	 	 	 	
P	MQ	Shands Hospital-GRU                     	95	78505	M                   	3000	 	 	 	 	 	
D	GAINESVILLE REGIONAL UTILITIES          	82635004	N 	FTS-2   	5885	10/1/1998	2/28/2021	0	N	0	 	X6/X7
D	ALABAMA POWER COMPANY                   	6900120	N 	FTS-WD  	5895	12/1/1998	11/30/2018	0	N	32000	 	
A	"SOUTHERN COMPANY SERVICES, INC.         "	N 	 	 	 	 	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	24000	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	8000	 	 	 	 	 	
P	MQ	APC-Olin (Del)                          	95	71405	W                   	32000	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-2   	5935	5/1/2001	7/31/2025	0	N	10000	 	X7
P	M2	ANR St Landry Parish                    	95	78303	W                   	539	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	1759	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	2874	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	4828	 	 	 	 	 	
P	MQ	Anclote-FPC                             	95	71404	M                   	10000	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	10000	 	 	 	 	 	
P	MQ	Kissimmee Cane Island                   	95	61237	M                   	10000	 	 	 	 	 	
D	GEORGIA-PACIFIC LLC                     	9020777	N 	FTS-2   	5937	5/1/2001	4/30/2021	0	N	275	 	
A	"KOCH ENERGY SERVICES, LLC               "	N 	 	 	 	 	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	126	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	149	 	 	 	 	 	
P	MQ	Georgia Pacific                         	95	16251	M                   	275	 	 	 	 	 	
D	"SOUTHERN COMPANY SERVICES, INC.         "	75463174	N 	FTS-WD  	5977	6/1/2000	5/31/2020	365	N	25000	 	
P	M2	Destin P/L                              	95	71298	W                   	25000	 	 	 	 	 	
P	MQ	Bay Gas (Del) Storage                   	95	62249	W                   	25000	 	 	 	 	 	
D	"SOUTHERN COMPANY SERVICES, INC.         "	75463174	N 	FTS-2   	5997	12/19/2001	3/31/2022	0	Y	87000	 	
P	M2	Destin P/L                              	95	71298	W                   	10558	 	 	 	 	 	
P	M2	GSPL Mobile Bay-FGT Capacity            	95	78176	W                   	76442	 	 	 	 	 	
P	MQ	Gulf Power Smith Plt (Del)              	95	78301	M                   	87000	 	 	 	 	 	
D	POWERSOUTH ENERGY COOPERATIVE           	6900005	N 	FTS-WD  	6011	12/1/2001	11/30/2023	365	N	80000	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	50000	 	 	 	 	 	
