H	"East Tennessee Natural Gas, LLC"	C000085	4/2/2018	O	4/1/2018	T	T	LISA  A. CONNOLLY 713-627-4102				
P	MQ	ERPUD ESTILL SPRINGS	95	59006	ETN	500						
P	MQ	ERPUD TULLAHOMA	95	59034	ETN	1500						
P	MQ	ERPUD A E D C	95	59036	ETN	2109						
P	MQ	ERPUD SEWANEE	95	59088	ETN	1500						
P	MQ	OAK GROVE	95	59177	ETN	1000						
D	ELK RIVER PUBLIC UTILITY DISTRICT	7839772	N	FT-A	410404-R3	11/1/2014	10/31/2020		N	19311		L47
A	CH4 CONCEPTS	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	2000						
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	17311						
P	MQ	ERPUD ESTILL SPRINGS	95	59006	ETN	7210						
P	MQ	ERPUD TULLAHOMA	95	59034	ETN	4710						
P	MQ	ERPUD A E D C	95	59036	ETN	3891						
P	MQ	ERPUD SEWANEE	95	59088	ETN	1250						
P	MQ	OAK GROVE	95	59177	ETN	2250						
D	ELK RIVER PUBLIC UTILITY DISTRICT	7839772	N	FT-A	4336-R1	11/1/1993	10/31/2000	1825	N	0		O5
A	CH4 CONCEPTS	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	ERPUD ESTILL SPRINGS	95	59006	ETN	0						
P	MQ	ERPUD TULLAHOMA	95	59034	ETN	0						
P	MQ	ERPUD SEWANEE	95	59088	ETN	0						
D	"ENERVEST ENERGY INSTITUTIONAL FUND XIV, L.P."	929022069	N	FT-L	410564-R1	3/1/2016	6/30/2020		Y	40862		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	JEWELL RIDGE	95	50091	ETN	40862						
P	M2	BLUE RIDGE HEAD OF LATERAL	95	50096	ETN	40862						
D	"ENERVEST ENERGY INSTITUTIONAL FUND XIV, L.P."	929022069	N	FT-APT	410565-R1	3/1/2016	10/31/2021		Y	10000		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	10000						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	10000						
D	"ENERVEST ENERGY INSTITUTIONAL FUND XIV, L.P."	929022069	N	FT-APT	410566-R1	3/1/2016	6/30/2020		Y	50000		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	NORA LATERAL - MAINLINE	95	50021	ETN	4500						
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	35500						
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	50000						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	10000						
D	"ENERVEST ENERGY INSTITUTIONAL FUND XIV, L.P."	929022069	N	FT-APT	410569-R1	3/1/2016	10/31/2020		N	20000		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	20000						
P	M2	EQT ENERGY DICKENSON COUNTY 3	95	59326	ETN	20000						
D	"ENERVEST ENERGY INSTITUTIONAL FUND XIV, L.P."	929022069	N	FT-APT	410570-R1	3/1/2016	11/30/2023		Y	10000		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3000						
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	7000						
P	M2	RANGE RESOURCES-DICKENSON CO #2 -DI	95	59336	ETN	10000						
D	"ENERVEST ENERGY INSTITUTIONAL FUND XIV, L.P."	929022069	N	FT-APT	410571-R1	3/1/2016	11/30/2023		Y	10000		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3000						
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	7000						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	10000						
D	ENGLEWOOD NATURAL GAS SYSTEM	80977473	N	FT-GS	4240-R1	11/1/1993	10/31/2000	1825	N	868		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	769						
P	MQ	ENGLEWOOD	95	59099	ETN	868						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	99						
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FT-A	20209-R2	4/1/2006	10/31/2010	1825	N	200		L24
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"ETOWAH METER STATION - MCMINN CO.,"	95	59186	ETN	200						
P	M2	SALTVILLE STORAGE WITHDRAWAL	95	59777	ETN	200						
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	LNGS	33241-R2	4/1/2006	10/31/2010	1825	N		1030	L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		183					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		183					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		183					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		183					
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FT-ART	34550-R2	7/1/2006	10/31/2010	1825	N	593		L30
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	593						
P	MQ	"ETOWAH METER STATION - MCMINN CO.,"	95	59186	ETN	593						
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FT-AGW	410024-R1	11/12/2001	11/30/2016	1825	N	1000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1000						
P	MQ	"ETOWAH METER STATION - MCMINN CO.,"	95	59186	ETN	1000						
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FT-APT	410213-R1	11/1/2005	10/31/2015	1825	N	200		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	200						
P	MQ	"ETOWAH METER STATION - MCMINN CO.,"	95	59186	ETN	200						
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FT-A	4251-R2	4/1/2006	10/31/2010	1825	N	2407		L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	2407						
P	MQ	"ETOWAH METER STATION - MCMINN CO.,"	95	59186	ETN	2407						
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FT-A	4337-R2	4/1/2006	10/31/2010	1825	N	0		L2/O6
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	"ETOWAH METER STATION - MCMINN CO.,"	95	59186	ETN	0						
D	FAYETTEVILLE BOARD OF PUBLIC UTILITIES	30302	N	FT-A	20588-R1	11/1/1997	10/31/2015	1825	N	1030		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	1030						
P	MQ	FAYETTEVILLE GAS SYSTEM	95	59183	ETN	1030						
D	FAYETTEVILLE BOARD OF PUBLIC UTILITIES	30302	N	LNGS	33260-R1	11/1/1993	10/31/2013	1825	N		4326	YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		690					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		690					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		690					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		690					
D	FAYETTEVILLE BOARD OF PUBLIC UTILITIES	30302	N	FT-ART	34553-R2	7/1/2006	10/31/2010	1825	N	500		YA1/L30
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	FAYETTEVILLE GAS SYSTEM	95	59183	ETN	500						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	500						
D	FAYETTEVILLE BOARD OF PUBLIC UTILITIES	30302	N	FT-A	4243-R1	11/1/1993	10/31/2013	1825	N	4511		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	4511						
P	MQ	FAYETTEVILLE GAS SYSTEM	95	59183	ETN	4511						
D	FAYETTEVILLE BOARD OF PUBLIC UTILITIES	30302	N	FT-A	4338-R1	11/1/1993	10/31/2013	1825	N	0		YA1/O7
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	FAYETTEVILLE GAS SYSTEM	95	59183	ETN	0						
D	GALLATIN NATURAL GAS SYSTEM	26069	N	LNGS	33258-R1	11/1/1993	10/31/2010	1825	N		20600	YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		3035					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		3035					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		3035					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		3035					
D	GALLATIN NATURAL GAS SYSTEM	26069	N	FT-A	4245-R1	11/1/1993	10/31/2010	1825	N	6283		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	5320						
P	MQ	GALLATIN WEST	95	59025	ETN	1957						
P	MQ	GALLATIN	95	59058	ETN	4326						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	963						
D	GALLATIN NATURAL GAS SYSTEM	26069	N	FT-A	4340-R1	11/1/1993	10/31/2010	1825	N	0		YA1/O8
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	GALLATIN WEST	95	59025	ETN	0						
P	MQ	GALLATIN	95	59058	ETN	0						
D	GRAFTECH INTERNATIONAL HOLDINGS INC.	361117534	N	FT-A	410013-R1	11/1/2000	10/31/2005	1825	N	100		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	UNION CARBIDE	95	59042	ETN	100						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	100						
D	HARRIMAN UTILITY BOARD	7921091	N	FT-GS	4246-R2	3/1/2007	10/31/2010	1825	N	4167		L2
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3815						
P	MQ	HARRIMAN	95	59032	ETN	4167						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	352						
D	HAWKINS COUNTY UTILITY DISTRICT	63177844	N	LNGS	33262-R1	3/1/2006	10/31/2015	1825	N		27240	L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		4126					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		4126					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		4126					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		4126					
D	HAWKINS COUNTY UTILITY DISTRICT	63177844	N	FT-A	410050-R3	10/1/2014	10/31/2015	1825	N	1500		L34
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	HCCUD HAWKINS	95	59072	ETN	1500						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	1500						
D	HAWKINS COUNTY UTILITY DISTRICT	63177844	N	FT-A	410051-R3	10/1/2014	10/31/2015	1825	N	1000		L34
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	HCCUD HAWKINS	95	59072	ETN	1000						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	1000						
D	HAWKINS COUNTY UTILITY DISTRICT	63177844	N	FT-A	4247-R1	11/1/1993	10/31/2015	1825	N	3906		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3190						
P	MQ	HCCUD HOLSTON ORDINANCE	95	59065	ETN	0						
P	MQ	HCCUD HAWKINS	95	59072	ETN	3906						
P	M2	ROANOKE COLUMBIA DELIVERIES	95	59136	ETN	0						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	716						
D	HAWKINS COUNTY UTILITY DISTRICT	63177844	N	FT-A	4341-R1	3/1/2006	10/31/2015	1825	N	0		L2/O9
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	HCCUD HAWKINS	95	59072	ETN	0						
D	JAMESTOWN NATURAL GAS SYSTEM	9069246	N	LNGS	33259-R1	11/1/1993	10/31/2000	1825	N		2060	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		309					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		309					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		309					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		309					
D	JAMESTOWN NATURAL GAS SYSTEM	9069246	N	FT-GS	4248-R1	11/1/1993	10/31/2000	1825	N	3278		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3278						
P	MQ	JAMESTOWN	95	59084	ETN	3278						
P	M2	ROANOKE COLUMBIA DELIVERIES	95	59136	ETN	0						
D	JAMESTOWN NATURAL GAS SYSTEM	9069246	N	FT-A	4358-R1	11/1/1993	10/31/2000	1825	N	0		O17
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	JAMESTOWN	95	59084	ETN	0						
D	JEFFERSON-COCKE COUNTY UTILITY DISTRICT	42454165	N	FT-A	410032-R2	11/1/2014	10/31/2020		N	8669		L33
A	CH4 CONCEPTS	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	350						
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	8319						
P	MQ	JCCUD NEWPORT	95	59043	ETN	3527						
P	MQ	JCCUD JEFFERSON CITY	95	59044	ETN	5142						
D	JEFFERSON-COCKE COUNTY UTILITY DISTRICT	42454165	N	FT-A	410164-R2	4/1/2006	10/31/2010	1825	N	0		L40/O41
A	CH4 CONCEPTS	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	JCCUD NEWPORT	95	59043	ETN	0						
D	JEFFERSON-COCKE COUNTY UTILITY DISTRICT	42454165	N	LNGS	410165-R2	4/1/2006	10/31/2010	1825	N		11168	L40
A	CH4 CONCEPTS	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		1365					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		1365					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		1365					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		1365					
D	JEFFERSON-COCKE COUNTY UTILITY DISTRICT	42454165	N	FT-APT	410211-R1	11/1/2005	10/31/2015	1825	N	250		
A	CH4 CONCEPTS	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	250						
P	MQ	JCCUD NEWPORT	95	59043	ETN	250						
D	JEFFERSON-COCKE COUNTY UTILITY DISTRICT	42454165	N	FT-A	410406-R3	11/1/2014	10/31/2020		N	5315		L47
A	CH4 CONCEPTS	N										
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	2000						
P	MQ	JCCUD NEWPORT	95	59043	ETN	4815						
P	MQ	JCCUD JEFFERSON CITY	95	59044	ETN	500						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	2315						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	1000						
D	JEFFERSON-COCKE COUNTY UTILITY DISTRICT	42454165	N	FT-A	410573-R1	4/1/2016	8/31/2019		N	2000		
A	CH4 CONCEPTS	N										
P	MQ	JCCUD NEWPORT	95	59043	ETN	2000						
P	M2	RANGE RESOURCES-DICKENSON CO #2 -DI	95	59336	ETN	2000						
D	JEFFERSON-COCKE COUNTY UTILITY DISTRICT	42454165	N	FT-A	7568-R2	1/1/2006	10/31/2010	1825	N	0		L18/O20
A	CH4 CONCEPTS	N										
P	MQ	JCCUD NEWPORT	95	59043	ETN	0						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	0						
P	M2	RANGE RESOURCES-DICKENSON CO #2 -DI	95	59336	ETN	0						
D	JOHNS MANVILLE	45426558	N	FT-A	20385-R1	11/1/1997	10/31/2012	1825	N	1300		
A	TOTAL UTILITY MANAGEMENT SERVICES	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1300						
P	MQ	"ETOWAH METER STATION - MCMINN CO.,"	95	59186	ETN	1300						
D	KNOXVILLE UTILITIES BOARD	3387560	N	FT-A	12470-R4	11/1/2015	10/31/2020		N	19380		L22
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	10000						
P	MQ	KUB EAST	95	59000	ETN	10104						
P	MQ	KUB WEST	95	59005	ETN	4823						
P	MQ	KUB TOPSIDE INTERCONNECT	95	59227	ETN	4453						
P	M2	SONAT BRADLEY	95	59311	ETN	4380						
P	M2	EQT ENERGY DICKENSON COUNTY 3	95	59326	ETN	5000						
D	KNOXVILLE UTILITIES BOARD	3387560	N	LNGS	33255-R2	11/1/2010	10/31/2015	1825	N		412000	L2
P	M2	410 STORAGE INJECTION	95	56000	ETN		54518					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		54518					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		54518					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		54518					
D	KNOXVILLE UTILITIES BOARD	3387560	N	FT-A	410119-R3	8/1/2011	10/31/2015	1825	N	0		L38/O39
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	KUB EAST	95	59000	ETN	0						
P	MQ	KUB WEST	95	59005	ETN	0						
D	KNOXVILLE UTILITIES BOARD	3387560	N	FT-A	4255-R5	11/1/2015	10/31/2020		N	83483		L2
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	65939						
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	1075						
P	MQ	KUB EAST	95	59000	ETN	19302						
P	MQ	KUB WEST	95	59005	ETN	59077						
P	MQ	KUB TOPSIDE INTERCONNECT	95	59227	ETN	5104						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	3492						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	12977						
D	LENOIR CITY UTILITIES BOARD	9690264	N	LNGS	33239-R2	4/1/2006	10/31/2010	1825	N		2382	L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		510					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		510					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		510					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		510					
D	LENOIR CITY UTILITIES BOARD	9690264	N	FT-APT	410209-R1	11/1/2005	10/31/2015	1825	N	500		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	500						
P	MQ	LENOIR CITY	95	59082	ETN	500						
D	LENOIR CITY UTILITIES BOARD	9690264	N	FT-A	410296-R1	12/1/2006	10/31/2010	1825	N	4285		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	4285						
P	MQ	LENOIR CITY	95	59082	ETN	4285						
D	LENOIR CITY UTILITIES BOARD	9690264	N	FT-A	4343-R2	4/1/2006	10/31/2010	1825	N	0		L2/O10
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	LENOIR CITY	95	59082	ETN	0						
D	LEWISBURG GAS DEPARTMENT	26074	N	LNGS	33240-R2	4/1/2006	10/31/2010	1825	N		7940	YA1/L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		1075					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		1075					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		1075					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		1075					
D	LEWISBURG GAS DEPARTMENT	26074	N	FT-A	34800-R2	1/1/2006	10/31/2010	1825	N	0		YA1/L30/O31
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	LEWISBURG	95	59038	ETN	0						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	0						
D	LEWISBURG GAS DEPARTMENT	26074	N	FT-A	410526-R1	11/1/2014	10/31/2019		N	1000		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	LEWISBURG	95	59038	ETN	1000						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	1000						
D	LEWISBURG GAS DEPARTMENT	26074	N	FT-A	410541-R1	11/1/2015	10/31/2022		N	500		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	LEWISBURG GAS - INDUSTRIAL PARK	95	59189	ETN	300						
P	MQ	LEWISBURG IND. GLOBE RD - MARSHALL	95	59208	ETN	200						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	500						
D	LEWISBURG GAS DEPARTMENT	26074	N	FT-A	4258-R2	11/1/2015	10/31/2020		N	5069		YA1/L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	LEWISBURG	95	59038	ETN	5069						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	747						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	4322						
D	LEWISBURG GAS DEPARTMENT	26074	N	FT-A	4344-R2	4/1/2006	10/31/2010	1825	N	0		YA1/L2/O11
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	LEWISBURG	95	59038	ETN	0						
D	LIVINGSTON GAS SYSTEM	78228491	N	FT-GS	4259-R1	11/1/1993	10/31/2000	1825	N	2678		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	2678						
P	MQ	LIVINGSTON	95	59087	ETN	2678						
P	M2	ROANOKE COLUMBIA DELIVERIES	95	59136	ETN	0						
P	MQ	LIVINGSTON DELIVERIES	95	59140	ETN	0						
D	LOUDON UTILITIES GAS DEPARTMENT	84048800	N	FT-A	20225-R1	11/1/1997	10/31/2012	1825	N	1000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	LOUDON EAST	95	59159	ETN	1000						
P	M2	SALTVILLE STORAGE WITHDRAWAL	95	59777	ETN	1000						
D	LOUDON UTILITIES GAS DEPARTMENT	84048800	N	LNGS	33251-R1	11/1/1993	11/30/2015	1825	N		6180	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		730					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		730					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		730					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		730					
D	LOUDON UTILITIES GAS DEPARTMENT	84048800	N	FT-APT	410215-R1	11/1/2006	10/31/2016	1825	N	2000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	2000						
P	MQ	LOUDON -LINE	95	59039	ETN	2000						
D	LOUDON UTILITIES GAS DEPARTMENT	84048800	N	FT-APT	410484-R1	1/1/2014	12/31/2016	1825	N	1100		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	LOUDON NORTH	95	59143	ETN	1100						
P	M2	TRANSCO - CASCADE CREEK (RECEIPT)	95	59304	ETN	1100						
D	LOUDON UTILITIES GAS DEPARTMENT	84048800	N	FT-A	4260-R1	11/1/1993	11/30/2015	1825	N	8626		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	7433						
P	MQ	LOUDON -LINE	95	59039	ETN	5577						
P	MQ	LOUDON VONORE	95	59113	ETN	1854						
P	MQ	LOUDON NORTH	95	59143	ETN	1195						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	1193						
D	LOUDON UTILITIES GAS DEPARTMENT	84048800	N	FT-A	4347-R1	11/1/1993	12/1/2015	1825	N	0		O12
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	LOUDON -LINE	95	59039	ETN	0						
D	"MADISONVILLE, TOWN OF"	13445135	N	FT-GS	7771-R1	11/1/1993	10/31/2000	1825	N	1891		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1391						
P	MQ	MADISONVILLE	95	59114	ETN	1891						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	500						
D	"MAGNUM HUNTER PRODUCTION, INC."	195224191	N	FT-APT	410249-R3	7/1/2010	5/31/2016	1825	N	4000		L45
A	STAND ENERGY CORP	N										
P	MQ	UCG WYTHEVILLE	95	59069	ETN	500						
P	M2	ROGERSVILLE M&R	95	59198	ETN	4000						
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	3500						
D	"MAGNUM HUNTER PRODUCTION, INC."	195224191	N	FT-A	410250-R3	7/1/2010	5/31/2016	1825	N	1700		L45
A	STAND ENERGY CORP	N										
P	MQ	UCG BRISTOL	95	59002	ETN	250						
P	MQ	UCG JOHNSON CITY WEST	95	59050	ETN	250						
P	MQ	UCG BRISTOL NORTH	95	59074	ETN	1200						
P	M2	ROGERSVILLE M&R	95	59198	ETN	1700						
D	"MAGNUM HUNTER PRODUCTION, INC."	195224191	N	FT-APT	410414-R1	11/1/2010	11/30/2023		Y	1500		
A	STAND ENERGY CORP	N										
P	M2	ROGERSVILLE M&R	95	59198	ETN	1500						
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	1500						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	LNGS	33253-R1	11/1/1993	10/31/2012	1825	N		184500	
P	M2	410 STORAGE INJECTION	95	56000	ETN		25450					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		25450					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		25450					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		25450					
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-A	410056-R4	4/1/2011	10/31/2015	1825	N	5280		L35
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	3000						
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1030						
P	MQ	GAINESBORO	95	59092	ETN	1030						
