H	"ENABLE MISSISSIPPI RIVER TRANSMISSION, LLC"	C000545	4/2/2018	O	4/1/2018	T	T	P. Shupe        (346)701-2124				
A	UTILITY SAFETY & DESIGN INC.	N										
P	M2	GLENDALE - EGT	95	805547	FIELD	305	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	5	0					
P	MQ	"DUPO, VILLAGE OF"	95	805528	MARKET	310	0					
D	"VILLAGE OF DUPO, ILLINOIS"	92349752	N	FTS	1034	5/16/1995	11/15/2019		N	0	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	UTILITY SAFETY & DESIGN INC.	N										
P	M2	GLENDALE - EGT	95	805547	FIELD	0	0					
P	MQ	STORAGE	95	805607	FIELD	0	0					
D	"WRB REFINING, LP"	794031356	N	FTS	324	11/1/1993	3/31/2024		N	10239	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	PERRYVILLE DISP - EGT	95	12993	FIELD	10239	0					
P	MQ	WRB REFINING LP	95	805514	MARKET	10239	0					
D	"WRB REFINING, LP"	794031356	N	FTS	5683	5/1/2014	3/31/2024		N	4772	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	PERRYVILLE DISP - EGT	95	12993	FIELD	4772	0					
P	MQ	WRB REFINING LP	95	805514	MARKET	4772	0					
D	"WRB REFINING, LP"	794031356	N	FTS	6060	1/1/2018	3/31/2024		Y	0	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	NGPL MADISON CO (IL)	95	92136	MARKET	0	0					
P	MQ	WRB REFINING LP	95	805514	MARKET	0	0					
D	"CITY OF AUGUSTA, ARKANSAS"	21350616	N	SCT	449	11/1/1993	10/31/2020		N	1357	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	356	0					
P	M2	SLIGO	95	90386	FIELD	73	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	272	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	33	0					
P	M2	STORAGE	95	805607	FIELD	0	305					
P	M2	WASKOM - EGT	95	808527	FIELD	43	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	38	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	542	0					
P	MQ	"AUGUSTA, CITY OF"	95	805529	FIELD	1357	0					
D	"CITY OF BISMARCK, MISSOURI"	52976016	N	SCT	451	11/1/1993	10/31/2019		N	567	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	UTILITY SAFETY & DESIGN INC.	N										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	41	0					
P	M2	SLIGO	95	90386	FIELD	50	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	117	0					
P	M2	WASKOM - EGT	95	808527	FIELD	29	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	26	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	304	0					
P	MQ	BISMARK  CITY OF	95	90235	MARKET	567	0					
D	"CITY OF CHESTER, ILLINOIS"	77147254	N	SCT	452	11/1/1993	10/31/2019		N	3452	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	UTILITY SAFETY & DESIGN INC.	N										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	550	0					
P	M2	SLIGO	95	90386	FIELD	188	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	691	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	441	0					
P	M2	STORAGE	95	805607	FIELD	0	2111					
P	M2	WASKOM - EGT	95	808527	FIELD	108	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	95	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	1379	0					
P	MQ	CITY OF CHESTER	95	90217	MARKET	3452	0					
D	"CITY OF DES ARC, ARKANSAS"	36789881	N	SCT	453	11/1/1993	10/31/2020		N	740	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	UTILITY SAFETY & DESIGN INC.	N										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	191	0					
P	M2	SLIGO	95	90386	FIELD	41	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	147	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	21	0					
P	M2	STORAGE	95	805607	FIELD	0	305					
P	M2	WASKOM - EGT	95	808527	FIELD	24	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	21	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	295	0					
P	MQ	"DES ARC, CITY OF"	95	808686	FIELD	740	0					
D	"CITY OF HAZEN, ARKANSAS"	77389989	N	SCT	454	11/1/1993	10/31/2020		N	940	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	138	0					
P	M2	SLIGO	95	90386	FIELD	50	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	189	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	132	0					
P	M2	WASKOM - EGT	95	808527	FIELD	30	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	26	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	375	0					
P	MQ	"HAZEN, CITY OF"	95	805527	FIELD	940	0					
D	"CITY OF POTOSI, MISSOURI"	95482022	N	SCT	459	11/1/1993	10/31/2019		N	2137	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	UTILITY SAFETY & DESIGN INC.	N										
P	M2	SLIGO	95	90386	FIELD	165	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	580	0					
P	M2	STORAGE	95	805607	FIELD	0	1568					
P	M2	WASKOM - EGT	95	808527	FIELD	95	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	84	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	1213	0					
P	MQ	"POTOSI, CITY OF"	95	90240	MARKET	2137	0					
D	"CITY OF RED BUD, ILLINOIS"	836018747	N	SCT	460	11/1/1993	10/31/2019		N	1520	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	UTILITY SAFETY & DESIGN INC.	N										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	397	0					
P	M2	SLIGO	95	90386	FIELD	82	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	304	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	39	0					
P	M2	STORAGE	95	805607	FIELD	0	930					
P	M2	WASKOM - EGT	95	808527	FIELD	48	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	42	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	608	0					
P	MQ	RED BUD  CITY OF	95	90220	MARKET	1520	0					
D	"CITY OF WATERLOO, ILLINOIS"	77132868	N	SCT	461	11/1/1993	10/31/2020		N	2962	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	UTILITY SAFETY & DESIGN INC.	N										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	773	0					
P	M2	SLIGO	95	90386	FIELD	160	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	594	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	77	0					
P	M2	STORAGE	95	805607	FIELD	0	1306					
P	M2	WASKOM - EGT	95	808527	FIELD	93	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	82	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	1183	0					
P	MQ	"WATERLOO, CITY OF"	95	12963	MARKET	2962	0					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP	78314967	N	SCT	5127	8/1/2012	10/31/2019		N	2481	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	633	0					
P	M2	DELHI @ HARRISON	95	90571	FIELD	171	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	1493	0					
P	M2	STORAGE	95	805607	FIELD	0	1916					
P	M2	WASKOM - EGT	95	808527	FIELD	98	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	86	0					
P	MQ	ATMOS MO	95	805502	MARKET	2481	0					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP	78314967	N	SCT	5129	8/1/2012	7/31/2020		N	783	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	225	0					
P	M2	SLIGO	95	90386	FIELD	42	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	157	0					
P	M2	STORAGE	95	805607	FIELD	0	479					
P	M2	WASKOM - EGT	95	808527	FIELD	25	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	22	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	312	0					
P	MQ	ATMOS IL	95	805532	MARKET	783	0					
D	NORTH CROSSETT UTILITIES	91684803	N	SCT	455	11/1/1993	10/31/2020		N	679	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	145	0					
P	M2	SLIGO	95	90386	FIELD	37	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	137	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	50	0					
P	M2	STORAGE	95	805607	FIELD	0	218					
P	M2	WASKOM - EGT	95	808527	FIELD	21	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	19	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	270	0					
P	MQ	NORTH CROSSETT UTIL	95	90218	FIELD	679	0					
D	"VILLAGE OF DUPO, ILLINOIS"	92349752	N	SCT	457	11/1/1993	10/31/2020		N	1363	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	UTILITY SAFETY & DESIGN INC.	N										
P	M2	TRUNKLINE GAS RECEIPT	95	12817	MARKET	191	0					
P	M2	SLIGO	95	90386	FIELD	85	0					
P	M2	GLENDALE - EGT	95	805547	FIELD	177	0					
P	M2	NGPL @ SHATTUC/CLINTON	95	805588	MARKET	197	0					
P	M2	STORAGE	95	805607	FIELD	0	523					
P	M2	WASKOM - EGT	95	808527	FIELD	49	0					
P	M2	EASTRANS DCP CARTH MRT	95	808641	FIELD	43	0					
P	M2	GULF SOUTH PERRYVILLE	95	808760	FIELD	621	0					
P	MQ	"DUPO, VILLAGE OF"	95	805528	MARKET	1363	0					
F	1	"9 Dth/day of West Line capacity is for delivery to storage only; included in West Line capacity, West Line priority and Field Zone entitlement only."										
F	1	No increase in contract demand.										
F	2	"MDQ #1(223,089 Dth/D) Primary Term Date is July 31, 2020"										
F	2	"MDQ #2(437,240 Dth/D) Primary Term Date is July 31, 2018"										
F	3	"MDQ #1(75,000 Dth/D) Primary Term Date is July 31, 2020"										
F	3	"MDQ #2(75,000 Dth/D) Primary Term Date is July 31, 2018"										
F	4	"MSQ #1(10,000,000 Dth) Primary Term Date is May 15, 2017(MSQ #1 in Evergreen)"										
F	4	"MSQ #2(12,000,000 Dth) Primary Term Date is May 15, 2018"										
