H	"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"	C000654	4/2/2018	O	4/1/2018	T	T	Karen Gallardo 713-215-3572				
D	CITY OF DANVILLE VIRGINIA	66008251	N	ESS	1006615	11/1/1993	10/31/2013	365	N	0	54996	
A	BP ENERGY COMPANY	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	6518					
D	CITY OF DANVILLE VIRGINIA	66008251	N	ESS	9050388	3/1/2007	2/28/2010	365	N	0	47484	
A	BP ENERGY COMPANY	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	5684					
D	CITY OF DANVILLE VIRGINIA	66008251	N	FT	1003165	2/1/1992	3/31/2013	1095	N	16910	0	
A	BP ENERGY COMPANY	N										
P	S8	DANVILLE	95	1006062	ZONE 5	16910	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	2875	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	4227	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	3213	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	6595	0					
D	CITY OF DANVILLE VIRGINIA	66008251	N	GSS	1000757	4/1/2013	3/31/2023		N	0	189598	
A	BP ENERGY COMPANY	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	3876					
D	CITY OF DANVILLE VIRGINIA	66008251	N	WSS-OA	9011967	12/31/2003	3/31/2007	186	N	0	262678	
A	BP ENERGY COMPANY	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	2765					
D	CITY OF ELBERTON GEORGIA	78128543	N	FTG	1006563	11/1/1993	10/30/2013	180	N	518	0	o3
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	518	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	88	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	129	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	98	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	203	0					
D	CITY OF FOUNTAIN INN SOUTH CAROLINA	126062736	N	ESS	1006619	11/1/1993	10/31/2013	365	N	0	6752	
A	BP ENERGY COMPANY	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	804					
D	CITY OF FOUNTAIN INN SOUTH CAROLINA	126062736	N	FT	1003926	2/1/1992	12/30/2001	1095	N	1563	0	o6
A	BP ENERGY COMPANY	N										
P	S8	FOUNTAIN INN M7108	95	1006092	ZONE 5	1563	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	266	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	390	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	297	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	610	0					
D	CITY OF FOUNTAIN INN SOUTH CAROLINA	126062736	N	FT	1004179	11/1/1995	10/31/2005	279	N	518	0	o4
A	BP ENERGY COMPANY	N										
P	S8	FOUNTAIN INN M7108	95	1006092	ZONE 5	518	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	518	0					
D	CITY OF FOUNTAIN INN SOUTH CAROLINA	126062736	N	FT	1009768	11/5/1994	11/4/2014	730	N	479	0	
A	BP ENERGY COMPANY	N										
P	S8	FOUNTAIN INN M7108	95	1006092	ZONE 5	479	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	479	0					
D	CITY OF FOUNTAIN INN SOUTH CAROLINA	126062736	N	FT	1012023	11/1/1995	10/31/2015	730	N	581	0	
A	BP ENERGY COMPANY	N										
P	S8	FOUNTAIN INN M7108	95	1006092	ZONE 5	581	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	581	0					
D	CITY OF FOUNTAIN INN SOUTH CAROLINA	126062736	N	FT	1020767	11/1/1997	10/31/2017	730	N	2035	0	
A	BP ENERGY COMPANY	N										
P	S8	FOUNTAIN INN M7108	95	1006092	ZONE 5	2035	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	2035	0					
D	CITY OF FOUNTAIN INN SOUTH CAROLINA	126062736	N	FTG	1006670	11/1/1993	10/30/2013	180	N	396	0	o3
A	BP ENERGY COMPANY	N										
P	S8	FOUNTAIN INN M7108	95	1006092	ZONE 5	396	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	67	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	100	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	75	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	154	0					
D	CITY OF FOUNTAIN INN SOUTH CAROLINA	126062736	N	GSS	1000800	4/1/2013	3/31/2023		N	0	3309	
A	BP ENERGY COMPANY	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	62					
D	CITY OF GREENWOOD SOUTH CAROLINA	77995868	N	ESS	1041757	11/1/1993	10/31/2013	365	N	0	17755	
A	SCANA ENERGY MARKETING INC	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	2104					
D	CITY OF GREENWOOD SOUTH CAROLINA	77995868	N	ESS	9050445	3/1/2007	11/21/2013	365	N	0	25630	
A	SCANA ENERGY MARKETING INC	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	3069					
D	CITY OF GREENWOOD SOUTH CAROLINA	77995868	N	FT	1003701	2/1/1992	1/30/2012	1095	N	8901	0	o14
A	SCANA ENERGY MARKETING INC	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	40	0					
P	S8	GREENWOOD	95	1006586	ZONE 5	8901	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1513	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	2226	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1691	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	3471	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	40	0					
D	CITY OF GREENWOOD SOUTH CAROLINA	77995868	N	FT	1004180	11/1/1995	10/31/2005	279	N	9651	0	o4
A	SCANA ENERGY MARKETING INC	N										
P	S8	GREENWOOD	95	1006586	ZONE 5	9651	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	5625	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	4026	0					
D	CITY OF GREENWOOD SOUTH CAROLINA	77995868	N	FT	1004990	8/1/1991	7/30/2006	1095	N	104	0	o1
A	SCANA ENERGY MARKETING INC	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	40	0					
P	S8	GREENWOOD	95	1006586	ZONE 5	104	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	18	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	25	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	20	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	41	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	40	0					
D	CITY OF GREENWOOD SOUTH CAROLINA	77995868	N	FT	1020768	11/1/1997	10/31/2017	730	N	3105	0	
A	SCANA ENERGY MARKETING INC	N										
P	S8	GREENWOOD	95	1006586	ZONE 5	3105	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	3105	0					
D	CITY OF GREENWOOD SOUTH CAROLINA	77995868	N	FT	1034192	4/1/2000	4/29/2020		N	4000	0	
A	SCANA ENERGY MARKETING INC	N										
P	S8	LYNCHBURG	95	1006173	ZONE 5	348	0					
P	S8	PUBLIC SERV N C	95	1006608	ZONE 5	3652	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	680	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1000	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	760	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1560	0					
D	CITY OF GREENWOOD SOUTH CAROLINA	77995868	N	GSS	1000709	4/1/2013	3/31/2023		N	0	16498	
A	SCANA ENERGY MARKETING INC	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	331					
D	CITY OF GREENWOOD SOUTH CAROLINA	77995868	N	WSS-OA	9036204	2/1/2006	1/31/2009	365	N	0	62100	
A	SCANA ENERGY MARKETING INC	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	654					
D	CITY OF HARTWELL GEORGIA	26664508	N	GSS	1000897	4/1/2013	3/31/2023		N	0	4545	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	88					
D	CITY OF KINGS MOUNTAIN NORTH CAROLINA	79053880	N	FT	1002270	8/1/1991	3/17/1998	1095	N	90	0	
A	TEXLA ENERGY MANAGEMENT INC	N										
P	S8	KINGS MOUNTAIN	95	1006150	ZONE 5	90	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	16	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	22	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	17	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	35	0					
D	CITY OF KINGS MOUNTAIN NORTH CAROLINA	79053880	N	FT	1003939	2/1/1992	10/30/2000	1095	N	3244	0	
A	TEXLA ENERGY MANAGEMENT INC	N										
P	S8	KINGS MOUNTAIN	95	1006150	ZONE 5	3244	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	551	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	812	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	616	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1265	0					
D	CITY OF KINGS MOUNTAIN NORTH CAROLINA	79053880	N	FT	1004182	11/1/1995	10/31/2005	279	N	1035	0	o4
A	TEXLA ENERGY MANAGEMENT INC	N										
P	S8	KINGS MOUNTAIN	95	1006150	ZONE 5	1035	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	136	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	899	0					
D	CITY OF KINGS MOUNTAIN NORTH CAROLINA	79053880	N	FT	1004991	8/1/1991	7/30/2001	1095	N	207	0	o1
A	TEXLA ENERGY MANAGEMENT INC	N										
P	S8	KINGS MOUNTAIN	95	1006150	ZONE 5	207	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	35	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	52	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	39	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	81	0					
D	CITY OF KINGS MOUNTAIN NORTH CAROLINA	79053880	N	FT	1008550	8/1/1994	3/16/1998	1095	N	90	0	
A	TEXLA ENERGY MANAGEMENT INC	N										
P	S8	KINGS MOUNTAIN	95	1006150	ZONE 5	90	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	16	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	22	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	17	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	35	0					
D	"CITY OF LAGRANGE, GEORGIA"	78105012	N	FT	9127983	9/12/2012	9/11/2032		Y	2000	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	S8	LAGRANGE GA M7394	95	9004922	ZONE 4	2000	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	2000	0					
D	CITY OF LAURENS SOUTH CAROLINA	49521842	N	ESS	9003276	6/1/2003	6/30/2003	365	N	0	18483	l15/m15
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	2191					
D	CITY OF LAURENS SOUTH CAROLINA	49521842	N	FT	1003940	2/1/1992	10/31/2020		N	6114	0	o14
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	40	0					
P	S8	LAURENS M7043	95	1006156	ZONE 5	6114	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1039	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1529	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1162	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2384	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	40	0					
D	CITY OF LAURENS SOUTH CAROLINA	49521842	N	GSS	1000754	4/1/2013	3/31/2023		N	0	57417	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	1045					
D	CITY OF LAURENS SOUTH CAROLINA	49521842	N	WSS-OA	9052570	4/1/2007	10/31/2013	365	N	0	89217	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	939					
D	CITY OF LEXINGTON NORTH CAROLINA	77829539	N	EESWS	9050829	3/1/2007	2/28/2010	1095	N	0	18051	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	2161					
D	CITY OF LEXINGTON NORTH CAROLINA	77829539	N	ESS	9003277	6/1/2003	6/30/2003	365	N	0	19642	l15/m15
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	2328					
D	CITY OF LEXINGTON NORTH CAROLINA	77829539	N	FT	1003937	2/1/1992	6/30/2013	1095	N	7212	0	
A	BP ENERGY COMPANY	N										
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	7212	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1226	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1804	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1370	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2812	0					
D	CITY OF LEXINGTON NORTH CAROLINA	77829539	N	FT	1004184	11/1/1995	6/30/2013	279	N	2070	0	o4
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	2070	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	271	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	1799	0					
D	CITY OF LEXINGTON NORTH CAROLINA	77829539	N	FT	1004993	8/1/1991	6/30/2013	1095	N	311	0	o1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	311	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	53	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	78	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	59	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	121	0					
D	CITY OF LEXINGTON NORTH CAROLINA	77829539	N	GSS	1000776	4/1/2013	3/31/2023		N	0	96449	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	1935					
D	CITY OF MADISON GEORGIA	70787973	N	FTG	1006566	11/1/1993	10/30/2013	180	N	109	0	o3
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	109	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	19	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	27	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	21	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	42	0					
D	CITY OF MADISON GEORGIA	70787973	N	GSS	1000768	4/1/2013	3/31/2023		N	0	1481	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	31					
D	CITY OF MONROE GEORGIA	75931535	N	GSS	1000874	4/1/2013	3/31/2023		N	0	6480	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	124					
D	"CITY OF MONROE, NORTH CAROLINA"	74513847	N	EESWS	9052284	4/1/2007	4/30/2018		N	0	16057	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	1923					
D	"CITY OF MONROE, NORTH CAROLINA"	74513847	N	ESS	9051646	3/1/2007	2/28/2010	365	N	0	1764	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	212					
D	"CITY OF MONROE, NORTH CAROLINA"	74513847	N	FT	9020240	10/1/2004	10/31/2015	730	N	1500	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	1500	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	1500	0					
D	"CITY OF MONROE, NORTH CAROLINA"	74513847	N	FT	9029664	8/1/2005	10/31/2015	730	N	1500	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	1500	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	1500	0					
D	"CITY OF MONROE, NORTH CAROLINA"	74513847	N	FT	9041964	4/1/2007	4/30/2018		Y	6500	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	S8	LEXINGTON	95	1006163	ZONE 5	6500	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	6500	0					
D	"CITY OF MONROE, NORTH CAROLINA"	74513847	N	FT	9044363	10/1/2006	8/30/2009	1095	N	1000	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	S8	KINGS MOUNTAIN	95	1006150	ZONE 5	1000	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	170	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	250	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	190	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	390	0					
D	"CITY OF MONROE, NORTH CAROLINA"	74513847	N	FT	9049503	2/1/2007	1/14/2010	1095	N	600	0	o6
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	S8	BESSEMER CITY M7164	95	1006022	ZONE 5	600	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	102	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	150	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	114	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	234	0					
D	"CITY OF MONROE, NORTH CAROLINA"	74513847	N	FT	9049625	2/1/2007	1/14/2010	1095	N	2000	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	0	0					
P	S8	SHELBY M7102	95	1006237	ZONE 5	2000	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	340	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	500	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	380	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	780	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	0	0					
D	CITY OF ORANGEBURG DEPT OF PUBLIC UTILITIES	45627312	N	FT	9046119	11/1/2006	10/31/2017	730	N	2000	0	
A	SCANA ENERGY MARKETING INC	N										
P	S8	CAROLINA GAS	95	9003140	ZONE 5	2000	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	2000	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	0	0					
D	CITY OF RICHMOND VIRGINIA	3133840	N	FT	1003923	2/1/1992	3/30/2005	1095	N	10032	0	
A	BP ENERGY COMPANY	N										
P	S8	EMPORIA WALDROP	95	1000941	ZONE 5	10032	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1706	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	2508	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1906	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	3912	0					
D	CITY OF RICHMOND VIRGINIA	3133840	N	FT	1006501	10/1/1993	3/30/2017	365	N	379	0	
A	BP ENERGY COMPANY	N										
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	379	0					
P	S9	UTOS TGPL	95	1006402	ZONE 2	371	0					
P	S9	RAGLEY-TET	95	1006217	ZONE 3	8	0					
D	CITY OF ROANOKE ALABAMA	182829994	N	FTG	1006671	11/1/1993	10/30/2013	180	N	752	0	o3
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	752	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	128	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	188	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	143	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	293	0					
D	CITY OF ROCKY MOUNT (NC)	75556373	N	FT	9164352	12/1/2014	2/28/2055		N	1656	0	o1
A	TEXICAN NATURAL GAS CO	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	645	0					
P	S8	DELMARVA	95	1006587	ZONE 6	1656	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	281	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	416	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	314	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	645	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	645	0					
D	CITY OF ROYSTON GEORGIA	99624231	N	FTG	1006582	11/1/1993	10/30/2013	180	N	259	0	o3
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	259	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	45	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	63	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	50	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	101	0					
D	CITY OF SHELBY NORTH CAROLINA	79053468	N	EESWS	9050835	3/1/2007	2/28/2010	1095	N	0	16208	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	1940					
D	CITY OF SHELBY NORTH CAROLINA	79053468	N	ESS	9003278	6/1/2003	6/30/2003	365	N	0	23570	l15/m15
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	2793					
D	CITY OF SHELBY NORTH CAROLINA	79053468	N	FT	1002266	8/1/1991	8/1/2013	1095	N	542	0	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	S8	SHELBY M7102	95	1006237	ZONE 5	542	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	94	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	132	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	104	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	212	0					
D	CITY OF SHELBY NORTH CAROLINA	79053468	N	FT	1003935	2/1/1992	10/31/2013	1095	N	7343	0	o14
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	81	0					
P	S8	SHELBY M7102	95	1006237	ZONE 5	7343	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1248	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1837	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1395	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2863	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	81	0					
D	CITY OF SHELBY NORTH CAROLINA	79053468	N	FT	1004191	11/1/1995	10/31/2013	279	N	3623	0	o4
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	S8	SHELBY M7102	95	1006237	ZONE 5	3623	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	476	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	3147	0					
D	CITY OF SHELBY NORTH CAROLINA	79053468	N	GSS	1000828	4/1/2013	3/31/2023		N	0	29015	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
A	HEATH AND ASSOCIATES	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	580					
D	CITY OF SHELBY NORTH CAROLINA	79053468	N	WSS-OA	9052744	4/1/2007	3/31/2014	365	N	0	25875	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	272					
D	CITY OF SOCIAL CIRCLE GEORGIA	27185065	N	GSS	1000735	4/1/2013	3/31/2023		N	0	1779	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	36					
D	CITY OF SUGAR HILL GEORGIA	26652040	N	FTG	1006584	11/1/1993	10/30/2013	180	N	65	0	o3
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	S8	GAS AUTHORITY	95	9002780	ZONE 4	65	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	11	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	16	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	12	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	26	0					
D	CITY OF SUGAR HILL GEORGIA	26652040	N	GSS	1000760	4/1/2013	3/31/2023		N	0	1779	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	36					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	ESS	9003279	6/1/2003	6/30/2003	365	N	0	8458	l15/m15
A	BP ENERGY COMPANY	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	1002					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	ESS	9071888	8/1/2008	10/31/2017	365	N	0	15292	
A	BP ENERGY COMPANY	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	1830					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	FT	1002258	8/1/1991	3/23/1998	1095	N	187	0	
A	BP ENERGY COMPANY	N										
P	S8	UNION SC M7124	95	1006670	ZONE 5	187	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	32	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	47	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	35	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	73	0					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	FT	1003941	2/1/1992	6/28/2005	1095	N	5796	0	o6
A	BP ENERGY COMPANY	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	40	0					
P	S8	UNION SC M7124	95	1006670	ZONE 5	5796	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	985	0					
