H	NATURAL GAS PIPELINE COMPANY OF AMERICA LLC	C002096	4/2/2018	O	4/1/2018	T	T	Pam Ojeman 713-369-9332				
P	MQ	NICORGAS/NGPL MAZON GRUNDY	95	900137	MARKET DELIVERY	115000	0					
P	M2	REX/NGPL  MOULTRIE	95	44413	IOWA-ILLINOIS RECEIP	115000	0					
D	"BIG RIVER RESOURCES GALVA, LLC"	610247681	N	FTS	149176-FTSNGPL	4/1/2018	3/31/2019		N	4400	0	n1
A	"KINECT ENERGY, INC."	N										
P	MQ	AMER IL/NGPL KEWANEE HENRY	95	900043	MARKET DELIVERY	4400	0					
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	4400	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	FTS	142347	11/1/2013	10/31/2018		N	0	0	n1
P	MQ	BLK HILL/NGPL LINCOLN OTOE	95	5593	MARKET DELIVERY	0	0					
P	M2	DCP OPER/NGPL ADOBE PLT LEA	95	908196	PERMIAN RCPT & DELIV	0	0					
P	M2	WILL MLP/NGPL LUCILLE #3-34 CADDO	95	43508	MIDCONTINENT RCPT &	0	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	FTS	142348	11/1/2013	10/31/2018		N	13500	0	n1
P	MQ	BLK HILL/NGPL BEATRICE GAGE	95	41025	MIDCONTINENT RCPT &	1000	0					
P	MQ	BLK HILL/NGPL GLENWOOD MILLS	95	41027	MARKET DELIVERY	2500	0					
P	MQ	BLK HILL/NGPL LINCOLN OTOE	95	5593	MARKET DELIVERY	10000	0					
P	M2	CIG/NGPL FORGAN BEAVER	95	905207	MIDCONTINENT RCPT &	13500	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	FTS	142349	11/1/2013	10/31/2018		N	12000	0	n1
P	MQ	BLK HILL/NGPL LINCOLN OTOE	95	5593	MARKET DELIVERY	12000	0					
P	M2	CIG/NGPL FORGAN BEAVER	95	905207	MIDCONTINENT RCPT &	12000	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	FTS	142350	11/1/2013	10/31/2018		N	12000	0	n1
P	MQ	BLK HILL/NGPL LINCOLN OTOE	95	5593	MARKET DELIVERY	12000	0					
P	M2	CIG/NGPL FORGAN BEAVER	95	905207	MIDCONTINENT RCPT &	12000	0					
D	BP CANADA ENERGY MARKETING CORP.	248799413	N	FTS	148488-FTSNGPL	11/1/2017	10/31/2018		N	20000	0	n1
P	M2	ENBRIDGP/NGPL SWEETWATER BECKHAM	95	40475	MIDCONTINENT RCPT &	19450	0					
P	M2	ENBRIGTX/NGPL #1 WASHITA	95	5332	MIDCONTINENT RCPT &	550	0					
P	MQ	NIPSCO/NGPL LANSING COOK	95	4187	MARKET DELIVERY	20000	0					
D	BP CANADA ENERGY MARKETING CORP.	248799413	N	FTS	149133-FTSNGPL	4/1/2018	3/31/2019		N	13240	0	n1
P	M2	MARKWEST/NGPL BUFFALO CREEK PROCESS	95	47097	MIDCONTINENT RCPT &	13240	0					
P	MQ	NICORGAS/NGPL SUMMIT AVE COOK	95	904122	MARKET DELIVERY	13240	0					
D	BP CANADA ENERGY MARKETING CORP.	248799413	N	FTS	149136-FTSNGPL	4/1/2018	3/31/2019		N	14000	0	n1
P	M2	EMP-EGG/NGPL  WHEELER	95	46795	MIDCONTINENT RCPT &	1500	0					
P	M2	ETC FS/NGPL  HEMPHILL	95	36120	MIDCONTINENT RCPT &	200	0					
P	M2	MARKWEST/NGPL BUFFALO CREEK PROCESS	95	47097	MIDCONTINENT RCPT &	8200	0					
P	MQ	NICORGAS/NGPL SUMMIT AVE COOK	95	904122	MARKET DELIVERY	14000	0					
P	M2	WILL MLP/NGPL  BECKHAM	95	905567	MIDCONTINENT RCPT &	4100	0					
D	BP CANADA ENERGY MARKETING CORP.	248799413	N	FTS	149150-FTSNGPL	4/1/2018	3/31/2019		N	8750	0	n1
P	M2	MARKWEST/NGPL BUFFALO CREEK PROCESS	95	47097	MIDCONTINENT RCPT &	8750	0					
P	MQ	NICORGAS/NGPL SUMMIT AVE COOK	95	904122	MARKET DELIVERY	8750	0					
D	BP CANADA ENERGY MARKETING CORP.	248799413	N	FTS	149256-FTSNGPL	4/1/2018	10/31/2018		N	12935	0	n1
P	M2	MARKWEST/NGPL BUFFALO CREEK PROCESS	95	47097	MIDCONTINENT RCPT &	12935	0					
P	MQ	NICORGAS/NGPL LAWNDALE AVE COOK	95	4132	MARKET DELIVERY	12935	0					
D	BP ENERGY COMPANY	625275755	N	FTS	144926-FTSNGPL	5/1/2015	4/30/2018		Y	49713	0	n1
P	M2	BP PROD/NGPL RED OAK LATIMER	95	904567	TEXOK RCPT & DELIVER	44084	0					
P	M2	EMP-EOIT/NGPL REC BRYAN	95	906507	TEXOK RCPT & DELIVER	5629	0					
P	MQ	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	49713	0					
D	BP ENERGY COMPANY	625275755	N	FTS	147209-FTSNGPL	5/1/2017	4/30/2020		N	20000	0	n1
P	MQ	EPNG/NGPL JAL LEA	95	3083	PERMIAN RCPT & DELIV	20000	0					
P	M2	MARKWEST/NGPL BUFFALO CREEK PROCESS	95	47097	MIDCONTINENT RCPT &	20000	0					
D	BP ENERGY COMPANY	625275755	N	FTS	149196-FTSNGPL	4/1/2018	3/31/2019		N	60000	0	n1
P	M2	REX/NGPL  MOULTRIE	95	44413	IOWA-ILLINOIS RECEIP	60000	0					
P	MQ	SABPL/NGPL HENRY HUB VERMILION	95	3592	LOUISIANA RCPT & DEL	60000	0					
D	BP ENERGY COMPANY	625275755	N	FTS	149384-FTSNGPL	4/1/2018	3/31/2020		N	39328	0	n1
P	M2	ATMOS-TX/NGPL PYOTE WARD	95	47662	PERMIAN RCPT & DELIV	39328	0					
P	MQ	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	39328	0					
D	BP ENERGY COMPANY	625275755	N	FTS	149397-FTSNGPL	4/1/2018	10/31/2018		N	40000	0	n1
P	M2	ATMOS-TX/NGPL PYOTE WARD	95	47662	PERMIAN RCPT & DELIV	40000	0					
P	MQ	ENBRIGTX/NGPL KELTON WHEELER	95	41940	MIDCONTINENT RCPT &	4000	0					
P	MQ	ONEOKGT/NGPL SAYRE ONG BECKHAM	95	48365	MIDCONTINENT RCPT &	36000	0					
D	BP ENERGY COMPANY	625275755	N	FTS	149630-FTSNGPL	4/1/2018	4/30/2018		N	20000	0	n1
P	MQ	NIPSCO/NGPL LANSING COOK	95	4187	MARKET DELIVERY	20000	0					
P	M2	REX/NGPL  MOULTRIE	95	44413	IOWA-ILLINOIS RECEIP	20000	0					
D	"CALPINE ENERGY SERVICES, L.P."	169668212	N	FTS	148480-FTSNGPL	10/1/2017	9/30/2020		Y	0	0	n1
P	MQ	CALPINE/NGPL ZION ENERGY LAKE	95	40257	MARKET DELIVERY	0	0					
P	M2	N BORDER/NGPL HARPER KEOKUK	95	908090	IOWA-ILLINIOS RECEIP	0	0					
D	CAPITAL SAND PROPPANTS LLC	9401	N	FTS	149566-FTSNGPL	4/1/2018	6/30/2018		N	1600	0	n1
A	RIVER ENERGY LLC	N										
P	M2	BHPB/NGPL LITTLE CREEK WHITE	95	44143	GULF COAST MAINLINE	1600	0					
P	MQ	LIBERTY/NGPL JACKSN CAPE GIRARDEAU	95	900183	MARKET DELIVERY	1600	0					
D	"CENTERPOINT ENERGY ARKLA,  A DIV. OF CENTERPOINT ENERGY"	803838838	N	FTS	146489-FTSNGPL	1/1/2016	3/31/2019		N	0	0	n1
A	CENTERPOINT ENERGY ENTEX	N										
P	MQ	CE-ARKLA/NGPL #1 LONOKE	95	10603	MARKET DELIVERY	0	0					
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	0	0					
D	"CENTERPOINT ENERGY ARKLA,  A DIV. OF CENTERPOINT ENERGY"	803838838	N	FTS	148481-FTSNGPL	11/1/2017	10/31/2018		N	1000	0	n1
A	CENTERPOINT ENERGY ENTEX	N										
P	MQ	CE-ARKLA/NGPL #1 LONOKE	95	10603	MARKET DELIVERY	1000	0					
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	1000	0					
D	"CENTERPOINT ENERGY RES. CORP., D/B/A CENTERPOINT ENERGY MINN"	612012989	N	FTS	110813	12/1/1995	4/30/2019		Y	270000	0	n1
P	M2	CIG/NGPL FORGAN BEAVER	95	905207	MIDCONTINENT RCPT &	200000	0					
P	M2	ETP/NGPL BECKVILLE PANOLA	95	3352	TEXOK RCPT & DELIVER	20000	0					
P	M2	N BORDER/NGPL HARPER KEOKUK	95	908090	IOWA-ILLINOIS RECEIP	50000	0					
P	MQ	NGPL/NGPL CAIRO ST PETER LOUISA	95	900206	MARKET DELIVERY	170000	0					
P	MQ	NNG/NGPL  MILLS	95	900203	MARKET DELIVERY	100000	0					
D	CENTERPOINT ENERGY RESOURCES CORP.	6948210	N	FTS	145427-FTSNGPL	11/1/2015	3/31/2019		N	3135	0	n1
P	MQ	CNTRPT/NGPL WESTON LAKES FORT BEND	95	6295	SOUTH TEXAS RCPT & D	3135	0					
P	M2	MB HUB/NGPL MOSS  BLUFF LIBERTY	95	3817	TEXOK RCPT & DELIVER	3135	0					
D	CENTERPOINT ENERGY RESOURCES CORP.	6948210	N	FTS	145434-FTSNGPL	11/1/2015	10/31/2018		N	1000	0	n1
P	MQ	CNTRPT/NGPL KATY MILLS HARRIS	95	47140	SOUTH TEXAS RCPT & D	1000	0					
P	M2	MB HUB/NGPL MOSS  BLUFF LIBERTY	95	3817	TEXOK RCPT & DELIVER	1000	0					
D	"CENTERPOINT ENERGY SERVICES,  INC."	879057420	N	FTS	148505-FTSNGPL	11/1/2017	10/31/2018		N	10000	0	n1
P	M2	CIG/NGPL FORGAN BEAVER	95	905207	MIDCONTINENT RCPT &	10000	0					
P	MQ	ENABLEMR/NGPL  CLINTON	95	900169	MARKET DELIVERY	10000	0					
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FTS	149647-FTSNGPL	4/1/2018	4/30/2018		N	2300	0	n1
P	M2	MORROW/NGPL  WOODWARD	95	44622	MIDCONTINENT RCPT &	2300	0					
P	MQ	ONEOKWES/NGPL  CARSON	95	905570	MIDCONTINENT RCPT &	2300	0					
D	"CITY OF FROHNA, MISSOURI"	45682564	N	FTS	145053-FTSNGPL	12/1/2015	11/30/2018		N	50	0	n1
A	UTILITY GAS MANAGEMENT	N										
P	MQ	FROHNA/NGPL  PERRY	95	900180	MARKET DELIVERY	50	0					
P	M2	STINGRAY/NGPL  CAMERON	95	5433	LOUISIANA RCPT & DEL	50	0					
D	"CITY OF NASHVILLE, ILLINOIS"	137352332	N	FTS	146627-FTSNGPL	12/1/2016	11/30/2019		N	1300	0	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	M2	DCP OPER/NGPL LA GLORIA JIM WELLS	95	900439	SOUTH TEXAS RCPT & D	1300	0					
P	MQ	NASHVILL/NGPL  WASHINGTON	95	900172	MARKET DELIVERY	1300	0					
D	"CITY OF NEBRASKA CITY,  NEBRASKA"	76983428	N	FTS	146393-FTSNGPL	12/1/2016	11/30/2019		N	2300	0	n1
A	TENASKA MARKETING VENTURES	N										
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	1150	0					
P	MQ	NEB CITY/NGPL  OTOE	95	118	MARKET DELIVERY	2300	0					
P	M2	TARGA MC/NGPL  STEPHENS	95	44652	MIDCONTINENT RCPT &	1150	0					
D	"CITY OF NEBRASKA CITY,  NEBRASKA"	76983428	N	FTS	146395-FTSNGPL	12/1/2016	11/30/2019		N	1800	0	n1
A	TENASKA MARKETING VENTURES	N										
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	1800	0					
P	MQ	NEB CITY/NGPL  OTOE	95	118	MARKET DELIVERY	1800	0					
D	"CITY OF PERRYVILLE, MISSOURI"	77134328	N	FTS	146192-FTSNGPL	12/1/2016	11/30/2019		Y	1500	0	n1
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	1500	0					
P	MQ	PERRYVLL/NGPL  CAPE GIRARDEAU	95	900181	MARKET DELIVERY	1500	0					
D	"CITY OF PINCKNEYVILLE, ILLINOIS"	37350022	N	FTS	146194-FTSNGPL	12/1/2016	11/30/2019		Y	250	0	n1
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	250	0					
P	MQ	PICKNEY/NGPL  PERRY	95	900175	MARKET DELIVERY	250	0					
D	"CITY OF SALEM, ILLINOIS"	71954374	N	FTS	146886-FTSNGPL	4/1/2017	3/31/2020		N	2000	0	x10/n1
A	UTILITY GAS MANAGEMENT	N										
P	M2	ENBRDGTX/NGPL REC WHEELER	95	6506	MIDCONTINENT RCPT &	1000	0					
P	M2	MARKWEST/NGPL  PANOLA	95	41537	TEXOK RCPT & DELIVER	1000	0					
P	MQ	SALEM/NGPL  CLINTON	95	167	MARKET DELIVERY	2000	0					
D	"CITY OF SULLIVAN, ILLINOIS"	79144218	N	FTS	146272-FTSNGPL	12/1/2016	11/30/2019		Y	700	0	n1
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	700	0					
P	MQ	SULLIVAN/NGPL  MOULTRIE	95	900155	MARKET DELIVERY	700	0					
D	"CNE GAS SUPPLY, LLC"	829868921	N	FTS	148515-FTSNGPL	11/1/2017	10/31/2018		Y	5000	0	n1
P	M2	ONEOKGT/NGPL  WOODWARD	95	3000	MIDCONTINENT RCPT &	5000	0					
P	MQ	PGLC/NGPL CRAWFORD COOK	95	904360	MARKET DELIVERY	5000	0					
D	"CNE GAS SUPPLY, LLC"	829868921	N	FTS	148516-FTSNGPL	11/1/2017	10/31/2018		Y	15000	0	n1
P	MQ	NO SHORE/NGPL TONNE RD COOK	95	7866	MARKET DELIVERY	10000	0					
P	M2	ONEOKGT/NGPL  WOODWARD	95	3000	MIDCONTINENT RCPT &	15000	0					
P	MQ	PGLC/NGPL CRAWFORD COOK	95	904360	MARKET DELIVERY	5000	0					
D	"CNE GAS SUPPLY, LLC"	829868921	N	FTS	149083-FTSNGPL	4/1/2018	3/31/2019		N	100	0	n1
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	100	0					
P	MQ	NICORGAS/NGPL RIDGELAND AVE COOK	95	904137	MARKET DELIVERY	100	0					
D	"CONEXUS ENERGY, LLC"	80120548	N	FTS	149631-FTSNGPL	4/1/2018	4/30/2018		N	10000	0	n1
P	M2	ENBRDGTX/NGPL REC WHEELER	95	6506	MIDCONTINENT RCPT &	10000	0					
P	MQ	ENBRIDGP/NGPL SWEETWATER BECKHAM	95	40475	MIDCONTINENT RCPT &	10000	0					
D	CONOCOPHILLIPS COMPANY	1368265	N	FTS	148818-FTSNGPL	4/1/2018	3/31/2019		N	10000	0	n1
P	M2	MARATHON/NGPL KUYKENDALL KIOWA	95	44620	MIDCONTINENT RCPT &	10000	0					
P	MQ	NICORGAS/NGPL MAZON GRUNDY	95	900137	MARKET DELIVERY	10000	0					
D	CONOCOPHILLIPS COMPANY	1368265	N	FTS	149147-FTSNGPL	4/1/2018	3/31/2019		N	10000	0	n1
P	M2	ENBRDGTX/NGPL REC WHEELER	95	6506	MIDCONTINENT RCPT &	10000	0					
P	MQ	NICORGAS/NGPL SUMMIT AVE COOK	95	904122	MARKET DELIVERY	10000	0					
D	CONOCOPHILLIPS COMPANY	1368265	N	FTS	149399-FTSNGPL	4/1/2018	10/31/2018		N	25000	0	n1
P	MQ	ENBRIGTX/NGPL KELTON WHEELER	95	41940	MIDCONTINENT RCPT &	5000	0					
P	MQ	ONEOKWES/NGPL  CARSON	95	905570	MIDCONTINENT RCPT &	20000	0					
P	M2	WWM WAHA/NGPL WAHA CONNECTOR WARD	95	49574	PERMIAN RCPT & DELIV	25000	0					
D	CONOCOPHILLIPS COMPANY	1368265	N	FTS	149401-FTSNGPL	4/1/2018	10/31/2018		N	10000	0	n1
P	MQ	ENBRIGTX/NGPL KELTON WHEELER	95	41940	MIDCONTINENT RCPT &	5000	0					
P	MQ	ONEOKWES/NGPL  CARSON	95	905570	MIDCONTINENT RCPT &	5000	0					
P	M2	WWM WAHA/NGPL WAHA CONNECTOR WARD	95	49574	PERMIAN RCPT & DELIV	10000	0					
D	"DTE ENERGY TRADING, INC."	179989231	N	FTS	148324-FTSNGPL	11/1/2017	10/31/2018		Y	20000	0	n1
P	M2	ENBRIGTX/NGPL KELTON WHEELER	95	41940	MIDCONTINENT RCPT &	20000	0					
P	MQ	NICORGAS/NGPL RIDGELAND AVE COOK	95	904137	MARKET DELIVERY	10000	0					
P	MQ	NIPSCO/NGPL NORTH HAYDEN KANKAKEE	95	900130	MARKET DELIVERY	10000	0					
D	"DUONIX BEATRICE, LP"	79602435	N	FTS	148293-FTSNGPL	9/1/2017	8/31/2018		N	2500	0	n1
A	"KOCH ENERGY SERVICES, LLC"	N										
P	MQ	BLK HILL/NGPL BEATRICE GAGE	95	41025	MIDCONTINENT RCPT &	2500	0					
P	M2	ONEOKGT/NGPL  WOODWARD	95	3000	MIDCONTINENT RCPT &	2500	0					
D	"E ENERGY ADAMS, LLC"	361961456	N	FTS	147375-FTSNGPL	9/1/2017	8/31/2020		N	5700	0	n1
A	"CAPSTONE ENERGY SERVICES, LLC"	N										
P	MQ	E ENERGY/NGPL ADAMS GAGE	95	43169	MARKET DELIVERY	5700	0					
P	M2	TPC/NGPL  GAGE	95	902900	AMARILLO MAINLINE  R	5700	0					
D	"ECO-ENERGY, LLC"	829498971	N	FTS	149167-FTSNGPL	4/1/2018	9/30/2018		N	14897	0	n1
P	MQ	FGT/NGPL  VERMILION	95	7936	LOUISIANA RCPT & DEL	14897	0					
P	M2	REX/NGPL  MOULTRIE	95	44413	IOWA-ILLINOIS RECEIP	14897	0					
D	"EJ ARDMORE, INC"	6020309	N	FTS	144942-FTSNGPL	10/1/2015	9/30/2018		N	450	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	M2	EMP-EOIT/NGPL LIMESTONE LATIMER	95	25686	TEXOK RCPT & DELIVER	164	0					
P	M2	EMP-EOIT/NGPL REC BRYAN	95	906507	TEXOK RCPT & DELIVER	286	0					
P	MQ	ONG/NGPL ARDMORE CARTER	95	39763	TEXOK RCPT & DELIVER	450	0					
D	ELGIN ENERGY CENTER LLC	185949505	N	FTS	147501-FTSNGPL	4/1/2017	5/31/2021		Y	15000	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	HORIZON/NGPL SOUTH GRUNDY	95	39855	MARKET DELIVERY	15000	0					
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	15000	0					
D	"ENLINK GAS MARKETING, LP"	825205417	N	FTS	149551-FTSNGPL	3/17/2018	3/31/2019		N	40000	0	n1
A	"ENLINK MIDSTREAM OPERATING, LP"	N										
P	MQ	MARKWEST/NGPL BUFFALO CREEK PROCESS	95	47097	MIDCONTINENT RCPT &	40000	0					
P	M2	ONEOKGT/NGPL  WOODWARD	95	3000	MIDCONTINENT RCPT &	40000	0					
D	"FASKEN OIL AND RANCH, LTD."	68858778	N	FTS	148760-FTSNGPL	2/1/2018	1/31/2019		N	1700	0	n1
P	M2	FASKEN/NGPL N. INDIAN HILLS EDDY	95	37613	PERMIAN RCPT & DELIV	1700	0					
P	MQ	PHILLIPS/NGPL HERRING HUTCHINSON	95	5381	MIDCONTINENT RCPT &	1700	0					
D	G2X ENERGY MARKETING LLC	80020222	N	FTS	148376-FTSNGPL	11/1/2017	10/31/2019		N	8000	0	n1
P	M2	CPG/NGPL  FORD	95	41543	MIDCONTINENT RCPT &	8000	0					
P	MQ	PAMPA/NGPL  GRAY	95	47686	MIDCONTINENT RCPT &	8000	0					
D	GRAIN PROCESSING CORPORATION	198484180	N	FTS	146077-FTSNGPL	9/1/2015	10/31/2019		N	19000	0	n1
A	"KINECT ENERGY, INC."	N										
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	19000	0					
P	MQ	GPC/NGPL  MUSCATINE	95	8021	MARKET DELIVERY	19000	0					
D	GREEN PLAINS TRADE GROUP LLC (DBA GREEN PLAINS ENERGY SVCS)	848984915	N	FTS	149394-FTSNGPL	4/1/2018	10/31/2018		N	1500	0	n1
P	MQ	GREENPLA/NGPL  DEAF SMITH	95	42609	PERMIAN RCPT & DELIV	1500	0					
P	M2	REX/NGPL  JEFFERSON	95	42499	MIDCONTINENT RCPT &	1500	0					
D	GREEN PLAINS TRADE GROUP LLC (DBA GREEN PLAINS ENERGY SVCS)	848984915	N	FTS	149664-FTSNGPL	4/1/2018	4/2/2018		N	5050	0	n1
P	MQ	NICORGAS/NGPL WEBER ROAD WILL	95	4109	MARKET DELIVERY	5050	0					
P	M2	REX/NGPL  MOULTRIE	95	44413	IOWA-ILLINOIS RECEIP	5050	0					
D	GREEN VALLEY CHEMICAL CORPORATION	5312616	N	FTS	145927-FTSNGPL	7/1/2016	6/30/2019		N	4000	0	n1
A	MARATHON OIL COMPANY	N										
P	MQ	GREEN VA/NGPL  UNION	95	900100	MARKET DELIVERY	4000	0					
P	M2	OXY/NGPL INDIAN BASIN PLT EDDY	95	1753	PERMIAN RCPT & DELIV	4000	0					
D	GULFPORT ENERGY CORPORATION	4850660	N	FTS	146010-FTSNGPL	8/1/2015	3/31/2035		N	20000	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	NICORGAS/NGPL MAZON GRUNDY	95	900137	MARKET DELIVERY	20000	0					
P	M2	REX/NGPL  MOULTRIE	95	44413	IOWA-ILLINOIS RECEIP	20000	0					
D	"HARTREE PARTNERS, LP"	15956162	N	FTS	149293-FTSNGPL	4/1/2018	10/31/2018		N	35480	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	NICORGAS/NGPL HAMMES AVE WILL	95	4101	MARKET DELIVERY	32730	0					
P	MQ	NICORGAS/NGPL WEBER ROAD WILL	95	4109	MARKET DELIVERY	2750	0					
P	M2	SSC GPL/NGPL  FORD	95	5418	MIDCONTINENT RCPT &	35480	0					
D	INTERSTATE POWER AND LIGHT COMPANY	6940522	N	FTS	146443-FTSNGPL	11/1/2016	10/31/2019		N	10000	0	n1
P	M2	ENTRPRSE/NGPL DEVERS LIBERTY	95	900546	TEXOK RCPT & DELIVER	10000	0					
P	MQ	IPLC/NGPL ENGLISH KEOKUK	95	900074	MARKET DELIVERY	305	0					
P	MQ	IPLC/NGPL LETTS MUSCATINE	95	900062	MARKET DELIVERY	3150	0					
P	MQ	IPLC/NGPL MUSCATINE#2 MUSCATINE	95	900061	MARKET DELIVERY	500	0					
P	MQ	IPLC/NGPL MUSCATINE#3 MUSCATINE	95	900057	MARKET DELIVERY	2045	0					
P	MQ	IPLC/NGPL PELLA MAHASKA	95	900084	MARKET DELIVERY	0	0					
P	MQ	IPLC/NGPL WHAT CHEER KEOKUK	95	900077	MARKET DELIVERY	0	0					
P	MQ	N BORDER/NGPL HARPER KEOKUK	95	908090	MARKET DELIVERY	4000	0					
D	INTERSTATE POWER AND LIGHT COMPANY	6940522	N	FTS	146444-FTSNGPL	11/1/2016	10/31/2019		N	14500	0	n1
P	M2	CIG/NGPL FORGAN BEAVER	95	905207	MIDCONTINENT RCPT &	3341	0					
P	M2	EMP-EOIT/NGPL COX CITY GRADY	95	47965	MIDCONTINENT RCPT &	11159	0					
P	MQ	INT PWER/NGPL CLINTON HENRY	95	11054	MARKET DELIVERY	6000	0					
P	MQ	IPLC/NGPL CLARINDA MONTGOMERY	95	900109	MARKET DELIVERY	0	0					
P	MQ	IPLC/NGPL CONESVILLE MUSCATINE	95	900063	MARKET DELIVERY	0	0					
P	MQ	IPLC/NGPL CRESTON UNION	95	900102	MARKET DELIVERY	0	0					
P	MQ	IPLC/NGPL ENGLISH KEOKUK	95	900074	MARKET DELIVERY	3500	0					
P	MQ	IPLC/NGPL KALONA WASHINGTON	95	900069	MARKET DELIVERY	0	0					
P	MQ	IPLC/NGPL PELLA MAHASKA	95	900084	MARKET DELIVERY	0	0					
P	MQ	NICORGAS/NGPL WEBER ROAD WILL	95	4109	MARKET DELIVERY	5000	0					
D	INVENERGY NELSON LLC	184027378	N	FTS	145971-FTSNGPL	6/1/2016	5/31/2028		Y	79000	0	n1
A	TENASKA MARKETING VENTURES	N										
P	MQ	INVENERG/NGPL LSP-NELSON POWER PLAN	95	39529	MARKET DELIVERY	79000	0					
P	M2	N BORDER/NGPL HARPER KEOKUK	95	908090	IOWA-ILLINOIS RECEIP	79000	0					
D	J. ARON & COMPANY LLC	6980312	N	FTS	149456-FTSNGPL	4/1/2018	10/31/2019		N	13334	0	n1
P	MQ	BLK HILL/NGPL LINCOLN OTOE	95	5593	MARKET DELIVERY	13334	0					
P	M2	REX/NGPL  JEFFERSON	95	42499	MIDCONTINENT RCPT &	13334	0					
D	"JO-CARROLL ENERGY, INC."	3805454	N	FTS	142085	11/1/2013	10/31/2018		N	3300	0	n1
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	CAMRICK/NGPL CAMRICK PLT BEAVER	95	901429	MIDCONTINENT RCPT &	1250	0					
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	250	0					
P	MQ	JO CE/NGPL SAVANNA HENRY	95	43043	MARKET DELIVERY	3300	0					
P	M2	STINGRAY/NGPL  CAMERON	95	5433	LOUISIANA RCPT & DEL	1500	0					
P	M2	TARGA MC/NGPL  STEPHENS	95	44652	MIDCONTINENT RCPT &	300	0					
D	"KOCH ENERGY SERVICES, LLC"	832703297	N	FTS	149297-FTSNGPL	4/1/2018	10/31/2018		N	10330	0	n1
P	M2	EPNG/NGPL  MOORE	95	3251	MIDCONTINENT RCPT &	10000	0					
P	MQ	NICORGAS/NGPL HAMMES AVE WILL	95	4101	MARKET DELIVERY	10330	0					
P	M2	SSC GPL/NGPL  BEAVER	95	46856	MIDCONTINENT RCPT &	330	0					
D	"LA FRONTERA HOLDINGS, LLC"	78826200	N	FTS	119520	2/1/2003	7/31/2023		Y	300000	0	n1
A	LUMINANT ENERGY COMPANY LLC	N										
P	M2	ALLNCEPL/NGPL JOLIET #1 GRUNDY	95	37207	IOWA-ILLINOIS RECEIP	20000	0					
P	M2	BP PROD/NGPL RED OAK LATIMER	95	904567	TEXOK RCPT & DELIVER	35000	0					
P	M2	EMP-EOIT/NGPL  CUSTER	95	903474	MIDCONTINENT RCPT &	15000	0					
P	M2	EMP-EOIT/NGPL LIMESTONE LATIMER	95	25686	TEXOK RCPT & DELIVER	21905	0					
P	M2	EPNG/NGPL  MOORE	95	3251	MIDCONTINENT RCPT &	17000	0					
P	M2	ETC FS/NGPL MILLS RANCH WHEELER	95	3033	MIDCONTINENT RCPT &	5739	0					
P	M2	ETP/NGPL #2 WHARTON	95	46724	SOUTH TEXAS RCPT & D	75000	0					
P	MQ	KMNTP/NGPL DELIVERY LAMAR	95	39772	TEXOK RCPT & DELIVER	300000	0					
P	M2	KMTP/NGPL KATY TAP HARRIS	95	905231	SOUTH TEXAS RCPT & D	25000	0					
P	M2	MARKWEST/NGPL BUFFALO CREEK PROCESS	95	47097	MIDCONTINENT RCPT &	5000	0					
