H	"TENNESSEE GAS PIPELINE COMPANY, L.L.C."	C000020	4/2/2018	O	4/1/2018	T	T	Nara Houy 713-420-4430				
P	MQ	BOSTN/TGP SOUTHBRIDGE MA WORCHESTER	95	420108	ZONE 6	3410	0					
P	MQ	BOSTN/TGP SPENCER MA WORCHESTER	95	420191	ZONE 6	5060	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	19250	0					
P	M2	POOLING PT-100 LEG-ZN 0-SOUTH	95	405345	ZONE 0	42735	0					
D	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	6951586	N	FT-A	95343-FTATGP	10/1/2011	10/31/2019		N	45600	0	n1
P	MQ	AGT/TGP MENDON MASS TIE OVER WORCHE	95	420285	ZONE 6	20000	0					
P	MQ	BOSTN/TGP BEVERLY SALEM MA ESSEX	95	420118	ZONE 6	5220	0					
P	MQ	BOSTN/TGP CLINTON MA WORCHESTER	95	420110	ZONE 6	1000	0					
P	MQ	BOSTN/TGP HAVERHILL MA ESSEX	95	420122	ZONE 6	2000	0					
P	MQ	BOSTN/TGP LEOMINSTER MA WORCHESTER	95	420111	ZONE 6	1000	0					
P	MQ	BOSTN/TGP READING MA MIDDLESEX	95	420136	ZONE 6	3380	0					
P	MQ	BOSTN/TGP REVERE MA MIDDLESEX	95	420116	ZONE 6	11200	0					
P	MQ	BOSTN/TGP SPENCER MA WORCHESTER	95	420191	ZONE 6	1800	0					
P	M2	IROQUOIS/TGP WRIGHT SMS SCHOHARIE	95	412181	ZONE 5	45600	0					
D	BP ENERGY COMPANY	625275755	N	FT-A	336421-FTATGP	4/1/2018	12/31/2022		N	25000	0	n1
P	MQ	COL GAS/TGP BROAD RUN COBB WV KANAW	95	400459	ZONE 3	25000	0					
P	M2	WFS/TGP UDP HOP BOTTOM DEHY: RIP 32	95	412751	ZONE 4	16200	0					
P	M2	WFS/TGP UDP TEEL DEHY: RIP 320H 101	95	412778	ZONE 4	8800	0					
D	CABOT OIL & GAS CORPORATION	607925757	N	FT-A	93924-FTATGP	11/1/2013	10/31/2027		Y	25000	0	n1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	MQ	AGT/TGP MENDON MASS TIE OVER WORCHE	95	420285	ZONE 6	25000	0					
P	M2	WFS/TGP UDP ZICK DEHY: RIP 320L 101	95	412855	ZONE 4	25000	0					
D	CABOT OIL & GAS CORPORATION	607925757	N	FT-A	331527-FTAOTGP	12/1/2017	5/31/2018		Y	18000	0	n1
P	MQ	COL GAS/TGP MILFORD PA BIG PIKE	95	420245	ZONE 4	18000	0					
P	M2	WFS/TGP UDP GIBSON SUSQUEHANNA	95	47768	ZONE 4	18000	0					
D	CABOT OIL & GAS CORPORATION	607925757	N	FT-A	71453-FTATGP	1/1/2009	12/31/2022		N	75000	0	n1
A	BP ENERGY COMPANY	N										
A	"DTE ENERGY TRADING, INC."	N										
A	EMERA ENERGY SERVICES INC.	N										
A	J. ARON & COMPANY LLC	N										
A	"NEXTERA ENERGY MARKETING, LLC"	N										
P	MQ	COL GAS/TGP BROAD RUN COBB WV KANAW	95	400459	ZONE 3	65000	0					
P	MQ	CRANBERY/TGP INSTITUTE WV KANAWHA	95	420409	ZONE 3	10000	0					
P	M2	WFS/TGP UDP TEEL DEHY: RIP 320H 101	95	412778	ZONE 4	65000	0					
P	M2	WFS/TGP UDP ZICK DEHY: RIP 320L 101	95	412855	ZONE 4	10000	0					
D	CABOT OIL & GAS CORPORATION	607925757	N	FT-A	93923-FTATGP	11/1/2011	3/31/2023		N	25000	0	n1
A	"DTE ENERGY TRADING, INC."	N										
P	MQ	POOLING PT - STA. 87 - ZONE 1	95	420828	ZONE 1	25000	0					
P	M2	WFS/TGP UDP ZICK DEHY: RIP 320L 101	95	412855	ZONE 4	25000	0					
D	CABOT OIL & GAS CORPORATION	607925757	N	FT-A	96245-FTADTGP	11/1/2012	10/31/2027		Y	100000	0	n1
A	BP ENERGY COMPANY	N										
A	"DTE ENERGY TRADING, INC."	N										
A	TENASKA MARKETING VENTURES	N										
P	MQ	AGT/TGP MENDON MASS TIE OVER WORCHE	95	420285	ZONE 6	100000	0					
P	M2	WFS/TGP UDP ZICK DEHY: RIP 320L 101	95	412855	ZONE 4	100000	0					
D	CALGON CARBON CORP	4319810	N	FT-A	63443-FTALTGP	1/1/2007	12/31/2019		N	1350	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	CALGON/TGP PEARL RIVER PLANT HANCOC	95	420736	ZONE L	1350	0					
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	1350	0					
D	"CAMERON LNG, LLC"	187576595	N	FT-A	307320-FTATGP	8/1/2017	12/31/2018		N	300000	0	n1
A	TENASKA MARKETING VENTURES	N										
P	MQ	CAM IPL/TGP BANKEN RD AT  HWY 27 DE	95	49446	ZONE L	300000	0					
P	M2	EGAN HUB/TGP EGAN GAS STORAGE ACADI	95	420822	ZONE L	0	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	200000	0					
P	M2	POOLING PT-100 LEG-ZN 0-SOUTH	95	405345	ZONE 0	100000	0					
D	CASTLETON COMMODITIES MERCHANT TRADING L.P.	118638852	N	FT-A	335465-FTATGP	4/1/2018	10/31/2018		N	15500	0	n1
P	MQ	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	15500	0					
P	M2	POOLING PT - STA. 87 - ZONE 1	95	420828	ZONE 1	15500	0					
D	CENTERPOINT ENERGY ENTEX	46700779	N	FT-A	41736-FTATGP	12/1/2002	10/31/2019		N	5000	0	n1
A	SUPERIOR NATURAL GAS CORPORATION	N										
P	MQ	CNTRPT/TGP IMPERIAL OAKS MONTGOMERY	95	421011	ZONE 0	5000	0					
P	M2	HESCO CO/TGP RAYMONDVILLE HIDALGO	95	412683	ZONE 0	5000	0					
D	CENTERPOINT ENERGY ENTEX	46700779	N	FT-A	45306-FTATGP	12/1/2003	10/31/2019		Y	3600	0	n1
A	SUPERIOR NATURAL GAS CORPORATION	N										
P	MQ	CPTENTEX/TGP EAST OXFORD CITY GATE	95	48923	ZONE 1	3600	0					
P	M2	KINETICA/TGP GRAND CHENIER PLANT I	95	412884	ZONE L	3600	0					
D	CENTERPOINT ENERGY ENTEX	46700779	N	FT-A	49248-FTATGP	7/1/2005	6/30/2019		N	12000	0	n1
A	SUPERIOR NATURAL GAS CORPORATION	N										
P	MQ	CNTRPT/TGP DOWDELL ROAD HARRIS	95	421028	ZONE 0	12000	0					
P	M2	HESCO CO/TGP RAYMONDVILLE HIDALGO	95	412683	ZONE 0	9000	0					
P	M2	KMTEJAS/TGP ZIM DEHYDRATION STARR	95	410729	ZONE 0	3000	0					
D	CENTERPOINT ENERGY RESOURCES CORP.	6948210	N	FT-A	65249-FTATGP	4/1/2008	3/31/2020		N	4500	0	n1
A	CENTERPOINT ENERGY ENTEX	N										
P	MQ	CPTENTEX/TGP BRIDGELAND: DIP 20N-10	95	421054	ZONE 0	4500	0					
P	M2	ENTRPRSE/TGP KATY DEHY TRANS WALLER	95	411159	ZONE 0	4500	0					
D	CENTERPOINT ENERGY RESOURCES CORP.	6948210	N	FT-A	65273-FTATGP	9/1/2007	10/31/2019		N	12250	0	n1
A	CENTERPOINT ENERGY ENTEX	N										
P	MQ	CNTRPT/TGP IMPERIAL OAKS MONTGOMERY	95	421011	ZONE 0	250	0					
P	MQ	CNTRPT/TGP SKINNER: DIP 20M-141 HAR	95	421052	ZONE 0	12000	0					
P	M2	HESCO CO/TGP RAYMONDVILLE HIDALGO	95	412683	ZONE 0	12250	0					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	6993695	N	FT-A	382-FTATGP	9/1/1993	10/31/2019		N	17167	0	n1
P	MQ	AGT/TGP MAHWAH NEW JERSEY BERGEN	95	420207	ZONE 5	8323	0					
P	MQ	HUDSON/TGP CEDAR HILL NY ALBANY	95	420275	ZONE 5	17167	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	17167	0					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	6993695	N	FT-A	2169-FTATGP	9/1/1993	10/31/2019		N	16126	0	n1
P	MQ	AGT/TGP MAHWAH NEW JERSEY BERGEN	95	420207	ZONE 5	8323	0					
P	M2	ENTRPRSE/TGP AGUA DULCE NUECES	95	411306	ZONE 0	5265	0					
P	M2	ENTRPRSE/TGP SABINE RIVER TRANS NEW	95	412013	ZONE L	1286	0					
P	M2	ETX GAS/TGP EAST TX PLANT DEHY PANO	95	410031	ZONE 0	379	0					
P	MQ	HUDSON/TGP CEDAR HILL NY ALBANY	95	420275	ZONE 5	16126	0					
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	4846	0					
P	M2	KINETICA/TGP PORT SULPHUR PLAQUEMIN	95	412882	ZONE L	2250	0					
P	MQ	NFG/TGP ROSE LAKE POTTER	95	420527	ZONE 4	3433	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	2100	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	6138	0					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	6993695	N	FT-A	8397-FTATGP	10/1/1994	10/31/2019		N	739	0	n1
P	MQ	COL GAS/TGP MILFORD PA BIG PIKE	95	420245	ZONE 4	739	0					
P	M2	DCP OPER/TGP WARDER COASTAL PLANT D	95	412494	ZONE 0	34	0					
P	M2	ENTRPRSE/TGP SABINE RIVER TRANS NEW	95	412013	ZONE L	394	0					
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	72	0					
P	M2	KINETICA/TGP PORT SULPHUR PLAQUEMIN	95	412882	ZONE L	239	0					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	6993695	N	FT-A	8399-FTATGP	10/1/1994	10/31/2019		N	1479	0	n1
P	MQ	COL GAS/TGP MILFORD PA BIG PIKE	95	420245	ZONE 4	1479	0					
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	1479	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	1479	0					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	6993695	N	FT-A	8401-FTATGP	10/1/1994	10/31/2019		N	3197	0	n1
P	MQ	COL GAS/TGP MILFORD PA BIG PIKE	95	420245	ZONE 4	3197	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	3197	0					
D	CENTRAL HUDSON GAS & ELECTRIC CORP.	6993695	N	FT-A	10677-FTATGP	6/1/1995	5/31/2020		N	4659	0	n1
P	MQ	HUDSON/TGP CEDAR HILL NY ALBANY	95	420275	ZONE 5	4659	0					
P	MQ	NFG/TGP ROSE LAKE POTTER	95	420527	ZONE 4	4659	0					
P	M2	NFG/TGP ROSE LAKE POTTER	95	420527	ZONE 4	4659	0					
D	CENTRAL VALLE HERMOSO S.A. DE C.V.	812656259	N	FT-A	46486-FTATGP	4/1/2005	3/31/2020		N	95000	0	n1
A	"GASODUCTO DEL RIO, S.A. DE C.V."	N										
P	M2	DCP OPER/TGP TIJERINA DEHY JIM WELL	95	412356	ZONE 0	40000	0					
P	MQ	GDR/TGP RIO BRAVO HIDALGO	95	421017	ZONE 0	95000	0					
P	M2	LOBO/TGP KING RANCH JIM WELLS	95	412400	ZONE 0	36000	0					
P	M2	POOLING PT-100 LEG-ZN 0-SOUTH	95	405345	ZONE 0	19000	0					
D	CHATTANOOGA GAS COMPANY	198402935	N	FT-A	48082-FTATGP	11/1/2005	10/31/2020		N	37819	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	DCP OPER/TGP TIJERINA DEHY JIM WELL	95	412356	ZONE 0	22	0					
P	M2	EGAN HUB/TGP EGAN GAS STORAGE ACADI	95	420822	ZONE L	2437	0					
P	MQ	ETNG/TGP EAST LOBELVILLE TN PERRY	95	420042	ZONE 1	20903	0					
P	MQ	ETNG/TGP GREENBRIER TN 2 (DUAL ROBE	95	420289	ZONE 1	16916	0					
P	M2	ETP/TGP MONTE CHRISTO EXCH HIDALGO	95	412088	ZONE 0	7148	0					
P	M2	ETP/TGP WHARTON COUNTY TRANSPORT EX	95	411911	ZONE 0	2401	0					
P	M2	HEC/TGP UDP CHALKLEY  GARRISON  1 C	95	412192	ZONE L	1858	0					
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	700	0					
P	M2	STORAGE - BEAR CREEK	95	460017	ZONE 1	13398	0					
P	M2	STORAGE - PORTLAND - MA	95	460025	ZONE 1	7741	0					
P	M2	TARGA/TGP UDP LOWRY PLANT DEHY CAME	95	410671	ZONE L	595	0					
P	M2	TRNSCO/TGP WHARTON COUNTY TIE  IN W	95	411929	ZONE 0	1519	0					
D	"CHESAPEAKE ENERGY MARKETING, L.L.C."	809849326	N	FT-A	101781-FTAUTGP	11/1/2013	10/31/2033		Y	404200	0	n1
A	CASTLETON COMMODITIES MERCHANT TRADING L.P.	N										
A	"EDF TRADING NORTH AMERICA, LLC"	N										
A	"NEXTERA ENERGY MARKETING, LLC"	N										
P	MQ	AGT/TGP MAHWAH NEW JERSEY BERGEN	95	420207	ZONE 5	404200	0					
P	M2	APPLACHA/TGP UDP CALKINS DEHY: RIP	95	412834	ZONE 4	150525	0					
P	M2	APPLACHA/TGP UDP LATINI DEHY: RIP 3	95	412832	ZONE 4	118000	0					
P	M2	APPLACHA/TGP UDP LIBERTY DEHY: RIP	95	412850	ZONE 4	135675	0					
D	"CHESAPEAKE ENERGY MARKETING, L.L.C."	809849326	N	FT-A	103034-FTAMTGP	11/1/2013	10/31/2028		N	132000	0	n1
P	M2	APPLACHA/TGP UDP CALKINS DEHY: RIP	95	412834	ZONE 4	32000	0					
P	M2	APPLACHA/TGP UDP SHOEMAKER DEHY: RI	95	412846	ZONE 4	100000	0					
P	MQ	COL GAS/TGP BRINKER OH COLUMBIANA	95	400480	ZONE 4	33000	0					
P	MQ	POOLING PT - STA. 87 - ZONE 1	95	420828	ZONE 1	99000	0					
D	"CHESAPEAKE ENERGY MARKETING, L.L.C."	809849326	N	FT-A	77504-FTATGP	7/1/2010	6/1/2020		N	63500	0	n1
P	M2	APPLACHA/TGP UDP CALKINS DEHY: RIP	95	412834	ZONE 4	41000	0					
P	M2	APPLACHA/TGP UDP LATINI DEHY: RIP 3	95	412832	ZONE 4	17600	0					
P	MQ	DOMINION/TGP SABINSVILLE DELIVERY T	95	420914	ZONE 4	63500	0					
P	M2	STAGEPS/TGP OWEGO STAGECOACH RECEIP	95	421046	ZONE 4	4900	0					
D	"CHESAPEAKE ENERGY MARKETING, L.L.C."	809849326	N	FT-A	107757-FTATGP	7/1/2013	7/31/2028		N	232500	0	n1
A	CONOCOPHILLIPS COMPANY	N										
A	"DTE ENERGY TRADING, INC."	N										
A	NJR ENERGY SERVICES COMPANY	N										
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
A	"SOUTHWEST ENERGY, L.P."	N										
P	MQ	MIDWSTRN/TGP MGT SMS SUMNER	95	420852	ZONE 1	167500	0					
P	MQ	POOLING PT - 500 LEG - ZONE L	95	420999	ZONE L	65000	0					
P	M2	UTICA EO/TGP KENSINGTON DEHY: RIP 2	95	412868	ZONE 4	232500	0					
D	CHEVRON U.S.A. INC.	9140559	N	FT-A	49502-FTATGP	4/1/2006	3/31/2022		N	12000	0	n1
P	MQ	CONN NG/TGP BLOOMFIELD CT HARTFORD	95	420205	ZONE 6	12000	0					
P	M2	ETP/TGP GILMORE PLANT RESIDUE HIDAL	95	412458	ZONE 0	12000	0					
D	"CHIEF OIL & GAS, LLC"	941561235	N	FT-A	307990-FTAMTGP	11/1/2014	10/31/2028		N	4500	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	M2	APPLACHA/TGP UDP CALKINS DEHY: RIP	95	412834	ZONE 4	3000	0					
P	M2	APPLACHA/TGP UDP LIBERTY DEHY: RIP	95	412850	ZONE 4	1500	0					
P	MQ	COL GAS/TGP BRINKER OH COLUMBIANA	95	400480	ZONE 4	1100	0					
P	MQ	MIDWSTRN/TGP MGT SMS SUMNER	95	420852	ZONE 1	3400	0					
D	"CHIEF OIL & GAS, LLC"	941561235	N	FT-A	307991-FTAUTGP	11/1/2014	10/31/2033		Y	14080	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	AGT/TGP MAHWAH NEW JERSEY BERGEN	95	420207	ZONE 5	14080	0					
P	M2	APPLACHA/TGP UDP LATINI DEHY: RIP 3	95	412832	ZONE 4	14080	0					
D	"CHIEF OIL & GAS, LLC"	941561235	N	FT-A	307992-FTATGP	11/1/2014	6/1/2020		N	2200	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	M2	APPLACHA/TGP UDP CALKINS DEHY: RIP	95	412834	ZONE 4	2200	0					
P	MQ	DOMINION/TGP SABINSVILLE DELIVERY T	95	420914	ZONE 4	2200	0					
D	"CHIEF OIL & GAS, LLC"	941561235	N	FT-A	319880-FTATGP	8/1/2016	7/31/2036		N	30000	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	M2	APPLACHA/TGP UDP LIBERTY DEHY: RIP	95	412850	ZONE 4	30000	0					
P	MQ	POOLING PT - STA. 87 - ZONE 1	95	420828	ZONE 1	30000	0					
D	CITADEL ENERGY MARKETING LLC	79663087	N	FT-A	334108-FTATGP	1/1/2018	10/31/2018		N	15200	0	n1
P	MQ	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	15200	0					
P	M2	POOLING PT - STA. 87 - ZONE 1	95	420828	ZONE 1	15200	0					
D	"CITIGROUP ENERGY, INC."	145184631	N	FT-A	335461-FTATGP	4/1/2018	10/31/2018		N	16500	0	n1
P	MQ	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	16500	0					
P	M2	POOLING PT - STA. 87 - ZONE 1	95	420828	ZONE 1	16500	0					
D	CLARKSVILLE GAS DEPT CITY OF	364402685	N	FT-A	508-FTATGP	9/1/1993	10/31/2020		N	5900	0	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	MQ	CLARKSVL/TGP CLARKSVILLE TN CHEATHA	95	400467	ZONE 1	5900	0					
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	2190	0					
P	M2	KINETICA/TGP PORT SULPHUR PLAQUEMIN	95	412882	ZONE L	3710	0					
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FT-A	2025-FTATGP	9/1/1993	10/31/2019		N	42496	0	n1
A	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	N										
P	MQ	BOSTN/TGP CAMP CURTIS ESSEX	95	420808	ZONE 6	4000	0					
P	MQ	BOSTN/TGP DRACUT MA MIDDLESEX	95	420572	ZONE 6	10312	0					
P	MQ	BOSTN/TGP TEWKSBURY MA MIDDLESEX	95	420139	ZONE 6	42496	0					
P	MQ	BOSTN/TGP WILMINGTON MA MIDDLESEX	95	420532	ZONE 6	10312	0					
P	MQ	NFG/TGP ROSE LAKE POTTER	95	420527	ZONE 4	13679	0					
P	M2	POOLING PT - 500 LEG - ZONE L	95	420999	ZONE L	15628	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	4497	0					
P	M2	POOLING PT-100 LEG-ZN 0-NORTH	95	420826	ZONE 0	8500	0					
P	M2	POOLING PT-100 LEG-ZN 0-SOUTH	95	405345	ZONE 0	7496	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	7026	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	6375	0					
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FT-A	2029-FTATGP	9/1/1993	10/31/2019		N	7504	0	n1
A	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	N										
P	MQ	BOSTN/TGP DRACUT MA MIDDLESEX	95	420572	ZONE 6	7504	0					
P	MQ	BOSTN/TGP TEWKSBURY MA MIDDLESEX	95	420139	ZONE 6	7504	0					
P	MQ	BOSTN/TGP WILMINGTON MA MIDDLESEX	95	420532	ZONE 6	7504	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	7504	0					
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FT-A	10778-FTATGP	6/1/1995	10/31/2019		N	16083	0	n1
A	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	N										
P	MQ	BOSTN/TGP TEWKSBURY MA MIDDLESEX	95	420139	ZONE 6	16083	0					
P	M2	NFG/TGP ROSE LAKE POTTER	95	420527	ZONE 4	6084	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	9999	0					
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FT-A	95348-FTATGP	10/1/2011	10/31/2019		N	6000	0	n1
A	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	N										
P	MQ	AGT/TGP MENDON MASS TIE OVER WORCHE	95	420285	ZONE 6	6000	0					
P	MQ	BOSTN/TGP TEWKSBURY MA MIDDLESEX	95	420139	ZONE 6	6000	0					
P	M2	IROQUOIS/TGP WRIGHT SMS SCHOHARIE	95	412181	ZONE 5	6000	0					
D	COLUMBIA GAS OF KENTUCKY INC.	7944481	N	FT-A	308956-FTATGP	11/1/2014	10/31/2019		N	20506	0	n1
A	COLUMBIA GAS OF OHIO INC.	N										
P	MQ	COL GAS/TGP BROAD RUN COBB WV KANAW	95	400459	ZONE 3	20506	0					
P	M2	POOLING PT - 500 LEG - ZONE L	95	420999	ZONE L	20506	0					
D	COLUMBIA GAS OF OHIO INC.	4773586	N	FT-A	46986-FTATGP	11/1/2004	3/31/2023		N	20000	0	n1
P	MQ	COL GAS/TGP BROAD RUN COBB WV KANAW	95	400459	ZONE 3	20000	0					
P	M2	POOLING PT - 500 LEG - ZONE L	95	420999	ZONE L	20000	0					
D	COLUMBIA GAS OF OHIO INC.	4773586	N	FT-A	63440-FTATGP	11/1/2007	3/31/2023		N	30000	0	n1
P	MQ	COL GAS/TGP DUNGANNON OH COLUMBIANA	95	420060	ZONE 4	30000	0					
P	M2	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	30000	0					
D	COLUMBIA GAS OF PENNSYLVANIA INC.	8781668	N	FT-A	30920-FTATGP	11/1/2000	10/31/2019		N	16000	0	n1
A	COLUMBIA GAS OF OHIO INC.	N										
P	MQ	COL GAS/TGP NEWCASTLE PA LAWRENCE	95	420062	ZONE 4	16000	0					
P	M2	EGAN HUB/TGP EGAN GAS STORAGE ACADI	95	420822	ZONE L	8400	0					
P	M2	KINETICA/TGP PORT SULPHUR PLAQUEMIN	95	412882	ZONE L	7600	0					
D	COLUMBIA GAS OF PENNSYLVANIA INC.	8781668	N	FT-A	63409-FTATGP	11/1/2007	10/31/2022		N	7600	0	n1
A	COLUMBIA GAS OF OHIO INC.	N										
P	MQ	COL GAS/TGP PITTSBURGH TERMINAL PA	95	420306	ZONE 4	7600	0					
P	M2	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	7600	0					
D	"COLUMBIA GAS TRANSMISSION, LLC"	54748041	N	FT-A	35417-FTATGP	12/1/2000	10/31/2018		N	8168	0	n1
P	MQ	COL GAS/TGP HIGHLAND PA ELK	95	420449	ZONE 4	8168	0					
P	M2	COL GAS/TGP UNIONVILLE PA BEAVER	95	420063	ZONE 4	8168	0					
D	CONNECTICUT NATURAL GAS CORP.	1139294	N	FT-A	109407-FTATGP	11/1/2013	10/31/2022		N	6000	0	n1
P	MQ	CONN NG/TGP PUTNAM LAKE CT FAIRFIEL	95	420217	ZONE 6	6000	0					
P	M2	IROQUOIS/TGP SHELTON INTERCONNECT F	95	412180	ZONE 6	6000	0					
D	CONNECTICUT NATURAL GAS CORP.	1139294	N	FT-A	86-FTATGP	9/1/1993	3/31/2022		N	15375	0	n1
P	MQ	CONN NG/TGP BLOOMFIELD CT HARTFORD	95	420205	ZONE 6	15375	0					
P	MQ	CONN NG/TGP NORTH BLOOMFIELD CT HAR	95	420453	ZONE 6	10260	0					
P	MQ	CONN NG/TGP PUTNAM LAKE CT FAIRFIEL	95	420217	ZONE 6	10260	0					
P	M2	DOMINION/TGP ELLISBURG INJECTION PO	95	460012	ZONE 4	14318	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	1057	0					
D	CONNECTICUT NATURAL GAS CORP.	1139294	N	FT-A	1624-FTATGP	9/1/1993	10/31/2022		N	6174	0	n1
P	MQ	CONN NG/TGP BLOOMFIELD CT HARTFORD	95	420205	ZONE 6	6174	0					
P	MQ	CONN NG/TGP FARMINGTON CT HARTFORD	95	420487	ZONE 6	4214	0					
P	MQ	CONN NG/TGP GREENWICH CT FAIRFIELD	95	420123	ZONE 6	6174	0					
P	MQ	CONN NG/TGP NEW BRITAIN CT HARTFORD	95	420129	ZONE 6	6174	0					
P	MQ	CONN NG/TGP NORTH BLOOMFIELD CT HAR	95	420453	ZONE 6	4495	0					
P	MQ	CONN NG/TGP PUTNAM LAKE CT FAIRFIEL	95	420217	ZONE 6	6174	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	6174	0					
D	CONNECTICUT NATURAL GAS CORP.	1139294	N	FT-A	1625-FTATGP	9/1/1993	10/31/2020		N	5099	0	n1
P	MQ	CONN NG/TGP BLOOMFIELD CT HARTFORD	95	420205	ZONE 6	5099	0					
P	MQ	CONN NG/TGP FARMINGTON CT HARTFORD	95	420487	ZONE 6	3481	0					
P	MQ	CONN NG/TGP GREENWICH CT FAIRFIELD	95	420123	ZONE 6	5099	0					
P	MQ	CONN NG/TGP NEW BRITAIN CT HARTFORD	95	420129	ZONE 6	5099	0					
P	MQ	CONN NG/TGP NORTH BLOOMFIELD CT HAR	95	420453	ZONE 6	3713	0					
P	MQ	CONN NG/TGP PUTNAM LAKE CT FAIRFIEL	95	420217	ZONE 6	5099	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	5099	0					
D	CONNECTICUT NATURAL GAS CORP.	1139294	N	FT-A	1627-FTATGP	9/1/1993	10/31/2018		N	32652	0	n1
P	MQ	CONN NG/TGP BLOOMFIELD CT HARTFORD	95	420205	ZONE 6	14364	0					
P	MQ	CONN NG/TGP FARMINGTON CT HARTFORD	95	420487	ZONE 6	7695	0					
P	MQ	CONN NG/TGP GREENWICH CT FAIRFIELD	95	420123	ZONE 6	11286	0					
P	MQ	CONN NG/TGP NEW BRITAIN CT HARTFORD	95	420129	ZONE 6	19494	0					
P	MQ	CONN NG/TGP NORTH BLOOMFIELD CT HAR	95	420453	ZONE 6	8208	0					
P	MQ	CONN NG/TGP PUTNAM LAKE CT FAIRFIEL	95	420217	ZONE 6	15903	0					
P	MQ	HATBG GS/TGP PETAL MISS STG TRANS F	95	420702	ZONE 1	9968	0					
P	MQ	NFG/TGP ROSE LAKE POTTER	95	420527	ZONE 4	8882	0					
P	M2	POOLING PT - 100 LEG - ZN 1	95	420827	ZONE 1	958	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	14243	0					
P	M2	POOLING PT-100 LEG-ZN 0-SOUTH	95	405345	ZONE 0	17451	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	18881	0					
D	CONNECTICUT NATURAL GAS CORP.	1139294	N	FT-A	2075-FTATGP	9/1/1993	3/31/2020		N	1212	0	n1
P	MQ	CONN NG/TGP PUTNAM LAKE CT FAIRFIEL	95	420217	ZONE 6	1212	0					
P	M2	TRANSCAN/TGP UDP NIAGARA RIVER NIAG	95	410902	ZONE 5	1212	0					
