H	DOMINION ENERGY TRANSMISSION INC	C000160	4/2/2018	O	4/1/2018	T	T	JOHN BROWNLEE 804-771-4678	 			
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"3,126"					
D	CITY OF RICHMOND	3133840	N	GSS    	300097	4/1/1997	3/31/2023	 	N	0	"600,000"	
A	BP ENERGY COMPANY	N										
P	S8	DETI STRG POINT (ST)	95	10002		0	"3,333"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"10,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"10,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"3,333"					
P	S8	TRANSCO - LEIDY	95	40301		0	"3,333"					
P	S8	TET - OAKFORD	95	40208		0	"3,333"					
P	S8	TET - LEIDY	95	40206		0	"3,333"					
D	CITY OF RICHMOND	3133840	N	GSS    	300162	4/1/2004	3/31/2020	 	N	0	"600,000"	
A	BP ENERGY COMPANY	N										
P	S8	DETI STRG POINT (ST)	95	10002		0	"3,333"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"10,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"3,333"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"10,000"					
D	CITY OF RICHMOND	3133840	N	FTNNGSS	700006	10/1/1993	3/31/2022	 	N	"10,946"	0	
A	BP ENERGY COMPANY	N										
P	S8	DETI STRG POINT (ST)	95	10002		"10,946"	0					
P	S9	QUANTICO	95	22402		"10,946"	0					
D	CNE GAS SUPPLY LLC	829868921	N	FT     	200561	4/1/2010	3/31/2022	 	N	"6,061"	0	
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		"6,061"	0					
P	S8	TRANSCO - LEIDY	95	40301		"6,061"	0					
D	CNE GAS SUPPLY LLC	829868921	N	FT     	200701	11/1/2016	11/30/2031	 	Y	"3,000"	0	
P	S9	TUSCARORA	95	22002		"3,000"	0					
P	S8	TET - OAKFORD	95	40208		"3,000"	0					
D	CNE GAS SUPPLY LLC	829868921	N	FT     	5E0616      	7/1/2017	3/31/2019	 	N	900	0	
P	S9	MULLET 1	95	20103		900	0					
P	S8	TET - OAKFORD	95	40208		900	0					
D	CNE GAS SUPPLY LLC	829868921	N	FT     	5E0617      	7/1/2017	10/31/2018	 	N	"12,402"	0	
P	S9	MULLET 1	95	20103		"8,402"	0					
P	S9	TET - OAKFORD	95	40208		"4,000"	0					
P	S8	STEINMILLER (TL342)	95	EB485		"12,402"	0					
D	CNE GAS SUPPLY LLC	829868921	N	FT     	5E0618      	7/1/2017	3/31/2019	 	N	"1,350"	0	
P	S9	MULLET 1	95	20103		"1,350"	0					
P	S8	TET - OAKFORD	95	40208		"1,350"	0					
D	"CNX GAS COMPANY, LLC"	88111906	N	FT     	200529	12/1/2007	10/31/2021	 	N	"28,000"	0	
P	S9	MULLET 1	95	20103		"28,000"	0					
P	S8	BEAVER RUN (TL-474)	95	EB305		"9,500"	0					
P	S8	BELL POINT (TL-474)	95	EB015		"5,500"	0					
P	S8	CROOKED CREEK (TL-380)	95	EB110		"8,000"	0					
P	S8	FALLOWFIELD (TL-342)	95	EB140		"5,000"	0					
D	"CNX GAS COMPANY, LLC"	88111906	N	FT     	200589	9/1/2012	8/31/2022	 	Y	"116,708"	0	
P	S8	EUREKA HUNTER PIPELINE LLC (TL-265)	95	EB370		"32,400"	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"8,118"	0					
P	S8	POD 11 BRIDGEPORT	95	P0011		"1,511"	0					
P	S8	POD 12 LOUP CREEK	95	P0012		"6,025"	0					
P	S8	POD 13 OSCAR NELSON	95	P0013		"5,987"	0					
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"116,708"	0					
P	S8	CHARLESTON NATIONAL BANK TL263	95	EB335		"3,000"	0					
P	S8	EUREKA HUNTER (DRY RIDGE TL413)	95	EB170		"59,667"	0					
D	"CNX GAS COMPANY, LLC"	88111906	N	FT     	200607	11/1/2012	10/31/2027	 	Y	"100,000"	0	
P	S8	BEAVER RUN (TL-474)	95	EB305		"93,241"	0					
P	S9	TRANSCO - LEIDY	95	40301		"100,000"	0					
P	S9	TET - LEIDY	95	40206		"100,000"	0					
P	S8	BIG RUN (LN50/LN479)	95	EB125		"6,759"	0					
D	"CNX GAS COMPANY, LLC"	88111906	N	FT     	5D8853      	12/1/2016	10/31/2027	 	Y	"100,000"	0	
P	S9	TET - LEIDY	95	40206		"100,000"	0					
P	S9	TRANSCO - LEIDY	95	40301		"100,000"	0					
P	S8	BEAVER RUN (TL-474)	95	EB305		"93,240"	0					
P	S8	BIG RUN (LN50/LN479)	95	EB125		"6,760"	0					
D	COLONIAL GAS COMPANY DBA NATIONAL GRID	6954903	N	GSS    	300114	11/1/1998	3/31/2022	 	N	0	"222,200"	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"2,222"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"2,222"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"1,234"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"1,234"					
P	S8	TET - LEIDY	95	40206		0	"1,234"					
P	S8	TRANSCO - LEIDY	95	40301		0	"1,234"					
D	COLONIAL GAS COMPANY DBA NATIONAL GRID	6954903	N	GSS    	300115	11/1/1998	3/31/2022	 	N	0	"10,400"	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S8	DETI STRG POINT (ST)	95	10002		0	58					
P	S9	TET - NORTH SUMMIT	95	40217		0	104					
P	WR	DETI STRG SERVICE-N.SUMMIT(SS)	95	10003		0	104					
P	S9	DETI STRG POINT (ST)	95	10002		0	104					
P	IJ	DETI STRG SERVICE-N.SUMMIT(SS)	95	10003		0	58					
P	S8	TET - NORTH SUMMIT	95	40217		0	58					
D	COLONIAL GAS COMPANY DBA NATIONAL GRID	6954903	N	GSSTE  	600008	10/1/1993	3/31/2022	 	N	0	"823,529"	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"11,000"					
P	S8	TRANSCO - LEIDY	95	40301		0	"4,575"					
P	S9	TET - LEIDY	95	40206		0	474					
P	S9	TET - OAKFORD	95	40208		0	"11,000"					
P	S9	TRANSCO - LEIDY	95	40301		0	474					
P	S8	DETI STRG POINT (ST)	95	10002		0	"4,575"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"4,575"					
P	S8	TET - CRAYNE FARM	95	40218		0	"4,575"					
P	S8	TET - LEIDY	95	40206		0	"4,575"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"4,575"					
P	S8	TET - MULLETT	95	40207		0	"4,575"					
P	S8	TET - OAKFORD	95	40208		0	"4,575"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"4,575"					
P	S8	TET - ROCKWOOD	95	40211		0	"4,575"					
P	S8	TET - WAYNESBURG	95	40215		0	"4,575"					
P	S8	TET - WOODSFIELD	95	40213		0	"4,575"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"11,000"					
D	COLONIAL GAS COMPANY DBA NATIONAL GRID	6954903	N	FTGSS  	700049	11/1/1998	3/31/2022	 	N	"2,222"	0	
A	NIAGARA MOHAWK POWER CORPORATION DBA NATIONAL GRID	N										
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		"2,222"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"2,222"	0					
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	FTNN   	100121	4/1/2014	3/31/2024	 	N	"4,800"	0	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	DETI STRG POINT (ST)	95	10002		"4,800"	0					
P	S9	PLEASANT GAP	95	21356		"4,800"	0					
P	S8	TRANSCO - LEIDY	95	40301		"4,800"	0					
P	S8	TET - LEIDY	95	40206		"4,800"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"4,800"	0					
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	FTNN   	100122	5/1/2015	3/31/2030	 	N	"15,000"	0	
A	NISOURCE CORPORATE SERVICES	N										
P	S8	DETI STRG POINT (ST)	95	10002		"15,000"	0					
P	S9	PLEASANT GAP	95	21356		"15,000"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"15,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"15,000"	0					
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	FT     	200539	11/1/2008	10/31/2019	 	N	"2,000"	0	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	COL OF PA WARRENDALE	95	21355		"2,000"	0					
P	S8	TET - OAKFORD	95	40208		"2,000"	0					
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	FT     	200687	5/1/2015	3/31/2030	 	N	"5,000"	0	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	PLEASANT GAP	95	21356		"5,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"5,000"	0					
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	GSS    	300195	4/1/2014	3/31/2024	 	N	0	"240,000"	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"4,800"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"1,334"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"1,334"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"4,800"					
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	GSS    	300206	5/1/2015	3/31/2030	 	N	0	"930,000"	
A	NISOURCE CORPORATE SERVICES	N										
P	S8	DETI STRG POINT (ST)	95	10002		0	"5,167"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"15,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"15,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"5,167"					
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	GSSTE  	600037	10/1/1993	3/31/2023	 	N	0	"941,176"	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"9,000"					
P	S8	TRANSCO - LEIDY	95	40301		0	"5,229"					
P	S9	PLEASANT GAP	95	21356		0	"9,000"					
P	S9	TET - OAKFORD	95	40208		0	"6,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"5,229"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"5,229"					
P	S8	PLEASANT GAP	95	21356		0	"9,000"					
P	S8	TET - LEIDY	95	40206		0	"5,229"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"5,229"					
P	S8	TET - MULLETT	95	40207		0	"5,229"					
P	S8	TET - OAKFORD	95	40208		0	"5,229"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"5,229"					
P	S8	TET - ROCKWOOD	95	40211		0	"5,229"					
P	S8	TET - WAYNESBURG	95	40215		0	"5,229"					
P	S8	TET - WOODSFIELD	95	40213		0	"5,229"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"9,000"					
D	COLUMBIA GAS OF PENNSYLVANIA	8781668	N	FTNNGSS	700034	8/1/1995	3/31/2023	 	N	"6,000"	0	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	COL OF PA WARRENDALE	95	21355		"6,000"	0					
P	S9	DARLINGTON	95	21352		"6,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"6,000"	0					
D	COLUMBIA GAS OF VIRGINIA	7940976	N	FTNN   	200108	11/1/1997	3/31/2022	 	N	"10,000"	0	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	QUANTICO	95	22402		"10,000"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"10,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"10,000"	0					
D	COLUMBIA GAS OF VIRGINIA	7940976	N	FT     	200389	11/1/2004	10/31/2019	 	N	"20,000"	0	
A	NISOURCE CORPORATE SERVICES	N										
P	S8	TET - OAKFORD	95	40208		"20,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"20,000"	0					
P	S9	QUANTICO	95	22402		"20,000"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"20,000"	0					
D	COLUMBIA GAS OF VIRGINIA	7940976	N	FT     	200525	11/1/2009	10/31/2024	 	N	"40,000"	0	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	QUANTICO	95	22402		"40,000"	0					
P	S8	TET - LEIDY	95	40206		"40,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"40,000"	0					
D	COLUMBIA GAS OF VIRGINIA	7940976	N	GSS    	300096	4/1/1997	3/31/2022	 	N	0	"500,000"	
A	NISOURCE CORPORATE SERVICES	N										
P	S8	DETI STRG POINT (ST)	95	10002		0	"2,778"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"10,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"10,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"2,778"					
P	S8	TET - LEIDY	95	40206		0	"2,778"					
P	S8	TET - OAKFORD	95	40208		0	"2,778"					
P	S8	TRANSCO - LEIDY	95	40301		0	"2,778"					
D	COLUMBIA GAS OF VIRGINIA	7940976	N	GSS    	300163	4/1/2004	3/31/2024	 	N	0	"700,000"	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"10,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"3,888"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"3,888"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"10,000"					
D	COLUMBIA GAS OF VIRGINIA	7940976	N	GSS    	300183	4/1/2009	3/31/2024	 	N	0	"2,070,480"	
A	NISOURCE CORPORATE SERVICES	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"34,508"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"11,503"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"34,508"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"11,503"					
D	COLUMBIA GAS TRANSMISSION LLC	54748041	N	FT     	200696	10/14/2016	10/13/2031	 	Y	"205,000"	0	
P	S8	BOLTZ HILL (TL377)	95	EB495		"205,000"	0					
P	S9	COL TRANS - CORNWELL	95	40725		"205,000"	0					
D	CONNECTICUT NATURAL GAS CORP	1139294	N	FTGSS  	200106	4/1/1997	10/31/2023	 	N	"19,658"	0	
P	S8	DETI STRG POINT (ST)	95	10002		"19,658"	0					
P	S9	TGP - ELLISBURG	95	40107		"19,658"	0					
D	CONNECTICUT NATURAL GAS CORP	1139294	N	GSS    	300061	4/1/1980	3/31/2022	 	N	0	"66,755"	
P	S8	DETI STRG POINT (ST)	95	10002		0	371					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	371					
P	S8	TGP - ELLISBURG	95	40107		0	371					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	607					
P	S9	DETI STRG POINT (ST)	95	10002		0	607					
P	S9	TGP - ELLISBURG	95	40107		0	607					
D	CONNECTICUT NATURAL GAS CORP	1139294	N	GSS    	300094	4/1/1997	3/31/2023	 	N	0	"1,800,000"	
P	S8	TGP - PETERSBURG	95	40116		0	"10,000"					
P	S8	TGP - ELLISBURG	95	40107		0	"10,000"					
P	S8	TGP - COCHRANTON	95	40104		0	"10,000"					
P	S8	TGP - AUGUSTA	95	40102		0	"10,000"					
P	S8	TET - OAKFORD	95	40208		0	"10,000"					
P	S8	TET - LEIDY	95	40206		0	"10,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"10,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"10,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"19,658"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"19,658"					
P	S8	TGP - SABINSVILLE	95	40120		0	"10,000"					
P	S8	TRANSCO - LEIDY	95	40301		0	"10,000"					
D	CONNECTICUT NATURAL GAS CORP	1139294	N	GSSTE  	600012	10/1/1993	3/31/2011	365	N	0	"1,235,603"	yc1
P	S8	TET - LEIDY	95	40206		0	"6,864"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"6,864"					
P	S8	TET - MULLETT	95	40207		0	"6,864"					
P	S8	TET - OAKFORD	95	40208		0	"6,864"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"6,864"					
P	S8	TET - ROCKWOOD	95	40211		0	"6,864"					
P	S8	TET - WAYNESBURG	95	40215		0	"6,864"					
P	S8	TET - WOODSFIELD	95	40213		0	"6,864"					
P	S8	TRANSCO - LEIDY	95	40301		0	"6,864"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"11,553"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"11,553"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - LEIDY	95	40206		0	"11,553"					
P	S9	TET - OAKFORD	95	40208		0	"11,553"					
P	S9	TET - RAGER MOUNTAIN	95	40210		0	0					
P	S9	TRANSCO - LEIDY	95	40301		0	"11,553"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"6,864"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"6,864"					
P	S8	TET - CRAYNE FARM	95	40218		0	"6,864"					
D	CONSOLIDATED EDISON OF NY	6982359	N	FT     	200398	3/1/2004	10/31/2016	365	N	"7,575"	0	
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		"7,575"	0					
P	S9	TET - LEIDY	95	40206		"7,575"	0					
P	S9	TRANSCO - LEIDY	95	40301		"7,575"	0					
D	CONSOLIDATED EDISON OF NY	6982359	N	GSSTE  	600011	10/1/1993	3/31/2020	 	N	0	"2,408,824"	yc1
P	S9	DETI STRG POINT (ST)	95	10002		0	"23,587"					
P	S8	TRANSCO - LEIDY	95	40301		0	"13,382"					
P	S9	TET - CHAMBERSBURG (EAST COAST)	95	40201		0	0					
P	S9	TET - CRAYNE FARM	95	40218		0	0					
P	S9	TET - OAKFORD	95	40208		0	"23,587"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"13,382"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"13,382"					
P	S8	TET - CRAYNE FARM	95	40218		0	"13,382"					
P	S8	TET - LEIDY	95	40206		0	"13,382"					
P	S8	TET - MOUNDSVILLE	95	40216		0	"13,382"					
P	S8	TET - MULLETT	95	40207		0	"13,382"					
P	S8	TET - OAKFORD	95	40208		0	"13,382"					
P	S8	TET - POWHATTAN POINT	95	40205		0	"13,382"					
P	S8	TET - ROCKWOOD	95	40211		0	"13,382"					
P	S8	TET - WAYNESBURG	95	40215		0	"13,382"					
P	S8	TET - WOODSFIELD	95	40213		0	"13,382"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"23,587"					
D	CORNELL UNIVERSITY	2254837	N	FT     	200543	11/1/2009	9/30/2024	 	N	"15,000"	0	
P	S9	CORNELL UNIVERSITY	95	30170		"15,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"15,000"	0					
P	S8	TET - LEIDY	95	40206		"15,000"	0					
D	CORNING INCORPORATED	1307735	N	FT     	200454	4/1/2006	10/31/2018	 	N	"5,000"	0	
A	"PACE GLOBAL ENERGY SERVICES, LLC"	N										
P	S8	TET - OAKFORD	95	40208		"5,000"	0					
P	S9	WHISKEY CREEK	95	21004		"5,000"	0					
D	CORNING INCORPORATED	1307735	N	FT     	200488	11/1/2006	10/31/2018	 	N	"2,000"	0	
A	"PACE GLOBAL ENERGY SERVICES, LLC"	N										
P	S9	WHISKEY CREEK	95	21004		"2,000"	0					
D	CORNING NATURAL GAS CORP	2877231	N	FTNN   	100117	4/1/2006	3/31/2022	 	N	"11,413"	0	
P	S9	ADDISON	95	21002		"9,030"	0					
P	S9	CORNING - VIRGIL	95	21050		500	0					
P	S8	TXG - LEBANON	95	40601		"2,816"	0					
P	S8	TRANSCO - LEIDY	95	40301		878	0					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		"3,766"	0					
P	S8	TET - OAKFORD	95	40208		"2,974"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"11,413"	0					
P	S9	HERRINGTON	95	21003		"2,585"	0					
P	S9	WHISKEY CREEK	95	21004		"10,913"	0					
P	S8	ANR - LEBANON	95	40401		"2,816"	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		979	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"2,816"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"2,816"	0					
P	S8	TET - LEIDY	95	40206		878	0					
D	CORNING NATURAL GAS CORP	2877231	N	FT     	200544	4/1/2009	3/31/2029	 	N	500	0	
P	S9	WHISKEY CREEK	95	21004		500	0					
P	S8	TET - OAKFORD	95	40208		500	0					
D	CORNING NATURAL GAS CORP	2877231	N	GSS    	300172	4/1/2006	3/31/2022	 	N	0	"576,516"	
P	S8	DETI STRG POINT (ST)	95	10002		0	"3,203"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"3,203"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"10,635"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"10,635"					
D	CORNING NATURAL GAS CORP	2877231	N	FTNNGSS	700088	4/1/2006	3/31/2022	 	N	"10,635"	0	
P	S9	HERRINGTON	95	21003		"2,420"	0					
P	S9	ADDISON	95	21002		"8,335"	0					
P	S9	WHISKEY CREEK	95	21004		"10,635"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"10,635"	0					
D	"CORTLAND REGIONAL MEDICAL CENTER, INC"	71606065	N	FT     	200287	5/1/2002	4/30/2017	365	N	215	0	
A	UGI ENERGY SERVICES LLC	N										
P	S9	SOUTH CORTLAND	95	20718		215	0					
P	S9	CORTLAND	95	20705		215	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200657	4/1/2014	3/31/2020	 	N	"9,309"	0	
P	S8	TGP - ELLISBURG	95	40107		"9,309"	0					
P	S9	CALEDONIA	95	20602		"9,309"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200659	4/1/2014	10/31/2018	 	N	"11,000"	0	
P	S9	PETERSBURG	95	20105		"11,000"	0					
P	S8	TGP - PETERSBURG	95	40116		"11,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200660	5/1/2014	3/31/2025	 	N	"13,350"	0	
P	S9	WEST SCHENECTADY	95	20520		"13,350"	0					
P	S8	TGP - PETERSBURG	95	40116		"13,350"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200661	5/1/2014	3/31/2023	 	N	"15,000"	0	
P	S9	BIDDLECUM ROAD	95	20504		"5,000"	0					
P	S9	GARDNER	95	20712		"10,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"15,000"	0					
P	S8	TET - LEIDY	95	40206		"15,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200662	4/1/2014	3/31/2022	 	N	"7,900"	0	
P	S9	ITHACA	95	20714		"7,900"	0					
P	S8	TGP - ELLISBURG	95	40107		"7,900"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200663	4/1/2014	10/31/2022	 	N	"8,430"	0	
P	S9	BIDDLECUM ROAD	95	20504		"2,000"	0					
P	S9	ITHACA	95	20714		"6,430"	0					
P	S8	TGP - ELLISBURG	95	40107		"8,430"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200664	5/1/2014	3/31/2019	 	N	"6,000"	0	
P	S9	CALEDONIA	95	20602		"6,000"	0					
P	S8	TET - LEIDY	95	40206		"6,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"6,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200665	5/1/2014	3/31/2019	 	N	"10,000"	0	
P	S9	WEST SCHENECTADY	95	20520		"10,000"	0					
P	S8	TGP - BROOKVIEW	95	40103		"10,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200666	4/1/2014	10/31/2021	 	N	"2,000"	0	
P	S9	DARLINGTON	95	21352		"5,000"	0					
P	S8	TGP - PETERSBURG	95	40116		"2,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200667	4/1/2014	10/31/2020	 	N	"2,500"	0	
P	S9	HUNT MARCELLUS (LONG LEVEL RD LN20)	95	21107		"2,500"	0					
P	S8	TGP - SABINSVILLE	95	40120		"2,500"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200668	5/1/2014	3/31/2020	 	N	"3,007"	0	
P	S9	CALEDONIA	95	20602		"3,007"	0					
P	S8	TGP - PETERSBURG	95	40116		"3,007"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200669	5/1/2014	3/31/2022	 	N	"3,570"	0	
P	S9	EAST AUBURN	95	20708		"3,570"	0					
P	S8	TGP - PETERSBURG	95	40116		"3,570"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200670	5/1/2014	10/31/2023	 	N	"15,000"	0	
P	S9	THERM CITY 1	95	20515		"15,000"	0					
P	S8	TET - LEIDY	95	40206		"15,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"15,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200673	11/1/2014	10/31/2019	 	N	"22,000"	0	
P	S9	TUSCARORA	95	22002		"22,000"	0					
P	S8	TET - OAKFORD	95	40208		"22,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200680	1/1/2015	3/31/2022	 	N	"6,800"	0	
P	S9	CALEDONIA	95	20602		"4,000"	0					
P	S9	COMFORT ROAD	95	20726		"1,000"	0					
P	S9	PORTERVILLE	95	20905		800	0					
P	S9	THERM CITY 1	95	20515		"1,000"	0					
P	S8	TGP - ELLISBURG	95	40107		"6,800"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200681	1/1/2015	10/31/2020	 	N	"6,000"	0	
P	S9	MULLET 1	95	20103		"6,000"	0					
P	S8	ROCKIES EXPRESS - CLARINGTON	95	40411		"6,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200682	11/1/2015	10/31/2018	 	N	"1,020"	0	
P	S9	GARDNER	95	20712		"1,020"	0					
P	S8	TET - OAKFORD	95	40208		"1,020"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200685	4/1/2015	3/31/2023	 	N	"2,500"	0	
P	S9	WHISKEY CREEK	95	21004		"2,500"	0					
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"2,500"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200694	11/1/2015	10/31/2019	 	N	"8,000"	0	
P	S9	COLUMBIA GAS OF PA (PLEASANT GAP)	95	21305		"8,000"	0					
P	S8	ANR - LEBANON	95	40401		"8,000"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"8,000"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"8,000"	0					
P	S8	TXG - LEBANON	95	40601		"8,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200722	4/1/2017	3/31/2020	 	N	"6,988"	0	
P	S9	THERM CITY 1	95	20515		"6,988"	0					
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"6,988"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FT     	200739	3/1/2018	10/31/2026	 	N	"11,000"	0	
