H	"TRUNKLINE GAS COMPANY, LLC"	C000251	4/2/2018	O	4/1/2018	T	T	DEBBIE BRADBURY (713) 989-7571				
D	TENNESSEE VALLEY AUTHORITY	1883032	N	QNT	22517	6/1/2010	5/31/2020		N	70000		
P	M2	LA 1 STORAGE FIELD - ACCTG METER	95	93072	FLD	70000						
P	MQ	LAGOON CREEK - TVA	95	TVALC	Z1A	70000						
D	"TOWN OF BYHALIA, MISSISSIPPI"	86022472	N	SST	15234	2/1/1997	1/31/2021		N	4140		
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	2552						
P	M2	PATTERSON II PLANT	95	83033	FLD	1588						
P	MQ	BYHALIA - FARLEY ROAD (311)	95	82045	Z1A	2000						
P	MQ	"TOWN OF BYHALIA, MS"	95	80075	Z1A	2140						
D	"TOWN OF BYHALIA, MISSISSIPPI"	86022472	N	NNS-1	17761	7/1/2003	6/30/2021		N		30000	
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	IJ	"TOWN OF BYHALIA, MS - NNS1"	95	N1016	Z1A		250					
P	WR	"TOWN OF BYHALIA, MS - NNS1"	95	N1016	Z1A		400					
D	TOWN OF MASON	18931949	N	NNS-2	12232	9/1/1993	3/31/1996	180	N		27945	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"TOWN OF MASON, TN - NNS2"	95	N2032	Z1A		233					
P	WR	"TOWN OF MASON, TN - NNS2"	95	N2032	Z1A		373					
D	TOWN OF MASON	18931949	N	SST	12444	9/1/1993	3/31/1996	180	N	2700		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	2700						
P	MQ	"TOWN OF MASON, TN"	95	80072	Z1A	2700						
D	"TOWN OF NEWBERN, TENNESSEE"	81346520	N	SST	12445	9/1/1993	10/31/1996	180	N	4500		
A	"D2 ENERGY, LLC"	N										
P	M2	KINDER TOTAL MEASURED	95	81701	FLD	980						
P	M2	LAKESIDE - NGPL	95	81718	FLD	1690						
P	M2	NEPTUNE PLANT	95	82864	FLD	1830						
P	MQ	"TOWN OF NEWBERN, TN"	95	80068	Z1B	4500						
D	"TOWN OF NEWBERN, TENNESSEE"	81346520	N	NNS-2	16742	6/1/2001	5/31/2021		N		280000	
A	"D2 ENERGY, LLC"	N										
P	IJ	"TOWN OF NEWBERN, TN - NNS2"	95	N2034	Z1B		2333					
P	WR	"TOWN OF NEWBERN, TN - NNS2"	95	N2034	Z1B		3733					
D	TOWN OF OBION	14736516	N	NNS-2	12230	9/1/1993	10/31/1993	180	N		45000	
A	"D2 ENERGY, LLC"	N										
P	IJ	"TOWN OF OBION, TN - NNS2"	95	N2036	Z1B		375					
P	WR	"TOWN OF OBION, TN - NNS2"	95	N2036	Z1B		600					
D	TOWN OF OBION	14736516	N	SST	12446	9/1/1993	10/31/1993	180	N	828		
A	"D2 ENERGY, LLC"	N										
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	828						
P	MQ	"TOWN OF OBION, TN"	95	80066	Z1B	828						
D	TOWN OF TRIMBLE	609242516	N	NNS-2	12228	9/1/1993	6/30/1996	180	N		23630	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"TOWN OF TRIMBLE, TN - NNS2"	95	N2040	Z1B		197					
P	WR	"TOWN OF TRIMBLE, TN - NNS2"	95	N2040	Z1B		315					
D	TOWN OF TRIMBLE	609242516	N	SST	12448	9/1/1993	6/30/1996	180	N	414		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	414						
P	MQ	"TOWN OF TRIMBLE, TN"	95	80067	Z1B	414						
D	TOWN OF TROY	15091036	N	NNS-2	12227	9/1/1993	9/30/2000	180	N		39000	
A	"D2 ENERGY, LLC"	N										
P	IJ	"TOWN OF TROY, TN - NNS2"	95	N2042	Z1B		325					
P	WR	"TOWN OF TROY, TN - NNS2"	95	N2042	Z1B		520					
D	TOWN OF TROY	15091036	N	SST	12449	9/1/1993	9/30/2000	180	N	1035		
A	"D2 ENERGY, LLC"	N										
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	1035						
P	MQ	"TOWN OF TROY, TN"	95	80065	Z1B	1035						
D	"TYLEX, INC."	103972881	N	FT	30078	4/1/2014	3/31/2019		N	900		
P	M2	MCNUTT TGC RECEIPT - ENLINK LIG	95	82827	Z1A	900						
P	MQ	AMEREN ILLINOIS	95	TRKAIC	Z1B	900						
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	QNT	25654	4/2/2011	3/31/2021		N	20000		
P	M2	LAKESIDE - NGPL	95	81718	FLD	20000						
P	MQ	RACCOON CREEK - UNION ELECTRIC DBA	95	82058	Z1B	20000						
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	EFT	31051	11/1/2016	3/31/2021		N	0		
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	0						
P	M2	MCNUTT TGC RECEIPT - ENLINK LIG	95	82827	Z1A	0						
P	MQ	PEPL @ BOURBON - TGC	95	80023	Z1B	0						
D	VILLAGE OF BELLE RIVE	32128167	N	NNS-2	12223	9/1/1993	10/31/1998	180	N		6210	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"VILLAGE OF BELLE RIVE, IL - NNS2"	95	N2050	Z1B		52					
P	WR	"VILLAGE OF BELLE RIVE, IL - NNS2"	95	N2050	Z1B		83					
D	VILLAGE OF BELLE RIVE	32128167	N	SST	12412	9/1/1993	10/31/1998	180	N	248		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	153						
P	M2	NEPTUNE PLANT	95	82864	FLD	47						
P	M2	PATTERSON II PLANT	95	83033	FLD	48						
P	MQ	"VILLAGE OF BELLE RIVE, IL"	95	80044	Z1B	248						
D	VILLAGE OF BLUFORD	32129850	N	SST	12413	9/1/1993	5/31/1999	180	N	702		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	433						
P	M2	NEPTUNE PLANT	95	82864	FLD	134						
P	M2	PATTERSON II PLANT	95	83033	FLD	135						
P	MQ	"VILLAGE OF BLUFORD, IL"	95	80042	Z1B	702						
D	VILLAGE OF BLUFORD	32129850	N	NNS-2	23217	7/1/2009	6/30/2020		N		50000	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	VILLAGE OF BLUFORD - NNS2  80042	95	N2068	Z1B		417					
P	WR	VILLAGE OF BLUFORD - NNS2  80042	95	N2068	Z1B		667					
D	VILLAGE OF CISNE	45872215	N	SST	12414	9/1/1993	8/31/1998	180	N	828		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	414						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	414						
P	MQ	"VILLAGE OF CISNE, IL"	95	80037	Z1B	828						
D	VILLAGE OF CLAY CITY	31115306	N	SST	12415	8/23/1994	8/31/1998	180	N	1139		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	570						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	569						
P	MQ	"VILLAGE OF CLAY CITY, IL"	95	80033	Z1B	1139						
D	"VILLAGE OF DAHLGREN, IL"	114101231	N	NNS-2	12221	9/1/1993	8/31/1998	180	N		20000	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"VILLAGE OF DAHLGREN, IL - NNS2"	95	N2054	Z1B		167					
P	WR	"VILLAGE OF DAHLGREN, IL - NNS2"	95	N2054	Z1B		267					
D	"VILLAGE OF DAHLGREN, IL"	114101231	N	SST	12416	9/1/1993	8/31/1998	180	N	427		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	264						
P	M2	NEPTUNE PLANT	95	82864	FLD	81						
P	M2	PATTERSON II PLANT	95	83033	FLD	82						
P	MQ	"VILLAGE OF DAHLGREN, IL"	95	80045	Z1B	427						
D	VILLAGE OF GREENUP	31587751	N	NNS-2	12220	9/1/1993	10/31/1996	180	N		83835	
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	IJ	VILLAGE OF GREENUP - NNS2	95	N2056	Z1B		699					
P	WR	VILLAGE OF GREENUP - NNS2	95	N2056	Z1B		1118					
D	VILLAGE OF GREENUP	31587751	N	SST	12392	9/1/1993	10/31/1996	180	N	4140		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	4140						
P	MQ	"VILLAGE OF GREENUP, IL"	95	80029	Z1B	4140						
D	"VILLAGE OF JEFFERSONVILLE, IL"	103217253	N	SST	12384	9/1/1993	8/31/1998	180	N	414		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	207						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	207						
P	MQ	"VILLAGE OF JEFFERSONVILLE, IL"	95	80039	Z1B	414						
D	VILLAGE OF KARNAK	33341629	N	SST	12396	9/1/1993	12/31/1999	180	N	414		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	LAKESIDE - NGPL	95	81718	FLD	255						
P	M2	PATTERSON II PLANT	95	83033	FLD	159						
P	MQ	"VILLAGE OF KARNAK, IL"	95	80053	Z1B	414						
D	VILLAGE OF LOUISVILLE	96722301	N	SST	12401	9/1/1993	3/31/2000	180	N	1242		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	621						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	621						
P	MQ	"VILLAGE OF LOUISVILLE, IL"	95	80032	Z1B	1242						
D	"VILLAGE OF MILFORD, IL"	97325187	N	NNS-2	12116	9/1/1993	10/31/2000	180	N		80365	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"VILLAGE OF MILFORD, IL - NNS2"	95	N2062	Z-2		670					
P	WR	"VILLAGE OF MILFORD, IL - NNS2"	95	N2062	Z-2		1072					
D	"VILLAGE OF MILFORD, IL"	97325187	N	SST	12399	9/1/1993	10/31/2000	180	N	2070		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	2070						
P	MQ	"VILLAGE OF MILFORD, IL"	95	80012	Z-2	2070						
D	VILLAGE OF SIMS	34002154	N	SST	12419	9/1/1993	3/31/2000	180	N	311		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	156						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	155						
P	MQ	"VILLAGE OF SIMS, IL"	95	80041	Z1B	311						
D	VILLAGE OF TOLEDO	29977394	N	NNS-2	12216	9/1/1993	10/31/1998	180	N		40000	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	IJ	"VILLAGE OF TOLEDO, IL - NNS2"	95	N2064	Z1B		333					
P	WR	"VILLAGE OF TOLEDO, IL - NNS2"	95	N2064	Z1B		533					
D	VILLAGE OF TOLEDO	29977394	N	SST	12418	9/1/1993	10/31/1998	180	N	983		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	FAYETTEVILLE @ BOBO ROAD - FAYETTEV	95	82747	Z1A	983						
P	MQ	"VILLAGE OF TOLEDO, IL"	95	80028	Z1B	983						
D	VILLAGE OF WAYNE CITY	94396579	N	SST	12417	9/1/1993	8/31/1997	180	N	2122		
A	UTILITY GAS MANAGEMENT	N										
P	M2	OLLA - GULF SOUTH	95	81720	Z1A	1061						
P	M2	PERRYVILLE IN & OUT - ENABLE GAS TR	95	93073	Z1A	1061						
P	MQ	"VILLAGE OF WAYNE CITY, IL"	95	80043	Z1B	2122						
F	5	DUNS NUMBER IS NOT AVAILABLE.  THE NUMBER PROVIDED IS COMPANY'S OWN IDENTIFICATION NUMBER.										
