H	"Algonquin Gas Transmission, LLC"	C000084	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	AFT-ES	93003ESC-R4	11/1/2014	10/31/2021		N	1082		YA1/L14/O15
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	NEW ENGLAND GAS COMPANY NO. ATTLEBO	95	34	AGT	1082						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	606						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	476						
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	AFT-E	93007EC-R4	11/1/2014	10/31/2021		N	21730		YA1/L12/O18
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	NEW ENGLAND GAS COMPANY FALL RIVER	95	16	AGT	21730						
P	MQ	NEW ENGLAND GAS COMPANY WESTPORT (B	95	49	AGT	3394						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	11745						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	9985						
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	AFT-1	9B104-R4	11/1/2014	10/31/2021		N	1880		YA1/L5/O43
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	NEW ENGLAND GAS COMPANY FALL RIVER	95	16	AGT	1880						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	1880						
D	MACQUARIE ENERGY LLC	798846036	N	AFT-1	510932-R2	4/1/2018	3/31/2019		N	50000		L47
P	M2	"SALEM ESSEX CO., MA (ESSEX,MA)"	95	215	AGT	50000						
P	MQ	"BROOKFIELD DELIVERY (FAIRFIELD,CT)"	95	851	AGT	50000						
D	"MERCURIA ENERGY AMERICA, INC."	831749127	N	AFT-1	511022-R1	12/1/2017	10/31/2018		N	1000		
P	MQ	"WATERBURY (NEW HAVEN,CT)"	95	2	AGT	1000						
P	M2	LATERAL B SYSTEM	95	80008	AGT	1000						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	AFT1AIM	510805-R2	1/7/2017	1/6/2032		Y	1000		
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"MIDDLEBORO (PLYMOUTH,MA)"	95	29	AGT	1000						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	1000						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	AFT-1	934004-R1	11/1/1994	10/31/1999	365	N	337		L5
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"MIDDLEBORO (PLYMOUTH,MA)"	95	29	AGT	337						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	337						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	AFT-1S	99008-R1	9/1/1999	10/31/2012	365	N	34		
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"MIDDLEBORO (PLYMOUTH,MA)"	95	29	AGT	34						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	34						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	AFT-ES	99009-R1	9/1/1999	10/31/2012	365	N	845		O16
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"MIDDLEBORO (PLYMOUTH,MA)"	95	29	AGT	845						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	523						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	322						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	AFT-1S	99010-R1	9/1/1999	10/31/2012	365	N	116		
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"MIDDLEBORO (PLYMOUTH,MA)"	95	29	AGT	116						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	116						
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	AFT-1	510478-R3	4/1/2013	6/30/2014	365	N	12000		L39
P	MQ	"PARTROY (MORRIS,NJ)"	95	1	AGT	12000						
P	M2	MENDON	95	205	AGT	12000						
D	NEW YORK STATE ELECTRIC & GAS CORPORATION	41866497	N	AFT-1	9225-R1	6/1/1993	10/31/2013	365	N	16779		
P	MQ	"SOUTHEAST (PUTNAM,NY)"	95	84	AGT	16779						
P	M2	"BROOKFIELD (FAIRFIELD,CT)"	95	251	AGT	16779						
D	"NORTHERN UTILITIES, INC."	49286305	N	AFT-1	93002F-R1	11/1/1993	10/31/2012	365	N	4226		
A	"EMERA ENERGY SERVICES, INC."	N										
P	MQ	"BROCKTON (PLYMOUTH,MA)"	95	24	AGT	4226						
P	M2	MENDON	95	205	AGT	4266						
D	"NORTHERN UTILITIES, INC."	49286305	N	AFT-1	93201A1C-R1	12/1/1997	10/31/2012	365	N	1251		
A	"EMERA ENERGY SERVICES, INC."	N										
P	MQ	"TAUNTON (BRISTOL, MA)"	95	11	AGT	1251						
P	MQ	"BROCKTON (PLYMOUTH,MA)"	95	24	AGT	0						
P	MQ	"WEST MEDWAY (NORFOLK,MA)"	95	36	AGT	0						
P	MQ	"SOUTH ATTLEBORO (BRISTOL, MA)"	95	37	AGT	0						
P	MQ	"CANTON (NORFOLK,MA)"	95	58	AGT	0						
P	MQ	MENDON	95	205	AGT	0						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	965						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	286						
D	"NORWICH, CITY OF, CONNECTICUT, BOARD OF PUBLIC UTILITIES COMMISSIONERS"	60677747	N	AFT1AIM	510806-R2	1/7/2017	1/6/2032		Y	3000		
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"SALEM PIKE (NORWICH, CT)"	95	35	AGT	1500						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	3000						
P	MQ	NORWICH PUBLIC UTILITIES-OAKLAND HE	95	841	AGT	1500						
D	"NORWICH, CITY OF, CONNECTICUT, BOARD OF PUBLIC UTILITIES COMMISSIONERS"	60677747	N	AFT-ES	93002ES-R4	1/16/2017	10/31/2018		N	4478		L5/O11
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"MOHEGAN PARK (NEW LONDON,CT)"	95	6	AGT	4071						
P	MQ	"SALEM PIKE (NORWICH, CT)"	95	35	AGT	1221						
P	MQ	"YANTIC (HARTFORD,CT)"	95	46	AGT	51						
P	MQ	"NORWICHTOWN (NEW LONDON,CT)"	95	53	AGT	1028						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	2770						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	1708						
P	MQ	NORWICH PUBLIC UTILITIES-OAKLAND HE	95	841	AGT	1028						
D	"NORWICH, CITY OF, CONNECTICUT, BOARD OF PUBLIC UTILITIES COMMISSIONERS"	60677747	N	AFT-1S	93402S-R4	1/16/2017	10/31/2018		N	762		L5
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"YANTIC (HARTFORD,CT)"	95	46	AGT	229						
P	MQ	"NORWICHTOWN (NEW LONDON,CT)"	95	53	AGT	306						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	762						
P	MQ	NORWICH PUBLIC UTILITIES-OAKLAND HE	95	841	AGT	227						
D	"NORWICH, CITY OF, CONNECTICUT, BOARD OF PUBLIC UTILITIES COMMISSIONERS"	60677747	N	AFT-1S	9B100S-R3	2/1/2013	10/31/2016	365	N	583		L5/O49
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"SALEM PIKE (NORWICH, CT)"	95	35	AGT	291						
P	MQ	"YANTIC (HARTFORD,CT)"	95	46	AGT	292						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	583						
D	"NORWICH, CITY OF, CONNECTICUT, BOARD OF PUBLIC UTILITIES COMMISSIONERS"	60677747	N	AFT-ES	9W002ES-R3	2/1/2013	10/31/2016	365	N	1017		L5/O6
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"MOHEGAN PARK (NEW LONDON,CT)"	95	6	AGT	611						
P	MQ	"SALEM PIKE (NORWICH, CT)"	95	35	AGT	203						
P	MQ	"NORWICHTOWN (NEW LONDON,CT)"	95	53	AGT	203						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	387						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	630						
D	NRG CANAL LLC	3959021	N	AFT-CL	510534-R1	9/1/2010	8/8/2021		Y	75000		L2
A	NRG POWER MARKETING LLC	N										
P	MQ	"MIRANT CANAL, (BARNSTABLE,MA)"	95	806	AGT	75000						
P	M2	"INTERCONNECT AGT G-SYS BOURNE, MA &"	95	80004	AGT	75000						
D	NRG POWER MARKETING LLC	28255979	N	AFT-1	510988-R1	4/1/2017	6/27/2018		N	82500		
P	M2	"NRG MIDDLETOWN, (MIDDLESEX,CT)"	95	810	AGT	82500						
P	MQ	INTERCONNECT BETWEEN MIDDLETON LAT	95	80001	AGT	82500						
D	NRG POWER MARKETING LLC	28255979	N	AFT-CLM	510989-R1	4/1/2017	6/27/2018		N	82500		
P	MQ	"NRG MIDDLETOWN, (MIDDLESEX,CT)"	95	810	AGT	82500						
P	M2	INTERCONNECT BETWEEN MIDDLETON LAT	95	80001	AGT	82500						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFT-1	510363-R1	1/1/2009	11/30/2016	365	N	14000		
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"MILFORD (WORCESTER,MA)"	95	20	AGT	1700						
P	MQ	"HOPEDALE (NORFOLK,MA)"	95	25	AGT	2800						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	14000						
P	MQ	"MARATHON (MIDDLESEX,MA)"	95	830	AGT	9500						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFT-1	510400-R1	12/1/2007	10/31/2012	365	N	14010		
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"NEW BEDFORD (BRISTOL,MA)"	95	17	AGT	5010						
P	MQ	"PLYMOUTH (PLYMOUTH,MA)"	95	19	AGT	6500						
P	M2	MENDON	95	205	AGT	14010						
P	MQ	"PINEHILLS METER - (PLYMOUTH,MA)"	95	821	AGT	2500						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFTCLJ2	510482-R1	9/2/2009	9/1/2029		Y	140000		
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"MYSTIC (MIDDLESEX,MA)"	95	826	AGT	140000						
P	M2	J-2 SYSTEM	95	80094	AGT	140000						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFT1AIM	510803-R3	1/7/2017	1/6/2032		Y	25000		
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"NEW BEDFORD (BRISTOL,MA)"	95	17	AGT	2000						
P	MQ	"CHARLES RIVER RD (NORFOLK,MA)"	95	38	AGT	5000						
P	MQ	"ASHLAND (MIDDLESEX,MA)"	95	43	AGT	3000						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	25000						
P	MQ	"PINEHILLS METER - (PLYMOUTH,MA)"	95	821	AGT	2000						
P	MQ	"NSTAR - ASSONET, BRISTOL CO, MA"	95	839	AGT	3000						
P	MQ	J-2 SYSTEM MAINLINE	95	80095	AGT	10000						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFT-1AB	510996-R1	11/1/2017	10/31/2019		Y	34000		
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	34000						
P	MQ	J-2 SYSTEM MAINLINE	95	80095	AGT	34000						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFT-1	90103-R2	6/1/2011	10/31/2014	365	N	17285		L5
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"FREETOWN (BRISTOL,MA)"	95	15	AGT	1500						
P	MQ	"NEW BEDFORD (BRISTOL,MA)"	95	17	AGT	4000						
P	MQ	"WESTWOOD (NORFOLK, MA)"	95	22	AGT	2500						
P	MQ	"BROOKFORD ST (MIDDLESEX,MA)"	95	28	AGT	2285						
P	MQ	"ASHLAND (MIDDLESEX,MA)"	95	43	AGT	2000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	14254						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	3031						
P	MQ	J-2 SYSTEM MAINLINE	95	80095	AGT	5000						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFT-E	93004EC-R2	6/1/2011	10/31/2014	365	N	89316		L19/O20
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"FREETOWN (BRISTOL,MA)"	95	15	AGT	28060						
P	MQ	"NEW BEDFORD (BRISTOL,MA)"	95	17	AGT	25560						
P	MQ	"PLYMOUTH (PLYMOUTH,MA)"	95	19	AGT	3053						
P	MQ	"MILFORD (WORCESTER,MA)"	95	20	AGT	3562						
P	MQ	"WESTWOOD (NORFOLK, MA)"	95	22	AGT	13071						
P	MQ	"HOPEDALE (NORFOLK,MA)"	95	25	AGT	1933						
P	MQ	"BROOKFORD ST (MIDDLESEX,MA)"	95	28	AGT	33335						
P	MQ	"CHARLES RIVER RD (NORFOLK,MA)"	95	38	AGT	5394						
P	MQ	"ASHLAND (MIDDLESEX,MA)"	95	43	AGT	17794						
P	MQ	"WOODLAND RD (NORFOLK,MA)"	95	61	AGT	559						
P	MQ	"DOVER (NORFOLK,MA)"	95	66	AGT	255						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	46764						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	42552						
P	MQ	J-2 SYSTEM MAINLINE	95	80095	AGT	30620						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	X-33	932001-R1	12/1/1988	11/30/2008	365	N	40000		O10
P	MQ	"NEW BEDFORD (BRISTOL,MA)"	95	17	AGT	0						
P	MQ	"PLYMOUTH (PLYMOUTH,MA)"	95	19	AGT	5000						
P	MQ	"MILFORD (WORCESTER,MA)"	95	20	AGT	1600						
P	MQ	"WESTWOOD (NORFOLK, MA)"	95	22	AGT	15000						
P	MQ	"HOPEDALE (NORFOLK,MA)"	95	25	AGT	4000						
P	MQ	"BROOKFORD ST (MIDDLESEX,MA)"	95	28	AGT	14000						
P	MQ	"CHARLES RIVER RD (NORFOLK,MA)"	95	38	AGT	0						
P	MQ	"ASHLAND (MIDDLESEX,MA)"	95	43	AGT	0						
P	MQ	"WOODLAND RD (NORFOLK,MA)"	95	61	AGT	400						
P	MQ	"DOVER (NORFOLK,MA)"	95	66	AGT	0						
P	MQ	SHERBORN	95	73	AGT	0						
P	M2	"MARATHON (MIDDLESEX,MA)"	95	230	AGT	40000						
P	MQ	J-2 SYSTEM MAINLINE	95	80095	AGT	0						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFT-1	93204C-R2	6/1/2011	10/31/2014	365	N	13453		L24
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	13453						
P	MQ	J-2 SYSTEM MAINLINE	95	80095	AGT	13453						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFT-1	93403-R2	6/1/2011	10/31/2014	365	N	16226		L5
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"NEW BEDFORD (BRISTOL,MA)"	95	17	AGT	5458						
P	MQ	"PLYMOUTH (PLYMOUTH,MA)"	95	19	AGT	2752						
P	MQ	"MILFORD (WORCESTER,MA)"	95	20	AGT	1023						
P	MQ	"WESTWOOD (NORFOLK, MA)"	95	22	AGT	1241						
P	MQ	"HOPEDALE (NORFOLK,MA)"	95	25	AGT	319						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	16226						
P	MQ	"PINEHILLS METER - (PLYMOUTH,MA)"	95	821	AGT	500						
P	MQ	J-2 SYSTEM MAINLINE	95	80095	AGT	4933						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	Y	AFT-1	9B102-R2	6/1/2011	10/31/2014	365	N	6266		L5/O41
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	6266						
P	MQ	J-2 SYSTEM MAINLINE	95	80095	AGT	6266						
D	"ORANGE AND ROCKLAND UTILITIES, INC."	6993406	N	AFT-1Z	86013-R4	2/1/2013	10/31/2016	365	N	1014		L55
D	"ORANGE AND ROCKLAND UTILITIES, INC."	6993406	N	AFT-1	93010C-R3	2/1/2013	10/31/2016	365	N	5470		L58/O59
P	MQ	"SUFFERN (ROCKLAND,NY)"	95	39	AGT	5470						
P	MQ	"STONY POINT (ROCKLAND,NY)"	95	40	AGT	5470						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	3294						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	2176						
D	"ORANGE AND ROCKLAND UTILITIES, INC."	6993406	N	T-1	931003-R1	8/23/1993	7/31/1994	365	N	5292		L5
P	MQ	"SUFFERN (ROCKLAND,NY)"	95	39	AGT	5292						
P	MQ	"STONY POINT (ROCKLAND,NY)"	95	40	AGT	0						
P	M2	"MAHWAH (BERGEN,NJ)"	95	201	AGT	0						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	5190						
D	"ORANGE AND ROCKLAND UTILITIES, INC."	6993406	N	AFT-1	93406-R3	2/1/2013	10/31/2016	365	N	1104		L5
P	MQ	"STONY POINT (ROCKLAND,NY)"	95	40	AGT	1104						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	1104						
D	PHELPS DODGE COPPER PRODUCTS COMPANY	1213149	N	AFT-CLD	510020-R1	1/22/2002	1/21/2007	365	N	3800		
A	SPRAGUE OPERATING RESOURCES LLC	N										
P	MQ	"PHELPS DODGE (NEW LONDON,CT)"	95	822	AGT	3800						
P	M2	PHELPS DODGE LATERAL POINT	95	99815	AGT	3800						
D	"PSEG POWER, LLC"	848793910	N	AFT-1	510393-R1	11/1/2007	10/31/2017	365	N	12500		
P	M2	"AGT-WANAQUE INTERCONNECT (PASSAIC,N"	95	208	AGT	12500						
P	MQ	"COLUMBIA HANOVER (MORRIS,NJ)"	95	240	AGT	12500						
D	REPSOL ENERGY NORTH AMERICA CORPORATION	805486276	N	AFT-1	510734-R3	11/1/2017	10/31/2018		N	70000		L66
P	MQ	"FORE RIVER (NORFOLK,MA)"	95	803	AGT	70000						
P	M2	Q-1 EXTENSION MAINLINE	95	80042	AGT	70000						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	AFT-1	510712-R1	11/1/2013	10/31/2015	365	N	10500		
P	M2	MENDON	95	205	AGT	10500						
P	MQ	LATERAL W SYSTEM MAINLINE	95	80063	AGT	10500						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	AFT-1	510713-R1	11/1/2013	10/31/2015	365	N	5000		
P	M2	MENDON	95	205	AGT	5000						
P	MQ	Q-1 EXTENSION MAINLINE	95	80042	AGT	5000						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	AFT-1	511031-R1	4/1/2018	3/31/2019		N	15000		
P	M2	MENDON	95	205	AGT	15000						
P	MQ	Q-1 EXTENSION MAINLINE	95	80042	AGT	15000						
D	"SOUTHERN CONNECTICUT GAS COMPANY, THE"	4945259	N	AFT1X39	510322-R2	11/1/2015	3/31/2022		N	6598		L62
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	6598						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	6598						
D	"SOUTHERN CONNECTICUT GAS COMPANY, THE"	4945259	N	AFT-1	510732-R1	12/1/2013	11/30/2014	365	N	4165		
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	4165						
P	M2	"MAHWAH (BERGEN,NJ)"	95	201	AGT	4165						
D	"SOUTHERN CONNECTICUT GAS COMPANY, THE"	4945259	N	AFT1AIM	510797-R2	1/7/2017	1/6/2032		Y	32000		
A	"EMERA ENERGY SERVICES, INC."	N										
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	24000						
P	MQ	"GUILFORD (NEW HAVEN,CT)"	95	30	AGT	8000						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	32000						
D	"SOUTHERN CONNECTICUT GAS COMPANY, THE"	4945259	N	AFT-E	93012EC-R4	11/1/2015	3/31/2022		N	45593		L12/O17
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	36511						
P	MQ	"GUILFORD (NEW HAVEN,CT)"	95	30	AGT	11551						
P	MQ	"DEFCO (NEW HAVEN,CT)"	95	77	AGT	1696						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	14771						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	30822						
D	"SOUTHERN CONNECTICUT GAS COMPANY, THE"	4945259	N	AFT-1	934005-R5	11/1/2015	3/31/2022		N	16853		L5
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	16853						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	8426						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	8427						
D	"SOUTHERN CONNECTICUT GAS COMPANY, THE"	4945259	N	AFT-1	93408C-R5	11/1/2015	3/31/2021		N	10896		L26
P	MQ	NORTH HAVEN (NEW HAVEN)	95	3	AGT	10379						
P	MQ	"GUILFORD (NEW HAVEN,CT)"	95	30	AGT	517						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	9439						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	1457						
D	"SPOTLIGHT ENERGY, LLC"	79978564	N	AFT-1	511020-R1	11/17/2017	10/31/2018		N	20000		
P	MQ	"SALEM ESSEX CO., MA NORTH (ESSEX,MA"	95	1215	AGT	20000						
P	M2	INTERCONNECTION BETWEEN NORTHEAST G	95	88202	AGT	20000						
D	SPRAGUE OPERATING RESOURCES LLC	131362733	N	AFT-1	510274-R8	12/1/2017	10/31/2021		N	15000		L37
P	MQ	"NATIONAL GRID-PONKAPOAG (NORFOLK,MA"	95	52	AGT	15000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	15000						
D	TAUNTON MUNICIPAL LIGHTING PLANT	24954	N	AFT-CLC	66667-R2	7/1/2012	5/31/2022		Y	27000		YA1/L3
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"TMPL (BRISTOL,MA)"	95	812	AGT	27000						
P	M2	INTERCONNECT AGT G-10 LAT & CLEARY	95	80003	AGT	27000						
D	TENASKA MARKETING VENTURES	624240628	N	AFT-1	510998-R1	7/1/2017	6/30/2022		N	36887		
P	M2	MENDON	95	205	AGT	36887						
P	MQ	LATERAL W SYSTEM MAINLINE	95	80063	AGT	36887						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	Y	AFT1AIM	510798-R2	1/7/2017	1/6/2032		Y	75000		
P	MQ	"NATIONAL GRID- NORWOOD (NORFOLK,MA)"	95	21	AGT	2500						
P	MQ	"NATIONAL GRID- EVERETT (MIDDLESEX,M"	95	27	AGT	10000						
P	MQ	"NATIONAL GRID-PONKAPOAG (NORFOLK,MA"	95	52	AGT	20000						
P	MQ	"NATIONAL GRID-WESTON (MIDDLESEX,MA)"	95	57	AGT	2500						
P	MQ	"NATIONAL GRID-WELLESLEY (NORFOLK,MA"	95	74	AGT	5000						
P	MQ	"NATIONAL GRID-POLAROID (MIDDLESEX,M"	95	80	AGT	5000						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	75000						
P	MQ	WEST ROXBURY LATERAL (MAINLINE)	95	80105	AGT	30000						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	Y	AFT-CLW	510807-R1	12/5/2016	12/4/2031		Y	100000		
P	MQ	NATIONAL GRID - WEST ROXBURY	95	838	AGT	100000						
P	M2	WEST ROXBURY LATERAL	95	80104	AGT	100000						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	Y	AFT-1	9221-R1	6/1/1993	10/31/2012	365	N	19970		
P	MQ	"NATIONAL GRID- NORWOOD (NORFOLK,MA)"	95	21	AGT	3994						
P	MQ	NATIONAL GRID- EAST BRAINTREE (NORF	95	23	AGT	9985						
P	MQ	"NATIONAL GRID-WELLESLEY (NORFOLK,MA"	95	74	AGT	5991						
P	M2	MENDON	95	205	AGT	19970						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	Y	AFT-1	93002CR-R4	3/1/2014	10/31/2016	365	N	44699		L26/O34
P	MQ	"NATIONAL GRID- NORWOOD (NORFOLK,MA)"	95	21	AGT	1488						
P	MQ	NATIONAL GRID- EAST BRAINTREE (NORF	95	23	AGT	8605						
P	MQ	"NATIONAL GRID- EVERETT (MIDDLESEX,M"	95	27	AGT	16552						
P	MQ	"NATIONAL GRID-WALTHAM (MIDDLESEX,MA"	95	32	AGT	6733						
P	MQ	"NATIONAL GRID-PONKAPOAG (NORFOLK,MA"	95	52	AGT	15116						
P	MQ	"NATIONAL GRID-WESTON (MIDDLESEX,MA)"	95	57	AGT	917						
P	MQ	"NATIONAL GRID-WELLESLEY (NORFOLK,MA"	95	74	AGT	11384						
P	MQ	"NATIONAL GRID-POTTER ST. (NORFOLK,M"	95	81	AGT	6664						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	24116						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	20583						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	Y	AFT-E	93002EA-R4	3/1/2014	10/31/2016	365	N	95594		L26/O27
P	MQ	"NATIONAL GRID- NORWOOD (NORFOLK,MA)"	95	21	AGT	2925						
P	MQ	NATIONAL GRID- EAST BRAINTREE (NORF	95	23	AGT	13153						
P	MQ	"NATIONAL GRID- EVERETT (MIDDLESEX,M"	95	27	AGT	35824						
P	MQ	"NATIONAL GRID-WALTHAM (MIDDLESEX,MA"	95	32	AGT	15168						
P	MQ	"NATIONAL GRID-PONKAPOAG (NORFOLK,MA"	95	52	AGT	37368						
P	MQ	"NATIONAL GRID-WESTON (MIDDLESEX,MA)"	95	57	AGT	1825						
P	MQ	"NATIONAL GRID-WELLESLEY (NORFOLK,MA"	95	74	AGT	22953						
P	MQ	"NATIONAL GRID-POTTER ST. (NORFOLK,M"	95	81	AGT	9779						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	53951						
