H	"ENABLE GAS TRANSMISSION, LLC"	C000544	4/2/2018	O	4/1/2018	T	T	P. Shupe        (346)701-2124				
D	CITY UTILITIES OF SPRINGFIELD MISSOURI	6852255	N	FT	1003736	11/15/2003	10/31/2018		N	45000	0	
A	THE ENERGY AUTHORITY	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	15000	0					
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	30000	0					
P	MQ	SOUTHERN STAR @ JANE	95	801539	NORTH POOLING AREA	45000	0					
D	CLEAN HARBORS EL DORADO LLC A SUBSIDIARY OF CLEAN HARBORS INC	157793639	N	FT	1008471	1/1/2011	3/31/2012	365	N	1000	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1000	0					
P	MQ	CLEAN HARBORS EL D ACCT	95	14690	SOUTH POOLING AREA	1000	0	YI3/YK3				
D	CLEARWATER ENTERPRISES LLC	95421959	N	FT	1007975	7/1/2010	6/30/2017	365	N	349	0	
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	349	0					
P	MQ	CHICKASAW HOSP ACCT	95	14801	WEST POOLING AREA 2	300	0	YI3/YK3				
P	MQ	CHICK NAT CNG ACCT	95	18349	WEST POOLING AREA 2	49	0	YI3/YK3				
D	CLEARWATER PAPER CORPORATION	782437318	N	FT	1008680	4/1/2011	10/31/2018		N	9000	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	9000	0	YM2				
P	M2	EGG MCCLURE IC	95	301104	WEST POOLING AREA 1	4500	0					
P	M2	ENBRIDGE IC 8 INCH	95	301999	WEST POOLING AREA 1	4500	0					
P	MQ	CLEARWATER PAPER CYPRES	95	801549	NORTH POOLING AREA	9000	0					
D	CMC STEEL FABRICATORS INC DBA CMC STEEL ARKANSAS	147125611	N	FT	1001157	11/1/1993	6/30/2018		N	600	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	600	0					
P	MQ	CMC STEEL ACCT	95	11432	SOUTH POOLING AREA	600	0	YI3/YK3				
D	"CNE GAS SUPPLY, LLC"	829868921	N	FT	1009910	12/1/2013	11/30/2017	365	N	3452	0	
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	3452	0					
P	MQ	REPUBLIC PAPERBRD ACCT	95	12865	WEST POOLING AREA 2	3452	0	YI3/YK3				
D	"CNE GAS SUPPLY, LLC"	829868921	N	FT	1011119	7/1/2017	6/30/2018		N	1200	0	
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1200	0					
P	MQ	GP ACCT @ GURDON AR TB	95	12386	SOUTH POOLING AREA	1200	0	YI3/YK3				
D	COLEMAN HEAT TREATING INC	67676734	N	FT	1001155	11/1/1993	3/31/2012	365	N	234	0	
A	CLEARWATER ENTERPRISES LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	234	0					
P	MQ	COLEMAN HEAT TREAT ACCT	95	11437	NORTH POOLING AREA	234	0	YI3/YK3				
D	COLSON CASTER CORPORATION	7025125	N	FT	1009170	2/1/2012	1/31/2019		N	72	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	72	0					
P	MQ	COLSON CASTER CORT ACCT	95	15208	NORTH POOLING AREA	72	0	YI3/YK3				
D	COLUMBIA FOREST PRODUCTS INC	130402456	N	FT	1008489	1/1/2011	3/31/2012	365	N	103	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	103	0					
P	MQ	COLUMBIA FOREST PRO ACC	95	14571	NORTH POOLING AREA	103	0	YI3/YK3				
D	COMANCHE COUNTY MEMORIAL HOSPITAL	74294075	N	FT	1001146	11/1/1993	10/31/2002	365	N	200	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	200	0					
P	MQ	COMANCHE CTY MEMOR-ACCT	95	11375	WEST POOLING AREA 2	200	0	YI3/YK3				
D	CONAGRA FOODS PACKAGED FOODS LLC	799151340	N	FT	1000402	8/1/1988	3/31/2016	365	N	1087	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	1087	0					
P	MQ	CONAGRA FOOD RUSV2 ACCT	95	14358	NORTH POOLING AREA	1087	0	YI3/YK3				
D	CONIFEX EL DORADO INC	243670812	N	FT	1011013	9/20/2017	8/31/2027		N	2070	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	2070	0					
P	MQ	CONIFEX EL DORADO	95	67800	SOUTH POOLING AREA	2070	0					
D	CONTAINER LIFE CYCLE MANAGEMENT LLC	41548247	N	FT	1008811	5/1/2011	9/30/2014	365	N	254	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	254	0					
P	MQ	DRUMCO OF ARK ACCT	95	14353	SOUTH POOLING AREA	254	0	YI3/YK3				
D	"CONTINENTAL RESOURCES, INC."	74292095	N	FT	1009997	4/1/2014	12/31/2025		N	230000	0	
A	ENABLE GATHERING & PROCESSING LLC	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	190000	0	YM2				
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	40000	0	YM2				
P	M2	EGG MCCLURE IC	95	301104	WEST POOLING AREA 1	40000	0					
P	M2	BRADLEY PLANT IC	95	808775	WEST POOLING AREA 2	190000	0					
P	MQ	NGPL @ HOT SPRINGS DEL	95	801662	SOUTH POOLING AREA	40000	0					
P	MQ	MRT PV CORE DEL	95	802337	SOUTH POOLING AREA	30000	0					
P	MQ	CGT PV CORE DEL	95	805092	SOUTH POOLING AREA	100000	0					
P	MQ	SESH FM-65 CORE DEL	95	898401	SOUTH POOLING AREA	60000	0					
D	"CONTINENTAL RESOURCES, INC."	74292095	N	FT	1010500	1/1/2016	10/31/2027		N	146500	0	
A	ENABLE GATHERING & PROCESSING LLC	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	51500	0	YM2				
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	95000	0	YM2				
P	M2	EGG MCCLURE IC	95	301104	WEST POOLING AREA 1	95000	0					
P	M2	BRADLEY PLANT IC	95	808775	WEST POOLING AREA 2	51500	0					
P	MQ	SESH FM-65 CORE DEL	95	898401	SOUTH POOLING AREA	146500	0					
D	"CONTINENTAL RESOURCES, INC."	74292095	N	FT	1011192	1/1/2018	12/31/2020		Y	100000	0	
A	ENABLE GATHERING & PROCESSING LLC	Y										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	100000	0	YM2				
P	M2	EOIT CALUMET PLANT REC	95	220058	WEST POOLING AREA 1	100000	0					
P	MQ	NNG @ RED MOON DEL	95	802715	WEST POOLING AREA 1	100000	0					
D	CONWAY HUMAN DEVELOPMENT CENTER	75658401	N	FT	1004279	4/1/2005	3/31/2006	365	N	340	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	340	0					
P	MQ	CONWAY HUMAN DEV-ACCT	95	11304	NORTH POOLING AREA	340	0	YI3/YK3				
D	CONWAY PUBLIC SCHOOL DISTRICT	174897827	N	FT	1010742	2/1/2016	1/31/2019		N	50	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	50	0					
P	MQ	CONWAY HS ACCT	95	16025	NORTH POOLING AREA	50	0	YI3/YK3				
D	CONWAY REGIONAL MEDICAL CENTER	75665695	N	FT	1008503	1/1/2011	3/31/2012	365	N	190	0	
A	"BERNHARD TME, LLC"	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	190	0					
P	MQ	CONWAY REGIONL MED-ACCT	95	12998	NORTH POOLING AREA	190	0	YI3/YK3				
D	COOPER TIRE AND RUBBER COMPANY	5037601	N	FT	1000181	1/1/1987	2/29/2016	365	N	1800	0	
A	"FELLON-MCCORD & ASSOCIATES, INC."	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1800	0					
P	MQ	COOPER TIRE RUBBER ACCT	95	13782	SOUTH POOLING AREA	1800	0	YI3/YK3				
D	COORSTEK INC	7057334	N	FT	1007065	5/1/2009	3/31/2018	365	N	160	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	160	0					
P	MQ	COORS TEK INC ACCT	95	14301	NORTH POOLING AREA	160	0	YI3/YK3				
D	CORECIVIC OF TENNESSEE LLC	355022	N	FT	1011031	3/1/2017	3/31/2018	365	N	50	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	50	0					
P	MQ	CORECIVIC DIAMONDBACK A	95	14469	WEST POOLING AREA 1	50	0	YI3/YK3				
D	CRAIGHEAD COUNTY	92112457	N	FT	1009450	7/1/2012	3/31/2016	365	N	68	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	68	0					
P	MQ	CRAIGHEAD COUNTY ACCT	95	15367	NORTH POOLING AREA	68	0	YI3/YK3				
D	CRANE COMPOSITES INC	1280726	N	FT	1006273	5/1/2008	3/31/2014	365	N	160	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	160	0					
P	MQ	CRANE COMPOSITES ACCT	95	13796	NORTH POOLING AREA	160	0	YI3/YK3				
D	CYBER INNOVATION CENTER	807772236	N	FT	1009453	7/1/2012	3/31/2016	365	N	72	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	72	0					
P	MQ	CYBER INNOV CTR ACCT	95	15369	SOUTH POOLING AREA	72	0	YI3/YK3				
D	DAIRY FARMERS OF AMERICA INC DBA KELLERS CREAMERY LP	77101798	N	FT	1003636	1/1/2004	12/31/2012	365	N	1000	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1000	0	YM2				
P	M2	CGT PV CORE REC	95	12057	SOUTH POOLING AREA	1000	0					
P	MQ	CROSSTEX/DFA WINSBORO	95	7562	SOUTH POOLING AREA	1000	0					
D	DANFOSS SCROLL TECHNOLOGIES LLC	129746280	N	FT	1008535	1/1/2011	3/31/2015	365	N	200	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	200	0					
P	MQ	DANFOSS SCROLL TECH ACC	95	14623	SOUTH POOLING AREA	200	0	YI3/YK3				
D	DARLING STORE FIXTURES	152845061	N	FT	1001136	11/1/1993	12/31/1994	31	N	557	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	557	0					
P	MQ	DARLING STORE FIX-ACCT	95	11332	NORTH POOLING AREA	557	0	YI3/YK3				
D	DASSAULT FALCON JET CORP	61337663	N	FT	1004051	9/1/2004	3/31/2019		N	872	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	872	0					
P	MQ	DASSAULT FALCON JET-ACC	95	13171	NORTH POOLING AREA	600	0	YI3/YK3				
P	MQ	DASSAULT FALC JET#2-ACC	95	13285	NORTH POOLING AREA	272	0	YI3/YK3				
D	DAVIS NURSING ASSOCIATION	134631352	N	FT	1010687	11/1/2015	3/31/2018	365	N	43	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	43	0					
P	MQ	DAVIS NURSING ACCT	95	18338	NORTH POOLING AREA	43	0	YI3/YK3				
D	"DAY & ZIMMERMAN LONE STAR, LLC"	7913486	N	FT	1007597	5/1/2010	4/30/2013	365	N	1000	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	1000	0	YM2				
P	M2	TGT PV CORE REC	95	12143	SOUTH POOLING AREA	1000	0					
P	MQ	LONE STAR ORDINANCE	95	801522	SOUTH POOLING AREA	1000	0					
D	DE WAFELBAKKERS LLC	783722192	N	FT	1007018	4/1/2009	3/31/2012	365	N	271	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	271	0					
P	MQ	DE WAFELBAKKERS LLC ACC	95	14281	NORTH POOLING AREA	271	0	YI3/YK3				
D	DEFIANCE METAL PRODUCTS OF ARKANSAS INC	36474625	N	FT	1009110	1/1/2012	3/31/2019		N	89	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	89	0					
P	MQ	DEFIANCE METAL PROD ACC	95	15202	NORTH POOLING AREA	89	0	YI3/YK3				
D	"DEL-TIN FIBER, L.L.C."	947082160	N	FT	1001907	1/1/1997	12/31/2012	365	N	300	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	300	0					
P	MQ	DEL TIN FIBER_ACCT	95	12909	SOUTH POOLING AREA	300	0	YI3/YK3				
D	DELTA CONSOLIDATED INDUSTRIES INC	24744476	N	FT	1001140	11/1/1993	1/31/2007	365	N	650	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	650	0					
P	MQ	DELTA INC OF ARK-ACCT	95	11352	NORTH POOLING AREA	650	0	YI3/YK3				
D	DELTA MEMORIAL HOSPITAL	75667279	N	FT	1008900	7/1/2011	3/31/2019		N	81	0	
A	CLEARWATER ENTERPRISES LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	81	0					
P	MQ	DELTA MEMORIAL HOSP ACC	95	15092	NORTH POOLING AREA	81	0	YI3/YK3				
D	DEMOCRAT PRINTING AND LITHOGRAPHING CO	6339964	N	FT	1009606	11/1/2012	3/31/2016	365	N	35	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	35	0					
P	MQ	DEMOCRAT PRINTING ACCT	95	15470	NORTH POOLING AREA	35	0	YI3/YK3				
D	DHHS/FDA/JEFFERSON LAB/NCTR	927645523	N	FT	1004295	4/1/2005	12/31/2010	365	N	850	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	850	0	YM2				
P	M2	TGT@HELENA RECEIPT	95	170080	NORTH POOLING AREA	250	0					
P	MQ	NCTR(JEFFERSON LAB)ACCT	95	11865	NORTH POOLING AREA	850	0	YI3/YK3				
D	"DILLARD'S, INC."	4867198	N	FT	1011000	1/1/2017	12/31/2018		N	16	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	16	0					
P	MQ	DILLARD'S MAUM ACCT	95	18357	NORTH POOLING AREA	16	0	YI3/YK3				
D	DISCOUNT CLEANERS INC	842421182	N	FT	1008130	8/1/2010	3/31/2012	365	N	28	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	28	0					
P	MQ	DISCOUNT CLEANERS ACCT	95	14834	WEST POOLING AREA 2	28	0	YI3/YK3				
D	DIXON CATTLE LLC	601178572	N	FT	1010333	4/1/2015	3/31/2016	365	N	60	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	60	0					
P	MQ	DIXON CATTLE LLC ACCT	95	15739	NORTH POOLING AREA	60	0	YI3/YK3				
D	DOMTAR CORPORATION DBA DOMTAR A.W. LLC	114415925	N	FT	1007552	1/1/2010	8/31/2015	365	N	18000	0	
A	CONOCOPHILLIPS COMPANY	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	18000	0					
P	MQ	DOMTAR ASHDOWN	95	801564	SOUTH POOLING AREA	18000	0					
D	DR REDDYS LABORATORIES LOUISIANA LLC	830397282	N	FT	1007284	8/1/2009	3/31/2012	365	N	364	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	364	0	YM2				
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	364	0					
P	MQ	DR REDDYS LAB LA LLC AC	95	14474	SOUTH POOLING AREA	364	0	YI3/YK3				
D	DUNCAN REGIONAL HOSPITAL	82470576	N	FT	1007019	4/1/2009	3/31/2012	365	N	236	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	236	0					
P	MQ	DUNCAN REG HOSP ACCT	95	14271	WEST POOLING AREA 2	236	0	YI3/YK3				
D	DUOLINE TECHNOLOGIES LLC	121765606	N	FT	1008718	4/1/2011	3/31/2019		N	86	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	86	0					
P	MQ	DUOLINE TECH ACCT	95	15017	SOUTH POOLING AREA	86	0	YI3/YK3				
D	E C ROWLETT CONSTRUCTION COMPANY	35506823	N	FT	1001766	5/1/1996	4/30/2018		N	180	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	180	0					
P	MQ	EC ROWLETT CONST#1-ACCT	95	11429	NORTH POOLING AREA	180	0	YI3/YK3				
D	EAST CENTRAL UNIVERSITY	71226278	N	FT	1008715	4/1/2011	3/31/2019		N	350	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
A	OKLAHOMA ENERGY SERVICES INC	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	350	0					
P	MQ	EAST CENTRAL UNIV ACCT	95	11357	WEST POOLING AREA 2	350	0	YI3/YK3				
D	EASTMAN KODAK COMPANY	2206183	N	FT	1010377	12/1/2014	3/31/2017	365	N	410	0	
A	CLEARWATER ENTERPRISES LLC	N										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	410	0					
P	MQ	EASTMAN KODAK CO ACCT	95	14517	WEST POOLING AREA 1	410	0	YI3/YK3				
D	EATON CORPORATION	829102099	N	FT	1009407	6/1/2012	3/31/2016	365	N	45	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	45	0					
P	MQ	EATON CORPORATION ACCT	95	15276	NORTH POOLING AREA	45	0	YI3/YK3				
D	EL DORADO PAPER BAG MANUFACTURING CO INC	8056921	N	FT	1010305	4/1/2015	3/31/2016	365	N	90	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	90	0					
P	MQ	EL DORADO PAPER BAG ACC	95	15127	SOUTH POOLING AREA	90	0	YI3/YK3				
D	ELECTRIC MILLS WOOD PRESERVING LLC	173211843	N	FT	1007671	4/1/2010	3/31/2012	365	N	218	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	218	0					
P	MQ	ELEC MILLS WD PRES ACCT	95	14649	SOUTH POOLING AREA	218	0	YI3/YK3				
D	"ENABLE MISSISSIPPI RIVER TRANSMISSION, LLC"	6968077	Y	FT	1005125	6/1/2006	5/31/2021		N	50000	0	
P	M2	LINE CP POINTS AND POOLS			LINE CP POINTS AND P	3059	0	YM2				
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	46941	0	YM2				
P	M2	EASTRANS DCP CARTHGE_CP	95	220015	LINE CP POINTS AND P	3059	0					
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	46941	0					
P	MQ	"MRT @ DIXIE, LA DEL"	95	801516	SOUTH POOLING AREA	50000	0					
D	ENTERGY ARKANSAS INC	6903298	N	FT	1009621	12/1/2012	5/31/2022		Y	50000	0	
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	50000	0					
P	MQ	ENTERGY HOT SPRING	95	806125	SOUTH POOLING AREA	50000	0					
D	ENTERGY ARKANSAS INC	6903298	N	FT	1009622	12/1/2012	10/31/2022		Y	0	0	
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	0	0					
P	MQ	ENTERGY HOT SPRING	95	806125	SOUTH POOLING AREA	0	0					
D	EPISCOPAL COLLEGIATE SCHOOL	828285242	N	FT	1008202	9/1/2010	3/31/2012	365	N	148	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	148	0					
P	MQ	EPISCOPAL COLLEGIAT ACC	95	14803	NORTH POOLING AREA	148	0	YI3/YK3				
D	ERGON ASPHALT & EMULSIONS INC AN ERGON INC COMPANY	122695240	N	FT	1008727	4/1/2011	3/31/2019		N	70	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	70	0					
P	MQ	ERGON ASPHALT ACCT	95	11528	WEST POOLING AREA 2	70	0	YI3/YK3				
D	ERGON ASPHALT & EMULSIONS INC AN ERGON INC COMPANY	122695240	N	FT	1009332	5/1/2012	3/31/2019		N	30	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	30	0					
P	MQ	ERGON ASPLT&EMULSI ACCT	95	15253	NORTH POOLING AREA	30	0	YI3/YK3				
D	EVERGREEN PACKAGING INC	791143972	N	FT	1005543	4/1/2007	3/31/2014	365	N	8000	0	
A	SUMMIT ENERGY SERVICES INC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	8000	0					
P	MQ	EVERGREEN-PKG PINE BLUF	95	801543	NORTH POOLING AREA	8000	0					
D	EVONIK CORPORATION	78805307	N	FT	1009794	8/1/2013	7/31/2016	365	N	275	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	275	0	YM2				
P	M2	MIDGE CPF #1	95	170645	NORTH POOLING AREA	275	0					
P	MQ	BLACK HILLS AR @ BLYTHE	95	801668	NORTH POOLING AREA	275	0					
D	"EVRAZ STRATCOR, INC."	151179157	N	FT	1000501	1/1/1989	1/31/2019		N	333	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	333	0	YM2				
P	M2	CEFS-LETONA CDP	95	14680	NORTH POOLING AREA	333	0					
P	MQ	STRATCOR PLANT	95	801536	NORTH POOLING AREA	333	0					
D	EXXON MOBIL CORPORATION	1213214	N	FT	1009903	9/1/2013	3/31/2015	365	N	223	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	223	0	YM2				
P	M2	PTP RECEIPT	95	808738	SOUTH POOLING AREA	198	0					
P	MQ	EXXON TALCO 345-73 ACCT	95	15573	SOUTH POOLING AREA	19	0	YI3/YK3				
P	MQ	EXXON TALCO 365-73 ACCT	95	15574	SOUTH POOLING AREA	27	0	YI3/YK3				
P	MQ	EXXON TALCO 373-73 ACCT	95	15575	SOUTH POOLING AREA	18	0	YI3/YK3				
P	MQ	EXXON TALCO 379-73 ACCT	95	15576	SOUTH POOLING AREA	18	0	YI3/YK3				
P	MQ	EXXON TALCO 380-73 ACCT	95	15577	SOUTH POOLING AREA	21	0	YI3/YK3				
P	MQ	EXXON TALCO 385-73 ACCT	95	15578	SOUTH POOLING AREA	17	0	YI3/YK3				
P	MQ	EXXON TALCO 505-74 ACCT	95	15579	SOUTH POOLING AREA	23	0	YI3/YK3				
P	MQ	EXXON TALCO 507-74 ACCT	95	15580	SOUTH POOLING AREA	17	0	YI3/YK3				
P	MQ	EXXON TALCO 511-74 ACCT	95	15581	SOUTH POOLING AREA	27	0	YI3/YK3				
P	MQ	EXXON TALCO 513-74 ACCT	95	15582	SOUTH POOLING AREA	36	0	YI3/YK3				
D	F S PRESTRESS LLC	8154197	N	FT	1009527	9/1/2012	3/31/2016	365	N	77	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	77	0					
P	MQ	F S PRESTRESS ACCT	95	15435	SOUTH POOLING AREA	77	0	YI3/YK3				
D	FAIRMONT TOWERS LLC	962301425	N	FT	1008043	7/1/2010	3/31/2012	365	N	80	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	80	0					
P	MQ	FAIRMONT TOWERS LLC ACC	95	14808	SOUTH POOLING AREA	80	0	YI3/YK3				
D	FF HOTELS INC DBA WYNDHAM RIVERFRONT LITTLE ROCK	87468794	N	FT	1009068	12/1/2011	10/31/2018		N	37	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	37	0					
P	MQ	FF HOTELS WYNDHAM ACCT	95	15137	NORTH POOLING AREA	37	0	YI3/YK3				
D	FIBER GLASS SYSTEMS LP	48024558	N	FT	1001197	11/1/1993	10/31/2010	365	N	175	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	175	0					
P	MQ	FIBER GLASS SYST ACCT	95	11455	NORTH POOLING AREA	175	0	YI3/YK3				
D	FIBREBOND CORPORATION	72677537	N	FT	1010054	12/1/2013	11/30/2018		N	157	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	157	0					
P	MQ	FIBREBOND CORP ACCT	95	15703	SOUTH POOLING AREA	157	0	YI3/YK3				
D	FIRESTONE BUILDING PRODUCTS COMPANY LLC	112662812	N	FT	1001620	11/1/1995	7/31/2011	365	N	450	0	
A	SPIRE MARKETING INC.	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	450	0					
P	MQ	FIRESTONE@PRESCOTT-ACCT	95	12156	SOUTH POOLING AREA	450	0	YI3/YK3				
D	FLAKEBOARD AMERICA LIMITED	209680321	N	FT	1005169	7/29/2006	4/30/2007	365	N	3600	0	
A	U.S. ENERGY SERVICES INC	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	3600	0	YM2				
P	M2	TRANSOK @ RED OAK	95	2039	NEUTRAL POOLING AREA	3600	0					
