H	"COLORADO INTERSTATE GAS COMPANY, L.L.C."	C000981	4/2/2018	O	4/1/2018	T	T	Sherry Saunders 719-520-3711				
P	M2	WIC/CIG (DOV) DOVER METER STATION W	95	800212	CIG MAINLINE	5000	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33300000-TF1CIG	12/1/2002	4/14/2023		Y	4680	0	n1
P	MQ	CSU/CIG (NCS) NIXON/CLEAR SPRING EL	95	800488	CIG MAINLINE	4680	0					
P	M2	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	4680	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33326000-TF1CIG	10/1/2001	3/31/2021		N	11100	0	n1
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	11100	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	11100	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33327000-TF1CIG	10/1/2001	3/31/2021		N	11678	0	n1
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	11678	0					
P	M2	DEQ/CIG (KAN) KANDA SWEETWATER	95	800335	CIG MAINLINE	9000	0					
P	M2	VANGUARD/CIG (CGF) CAVE GULCH FEDER	95	891881	CIG MAINLINE	2678	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33328000-TF1CIG	10/1/2001	3/31/2021		N	24420	0	n1
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	24420	0					
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	24420	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33329000-TF1CIG	10/1/2001	3/31/2021		N	27121	0	n1
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	27121	0					
P	M2	LA LAND/CIG (MSN) MADISON FREMONT	95	891862	CIG MAINLINE	2573	0					
P	M2	MERIT/CIG (CLS) CARLSON PARK	95	891706	CIG MAINLINE	6900	0					
P	M2	NW P/L/CIG (GRN) GREEN RIVER NPC ST	95	800282	CIG MAINLINE	17121	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	527	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33377000-TF1CIG	12/1/2003	3/31/2022		N	30000	0	n1
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	30000	0					
P	M2	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	12000	0					
P	M2	WIC/CIG (DOV) DOVER METER STATION W	95	800212	CIG MAINLINE	18000	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33409000-TF1CIG	10/1/2004	3/31/2021		N	20782	0	n1
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	20782	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	20782	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33463000-TF1CIG	11/1/2005	3/31/2021		N	0	0	n1
P	M2	CIG/CIG (CJC) CHEYENNE JUMPER WELD	95	800150	CIG MAINLINE	0	0					
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	0	0					
P	MQ	CSU/CIG (NCS) NIXON/CLEAR SPRING EL	95	800488	CIG MAINLINE	0	0					
D	COLORADO SPRINGS UTILITIES	127711760	N	TF-1	33464000-TF1CIG	11/1/2005	3/31/2021		N	0	0	n1
P	M2	CIG/CIG (CJC) CHEYENNE JUMPER WELD	95	800150	CIG MAINLINE	0	0					
P	MQ	CSU/CIG (COS) CITY OF COLORADO SPRI	95	800160	CIG MAINLINE	0	0					
D	CONCORD ENERGY LLC	113637503	N	TF-1	212493-TF1CIG	11/1/2016	10/31/2020		N	52150	0	n1
A	TIMBER CREEK OPERATING LLC	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	13000	0					
P	MQ	PEPL/CIG (LAP) LAKIN PEPL PROCESSED	95	800361	CIG MAINLINE	52150	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	4889	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	13680	0					
P	M2	WRH/CIG (FLT) FLAT TOP RECEIPT RIO	95	892268	CIG MAINLINE	20581	0					
D	CONCORD ENERGY LLC	113637503	N	TF-1	212586-TF1CIG	11/12/2016	10/31/2020		N	27115	0	n1
A	TIMBER CREEK OPERATING LLC	N										
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	3579	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	11930	0					
P	M2	NW P/L/CIG (GRN) GREEN RIVER NPC ST	95	800282	CIG MAINLINE	11606	0					
P	MQ	PEPL/CIG (LAP) LAKIN PEPL PROCESSED	95	800361	CIG MAINLINE	27115	0					
D	CONCORD ENERGY LLC	113637503	N	TF-1	213879-TF1CIG	4/1/2018	3/31/2020		N	16850	0	n1
A	TIMBER CREEK OPERATING LLC	N										
P	MQ	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	9821	0					
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	2809	0					
P	MQ	PEPL/CIG (LAP) LAKIN PEPL PROCESSED	95	800361	CIG MAINLINE	4220	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	6030	0					
P	M2	WRH/CIG (FLT) FLAT TOP RECEIPT RIO	95	892268	CIG MAINLINE	10820	0					
D	CONCORD ENERGY LLC	113637503	N	TF-1	214092-TF1CIG	3/1/2018	6/30/2018		N	20000	0	o2/n1
A	TIMBER CREEK OPERATING LLC	N										
P	MQ	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	20000	0					
P	M2	XTO ENER/CIG (PGT) PURGATOIRE LAS A	95	800556	CIG MAINLINE	20000	0					
D	CONCORD ENERGY LLC	113637503	N	TF-1	214093-TF1CIG	3/1/2018	5/31/2022		N	15000	0	o3/n1
A	TIMBER CREEK OPERATING LLC	N										
P	MQ	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	15000	0					
P	M2	XTO ENER/CIG (PGT) PURGATOIRE LAS A	95	800556	CIG MAINLINE	15000	0					
D	CONOCOPHILLIPS COMPANY	1368265	N	TF-1	211898-TF1CIG	7/1/2016	6/30/2019		N	350	0	n1
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	350	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	350	0					
D	"DCP MIDSTREAM MARKETING, LLC"	874926801	N	TF-1	213160-TF1CIG	11/1/2017	10/31/2020		N	68796	0	n1
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	9174	0					
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	8240	0					
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	41846	0					
P	M2	KOCH EXP/CIG (WRM) WHITE RIVER METE	95	800794	CIG MAINLINE	5878	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	28650	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	24450	0					
P	MQ	PEPL/CIG (LAP) LAKIN PEPL PROCESSED	95	800361	CIG MAINLINE	2500	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	16854	0					
D	"DCP MIDSTREAM MARKETING, LLC"	874926801	N	TF-1	214222-TF1CIG	4/1/2018	4/30/2018		N	25000	0	n1
P	MQ	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	25000	0					
P	M2	WIC/CIG (DOV) DOVER METER STATION W	95	800212	CIG MAINLINE	25000	0					
D	"DCP OPERATING COMPANY, LP"	3048753	N	TF-1	213293-TF1CIG	8/1/2017	4/30/2018		N	20000	0	n1
P	M2	DCP OPER/CIG (EPR) ENTERPRISE NORTH	95	891786	CIG MAINLINE	20000	0					
P	MQ	WGRASSET/CIG (BEI) BOX ELDER INLET	95	291789	CIG MAINLINE	20000	0					
D	"DEVLAR ENERGY MARKETING, L.L.C."	196394956	N	TF-1	214181-TF1CIG	4/1/2018	10/31/2018		N	3000	0	n1
P	MQ	PEPL/CIG (BKP) BAKER PEPL TEXAS	95	800094	CIG MAINLINE	3000	0					
P	M2	TABRASA/CIG (SMT) SILVER MOUNTAIN H	95	800687	CIG MAINLINE	3000	0					
D	DYNO NOBEL INC.	9091257	N	TF-1	33700000-TF1CIG	1/1/2013	12/31/2018		N	10000	0	n1
A	BP ENERGY COMPANY	N										
A	"MERCATOR ENERGY, LLC"	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	2850	0					
P	MQ	DYNO/CIG (DNP) DYNO NOBEL PLANT WEL	95	892174	CIG MAINLINE	5000	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	2500	0					
P	MQ	PEPL/CIG (LAP) LAKIN PEPL PROCESSED	95	800361	CIG MAINLINE	2500	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	1450	0					
P	M2	WRH/CIG (FLT) FLAT TOP RECEIPT RIO	95	892268	CIG MAINLINE	5700	0					
D	DYNO NOBEL INC.	9091257	N	TF-1	211248-TF1CIG	11/1/2015	12/31/2018		N	10000	0	n1
A	BP ENERGY COMPANY	N										
A	"MERCATOR ENERGY, LLC"	N										
P	M2	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	10000	0					
P	MQ	NW P/L/CIG (GRN) GREEN RIVER NPC ST	95	800282	CIG MAINLINE	10000	0					
D	"EIF KC LANDFILL GAS, LLC"	825358158	N	TF-1	33706000-TF1CIG	4/1/2013	3/31/2019		N	3500	0	n1
A	BP ENERGY COMPANY	N										
P	MQ	CIG/RUBY (EMS) EMERALD SPRINGS LINC	95	800230	CIG MAINLINE	3500	0					
P	M2	WIC/CIG (DOV) DOVER METER STATION W	95	800212	CIG MAINLINE	3500	0					
D	HOLCIM (US) INC.	608963674	N	TF-1	33378000-TF1CIG	12/1/2003	3/31/2021		N	150	0	n1
P	MQ	HOLCIM/CIG (IDE) IDEAL CEMENT FREMO	95	891034	CIG MAINLINE	150	0					
P	M2	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	150	0					
D	MACQUARIE ENERGY LLC	798846036	N	TF-1	33612000-TF1CIG	6/1/2009	3/31/2020		N	5000	0	n1
P	M2	CIG/WIC (RTW) RAWLINS TO WIC CARBON	95	800666	CIG MAINLINE	5000	0					
P	MQ	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	5000	0					
D	MACQUARIE ENERGY LLC	798846036	N	TF-1	33612003-TF1CIG	4/1/2015	3/31/2020		N	5000	0	n1
P	M2	CIG/WIC (RTW) RAWLINS TO WIC CARBON	95	800666	CIG MAINLINE	5000	0					
P	MQ	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	5000	0					
D	"MIDWEST ENERGY, INC."	42379594	N	TF-1	33133000-TF1CIG	10/1/1996	10/31/2021		N	641	0	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	131	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	65	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	445	0					
P	MQ	MWE/CIG (LDH) LAKIN; DEERFIELD; HOL	95	800378	CIG MAINLINE	641	0					
D	"MIDWEST ENERGY, INC."	42379594	N	TF-1	33168001-TF1CIG	6/1/1998	10/31/2021		N	600	0	n1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	62	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	504	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	17	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	17	0					
P	MQ	MWE/CIG (LDH) LAKIN; DEERFIELD; HOL	95	800378	CIG MAINLINE	600	0					
D	"MIECO, INC."	118562412	N	TF-1	212358-TF1CIG	11/1/2016	10/31/2018		N	15000	0	n1
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	10000	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	5000	0					
P	M2	NW P/L/CIG (HMF) HAMS FORK LINCOLN	95	891885	CIG MAINLINE	8000	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	4000	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	2000	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	1000	0					
D	"MIECO, INC."	118562412	N	TF-1	212359-TF1CIG	11/1/2016	10/31/2018		N	15000	0	n1
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	9000	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	5000	0					
P	M2	NW P/L/CIG (GRN) GREEN RIVER NPC ST	95	800282	CIG MAINLINE	4000	0					
P	MQ	PEPL/CIG (LAP) LAKIN PEPL PROCESSED	95	800361	CIG MAINLINE	10000	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	2000	0					
D	"MIECO, INC."	118562412	N	TF-1	212445-TF1CIG	11/1/2016	10/31/2018		N	60000	0	n1
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	18000	0					
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	20000	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	20000	0					
P	M2	NW P/L/CIG (GRN) GREEN RIVER NPC ST	95	800282	CIG MAINLINE	7000	0					
P	M2	NW P/L/CIG (HMF) HAMS FORK LINCOLN	95	891885	CIG MAINLINE	16000	0					
P	MQ	PEPL/CIG (LAP) LAKIN PEPL PROCESSED	95	800361	CIG MAINLINE	20000	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	11000	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	6000	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	2000	0					
D	"NOBLE ENERGY, INC."	52877586	N	TF-1	33179000-TF1CIG	11/1/1997	4/30/2023		N	10000	0	n1
P	M2	DCP OPER/CIG (EPR) ENTERPRISE NORTH	95	891786	CIG MAINLINE	10000	0					
P	MQ	WGRASSET/CIG (BEI) BOX ELDER INLET	95	291789	CIG MAINLINE	10000	0					
D	"NOBLE ENERGY, INC."	52877586	N	TF-1	33420000-TF1CIG	8/1/2003	2/29/2024		N	5000	0	n1
P	MQ	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	5000	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	5000	0					
D	"ONEOK ENERGY SERVICES CO., L.P."	157641445	N	TF-1	33087009-TF1CIG	9/1/1999	10/31/2023		N	5800	0	n1
P	MQ	PEPL/CIG (LAP) LAKIN PEPL PROCESSED	95	800361	CIG MAINLINE	5800	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	5800	0					
D	"PIONEER NATURAL RESOURCES USA, INC."	154679435	N	TF-1	33615000-TF1CIG	12/1/2010	11/30/2020		N	100000	0	n1
P	MQ	DEOPL/RUBY (TPZ) TOPAZ RIDGE RECEIP	95	941002	CIG MAINLINE	75600	0					
P	M2	PNR USA/CIG (PKW) PICKETWIRE LAS AN	95	800564	CIG MAINLINE	35000	0					
P	M2	PNR USA/CIG (WET) WET CANYON LAS AN	95	800771	CIG MAINLINE	65000	0					
P	MQ	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	24400	0					
D	"PIONEER NATURAL RESOURCES USA, INC."	154679435	N	TF-1	213755-TF1CIG	4/1/2018	11/30/2020		N	50000	0	n1
P	MQ	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	5000	0					
P	MQ	CIG/CPG (RCD) RED CLOUD METER STATI	95	800614	CIG MAINLINE	10000	0					
P	MQ	DIAMOND/CIG (MRD) MCKEE REFINERY DE	95	892329	CIG MAINLINE	10000	0					
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	3954	0					
P	M2	LORGAS/CIG (LCT) LORENCITO LAS ANIM	95	800376	CIG MAINLINE	2250	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	10000	0					
P	MQ	NNG/CIG (DUM) DUMAS STATION MOORE	95	891129	CIG MAINLINE	5000	0					
P	MQ	PEPL/CIG (BKP) BAKER PEPL TEXAS	95	800094	CIG MAINLINE	6046	0					
P	M2	PNR USA/CIG (BRC) BURRO CANYON LAS	95	800107	CIG MAINLINE	15500	0					
P	M2	PNR USA/CIG (FRK) FREDERICK LAS ANI	95	800251	CIG MAINLINE	3000	0					
P	M2	PNR USA/CIG (PKW) PICKETWIRE LAS AN	95	800564	CIG MAINLINE	13250	0					
P	M2	PNR USA/CIG (WET) WET CANYON LAS AN	95	800771	CIG MAINLINE	16000	0					
D	"PIONEER NATURAL RESOURCES USA, INC."	154679435	N	TF-1	213758-TF1CIG	4/1/2018	11/30/2032		N	60000	0	n1
P	MQ	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	5000	0					
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	15000	0					
P	M2	LORGAS/CIG (LCT) LORENCITO LAS ANIM	95	800376	CIG MAINLINE	2700	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	25000	0					
P	MQ	NNG/CIG (DUM) DUMAS STATION MOORE	95	891129	CIG MAINLINE	5000	0					
P	MQ	PEPL/CIG (BKP) BAKER PEPL TEXAS	95	800094	CIG MAINLINE	10000	0					
P	M2	PNR USA/CIG (BRC) BURRO CANYON LAS	95	800107	CIG MAINLINE	18600	0					
P	M2	PNR USA/CIG (FRK) FREDERICK LAS ANI	95	800251	CIG MAINLINE	3600	0					
P	M2	PNR USA/CIG (PKW) PICKETWIRE LAS AN	95	800564	CIG MAINLINE	15900	0					
P	M2	PNR USA/CIG (WET) WET CANYON LAS AN	95	800771	CIG MAINLINE	19200	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33100000-TF1CIG	4/1/1996	4/30/2023		N	37000	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	M2	DEQ/CIG (KAN) KANDA SWEETWATER	95	800335	CIG MAINLINE	13400	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	8600	0					
P	MQ	PSCC/CIG (BCL) BEAVER CREEK LATERAL	95	892149	CIG MAINLINE	13400	0					
P	MQ	PSCC/CIG (PUE) PUEBLO STATIONS PUEB	95	800599	CIG MAINLINE	15000	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	5000	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	18600	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33319000-TF1CIG	10/1/2001	4/30/2023		N	136600	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	25000	0					
P	M2	DEQ/CIG (KAN) KANDA SWEETWATER	95	800335	CIG MAINLINE	6600	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	4000	0					
P	M2	NW P/L/CIG (GRN) GREEN RIVER NPC ST	95	800282	CIG MAINLINE	12908	0					
P	MQ	PSCC/CIG (EDE) EAST DENVER ADAMS	95	800220	CIG MAINLINE	114600	0					
P	MQ	PSCC/CIG (PUE) PUEBLO STATIONS PUEB	95	800599	CIG MAINLINE	22000	0					
P	M2	VANGUARD/CIG (CGF) CAVE GULCH FEDER	95	891881	CIG MAINLINE	4000	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	42000	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	9535	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	32557	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33333000-TF1CIG	10/1/2002	4/30/2023		N	10000	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	10000	0					
P	MQ	WIC/CIG (BTW) BAXTER TO WIC SWEETWA	95	800116	CIG MAINLINE	10000	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33341000-TF1CIG	12/1/2002	4/30/2023		N	86600	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	MQ	PSCC/CIG (BCL) BEAVER CREEK LATERAL	95	892149	CIG MAINLINE	86600	0					
P	M2	WIC/CIG (BOW) BOWIE WELD	95	800104	CIG MAINLINE	86600	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33342000-TF1CIG	12/1/2002	4/30/2023		N	75000	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	19800	0					
P	M2	NW P/L/CIG (GRN) GREEN RIVER NPC ST	95	800282	CIG MAINLINE	400	0					
P	MQ	PSCC/CIG (MPH) MIDWAY PSCO HIGH EL	95	800433	CIG MAINLINE	71025	0					
P	MQ	PSCC/CIG (PUE) PUEBLO STATIONS PUEB	95	800599	CIG MAINLINE	3975	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	24000	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	6500	0					
P	M2	WGROPER/CIG (BLF) BLUE FOREST SWEET	95	891645	CIG MAINLINE	24300	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33344000-TF1CIG	12/1/2002	4/30/2023		N	53000	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	MQ	PSCC/CIG (BLU) BLUE SPRUCE ADAMS	95	892088	CIG MAINLINE	53000	0					
P	M2	PSCC/CIG (FSC) FIRST CREEK ADAMS	95	800255	CIG MAINLINE	53000	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33429000-TF1CIG	1/1/2004	4/30/2023		N	5121	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	5121	0					
P	MQ	PSCC/CIG (SKL) SKYLINE WELD	95	891807	CIG MAINLINE	5121	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33501000-TF1CIG	10/1/2006	4/30/2023		N	45000	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	10300	0					
P	MQ	PSCC/CIG (EDE) EAST DENVER ADAMS	95	800220	CIG MAINLINE	35000	0					
P	MQ	PSCC/CIG (LTH) LITTLE HORSE RECEIPT	95	800394	CIG MAINLINE	10000	0					
P	M2	SPS/CIG (NIC) NICHOLS POTTER	95	800495	CIG MAINLINE	34700	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33610000-TF1CIG	11/21/2008	4/30/2023		N	25000	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	25000	0					
P	MQ	PSCC/CIG (RIF) RIFLE DELIVERY GARFI	95	892291	CIG MAINLINE	25000	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-1	33726000-TF1CIG	7/1/2013	4/30/2023		N	7340	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	M2	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	1109	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	836	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	519	0					
P	M2	PNR USA/CIG (BIC) BIG CANYON POTTER	95	800088	CIG MAINLINE	754	0					
P	M2	PNR USA/CIG (BRC) BURRO CANYON LAS	95	800107	CIG MAINLINE	1383	0					
P	M2	PNR USA/CIG (PKW) PICKETWIRE LAS AN	95	800564	CIG MAINLINE	1278	0					
P	MQ	PSCC/CIG (PUE) PUEBLO STATIONS PUEB	95	800599	CIG MAINLINE	7340	0					
P	M2	SPS/CIG (NIC) NICHOLS POTTER	95	800495	CIG MAINLINE	1461	0					
D	QUESTAR GAS COMPANY	7939069	N	TF-1	211257-TF1CIG	11/1/2015	10/31/2025		N	400	0	n1
P	MQ	QGC/CIG (WMT) WAMSUTTER TAP SWEETWA	95	891040	CIG MAINLINE	400	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	400	0					
D	RATON GAS TRANSMISSION CO	965769383	N	TF-1	33249000-TF1CIG	5/1/2000	4/30/2021		N	1484	0	n1
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	264	0					
P	M2	CIMRIVER/CIG (SIN) SINGING GRASS CH	95	800683	CIG MAINLINE	268	0					
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	9	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	291	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	278	0					
P	M2	LOST CRK/CIG (LCK) LOST CREEK CIG S	95	292036	CIG MAINLINE	43	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	77	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	113	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	116	0					
P	MQ	RATONGAS/CIG (RTN) RATON STATION LA	95	891100	CIG MAINLINE	1484	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	25	0					
