H	"Columbia Gas Transmission, LLC"	C000306          	4/2/2018	O	4/1/2018	T	T	Kay Dennison (832)320-5336	 			
P	MQ	COL GAS PA 04-29    	95	2.50E-28	TCO     	7892			 	 	 	 
P	MQ	COL GAS PA 08-26    	95	25-26	TCO     	12675			 	 	 	 
P	MQ	COL GAS PA 08-35    	95	25-35	TCO     	250063			 	 	 	 
P	MQ	COL GAS PA 08-36    	95	25-36	TCO     	12913			 	 	 	 
P	MQ	COL GAS PA 08-38    	95	25-38	TCO     	12615			 	 	 	 
P	MQ	COL GAS PA 08-39    	95	25-39	TCO     	32989			 	 	 	 
P	MQ	COL GAS PA 08-40    	95	25-40	TCO     	939			 	 	 	 
P	MQ	EAGLE-25            	95	C22	TCO     	6100			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	SST     	6796	4/1/2009	3/31/2024	 	Y	20000		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	20000			 	 	 	 
P	MQ	CGV OP 10-30        	95	46-30	TCO     	20000			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FSS     	6798	4/1/2009	3/31/2024	 	Y		2413200	 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	X-132   	35888	11/1/1990	3/31/2004	365	N	32110		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGV 01-33           	95	30CS-33	TCO     	32110			 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	32110			 	 	 	 
P	MQ	CGV 01-33           	95	30CS-33	TCO     	32110			 	 	 	 
P	MQ	RP Storage Point TCO	95	STOR	TCO     	32110			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FTS     	50473	11/1/1999	10/31/2022	 	N	34245		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	10000			 	 	 	 
P	M2	COBB AGG POINT-19   	95	A03	TCO     	4600			 	 	 	 
P	M2	MONCLOVA-1          	95	F4	TCO     	4645			 	 	 	 
P	M2	PEP LEBANON LAT-6 	95	A4	TCO     	15000			 	 	 	 
P	MQ	BOSWELLS TAVERN  (75-007219)    	95	833097	TCO     	0			 	 	 	 
P	MQ	CGV 01-33           	95	30CS-33	TCO     	10000			 	 	 	 
P	MQ	CGV 01-34           	95	30CS-34	TCO     	14245			 	 	 	 
P	MQ	CGV OP 10-30        	95	46-30	TCO     	8000			 	 	 	 
P	MQ	CGV OP 10-31        	95	46-31	TCO     	2000			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FTS     	77309	11/27/2003	10/31/2023	 	N	30395		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	4645			 	 	 	 
P	M2	MONCLOVA-1          	95	F4	TCO     	16604			 	 	 	 
P	M2	PAULDING-3          	95	F1	TCO     	9146			 	 	 	 
P	MQ	CGV OP 10-30        	95	46-30	TCO     	30395			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	SST     	79111	11/1/2004	3/31/2020	 	N	63744		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	63744			 	 	 	 
P	MQ	BOSWELLS TAVERN  (75-007219)    	95	833097	TCO     	3780			 	 	 	 
P	MQ	CGV 01-33           	95	30CS-33	TCO     	55504			 	 	 	 
P	MQ	CGV 01-34           	95	30CS-34	TCO     	54066			 	 	 	 
P	MQ	CGV OP 03-17        	95	26-17	TCO     	1671			 	 	 	 
P	MQ	CGV OP 10-30        	95	46-30	TCO     	47753			 	 	 	 
P	MQ	CGV OP 10-31        	95	46-31	TCO     	40617			 	 	 	 
P	MQ	Rock Tenn	95	842657	TCO     	38			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FSS     	79112	11/1/2004	3/31/2020	 	N		7300845	 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FTS     	79113	11/1/2004	10/31/2019	 	N	61252		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	AGG 02	95	A02	TCO     	6673			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	54579			 	 	 	 
P	MQ	CGV 01-33           	95	30CS-33	TCO     	61252			 	 	 	 
P	MQ	CGV 01-34           	95	30CS-34	TCO     	61252			 	 	 	 
P	MQ	CGV OP 03-17        	95	26-17	TCO     	9583			 	 	 	 
P	MQ	CGV OP 10-30        	95	46-30	TCO     	61252			 	 	 	 
P	MQ	CGV OP 10-31        	95	46-31	TCO     	61252			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FTS     	134646	11/1/2012	10/31/2027	 	N	0		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	BOSWELLS TAVERN  (75-007219)    	95	833097	TCO     	0			 	 	 	 
P	MQ	CGV 01-33           	95	30CS-33	TCO     	0			 	 	 	 
P	MQ	CGV 01-34           	95	30CS-34	TCO     	0			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	NTS     	134648	11/1/2012	10/31/2027	 	N	13500		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	13500			 	 	 	 
P	MQ	CGV 01-33           	95	30CS-33	TCO     	12500			 	 	 	 
P	MQ	CGV 01-34           	95	30CS-34	TCO     	1000			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FTS     	145152	9/1/2013	4/30/2026	 	N	15000		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	"EMPORIA, VA-34      "	95	E13	TCO     	15000			 	 	 	 
P	MQ	CGV 01-33           	95	30CS-33	TCO     	15000			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FTS     	147784	11/1/2013	10/31/2018	 	N	7800		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	7800			 	 	 	 
P	MQ	BOSWELLS TAVERN  (75-007219)    	95	833097	TCO     	0			 	 	 	 
P	MQ	CGV 01-34           	95	30CS-34	TCO     	7800			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FT-C    	155684	9/1/2014	8/31/2034	 	Y	6600		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	"EMPORIA, VA-34      "	95	E13	TCO     	6600			 	 	 	 
P	MQ	CGV 01-34           	95	30CS-34	TCO     	6600			 	 	 	 
D	"Columbia Gas of Virginia, Inc."	7940976	N       	FTS     	174554	4/1/2016	3/31/2020	 	N	755		 
A	"Columbia Gas of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	"EMPORIA, VA-34      "	95	E13	TCO     	755			 	 	 	 
P	MQ	ALLIED SIGNAL       	95	30AL	TCO     	755			 	 	 	 
D	"Constellation Energy Gas Choice, LLC"	185310609	N       	FSS     	134891	10/1/2012	3/31/2023	 	N		85500	 
A	"Vectren Energy Delivery of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Vega Energy Partners, Ltd."	N       		 	 	 	 	 	 	 	 	 
D	"Constellation Energy Gas Choice, LLC"	185310609	N       	SST     	134892	10/1/2012	3/31/2023	 	N	750		 
A	"Vectren Energy Delivery of Ohio, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Vega Energy Partners, Ltd."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	750			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	500			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	250			 	 	 	 
D	"Constellation Energy Services ?혀 Natural Gas, LLC"	832481902	N       	FTS     	155345	11/1/2014	10/31/2019	 	N	1808		 
A	"Constellation Energy Gas Choice, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Constellation NewEnergy - Gas Division LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1808			 	 	 	 
P	MQ	COL GAS OH OP 07-4  	95	23-4	TCO     	1808			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185306	2/1/2017	12/31/2099	 	N	496		 
P	M2	CHK - Boldman	95	CNR02	TCO     	496			 	 	 	 
P	MQ	COL GAS OH OP-03    	95	22	TCO     	496			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185307	2/1/2017	6/30/2024	 	Y	10000		 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK-Smokehouse	95	CHK24	TCO     	10000			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	635			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	174			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	2372			 	 	 	 
P	MQ	COL GAS OH OP 07-9  	95	23-9	TCO     	525			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	3000			 	 	 	 
P	MQ	DAYTON-6            	95	33-6	TCO     	813			 	 	 	 
P	MQ	"LANCASTER,CITY OF-9 "	95	45-9	TCO     	150			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	2181			 	 	 	 
P	MQ	PARAMOUNT                   	95	733088	TCO     	150			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185308	2/1/2017	3/31/2020	 	Y	1410		 
P	M2	CHK - Cobb	95	CNR18	TCO     	1410			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	1410			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185310	2/1/2017	4/3/2041	 	N	700		 
P	M2	CHK-Beaver Creek/Warco	95	CNR01	TCO     	700			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	700			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185311	2/1/2017	4/3/2041	 	N	7750		 
P	M2	CHK-Beaver Creek/Warco	95	CNR01	TCO     	7750			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	7750			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185312	2/1/2017	12/31/2099	 	N	5000		 
P	M2	CHK-Hubball/Horse Ck/Nye 	95	CNR06	TCO     	5000			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	5000			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185313	2/1/2017	12/31/2099	 	N	5000		 
P	M2	CHK - KERMIT/INEZ     	95	CNR04	TCO     	5000			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	5000			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185314	2/1/2017	12/31/2099	 	N	3850		 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - Boldman	95	CNR02	TCO     	3850			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	3850			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185315	2/1/2017	12/31/2099	 	N	4504		 
P	M2	CHK - KERMIT/INEZ     	95	CNR04	TCO     	504			 	 	 	 
P	M2	CHK -WALBRIDGE       	95	CNR07	TCO     	2500			 	 	 	 
P	M2	CHK-Hubball/Horse Ck/Nye 	95	CNR06	TCO     	1500			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	4504			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185316	2/1/2017	4/30/2019	 	N	5300		 
P	M2	CHK - KERMIT/INEZ     	95	CNR04	TCO     	1800			 	 	 	 
P	M2	CHK-Hubball/Horse Ck/Nye 	95	CNR06	TCO     	3500			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	5300			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185317	2/1/2017	4/30/2019	 	N	6180		 
P	M2	CHK - KERMIT/INEZ     	95	CNR04	TCO     	6180			 	 	 	 
P	MQ	KOT MLI	95	834696	TCO     	6180			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185318	2/1/2017	4/30/2021	 	N	4896		 
P	M2	CHK - KERMIT/INEZ     	95	CNR04	TCO     	4896			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	4896			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185319	2/1/2017	4/30/2019	 	N	1520		 
P	M2	CHK - KERMIT/INEZ     	95	CNR04	TCO     	605			 	 	 	 
P	M2	CHK -WALBRIDGE       	95	CNR07	TCO     	415			 	 	 	 
P	M2	ECA CK Wells Mtn.	95	838886	TCO     	500			 	 	 	 
P	MQ	KOT MLI	95	834696	TCO     	1520			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185320	2/1/2017	10/31/2021	 	N	2100		 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK -Thacker/Pounding Mill 	95	CNR12	TCO     	2100			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	2100			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185321	2/1/2017	10/31/2018	 	N	455		 
P	M2	CHK - Boldman	95	CNR02	TCO     	145			 	 	 	 
P	M2	CHK - Briar Mtn	95	CNR13	TCO     	160			 	 	 	 
P	M2	CHK - Huff Creek	95	CNR14	TCO     	150			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	455			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185322	2/1/2017	10/31/2019	 	N	857		 
P	M2	CHK - Boldman	95	CNR02	TCO     	800			 	 	 	 
P	M2	CHK -Thacker/Pounding Mill 	95	CNR12	TCO     	57			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	857			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185323	2/1/2017	10/31/2018	 	N	8050		 
P	M2	CHK - Boldman	95	CNR02	TCO     	1000			 	 	 	 
P	M2	CHK - Canada	95	CNR10	TCO     	3900			 	 	 	 
P	M2	CHK - Johns Creek	95	CNR08	TCO     	2100			 	 	 	 
P	M2	CHK - Stafford	95	CNR11	TCO     	1050			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	8050			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185324	2/1/2017	10/31/2018	 	N	1459		 
P	M2	CHK - Boldman	95	CNR02	TCO     	1459			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	1459			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185325	2/1/2017	10/31/2020	 	N	1988		 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - Boldman	95	CNR02	TCO     	1488			 	 	 	 
P	M2	CHK -Thacker/Pounding Mill 	95	CNR12	TCO     	500			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	1988			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185337	2/1/2017	7/31/2018	 	N	610		 
P	M2	CHK -BUFF LICK        	95	CNR05	TCO     	610			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	610			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185338	2/1/2017	4/30/2020	 	N	8045		 
P	M2	CHK-Hubball/Horse Ck/Nye 	95	CNR06	TCO     	8045			 	 	 	 
P	MQ	KOT MLI	95	834696	TCO     	8045			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185339	2/1/2017	4/30/2022	 	N	300		 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - KERMIT/INEZ     	95	CNR04	TCO     	300			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	300			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185340	2/1/2017	4/30/2020	 	N	10000		 
P	M2	CHK-Hubball/Horse Ck/Nye 	95	CNR06	TCO     	10000			 	 	 	 
P	MQ	COL GAS OH OP 07-6  	95	23-6	TCO     	10000			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185341	2/1/2017	4/30/2020	 	N	1590		 
P	M2	CHK-Hubball/Horse Ck/Nye 	95	CNR06	TCO     	1590			 	 	 	 
P	MQ	COL GAS OH OP 07-6  	95	23-6	TCO     	1590			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185342	2/1/2017	4/30/2020	 	N	770		 
P	M2	CHK-Hubball/Horse Ck/Nye 	95	CNR06	TCO     	770			 	 	 	 
P	MQ	COL GAS OH OP 07-6  	95	23-6	TCO     	770			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185343	2/1/2017	4/30/2020	 	N	2195		 
P	M2	CHK-Hubball/Horse Ck/Nye 	95	CNR06	TCO     	2195			 	 	 	 
P	MQ	COL GAS OH OP 07-8  	95	23-8	TCO     	2195			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185356	2/1/2017	7/31/2018	 	N	3500		 
P	M2	Kanawha Sep. 19	95	CNR20	TCO     	3500			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	3500			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185357	2/1/2017	10/31/2020	 	N	300		 
P	M2	CHK - Egeria/Slab Fork	95	CNR15	TCO     	300			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	300			 	 	 	 
D	Core Appalachia Midstream LLC	80448024	N       	FTS     	185358	2/1/2017	10/31/2020	 	N	3800		 
P	M2	CHK -Thacker/Pounding Mill 	95	CNR12	TCO     	3800			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	3800			 	 	 	 
D	Corning Natural Gas Corporation	2877231	N       	FTS     	9534	11/1/2009	3/31/2023	 	N	828		 
A	ConocoPhillips Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	828			 	 	 	 
P	MQ	CORNING NATURAL GAS 	95	32	TCO     	828			 	 	 	 
D	Corning Natural Gas Corporation	2877231	N       	NTS     	9535	11/1/2009	3/31/2023	 	N	250		 
A	ConocoPhillips Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	250			 	 	 	 
P	MQ	CORNING NATURAL GAS 	95	32	TCO     	250			 	 	 	 
D	Corning Natural Gas Corporation	2877231	N       	SST     	82022	4/1/2005	3/31/2020	 	N	111		 
A	"Merrill Lynch Commodities, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	111			 	 	 	 
P	MQ	CORNING NATURAL GAS 	95	32	TCO     	1189			 	 	 	 
D	Corning Natural Gas Corporation	2877231	N       	FSS     	82023	4/1/2005	3/31/2020	 	N		9532	 
A	"Merrill Lynch Commodities, Inc."	N       		 	 	 	 	 	 	 	 	 
D	"Cumberland Valley Resources, LLC"	SR 010813	N       	FTS     	177880	11/1/2016	12/31/2018	 	N	95		 
P	M2	DELTA LAUREL VALLEY             	95	819288	TCO     	95			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	95			 	 	 	 
D	"Cumberland Valley Resources, LLC"	SR 010813	N       	FTS     	179823	1/1/2017	12/31/2018	 	N	1100		 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	DELTA LAUREL VALLEY             	95	819288	TCO     	1100			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	1100			 	 	 	 
D	"Cumberland Valley Resources, LLC"	SR 010813	N       	FTS     	179824	1/1/2017	12/31/2018	 	N	620		 
P	M2	DELTA LAUREL VALLEY             	95	819288	TCO     	250			 	 	 	 
P	M2	GABBARD NO 2 LINE KA-1 EXT      	95	817175	TCO     	10			 	 	 	 
P	M2	MT. CRAIN                       	95	805569	TCO     	20			 	 	 	 
P	M2	Vinland-Manchester                  	95	827280	TCO     	340			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	620			 	 	 	 
D	"Cumberland Valley Resources, LLC"	SR 010813	N       	FTS     	179825	1/1/2017	12/31/2018	 	N	100		 
P	M2	MT. CRAIN                       	95	805569	TCO     	40			 	 	 	 
P	M2	Vinland-Manchester                  	95	827280	TCO     	60			 	 	 	 
P	MQ	COL GAS OF KY 06-10 	95	18-10	TCO     	100			 	 	 	 
D	"Cumberland Valley Resources, LLC"	SR 010813	N       	FTS     	179826	1/1/2017	12/31/2018	 	N	180		 
P	M2	DELTA LAUREL VALLEY             	95	819288	TCO     	180			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	180			 	 	 	 
D	"Cumberland Valley Resources, LLC"	SR 010813	N       	FTS     	179827	1/1/2017	12/31/2018	 	N	80		 
P	M2	MT. CRAIN                       	95	805569	TCO     	80			 	 	 	 
P	MQ	BYBEE	95	BYBEE	TCO     	80			 	 	 	 
D	"Cut Through Hydrocarbon, LLC"	SR 010643	N       	FTS     	24667	4/14/2011	3/31/2036	 	N	2500		 
A	"Chesapeake Appalachia, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"eServices, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - Canada	95	CNR10	TCO     	200			 	 	 	 
P	M2	CHK - Johns Creek	95	CNR08	TCO     	2300			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	2500			 	 	 	 
D	"Darby Power, LLC"	80447135	N       	NTS     	185516	4/1/2017	10/31/2018	 	N	0		 
A	"NextEra Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	TEXAS GAS-LEBANON-6 	95	D3	TCO     	0			 	 	 	 
P	MQ	Darby Plant	95	737067	TCO     	0			 	 	 	 
D	Delmarva Power & Light Company	6918882	N       	FTS     	49832	11/1/1998	10/31/2018	 	N	3459		 
A	"Conectiv Energy Supply, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	3459			 	 	 	 
P	MQ	EASTERN SHORE NATRL 	95	88	TCO     	3459			 	 	 	 
D	Delmarva Power & Light Company	6918882	N       	FTS     	49833	11/1/1999	10/31/2018	 	N	3460		 
A	"Conectiv Energy Supply, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	3460			 	 	 	 
P	MQ	EASTERN SHORE NATRL 	95	88	TCO     	3460			 	 	 	 
D	Delmarva Power & Light Company	6918882	N       	SST     	80722	11/1/2004	3/31/2020	 	N	5055		 
A	"Conectiv Energy Supply, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	RP Storage Point TCO	95	STOR	TCO     	5055			 	 	 	 
P	MQ	DELMARVA POWER LIGHT	95	107	TCO     	25055			 	 	 	 
D	Delmarva Power & Light Company	6918882	N       	FSS     	80723	11/1/2004	3/31/2020	 	N		521849	 
A	"Conectiv Energy Supply, Inc."	N       		 	 	 	 	 	 	 	 	 
D	Delmarva Power & Light Company	6918882	N       	FTS     	80724	11/1/2004	10/31/2019	 	N	20000		 
A	"Conectiv Energy Supply, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	20000			 	 	 	 
P	MQ	DELMARVA POWER LIGHT	95	107	TCO     	20000			 	 	 	 
D	"Delta Natural Gas Company, Inc., Cumberland Division"	SR 010754	N       	GTS     	37813	11/1/1993	10/31/2008	365	N	5400	177662	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Delta Natural Gas Company, Inc., Winchester Division"	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1800			 	 	 	 
P	MQ	DELTA NATRL CUMBRLND	95	34	TCO     	5400			 	 	 	 
D	"Delta Natural Gas Company, Inc., Stanton Division"	SR 010755	N       	GTS     	37814	11/1/1993	10/31/2008	365	N	6663	83255	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"Delta Natural Gas Company, Inc., Winchester Division"	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	4976			 	 	 	 
P	MQ	DELTA NATRL STANTON 	95	35	TCO     	2530			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	4133			 	 	 	 
D	"Delta Natural Gas Company, Inc., Winchester Division"	7779408	N       	GTS     	37815	11/1/1993	10/31/2008	365	N	4950	162857	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1650			 	 	 	 
P	MQ	DELTA NATRL WINCH-10	95	47	TCO     	500			 	 	 	 
P	MQ	DELTA NATRL WINCH-12	95	36-12	TCO     	2920			 	 	 	 
P	MQ	DELTA NATRL WINCH-14	95	36-14	TCO     	280			 	 	 	 
P	MQ	DNG-WIN	95	36-10	TCO     	1250			 	 	 	 
D	"Direct Energy Business Marketing, LLC"	78790103	N       	FTS     	151746	4/1/2014	10/31/2024	 	N	1001		 
A	Hess Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1001			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	1001			 	 	 	 
D	"Direct Energy Business Marketing, LLC"	78790103	N       	FTS     	151747	4/1/2014	10/31/2024	 	N	1002		 
A	Hess Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1002			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	1002			 	 	 	 
D	"Direct Energy Business Marketing, LLC"	78790103	N       	FTS     	151751	4/1/2014	4/30/2020	 	N	10000		 
A	Hess Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	MARTINS CREEK - 21	95	E17	TCO     	10000			 	 	 	 
P	MQ	PEDRICKTOWN                     	95	633082	TCO     	6000			 	 	 	 
P	MQ	SOUTH JERSEY GAS CO 	95	109	TCO     	4000			 	 	 	 
D	"Direct Energy Business Marketing, LLC"	78790103	N       	OPT30   	151752	4/1/2014	6/30/2024	 	N	6000		 
A	Hess Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - Boldman	95	CNR02	TCO     	3223			 	 	 	 
P	M2	CHK - Canada	95	CNR10	TCO     	663			 	 	 	 
P	M2	CHK -Thacker/Pounding Mill 	95	CNR12	TCO     	2114			 	 	 	 
