H	"Texas Eastern Transmission, LP"	C000094	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
P	MQ	"EAST OHIO GAS - CLARINGTON, OH"	95	74040	2	5000						
P	M2	"EQUITRANS - MORRIS, PA (DEL 70007/R"	95	75007	2	5000						
P	M2	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	5000						
P	MQ	LATERAL 10-U - DYNEGY HANGING ROCK	95	79141	2	120000						
P	MQ	ANR/TETCO (LEBANON LATERAL-ANR CAPA	95	79941	2	5000						
D	"EQT ENERGY, LLC"	35858708	N	FT1TM14	911108-R1	11/15/2014	11/14/2024		Y	300000		
A	"COLONIAL ENERGY, INC"	N										
A	"DTE ENERGY TRADING, INC."	N										
A	"EMERA ENERGY SERVICES, INC."	N										
A	"EXELON GENERATION COMPANY, LLC"	N										
A	NJR ENERGY SERVICES COMPANY	N										
A	"TALEN ENERGY MARKETING, LLC"	N										
A	"UGI ENERGY SERVICES, LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	125000						
P	M2	"EQT - /MORRIS II, GREENE CO., PA."	95	73705	2	100000						
P	M2	"EQT- BRADEN RUN, GREENE CO., PA."	95	73706	2	300000						
P	M2	"EQT - JEFFERSON, GREENE CO., PA."	95	73713	2	100000						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	74058	3	25000						
P	MQ	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	50000						
P	MQ	SESH (D73584/R73583)	95	75583	ELA	100000						
D	"EQT ENERGY, LLC"	35858708	N	FT-1	911224-R2	8/1/2015	10/31/2025		N	47143		
A	"CNE GAS SUPPLY, LLC."	N										
A	"EXELON GENERATION COMPANY, LLC"	N										
A	TENASKA MARKETING VENTURES	N										
P	M2	"EQT - JEFFERSON, GREENE CO., PA."	95	73713	2	47143						
P	MQ	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	47143						
D	"EQT ENERGY, LLC"	35858708	N	FT-1GM1	911324-R2	11/1/2016	10/31/2026		N	100000		
P	M2	"EQT - JEFFERSON, GREENE CO., PA."	95	73713	2	100000						
P	MQ	GOLDEN TRIANGLE STORAGE D73662/R736	95	75662	WLA	100000						
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FT-1M1	910450-R1	11/1/2005	10/31/2015	365	N	0		O88
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	0						
P	M2	"SOUTHCROSS MISSISSIPPI PIPELINE, LP"	95	76580	ELA	0						
D	ETOWAH UTILITIES DEPARTMENT	837977859	N	FT-1	911174-R1	11/1/2015	10/31/2025		N	625		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	625						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	625						
D	"EXELON GENERATION COMPANY, LLC"	196748938	N	FT-1MX	911052-R2	12/1/2017	10/31/2019		N	30000		L113/O114
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	30000						
P	M2	MARIETTA EXTENSION H/L	95	79965	3	30000						
D	FAYETTEVILLE BOARD OF PUBLIC UTILITIES	30302	N	FT-1	911176-R1	11/1/2015	10/31/2025		N	1023		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"E.TENNESSEE GAS - MT. PLEASANT, GIL"	95	71298	1	1023						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	1023						
D	"FULTON, CITY OF"	27011	N	SCT	800021-R1	6/1/1993	10/31/2012	365	N	1610		YA1/X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"FULTON, MS"	95	70098	1	1610						
D	GAS UTILITY DISTRICT OF POINTE COUPEE PARRISH	3320	N	SCT	800023-R1	6/1/1993	10/31/2012	365	N	2100		YA1/X19
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	MQ	"GAS UTIL DIST #2 - LOTTIE, LA"	95	71287	ELA	1477						
P	MQ	"GAS UTIL DIST #2 - NEW ROADS, LA"	95	71288	ELA	707						
D	"GLENWOOD ENERGY OF OXFORD, INC."	28870	N	SCT	910642-R1	5/1/2008	10/31/2013	365	N	5236		YA1/X47
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	DUKE ENERGY OHIO INC. MILLVILLE	95	70907	2	5236						
D	"GLOSTER, MS, TOWN OF"	34413021	N	SCT	800024-R1	6/1/1993	10/31/2012	365	N	649		X19
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"GLOSTER, MS"	95	70418	ELA	649						
D	GRAYS FERRY COGENERATION PARTNERSHIP	6910538	N	FT-1PLP	800516-R1	11/1/1996	10/31/2021		N	15000		
P	MQ	PGW - HARKNESS POINT - PHILADELPHIA	95	73060	3	15000						
P	M2	EAGLE STATION	95	79922	3	15000						
D	GRAYS FERRY COGENERATION PARTNERSHIP	6910538	N	FT-1PEP	910816-R1	11/1/2012	10/31/2027		Y	20000		
P	MQ	PGW - HARKNESS POINT - PHILADELPHIA	95	73060	3	20000						
P	M2	PHILADELPHIA LATERAL	95	79144	3	20000						
D	"GRAYVILLE, ILLINOIS, CITY OF"	34047811	N	SCT	800025-R1	11/1/1993	10/31/2012	365	N	1300		X5
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"GRAYVILLE, IL"	95	70441	1	1300						
D	GREEN PLAINS TRADE GROUP LLC (DBA GREEN PLAINS ENERGY SERVICES)	848984915	N	FT-1	911443-R1	11/1/2017	10/31/2018		N	7500		
P	M2	STECKMAN RIDGE (73605D INJ/73606R W	95	75605	3	7500						
P	MQ	COMPRESSOR STATION 21A (UNIONTOWN)	95	79921	2	7500						
D	GULFPORT ENERGY CORPORATION	4850660	N	FT-1LX	911377-R1	11/1/2017	10/31/2035		Y	100000		
A	"ECO-ENERGY, LLC"	N										
P	MQ	TEXAS GAS TRANSMISSION LLC - LEBANO	95	74215	2	100000						
P	M2	UNIONTOWN WEST	95	79975	2	100000						
D	"HAMILTON, OHIO CITY OF"	74679531	N	FT-1LX	911378-R1	11/1/2017	10/31/2032		Y	2000		
A	"CONSTELLATION NEW ENERGY-GAS DIVISION,LLC."	N										
P	MQ	"HAMILTON, OH"	95	72798	2	2000						
P	M2	UNIONTOWN WEST	95	79975	2	2000						
D	"HARRISBURG, AR, CITY OF"	67717421	N	SCT	800026-R1	6/1/1993	10/31/2012	365	N	1773		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"HARRISBURG, AR"	95	71046	1	1773						
D	"HELIX IRONWOOD, LLC"	30615	N	FT-1IRW	911421-R1	5/10/2017	8/31/2020		N	120000		YA1
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"TALEN ENERGY MARKETING, LLC - (IRON"	95	73239	3	120000						
P	M2	IRONWOOD LATERAL	95	79147	3	120000						
D	HORTON HIGHWAY UTILITY DISTRICT	81460024	N	SCT	800028-R1	6/1/1993	10/31/2012	365	N	1446		X5
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	MQ	"HORTON HIGHWAY - TRIUNE, TN"	95	70480	1	1446						
D	HORTON HIGHWAY UTILITY DISTRICT	81460024	N	SCT	810005-R1	11/1/1996	10/31/2012	365	N	2200		X12
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	MQ	"HORTON HWY DIST #2 - MAURY, TN"	95	73107	1	2200						
D	"HUNTINGBURG, INDIANA, CITY OF"	20426177	N	SCT	800029-R1	6/1/1993	10/31/2012	365	N	2952		X47
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"HUNTINGBURG, IN"	95	70063	2	2952						
D	INDIANA NATURAL GAS CORPORATION FOR DUBOIS AND HAYSVILLE	5359	N	SCT	800031-R1	6/1/1993	10/31/2012	365	N	662		YA1/X47
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"INDIANA GAS CO. - DUBOIS, IN"	95	71439	2	662						
D	INDIANA NATURAL GAS CORPORATION FOR FRENCH LICK	104654538	N	SCT	800032-R1	6/1/1993	10/31/2012	365	N	1777		X47
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"INDIANA GAS - FRENCH LICK, IN"	95	70939	2	1777						
D	J. ARON & COMPANY	6980312	N	FT-1MX	911304-R1	11/1/2015	4/30/2018		N	75986		
P	M2	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	75986						
P	MQ	MARIETTA EXTENSION H/L	95	79965	3	75986						
D	"JASPER, IN CITY OF/JASPER MUNICIPAL GAS UTILITY"	79669495	N	SCT	800033-R1	6/1/1993	10/31/2012	365	N	5242		X47
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"JASPER, IN"	95	70093	2	5242						
D	"JONESBORO, IL, CITY OF"	65709438	N	SCT	800034-R1	11/1/1993	10/31/2012	365	N	650		X5
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"JONESBORO, IL"	95	71362	1	650						
D	"KENNETT, MISSOURI, CITY OF"	20370920	N	SS-1	400108-R1	6/1/1993	4/30/2012	365	N		121230	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"KENNETT - DUNKLIN CO., MO"	95	72190	1		2021					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		623	YN21				
D	"KENNETT, MISSOURI, CITY OF"	20370920	N	SCT	800035-R1	6/1/1993	10/31/2012	365	N	4826		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"KENNETT - DUNKLIN CO., MO"	95	72190	1	4826						
P	MQ	ZONE M1 STORAGE POINT	95	79511	1	623						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FTS-5	330213-R1	6/1/1993	3/31/2012	365	N	15000		
P	M2	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	15000						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	15000						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	15000						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	8333						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	15000						
P	MQ	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	15000						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FTS	330838-R2	11/1/2009	10/31/2014	365	N	1110		L4
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	1110						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	1110						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FTS-5	330908-R1	6/1/1993	3/31/2012	365	N	15000		
P	M2	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	15000						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	15000						
P	M2	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	15000						
P	MQ	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	15000						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FTS-5	330911-R1	6/1/1993	3/31/2012	365	N	20000		
P	M2	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	20000						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	20000						
P	M2	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	20000						
P	MQ	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	20000						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FTS-8	331014-R1	6/1/1993	3/31/2006	365	N	14771		
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	7730						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	7730						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	7730						
P	M2	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	14771						
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	14771						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	7730						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	7730						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	7730						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	7730						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	7730						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	7730						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	7730						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	7730						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	7041						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	7041						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	SS-1	400117-R1	8/1/1993	4/30/2000	365	N		934290	L4
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3		15572					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		4802	YN21				
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	SS-1	400236-R1	8/17/2005	4/30/2017	365	N		186610	
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3		2076					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		1555	YN21				
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	CDS	800222-R2	11/1/2010	10/31/2017	365	N	25001		L4/X2
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	25001						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	4802						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT-1	910050-R3	6/1/2017	3/31/2023		N	22500		L26
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	22500						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	22500						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	CDS	910094-R2	11/1/2010	10/31/2017	365	N	8106		L13/X2
P	MQ	"NATIONAL GRID METRO NY, GOETHALS RD"	95	70058	3	8106						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	4802						
D	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	53106352	N	FT-1	910424-R1	11/1/2003	10/31/2008	365	N	12578		X47
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	12578						
D	"LAFAYETTE, TENNESSEE, CITY OF"	48848693	N	SCT	800036-R1	6/1/1993	10/31/2012	365	N	1599		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"LAFAYETTE, TN"	95	70104	1	1599						
D	"LAWRENCEBURG, TENNESSEE, CITYOF"	78955341	N	SCT	800037-R1	6/1/1993	10/31/2012	365	N	5538		X5
A	MUNICIPAL GAS AUTHORITY OF GA	N										
P	MQ	LAWRENCEBURG GAS - TN	95	70101	1	5538						
P	MQ	"LAWRENCEBURG, TN"	95	70457	1	2424						
D	"LEBANON, CITY OF"	69092351	N	SS-1	400104-R2	11/15/2011	4/30/2016	365	N		24930	L4
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"LEBANON #2 - WILSON CO., TN"	95	72672	1		415					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		128	YN21				
D	"LEBANON, CITY OF"	69092351	N	SCT	800039-R2	1/15/2011	10/31/2013	365	N	5987		L4/X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"LEBANON #2 - WILSON CO., TN"	95	72672	1	5987						
P	MQ	ZONE M1 STORAGE POINT	95	79511	1	128						
D	LEWISBURG GAS DEPARTMENT	26074	N	FT-1	911185-R1	11/1/2015	10/31/2030		N	5475		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"E.TENNESSEE GAS - MT. PLEASANT, GIL"	95	71298	1	5475						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	5475						
D	LEWISBURG GAS DEPARTMENT	26074	N	FT-1	911279-R1	11/1/2015	10/31/2022		N	515		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"E.TENNESSEE GAS - MT. PLEASANT, GIL"	95	71298	1	515						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	515						
D	"LIBERTY ELECTRIC POWER, LLC"	26271	N	FT-1LEP	830106-R1	10/1/2001	9/30/2026		Y	84000		YA1
P	MQ	LIBERTY ELEC-DEL.PA. - (73318)	95	73318	3	84000						
P	M2	PHILADELPHIA LATERAL	95	79144	3	84000						
P	M2	EAGLE STATION	95	79922	3	84000						
D	LIBERTY ENERGY (MIDSTATES) CORP	78314967	N	SS-1	400245-R1	8/1/2012	4/30/2015	365	N		145649	
A	NJR ENERGY SERVICES COMPANY	N										
P	MQ	"UNION ELEC -CAPE GIRARDEAU, MO"	95	70042	1		934					
P	MQ	"UNION ELECTRIC - DEXTER, MO"	95	70043	1		1189					
P	MQ	"UNION ELEC. - BLOOMFIELD, MO"	95	70336	1		29					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		959	YN21				
D	LIBERTY ENERGY (MIDSTATES) CORP	78314967	N	SS-1	400246-R1	8/1/2012	4/30/2015	365	N		753969	
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	ATMOS ENERGY CORPORATION - SCOTT CO	95	70061	1		11303	YM108				
P	MQ	"ATMOS ENERGY CORPORATION- JIM HILL,"	95	70079	1		9434					
P	MQ	"ATMOS ENERGY CORPORATION- BENTON, M"	95	70532	1		519					
P	MQ	"ASSOC NATURAL GAS - BERNIE, MO"	95	71141	1		2595					
P	M2	ZONE M1 STORAGE POINT	95	79511	1		3876	YN21				
D	LIBERTY ENERGY (MIDSTATES) CORP	78314967	N	FT-1	910961-R1	8/1/2012	10/31/2013	365	N	5000		X12
A	NJR ENERGY SERVICES COMPANY	N										
P	MQ	"UNITED CITIES - HARRISBURG, IL"	95	70039	1	3577						
P	MQ	"UNITED CITIES - GALATIA, IL"	95	71401	1	1423						
D	LIBERTY ENERGY (MIDSTATES) CORP	78314967	N	CDS	910962-R1	8/1/2012	10/31/2014	365	N	9826		X5
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	ATMOS ENERGY CORPORATION - SCOTT CO	95	70061	1	9826						
P	MQ	"ATMOS ENERGY CORPORATION- JIM HILL,"	95	70079	1	9826						
P	MQ	"ATMOS ENERGY CORPORATION- BENTON, M"	95	70532	1	519						
P	MQ	"ASSOC NATURAL GAS - BERNIE, MO"	95	71141	1	2595						
P	MQ	ZONE M1 STORAGE POINT	95	79511	1	3876						
D	LIBERTY ENERGY (MIDSTATES) CORP	78314967	N	CDS	910965-R1	8/1/2012	10/31/2013	365	N	0		O18
A	NJR ENERGY SERVICES COMPANY	N										
P	MQ	"UNITED CITIES - HARRISBURG, IL"	95	70039	1	0						
P	M2	"TGC LICK CREEK - WILLIAMSON CO., IL"	95	70283	1	0						
P	MQ	"UNITED CITIES - GALATIA, IL"	95	71401	1	0						
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	FTS	330843-R3	11/1/2014	10/31/2021		N	77		YA1/L4
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	77						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	77						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	77						
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	FTS-7	331702-R2	11/1/2014	4/15/2022		N	1871		YA1/L4
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	1871						
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	1871						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	1871						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	1871						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	1871						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	1871						
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	SS-1	400187-R2	11/1/2014	4/30/2025		N		669337	YA1/L103
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		4329					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		6644					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		3441	YN21				
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	FSS-1	400510-R2	11/1/2014	4/30/2025		N		20580	YA1/L9
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	M2	ZONE M3 STORAGE POINT	95	79513	3		106	YN21				
P	MQ	ZONE M3 STORAGE POINT	95	79513	3		343	YN20				
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	FT-1	800352-R2	11/1/2014	10/31/2024		N	79		YA1/L6
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	5						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	79						
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	CDS	800430-R2	11/1/2014	10/31/2024		N	343		YA1/L9/X10
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	147						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	196						
D	LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP D/B/A LIBERTY UTILITIES	30126	N	CDS	800463-R2	11/1/2014	10/31/2024		N	18800		YA1/L9/X2
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	18800						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	11165						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	3547						
D	"LIBERTY, KENTUCKY, CITY OF"	40338501	N	SCT	800040-R1	6/1/1993	10/31/2012	365	N	1326		X47
A	PUBLIC ENERGY AUTHORITY OF KENTUCKY	N										
P	MQ	"LIBERTY, KY"	95	71256	2	1326						
D	"LORETTO, TENNESSEE, CITY OF"	949540017	N	SCT	800041-R1	6/1/1993	10/31/2012	365	N	348		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"LORETTO, TN"	95	71293	1	348						
D	MACQUARIE ENERGY LLC	798846036	N	FT-1	910716-R7	4/1/2016	10/31/2019		N	11000		L64/X48
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	11000						
D	MACQUARIE ENERGY LLC	798846036	N	FT-1	910718-R6	11/1/2014	10/31/2019		N	35000		L64/X23
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	35000						
D	MACQUARIE ENERGY LLC	798846036	N	FT-1	910719-R7	4/1/2016	10/31/2019		N	25000		L64/X48
P	MQ	HEAD OF FREEHOLD LATERAL - MAINLINE	95	79037	3	25000						
D	MACQUARIE ENERGY LLC	798846036	N	FT-1MX	911068-R2	12/1/2014	3/31/2017	365	N	30000		L69
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	30000						
P	M2	MARIETTA EXTENSION H/L	95	79965	3	30000						
D	"MERRILL LYNCH COMMODITIES, INC."	160352865	N	FT-1	910689-R1	11/1/2009	10/31/2019		Y	50000		
P	M2	"REX CLARINGTON, MONROE CO., OH"	95	73580	2	50000						
P	MQ	DELMONT DISCHARGE CUSTODY TRANSFER	95	79662	3	50000						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-1	830048-R2	11/1/2012	10/31/2022		N	5000		L3/O31/X12
P	MQ	"MIDDLE TN NAT GAS -WILSON, TN"	95	73205	1	5000						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-1M1	910469-R2	11/1/2012	10/31/2022		N	3339		L90
P	MQ	"E.TENNESSEE GAS - MT. PLEASANT, GIL"	95	71298	1	3339						
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	3339						
P	MQ	"MIDDLE TN NAT GAS -WILSON, TN"	95	73205	1	3339						
P	M2	"SOUTHCROSS MISSISSIPPI PIPELINE, LP"	95	76580	ELA	3339						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-1	910958-R1	11/1/2012	10/31/2017	365	N	5000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	5000						
P	M2	"NATIONAL FUEL-HOLBROOK GREENE CO.,"	95	75720	2	5000						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-1	911138-R2	11/1/2014	10/31/2024		N	10000		
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	10000						
P	M2	BOBCAT STORAGE - (D73553/R73554)	95	75553	ELA	10000						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	SS-1	400157-R1	6/1/1993	4/30/2012	365	N		9566	
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		81					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		81					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		49	YN21				
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	SS-1	400158-R1	6/1/1993	4/30/2013	365	N		1610	
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		23					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		8	YN21				
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	SCT	800110-R1	6/1/1993	10/31/2012	365	N	337		X2
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	337						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	SCT	800154-R1	6/1/1993	10/31/2012	365	N	755		X2
A	"MERCURIA ENERGY AMERICA, INC."	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	697						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	278						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	57						
D	MIDDLEBOROUGH GAS AND ELECTRIC DEPARTMENT	40803467	N	SCT	800162-R2	12/1/2013	10/31/2015	365	N	35		L100/X47
