H	"Dominion Energy Carolina Gas Transmission, LLC"	C000190	4/2/2018	O	4/1/2018	T	T	John Brownlee (804) 771-4678				
P	MQ	SCE&G - Sumter Area Point	95	95001	Zone 1	5000	0					
P	MQ	SCE&G - Columbia Area Point	95	95002	Zone 1	40000	0					
P	MQ	SCE&G - Charleston Area Point	95	95012	Zone 1	30000	0					
D	"Texican Natural Gas Company, LLC"	15-722-0096	N	Rate Schedule FT	FT10270.02	4/1/2017	4/30/2018		N	500	0	
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	500	0					
P	MQ	"3V, Inc."	95	27308	Zone 1	500	0					
D	"Texican Natural Gas Company, LLC"	15-722-0096	N	Rate Schedule FT	FT10270.03	11/1/2017	10/31/2018		N	200	0	
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	200	0					
P	MQ	"Marion Ceramics, Inc."	95	20061	Zone 1	200	0					
D	"Winnsboro, Town of"	09-132-0614	N	Rate Schedule FT	FT10054.01	11/1/2006	10/31/2009	1825	N	1288	0	o1
A	"SCANA Energy Marketing, Inc."	N										
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	115	0					
P	M2	SNG - Aiken Receipt Point	95	10001	Zone 1	827	0					
P	MQ	"Winnsboro, Town of"	95	12045	Zone 1	157	0					
P	MQ	"Winnsboro, Town of"	95	12045	Zone 1	1131	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	304	0					
P	M2	Transco - Grover Receipt Point	95	10002	Zone 1	42	0					
D	Wyman-Gordon Company	00-112-8016	N	Rate Schedule FT	FT99903.01	3/1/2018	2/28/2043		Y	3000	0	
A	"Delta Energy Services, LLC"	N										
P	M2	Transco - Moore Receipt Point	95	10007	Zone 1	3000	0					
P	MQ	Caldwell Drive M&R	95	20038	Zone 1	3000	0					
F	1	"In accordance with section 24.1 of the GT&C of DECGÆs tariff, each year during the months of May through October, the MDTQ of the Shipper identified will be reduced for Summer Mitigation."										
F	2	"In accordance with section 2.7 of DECG's Rate Schedule FT or section 2.6 of DECG's Rate Schedule BH, as applicable, each year during the months of May through October, the MDTQ of the shipper is made"										
F	2	available by Summer Mitigation and during the months of November through April the MQTQ will be zero.										
