H	"SOUTHERN STAR CENTRAL GAS PIPELINE, INC."	C000374	4/2/2018	O	4/1/2018	T	T	PHILIP RULLMAN 270-852-4440			
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	FTS-P	TA954	11/1/1997	11/1/2017	1825	N	30000	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	30000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	30000	0				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	FTS-M	TA955	2/1/1998	2/1/2018	1825	N	10000	0
P	M2	Prd/Mkt Interface	95	999000	MKT	10000	0				
P	MQ	EGT Jane - Delivery	95	37175	MKT	10000	0				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	FTS-P	TA8664	10/1/2003	10/1/2013	1825	N	12561	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	12561	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	12561	0				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	FTS-P	TA9644	10/1/2005	10/1/2036	0	N	20085	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	5414	0				
P	M2	Escalera - Cow Creek	95	16850	PRD	14671	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	20085	0				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	FTS-M	TA10761	12/20/2006	12/20/2026	0	N	19562	0
P	M2	Prd/Mkt Interface	95	999000	MKT	19562	0				
P	MQ	MGE Crenshaw Road	95	16875	MKT	14642	0				
P	MQ	"Ash Grove, Walnut Grove & Wil"	95	17406	MKT	2369	0				
P	MQ	Republic	95	17472	MKT	2551	0				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	FTS-P	TA10993	12/20/2006	12/20/2026	0	N	19749	0
P	M2	LINN - Jayhawk	95	16289	PRD	19749	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	19749	0				
D	"Laclede Gas Company, Missouri Gas Energy Division"	6967798	N	FTS-P	TA21780	4/1/2014	4/1/2017	1825	N	7304	0
P	M2	EOIT Noble	95	15011	PRD	3500	0				
P	M2	Oneok Westex Hemphill	95	16584	PRD	3804	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	7304	0				
D	"Lawrence Paper Company,The"	7127558	N	FTS-M	TA565	10/1/1993	1/1/2020	0	N	263	0
P	M2	Prd/Mkt Interface	95	999000	MKT	263	0				
P	MQ	Perry	95	19664	MKT	3	0				
P	MQ	Lawrence Paper	95	101	MKT	260	0				
D	"Lawrence Paper Company,The"	7127558	N	FTS-P	TA565	10/1/1993	1/1/2020	0	N	263	0
P	M2	Wamsutter - Echo Springs	95	16294	PRD	263	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	263	0				
D	"LINN Operating, LLC"	807819573	N	FTS-P	TA19296	9/1/2012	9/1/2018	0	N	1100	0
P	M2	LINN - Jayhawk	95	16289	PRD	1100	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	1100	0				
D	"LINN Operating, LLC"	807819573	N	FTS-P	TA24888	12/9/2016	1/1/2020	0	Y	20000	0
P	M2	LINN - Satanta	95	15433	PRD	20000	0				
P	MQ	LINN Jayhawk Delivery	95	19000	PRD	20000	0				
D	Macquarie Energy LLC	798846036	N	FTS-P	TA26997	4/1/2018	4/3/2018	0	N	25000	0
P	M2	LINN - Jayhawk	95	16289	PRD	16400	0				
P	M2	Wamsutter - Echo Springs	95	16294	PRD	8600	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	25000	0				
D	Mid Kansas Electric Company LLC	605358170	N	FTS-P	TA24247	2/1/2016	3/1/2019	0	N	2000	0
A	"ACES Power Marketing, LLC"	N									
P	M2	LINN - Jayhawk	95	16289	PRD	2000	0				
P	MQ	Mid-Kansas Electric Rubart Power Plant	95	17003	PRD	2000	0				
D	"Midwest Energy, Inc."	42379594	N	FTS-P	TA1051	10/1/2000	10/1/2021	0	N	11000	0
P	M2	CIG Floris	95	15266	PRD	4000	0				
P	M2	LINN - Jayhawk	95	16289	PRD	7000	0				
P	MQ	Copeland	95	97112	PRD	2000	0				
P	MQ	Midwest Energy - Wakeeny And T	95	174	PRD	9000	0				
D	"Midwest Energy, Inc."	42379594	N	FTS-P	TA12284	3/1/2008	3/1/2028	0	N	10000	0
P	M2	LINN - Jayhawk	95	16289	PRD	10000	0				
P	MQ	Midwest Energy - Goodman	95	16931	PRD	10000	0				
D	Miracle Recreation Equipment Company	61323358	N	FTS-M	TA1064	11/1/2000	11/1/2010	1825	N	500	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	500	0				
P	MQ	Monett	95	17454	MKT	500	0				
D	Miracle Recreation Equipment Company	61323358	N	FTS-P	TA1064	11/1/2000	11/1/2010	1825	N	505	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	505	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	505	0				
D	Missouri Joint Municipal Electric Utility Commission	625204854	N	FTS-M	TA18839	3/30/2012	11/1/2018	0	N	2870	0
P	M2	TIGT Sugar Creek	95	16592	MKT	2870	0				
P	MQ	Dogwood Energy Power Plant	95	189	MKT	2870	0				
D	"Occidental Energy Marketing, Inc."	52298721	N	FTS-P	TA24385	4/1/2016	4/1/2019	0	N	7500	0
P	M2	LINN - Jayhawk	95	16289	PRD	7500	0				
P	MQ	Basic Chemical	95	83	PRD	7500	0				
D	Oklahoma Municipal Power Authority	148268782	N	FTS-P	TA22125	5/1/2015	5/1/2025	0	N	6217	0
P	M2	LINN - Jayhawk	95	16289	PRD	6217	0				
P	MQ	OMPA Lamb	95	17008	PRD	6217	0				
D	"Oklahoma Natural Gas Company, a division of ONE Gas, Inc."	77349132	N	FTS-P	TA17239	3/1/2011	3/1/2021	0	N	11000	0
P	M2	OFS Maysville	95	7158	PRD	11000	0				
P	MQ	ONG Norman	95	16972	PRD	11000	0				
D	"Oklahoma Natural Gas Company, a division of ONE Gas, Inc."	77349132	N	FTS-P	TA23929	3/1/2016	3/1/2021	0	N	50000	0
P	M2	OFS Maysville	95	7158	PRD	10000	0				
P	M2	DCP Mustang Plt	95	14377	PRD	10000	0				
P	M2	Velma Gas Plant	95	15430	PRD	30000	0				
P	MQ	ONG NW Oklahoma City	95	17052	PRD	50000	0				
D	"Owens Corning Sales, LLC"	1317452	N	FTS-M	TA20639	7/1/2013	7/1/2018	0	N	3300	0
A	"Summit Energy Services, Inc"	N									
A	"Centerpoint Energy Services, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	3300	0				
P	MQ	"Kansas City, Kansas"	95	13644	MKT	3300	0				
D	"PCS Nitrogen Fertilizer, LP"	858404015	N	FTS-M	TA8430	5/1/2002	5/1/2018	0	N	300	0
P	M2	EGT Jane - Receipt	95	10997	MKT	300	0				
P	MQ	PCS Phosphate	95	387001	MKT	300	0				
D	QEP Energy Company	46934568	N	FTS-P	TA615	10/1/1993	11/1/2028	0	N	5000	0
P	M2	Escalera - Cow Creek	95	16850	PRD	5000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	5000	0				
D	"Show Me Ethanol, LLC"	623555724	N	FTS-M	TA12194	2/1/2008	4/1/2019	0	N	5100	0
A	"U.S. Energy Services, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	5100	0				
P	MQ	Show Me Ethanol	95	16918	MKT	5100	0				
D	"Southwest Energy, LP"	124847810	N	FTS-P	TA26782	4/1/2018	4/1/2019	0	N	3500	0
P	M2	LINN - Jayhawk	95	16289	PRD	3500	0				
P	MQ	ONEOK Hutchinson Frac Plt	95	709501	PRD	3500	0				
D	"Summit Natural Gas of Missouri, Inc."	177053308	N	FTS-M	TA797	10/1/1994	4/1/2015	1825	N	10100	0
A	"Summit Utilities, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	10100	0				
P	MQ	Summit Rogersville	95	142	MKT	10100	0				
D	"Summit Natural Gas of Missouri, Inc."	177053308	N	FTS-P	TA814	11/1/1995	7/1/2015	1825	N	10000	0
A	"Summit Utilities, Inc."	N									
P	M2	OFS Maysville	95	7158	PRD	6000	0				
P	M2	OkTex Marsh Interconnect	95	11435	PRD	1000	0				
P	M2	DCP - Kingfisher	95	12723	PRD	500	0				
P	M2	DCP Mustang Plt	95	14377	PRD	500	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	2000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	10000	0				
D	"Summit Natural Gas of Missouri, Inc."	177053308	N	FTS-M	TA10757	12/1/2006	12/1/2026	0	N	5000	0
A	"Summit Utilities, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	2000	0				
P	M2	MBR-Mkt Storage	95	999023	MKT	3000	0				
P	MQ	Summit Rogersville	95	142	MKT	5000	0				
D	"Summit Natural Gas of Missouri, Inc."	177053308	N	FTS-M	TA15443	11/1/2009	11/1/2019	0	N	2400	0
A	"Summit Utilities, Inc."	N									
P	M2	TIGT Sugar Creek	95	16592	MKT	2400	0				
P	MQ	Summit Sedalia	95	16962	MKT	2400	0				
D	"Summit Natural Gas of Missouri, Inc."	177053308	N	FTS-M	TA16345	1/1/2011	11/1/2020	0	N	5000	0
A	"Summit Utilities, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	5000	0				
P	MQ	Summit Branson	95	16949	MKT	5000	0				
D	"Summit Natural Gas of Missouri, Inc."	177053308	N	FTS-M	TA20684	11/1/2013	11/1/2033	0	N	10600	0
A	"Summit Utilities, Inc."	N									
P	M2	TIGT Sugar Creek	95	16592	MKT	10600	0				
P	MQ	Summit Sedalia	95	16962	MKT	10600	0				
D	"Summit Natural Gas of Missouri, Inc."	177053308	N	FTS-M	TA22243	11/1/2014	11/1/2025	0	N	4000	0
A	"Summit Utilities, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	4000	0				
P	MQ	Summit Rogersville	95	142	MKT	4000	0				
D	"Summit Natural Gas of Missouri, Inc."	177053308	N	FTS-P	TA22243	11/1/2014	11/1/2025	0	N	4000	0
A	"Summit Utilities, Inc."	N									
P	M2	Noble Energy - Lilli	95	16967	PRD	4000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	4000	0				
D	Targa Gas Marketing LLC	610946290	N	FTS-P	TA26762	4/1/2018	4/1/2020	0	N	40000	0
P	M2	Velma Gas Plant	95	15430	PRD	40000	0				
P	MQ	NGPL Carter	95	17069	PRD	40000	0				
D	Targa Pipeline Mid-Continent WestOk LLC	124278057	N	FTS-P	TA22139	2/1/2015	2/1/2020	0	N	35000	0
A	Targa Gas Marketing LLC	N									
P	M2	Targa - Waynoka	95	16912	PRD	35000	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	35000	0				
D	Targa Pipeline Mid-Continent WestOk LLC	124278057	N	FTS-P	TA22222	2/1/2015	2/1/2020	0	N	40000	0
A	Targa Gas Marketing LLC	N									
P	M2	Targa - Waynoka	95	16912	PRD	40000	0				
P	MQ	NGPL Beaver	95	17004	PRD	40000	0				
D	Tenaska Marketing Ventures	624240628	N	FTS-P	TA22181	4/1/2015	11/1/2018	0	Y	25000	0
P	M2	ETC Field Services Antelope	95	16945	PRD	25000	0				
P	MQ	Transwestern Canadian - Del.	95	168112	PRD	25000	0				
D	"The Kansas Power Pool (""KPP""), a Municipal Energy Agency"	963423889	N	FTS-M	TA18861	4/13/2012	11/1/2018	0	N	3605	0
P	M2	TIGT Sugar Creek	95	16592	MKT	3605	0				
P	MQ	Dogwood Energy Power Plant	95	189	MKT	3605	0				
D	Tyson Foods Inc.	6903702	N	FTS-M	TA1010	10/1/1998	11/1/2018	0	N	1300	0
A	Spire Marketing Inc.	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	1300	0				
P	MQ	Noel & North Noel	95	17460	MKT	1300	0				
D	Tyson Foods Inc.	6903702	N	FTS-P	TA1010	10/1/1998	11/1/2018	0	N	1314	0
A	Spire Marketing Inc.	N									
P	M2	OkTex Marsh Interconnect	95	11435	PRD	1314	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	1314	0				
D	Tyson Foods Inc.	6903702	N	FTS-M	TA8259	7/1/2001	7/1/2021	0	N	2200	0
A	Spire Marketing Inc.	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	2200	0				
P	MQ	Sedalia	95	113876	MKT	2200	0				
D	Tyson Foods Inc.	6903702	N	FTS-P	TA8259	7/1/2001	7/1/2021	0	N	2226	0
A	Spire Marketing Inc.	N									
P	M2	OkTex Marsh Interconnect	95	11435	PRD	2226	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	2226	0				
D	Tyson Foods Inc.	6903702	N	FTS-M	TA18728	11/1/2012	11/1/2018	0	N	1600	0
A	Spire Marketing Inc.	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	1600	0				
P	MQ	Emporia	95	29002	MKT	1600	0				
D	Tyson Foods Inc.	6903702	N	FTS-P	TA18728	11/1/2012	11/1/2018	0	N	1615	0
A	Spire Marketing Inc.	N									
P	M2	OFS Stateline	95	15300	PRD	1615	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	1615	0				
D	Union Electric Co. d/b/a Ameren Missouri	6968655	N	FTS-M	TA23020	11/1/2015	11/1/2025	0	N	3650	0
P	M2	Prd/Mkt Interface	95	999000	MKT	3650	0				
P	MQ	Ameren Columbia	95	17035	MKT	3650	0				
D	Union Electric Co. d/b/a Ameren Missouri	6968655	N	FTS-P	TA23020	11/1/2015	11/1/2025	0	N	3692	0
P	M2	LINN - Jayhawk	95	16289	PRD	3692	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	3692	0				
D	United States Gypsum Company	5212600	N	FTS-M	TA8594	7/1/2003	7/1/2008	1825	N	1600	0
A	"U.S. Energy Services, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	1600	0				
P	MQ	"Kansas City, MO"	95	13745	MKT	1600	0				
D	University of Central Missouri	67947556	N	FTS-M	TA994	7/1/1998	10/1/2002	1825	N	1200	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	1200	0				
P	MQ	Warrensburg	95	26392	MKT	1200	0				
D	"Westar Energy, Inc."	6943781	N	FTS-P	TA997	7/1/1998	4/1/2020	0	N	78000	0
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	45500	0				
P	M2	DCP Mustang Plt	95	14377	PRD	6500	0				
P	M2	CIG Floris	95	15266	PRD	9750	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	16250	0				
P	MQ	Gordon Evans Plant	95	172	PRD	68000	0				
P	MQ	Murray Gil Plant	95	6565	PRD	10000	0				
D	"Westar Energy, Inc."	6943781	N	FTS-M	TA1021	4/1/1999	4/1/2030	0	N	10000	0
P	M2	Prd/Mkt Interface	95	999000	MKT	10000	0				
P	MQ	Tecumseh Power Plt	95	522501	MKT	2000	0				
P	MQ	Lawrence Power Plt	95	522502	MKT	8000	0				
D	"Westar Energy, Inc."	6943781	N	FTS-M	TA12478	12/1/2008	12/1/2028	0	N	42060	0
P	M2	Prd/Mkt Interface	95	999000	MKT	42060	0				
P	MQ	Westar Emporia Energy	95	16933	MKT	42060	0				
D	"Westar Energy, Inc."	6943781	N	FTS-P	TA13408	12/1/2008	12/1/2028	0	N	42446	0
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	24500	0				
P	M2	DCP Mustang Plt	95	14377	PRD	3500	0				
P	M2	CIG Floris	95	15266	PRD	5696	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	8750	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	42446	0				
D	"Westar Energy, Inc."	6943781	N	FTS-M	TA23025	4/1/2016	11/1/2022	0	N	33520	0
P	M2	Prd/Mkt Interface	95	999000	MKT	33520	0				
P	MQ	Empire Stateline North	95	378504	MKT	33520	0				
D	"Westar Energy, Inc."	6943781	N	FTS-P	TA23025	4/1/2016	11/1/2022	0	N	33979	0
P	M2	Transwestern Canadian - Rec.	95	11377	PRD	15445	0				
P	M2	DCP - Cimarron Plant	95	15253	PRD	2174	0				
P	M2	OFS Stateline	95	15300	PRD	9267	0				
P	M2	Oneok Westex Hemphill	95	16584	PRD	1235	0				
P	M2	ETC Field Services Canadian	95	16620	PRD	2769	0				
P	M2	Semgas Group LLC	95	16855	PRD	3089	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	33979	0				
D	"Williams Energy Resources, LLC"	964996867	N	FTS-P	TA21715	3/1/2014	4/1/2019	0	N	8500	0
P	M2	LINN - Jayhawk	95	16289	PRD	5000	0				
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	3500	0				
P	MQ	Mid-Continent Fractionation	95	166	PRD	8500	0				
D	"Oronogo Missouri, City Of"	170080857	N	SFT-M	TA23050	11/1/2015	11/1/2018	0	N	100	0
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
A	"CIMA Energy, LTD"	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	100	0				
P	MQ	Oronogo	95	132018	MKT	100	0				
D	"Oronogo Missouri, City Of"	170080857	N	SFT-P	TA23050	11/1/2015	11/1/2018	0	N	101	0
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	M2	CIG Floris	95	15266	PRD	101	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	101	0				
D	"Altamont, Kansas, City of"	108604802	N	STS	TS501	10/1/1993	10/1/2013	1825	N	0	19899
A	Kansas Municipal Gas Agency	N									
P	IJ	Mkt Storage	95	999021	MKT	0	149				
P	WR	Mkt Storage	95	999021	MKT	0	603				
D	"Altamont, Kansas, City of"	108604802	N	STS-M	TS501	10/1/1993	10/1/2013	1825	N	996	0
A	Kansas Municipal Gas Agency	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	393	0				
P	M2	Mkt Storage	95	999021	MKT	603	0				
P	MQ	Altamont	95	34612	MKT	996	0				
D	"Altamont, Kansas, City of"	108604802	N	STS-P	TS501	10/1/1993	10/1/2013	1825	N	404	0
A	Kansas Municipal Gas Agency	N									
P	M2	Questar Skull Creek	95	15236	PRD	27	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	377	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	404	0				
D	"Argonia Kansas, City Of"	958543399	N	STS	TS504	10/1/1993	10/1/2015	1825	N	0	6864
A	Kansas Municipal Gas Agency	N									
P	IJ	Prd Storage	95	999020	PRD	0	51				
P	WR	Prd Storage	95	999020	PRD	0	208				
D	"Argonia Kansas, City Of"	958543399	N	STS-P	TS504	10/1/1993	10/1/2015	1825	N	390	0
A	Kansas Municipal Gas Agency	N									
P	M2	Prd Storage	95	999020	PRD	208	0				
P	M2	EOIT Noble	95	15011	PRD	182	0				
P	MQ	Argonia	95	36918	PRD	390	0				
D	Avant Utilities Authority	9078908	N	STS	TS510	10/1/1993	10/1/2013	1825	N	0	2871
A	"Centerpoint Energy Services, Inc."	N									
P	IJ	Prd Storage	95	999020	PRD	0	22				
P	WR	Prd Storage	95	999020	PRD	0	87				
D	Avant Utilities Authority	9078908	N	STS-P	TS510	10/1/1993	10/1/2013	1825	N	174	0
A	"Centerpoint Energy Services, Inc."	N									
P	M2	Questar Skull Creek	95	15236	PRD	4	0				
P	M2	CIG Floris	95	15266	PRD	83	0				
P	M2	Prd Storage	95	999020	PRD	87	0				
P	MQ	Avant Utilities	95	38522	PRD	174	0				
D	Billings Public Works	106405657	N	STS	TS511	10/1/1993	10/1/2013	1825	N	0	6072
A	"Clearwater Enterprises, L.L.C."	N									
P	IJ	Prd Storage	95	999020	PRD	0	46				
P	WR	Prd Storage	95	999020	PRD	0	184				
D	Billings Public Works	106405657	N	STS-P	TS511	10/1/1993	10/1/2013	1825	N	304	0
A	"Clearwater Enterprises, L.L.C."	N									
P	M2	DCP Mustang Plt	95	14377	PRD	120	0				
P	M2	Prd Storage	95	999020	PRD	184	0				
P	MQ	Billings	95	41709	PRD	304	0				
D	"Burlington Oklahoma, City Of"	18329334	N	STS	TS516	10/1/1993	10/1/2013	1825	N	0	3003
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	IJ	Prd Storage	95	999020	PRD	0	23				
P	WR	Prd Storage	95	999020	PRD	0	91				
D	"Burlington Oklahoma, City Of"	18329334	N	STS-P	TS516	10/1/1993	10/1/2013	1825	N	171	0
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	M2	Prd Storage	95	999020	PRD	91	0				
P	M2	Questar Skull Creek	95	15236	PRD	4	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	76	0				
P	MQ	Alfalfa City Ok	95	44121	PRD	171	0				
D	Centerpoint Energy Resources Corp dba Centerpoint Energy Arkansas Gas	803838838	N	STS	TS606	10/1/1993	10/1/2013	1825	N	0	1881
A	Centerpoint Energy Resources Corp dba Centerpoint Energy Oklahoma Gas	N									
P	IJ	Prd Storage	95	999020	PRD	0	14				
P	WR	Prd Storage	95	999020	PRD	0	57				
D	Centerpoint Energy Resources Corp dba Centerpoint Energy Arkansas Gas	803838838	N	STS-P	TS606	10/1/1993	10/1/2013	1825	N	105	0
A	Centerpoint Energy Resources Corp dba Centerpoint Energy Oklahoma Gas	N									
P	M2	Prd Storage	95	999020	PRD	57	0				
P	M2	Cheney Dell Plant	95	16524	PRD	48	0				
P	MQ	Pocasset	95	74416	PRD	105	0				
D	Centerpoint Energy Resources Corp dba Centerpoint Energy Oklahoma Gas	46700779	N	STS	TS506	10/1/1993	10/1/2013	1825	N	0	45210
P	IJ	Prd Storage	95	999020	PRD	0	339				
P	WR	Prd Storage	95	999020	PRD	0	1370				
D	Centerpoint Energy Resources Corp dba Centerpoint Energy Oklahoma Gas	46700779	N	STS-P	TS506	10/1/1993	10/1/2013	1825	N	2055	0
P	M2	Prd Storage	95	999020	PRD	1370	0				
P	M2	Cheney Dell Plant	95	16524	PRD	685	0				
P	MQ	Wynona	95	37100	PRD	186	0				
P	MQ	Hominy	95	37118	PRD	1869	0				
D	"Cleveland Oklahoma, City Of"	3257839	N	STS	TS850	10/1/1995	10/1/1998	1825	N	0	43989
A	"BlueMark Energy, LLC"	N									
P	IJ	Prd Storage	95	999020	PRD	0	330				
P	WR	Prd Storage	95	999020	PRD	0	1333				
D	"Cleveland Oklahoma, City Of"	3257839	N	STS-P	TS850	10/1/1995	10/1/1998	1825	N	2000	0
A	"BlueMark Energy, LLC"	N									
P	M2	LINN - Jayhawk	95	16289	PRD	667	0				
P	M2	Prd Storage	95	999020	PRD	1333	0				
P	MQ	Cleveland	95	47412	PRD	2000	0				
D	Copan Public Works Authority	155997364	N	STS	TS530	10/1/1993	10/1/2013	1825	N	0	8448
A	"Tiger Natural Gas, Inc."	N									
P	IJ	Prd Storage	95	999020	PRD	0	63				
P	WR	Prd Storage	95	999020	PRD	0	256				
D	Copan Public Works Authority	155997364	N	STS-P	TS530	10/1/1993	10/1/2013	1825	N	420	0
A	"Tiger Natural Gas, Inc."	N									
P	M2	Prd Storage	95	999020	PRD	256	0				
P	M2	Questar Skull Creek	95	15236	PRD	11	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	153	0				
P	MQ	Copan	95	48301	PRD	420	0				
D	"Denison Kansas, City Of"	26787103	N	STS	TS532	10/1/1993	10/1/2013	1825	N	0	2574
A	Kansas Municipal Gas Agency	N									
P	IJ	Mkt Storage	95	999021	MKT	0	19				
P	WR	Mkt Storage	95	999021	MKT	0	78				
D	"Denison Kansas, City Of"	26787103	N	STS-M	TS532	10/1/1993	10/1/2013	1825	N	156	0
A	Kansas Municipal Gas Agency	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	78	0				
P	M2	Mkt Storage	95	999021	MKT	78	0				
P	MQ	Denison	95	56601	MKT	156	0				
D	"Denison Kansas, City Of"	26787103	N	STS-P	TS532	10/1/1993	10/1/2013	1825	N	80	0
A	Kansas Municipal Gas Agency	N									
P	M2	LINN - Jayhawk	95	16289	PRD	80	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	80	0				
D	"Fort Cobb Oklahoma Irrigation Fuel Authority, L.L.C."	601281132	N	STS	TS533	10/1/1993	10/1/2013	1825	N	0	825
A	"Clearwater Enterprises, L.L.C."	N									
P	IJ	Mkt Storage	95	999021	MKT	0	6				
P	WR	Mkt Storage	95	999021	MKT	0	25				
D	"Fort Cobb Oklahoma Irrigation Fuel Authority, L.L.C."	601281132	N	STS-M	TS533	10/1/1993	10/1/2013	1825	N	45	0
A	"Clearwater Enterprises, L.L.C."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	20	0				
P	M2	Mkt Storage	95	999021	MKT	25	0				
P	MQ	Peckham	95	60706	MKT	45	0				
D	"Fort Cobb Oklahoma Irrigation Fuel Authority, L.L.C."	601281132	N	STS-P	TS533	10/1/1993	10/1/2013	1825	N	20	0
A	"Clearwater Enterprises, L.L.C."	N									
P	M2	OkTex Marsh Interconnect	95	11435	PRD	20	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	20	0				
D	"Fort Cobb Oklahoma Irrigation Fuel Authority, L.L.C."	601281132	N	STS	TS605	10/1/1993	10/1/2013	1825	N	0	429
A	"Clearwater Enterprises, L.L.C."	N									
P	IJ	Prd Storage	95	999020	PRD	0	3				
P	WR	Prd Storage	95	999020	PRD	0	13				
D	"Fort Cobb Oklahoma Irrigation Fuel Authority, L.L.C."	601281132	N	STS-P	TS605	10/1/1993	10/1/2013	1825	N	21	0
A	"Clearwater Enterprises, L.L.C."	N									
P	M2	Prd Storage	95	999020	PRD	13	0				
P	M2	Questar Skull Creek	95	15236	PRD	1	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	7	0				
P	MQ	Nelagoney	95	154501	PRD	21	0				
D	Freedom Municipal Trust Authority	0	N	STS	TS537	10/1/1993	10/1/2013	1825	N	0	3828
A	Constellation NewEnergy - Gas Division LLC	N									
P	IJ	Prd Storage	95	999020	PRD	0	29				
P	WR	Prd Storage	95	999020	PRD	0	116				
D	Freedom Municipal Trust Authority	0	N	STS-P	TS537	10/1/1993	10/1/2013	1825	N	227	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Questar Skull Creek	95	15236	PRD	5	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	106	0				
P	M2	Prd Storage	95	999020	PRD	116	0				
P	MQ	Freedom	95	68518	PRD	227	0				
D	"Granby Missouri, City Of"	8028748	N	STS	TS543	10/1/1993	10/1/2013	1825	N	0	21681
A	Constellation NewEnergy - Gas Division LLC	N									
A	JS Energy Services	N									
P	IJ	Mkt Storage	95	999021	MKT	0	163				
P	WR	Mkt Storage	95	999021	MKT	0	657				
D	"Granby Missouri, City Of"	8028748	N	STS-M	TS543	10/1/1993	10/1/2013	1825	N	999	0
A	Constellation NewEnergy - Gas Division LLC	N									
A	JS Energy Services	N									
P	M2	Mkt Storage	95	999021	MKT	657	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	342	0				
P	MQ	Granby	95	77118	MKT	999	0				
D	"Granby Missouri, City Of"	8028748	N	STS-P	TS543	10/1/1993	10/1/2013	1825	N	353	0
A	JS Energy Services	N									
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Questar Skull Creek	95	15236	PRD	29	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	324	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	353	0				
