H	Northwest Pipeline LLC	C000640	1/1/2018	O 	1/1/2018	T	T	Josh Taylor 801-584-6673				
P	MQ	GEORGETOWN	29	109		100						
P	MQ	GLENNS FERRY	29	151		1017						
P	MQ	GRACE	29	113		200						
P	MQ	HANSEN	29	143		58						
P	MQ	HENGGELER PACKING CO.	29	166		30						
P	MQ	IDAHO FALLS	29	128		69400						
P	MQ	IDAHO STATE PENITENTIARY	29	157		26250						
P	MQ	INDIAN HILLS	29	452		30						
P	MQ	INKOM	29	491		187						
P	MQ	KIMBERLY	29	144		809						
P	MQ	LAVA HOT SPRINGS	29	121		258						
P	MQ	MCCAMMON	29	124		183						
P	MQ	MERIDIAN/BOISE	29	159		22649						
P	MQ	MONTPELIER	29	106		1240						
P	MQ	MOUNTAIN HOME	29	154		7000						
P	MQ	MURTAUGH	29	142		120						
P	MQ	NAMPA	29	717		33644						
P	MQ	NEW PLYMOUTH	29	165		466						
P	MQ	ORCHARD ROAD	29	155		135						
P	MQ	PAYETTE/WEISER	29	169		3693						
P	MQ	POCATELLO	29	129		15367						
P	MQ	POCATELLO # 2	29	130		5100						
P	MQ	SIMPLOT-WESTVACO	29	537		9500						
P	MQ	SODA SPRINGS	29	112		10001						
P	MQ	SODA SPRINGS CANAL	29	114		50						
P	MQ	TWIN FALLS	29	146		19283						
P	MQ	TWIN FALLS # 2	29	145		858						
D	Intermountain Gas Company	181912262	N	TF-1	122470	9/1/1998	10/31/2032	365	N	7000	0	x1/x4/x38
P	M2	NORTH DOUGLAS CREEK	29	61		1300						
P	M2	OPAL PLANT	29	543		1500						
P	M2	SUMAS RECEIPT	29	297		4200						
P	MQ	ABERDEEN	29	134		500						
P	MQ	CALDWELL	29	161		3000						
P	MQ	DECLO	29	136		200						
P	MQ	HANSEN	29	143		100						
P	MQ	MERIDIAN/BOISE	29	159		1700						
P	MQ	SIMPLOT-WESTVACO	29	537		1500						
D	Intermountain Gas Company	181912262	N	TF-1	136288	8/1/2012	10/31/2032	365	N	5000	0	x1/x4/x38
P	M2	STANFIELD RECEIPT	29	187		5000						
P	MQ	IGNACIO DELIVERY	29	3		5000						
D	Intermountain Gas Company	181912262	N	TF-1	136289	8/1/2012	10/31/2032	365	N	10000	0	x1/x4/x38
P	M2	STANFIELD RECEIPT	29	187		10000						
P	MQ	IGNACIO DELIVERY	29	3		10000						
D	Intermountain Gas Company	181912262	N	TF-1	136290	8/1/2012	10/31/2032	365	N	28629	0	x1/x4/x38
P	M2	STANFIELD RECEIPT	29	187		28629						
P	MQ	IGNACIO DELIVERY	29	3		28629						
D	Intermountain Gas Company	181912262	N	TF-1	139176	11/1/2011	10/31/2032	365	N	13995	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		13995						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		13995						
D	Intermountain Gas Company	181912262	N	TF-1	139401	3/1/2012	2/29/2032	365	N	7241	0	x4/x38/x66
P	M2	STANFIELD RECEIPT	29	187		7241						
P	MQ	MERIDIAN/BOISE	29	159		3741						
P	MQ	TWIN FALLS	29	146		3500						
D	Intermountain Gas Company	181912262	N	TF-1	139404	3/1/2012	10/31/2032	365	N	7250	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		7250						
P	MQ	CLAY BASIN DELIVERY	29	77		7250						
D	INTERNATIONAL PAPER	1316561	N	TF-1	136994	8/6/2008	11/30/2010	365	N	11720	0	x3/x4/x38
P	M2	IGNACIO PLANT	29	4		5300						
P	M2	SUMAS RECEIPT	29	297		6420						
P	MQ	SOUTH EUGENE	29	336		11400						
P	MQ	YAKIMA/UNION GAP	29	439		320						
D	"Longview Fibre Paper and Packaging, Inc."	9041443	N	TF-1	100168	4/1/1997	2/28/2023	365	N	9000	0	x3/x4/x38
P	M2	IGNACIO PLANT	29	4		9000						
P	MQ	SOUTH LONGVIEW FIBRE	29	226		9000						
D	Marathon Oil Company	55122568	N	TF-1	137676	1/1/2012	10/31/2019	365	N	10000	0	x1/x4/x38
P	M2	OPAL PLANT	29	543		10000						
P	MQ	IGNACIO DELIVERY	29	3		10000						
D	Morgan Stanley Capital Group Inc.	130198013	N	TF-1	137232	1/1/2009	12/31/2018	365	N	20000	0	x1/x4/x38
P	M2	OPAL PLANT	29	543		2551						
P	M2	STANFIELD RECEIPT	29	187		17449						
P	MQ	LAPLATA-TW	29	550		20000						
D	Newmont USA Ltd	188373435	N	TF-1	100070	4/1/1993	9/30/2044	365	N	1100	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		1100						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		1100						
D	Nippon Dynawave Packaging Co	999991054	N	TF-1	141369	9/1/2016	1/31/2022	365	N	11600	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		11600						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		11600						
D	"North Pacific Paper Company, LLC"	41956012	N	TF-1	141365	9/1/2016	11/30/2021	365	N	2153	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		2153						
P	MQ	ROUND PRAIRIE(ROSEBURG LUMBER)	29	355		1053						
P	MQ	SOUTH EUGENE	29	336		1100						
D	"North Pacific Paper Company, LLC"	41956012	N	TF-1	141372	9/1/2016	1/31/2022	365	N	200	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		200						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		200						
D	Northwest Natural Gas Company	7908916	N	TF-1	100005	11/1/1992	10/31/2031	365	N	214889	0	x3/x4/x38/x89
P	M2	CLAY BASIN RECEIPT	29	75		18829						
P	M2	DRAGON TRAIL	29	59		5000						
P	M2	GREEN RIVER GATHERING	29	80		6033						
P	M2	HATCH GULCH	29	669		2165						
P	M2	IGNACIO PLANT	29	4		26101						
P	M2	LISBON RECEIPT	29	30		2000						
P	M2	OPAL PLANT	29	543		20727						
P	M2	SHUTE CREEK PLANT RECEIPT	29	541		10400						
P	M2	STARR ROAD RECEIPT	29	401		3122						
P	M2	SUMAS RECEIPT	29	297		108637						
P	M2	WEST DOUGLAS	29	57		2000						
P	M2	WESTGAS ARKANSAS	29	552		9875						
P	MQ	ALBANY	29	327		33132						
P	MQ	BATTLE GROUND	29	219		10						
P	MQ	BROWNSVILLE/HALSEY	29	330		3000						
P	MQ	CAMAS	29	217		36						
P	MQ	CARSON	29	211		5						
P	MQ	COBURG	29	332		500						
P	MQ	COTTAGE GROVE	29	342		1840						
P	MQ	CRESWELL	29	339		624						
P	MQ	DALLESPORT	29	473		2100						
P	MQ	DEER ISLAND	29	470		1000						
P	MQ	GRESHAM	29	304		7000						
P	MQ	HOOD RIVER	29	448		3169						
P	MQ	JACKSON PRAIRIE DELIVERY	29	237		10						
P	MQ	JEFFERSON/SCIO	29	324		10						
P	MQ	JOHN DAY DAM	29	202		1060						
P	MQ	KELSO/BEAVER	29	229		27000						
P	MQ	KLICKITAT	29	205		152						
P	MQ	MARION	29	322		5						
P	MQ	MCMINNVILLE-AMITY	29	315		15420						
P	MQ	MOLALLA	29	312		500						
P	MQ	MONITOR	29	313		5						
P	MQ	MOUNT ANGEL	29	314		853						
P	MQ	NORTH BONNEVILLE	29	214		5						
P	MQ	NORTH EUGENE	29	334		15000						
P	MQ	NORTH VANCOUVER	29	218		6700						
P	MQ	OREGON CITY	29	309		628						
P	MQ	PLYMOUTH LNG DELIVERY	29	196		10						
P	MQ	PORTLAND NORTHEAST	29	303		33000						
P	MQ	PORTLAND SOUTHEAST	29	307		40000						
P	MQ	PORTLAND WEST/SCAPPOOSE	29	467		59950						
P	MQ	RIDGEFIELD	29	221		5						
P	MQ	SALEM	29	319		17000						
P	MQ	SALMON CREEK	29	464		5064						
P	MQ	SOUTH EUGENE	29	336		2894						
P	MQ	SOUTH VANCOUVER	29	462		13000						
P	MQ	THE DALLES	29	474		3062						
P	MQ	TURNER	29	320		4462						
P	MQ	VAN DER SALM	29	222		5						
P	MQ	WASHOUGAL	29	301		10						
P	MQ	WHITE SALMON/BINGEN	29	447		1340						
D	Northwest Natural Gas Company	7908916	N	TF-1	100058	4/1/1993	9/30/2044	365	N	35155	0	x1/x4/x38
P	M2	COLLINS GULCH	29	700		2200						
P	M2	GREEN RIVER GATHERING	29	80		3187						
P	M2	IGNACIO PLANT	29	4		7938						
P	M2	OPAL PLANT	29	543		8491						
P	M2	SHUTE CREEK PLANT RECEIPT	29	541		6875						
P	M2	SUMAS RECEIPT	29	297		589						
P	M2	WESTGAS ARKANSAS	29	552		5875						
P	MQ	ALBANY	29	327		5000						
P	MQ	BATTLE GROUND	29	219		1255						
P	MQ	GRESHAM	29	304		11000						
P	MQ	JEFFERSON/SCIO	29	324		200						
P	MQ	KELSO/BEAVER	29	229		3000						
P	MQ	MARION	29	322		100						
P	MQ	MOLALLA	29	312		1000						
P	MQ	MONITOR	29	313		600						
P	MQ	MOUNT ANGEL	29	314		1000						
P	MQ	NORTH EUGENE	29	334		2500						
P	MQ	OREGON CITY	29	309		2000						
P	MQ	SOUTH EUGENE	29	336		7500						
D	Northwest Natural Gas Company	7908916	N	TF-1	100138	12/1/1995	10/31/2025	365	N	102000	0	x3/x4/x38
P	M2	STANFIELD RECEIPT	29	187		102000						
P	MQ	ALBANY	29	327		10000						
P	MQ	BROWNSVILLE/HALSEY	29	330		8900						
P	MQ	COTTAGE GROVE	29	342		800						
P	MQ	CRESWELL	29	339		300						
P	MQ	GRESHAM	29	304		5300						
P	MQ	JEFFERSON/SCIO	29	324		600						
P	MQ	JOHNSON CRK	29	305		4000						
P	MQ	MCMINNVILLE-AMITY	29	315		9000						
P	MQ	MOLALLA	29	312		13200						
P	MQ	MONITOR	29	313		200						
P	MQ	NORTH EUGENE	29	334		5000						
P	MQ	NORTH VANCOUVER	29	218		3800						
P	MQ	OREGON CITY	29	309		400						
P	MQ	PORTLAND NORTHEAST	29	303		2400						
P	MQ	PORTLAND SOUTHEAST	29	307		10100						
P	MQ	PORTLAND WEST/SCAPPOOSE	29	467		12400						
P	MQ	SANDY	29	306		6600						
P	MQ	SOUTH EUGENE	29	336		5000						
P	MQ	TURNER	29	320		4000						
D	Northwest Natural Gas Company	7908916	N	TF-1	136455	1/1/2017	12/31/2046	365	N	12000	0	x1/x4/x38
P	M2	COLLINS GULCH	29	700		6300						
P	M2	OPAL PLANT	29	543		5700						
P	MQ	SEDRO/WOOLLEY	29	284		1850						
P	MQ	SIPI DELIVERY	29	295		10150						
D	Northwest Natural Gas Company	7908916	N	TF-1	138065	12/1/2009	10/31/2030	365	N	4147	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		4147						
P	MQ	ROUND PRAIRIE(ROSEBURG LUMBER)	29	355		4147						
D	Northwest Natural Gas Company	7908916	N	TF-1	138587	11/1/2011	10/31/2024	365	N	23347	0	x1/x4/x38
P	M2	DEER ISLAND RECEIPT	29	620		15000						
P	M2	JACKSON PRAIRIE RECEIPT	29	235		8347						
P	MQ	SIPI DELIVERY	29	295		23347						
D	Northwest Natural Gas Company	7908916	N	TF-1	139153	4/1/2012	10/31/2030	365	N	1046	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		1046						
P	MQ	DEER ISLAND	29	470		746						
P	MQ	PORTLAND WEST/SCAPPOOSE	29	467		300						
D	Northwest Natural Gas Company	7908916	N	TF-1	139154	4/1/2012	10/31/2030	365	N	4000	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		4000						
P	MQ	CAMAS	29	217		100						
P	MQ	DEER ISLAND	29	470		100						
P	MQ	PORTLAND SOUTHEAST	29	307		3200						
P	MQ	SOUTH EUGENE	29	336		600						
D	Northwest Natural Gas Company	7908916	N	TF-1	140964	11/1/2015	10/31/2031	365	N	13525	0	x1/x4/x38
P	M2	JACKSON PRAIRIE RECEIPT	29	235		13525						
P	MQ	Felida Meter Station	29	750		1492						
P	MQ	PORTLAND WEST/SCAPPOOSE	29	467		8914						
P	MQ	SALMON CREEK	29	464		219						
P	MQ	SOUTH VANCOUVER	29	462		2900						
D	"Occidental Energy Marketing, Inc."	52298721	N	TF-1	100022	11/1/1989	3/31/2025	365	N	27050	0	x3/x4/x38
P	M2	GREEN RIVER GATHERING	29	80		19608						
P	M2	IGNACIO PLANT	29	4		4392						
P	M2	SUMAS RECEIPT	29	297		3050						
P	MQ	BELLINGHAM (FERNDALE)	29	472		21872						
P	MQ	DEER ISLAND	29	470		2378						
P	MQ	PORTLAND SOUTHEAST	29	307		2400						
P	MQ	SANTIAM	29	326		400						
D	"Occidental Energy Marketing, Inc."	52298721	N	TF-1	100090	4/1/1993	3/31/2025	365	N	2464	0	x3/x4/x38
P	M2	GREEN RIVER GATHERING	29	80		2464						
P	MQ	BELLINGHAM (FERNDALE)	29	472		2464						
D	"Occidental Energy Marketing, Inc."	52298721	N	TF-1	100095	4/1/1993	3/31/2025	365	N	2464	0	x3/x4/x38
P	M2	GREEN RIVER GATHERING	29	80		2464						
P	MQ	BELLINGHAM (FERNDALE)	29	472		2464						
D	"Occidental Energy Marketing, Inc."	52298721	N	TF-1	137143	11/1/2008	10/31/2023	365	N	60000	0	x1/x4/x38
P	M2	STANFIELD RECEIPT	29	187		60000						
P	MQ	IGNACIO DELIVERY	29	3		60000						
D	Pacificorp	7909013	N	TF-1	129875	11/1/2002	9/30/2028	365	N	15000	0	x1/x4/x38/x163
P	M2	BERWICK IN LINE TRANSFER	29	641		15000						
P	MQ	BERWICK	29	642		15000						
D	Pacificorp	7909013	N	TF-1	130983	10/1/2003	9/30/2028	365	N	90000	0	x1/x4/x38/x48
P	M2	SUMAS RECEIPT	29	297		90000						
P	MQ	BERWICK	29	642		90000						
D	Portland General Electric Company	7909054	N	TF-1	100130	11/1/1995	9/30/2018	365	N	30000	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		30000						
P	MQ	KELSO/BEAVER	29	229		30000						
D	Portland General Electric Company	7909054	N	TF-1	100131	1/1/1996	9/30/2013	365	N	16000	0	x4/x38/x66
P	M2	GREEN RIVER GATHERING	29	80		2000						
P	M2	IGNACIO PLANT	29	4		2000						
P	M2	OPAL PLANT	29	543		5000						
P	M2	SHUTE CREEK PLANT RECEIPT	29	541		3000						
P	M2	WESTGAS ARKANSAS	29	552		4000						
P	MQ	KELSO/BEAVER	29	229		16000						
D	Portland General Electric Company	7909054	N	TF-1	132685	11/1/2004	9/30/2013	365	N	11000	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		11000						
P	MQ	STANFIELD DELIVERY	29	188		11000						
D	Portland General Electric Company	7909054	N	TF-1	138137	1/1/2010	10/31/2025	365	N	14851	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		14851						
P	MQ	KELSO/BEAVER	29	229		14851						
D	Portland General Electric Company	7909054	N	TF-1	138154	1/1/2010	10/31/2025	365	N	1454	0	x4/x38/x66
P	M2	SUMAS RECEIPT	29	297		1454						
P	MQ	KELSO/BEAVER	29	229		1454						
D	Powerex Corp	253301949	N	TF-1	142131	1/1/2018	1/31/2018		N	20000	0	x4/x38
P	M2	OPAL PLANT	29	543		20000						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		20000						
D	"Premier Magnesia, LLC"	66817946	N	TF-1	100071	4/1/1993	9/30/2044	365	N	850	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		850						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		850						
D	Public Utility District No. 1 of Clark County	44111037	N	TF-1	132246	11/1/2004	10/31/2020	365	N	10000	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		10000						
P	MQ	RIVER ROAD	29	463		6800						
P	MQ	STANFIELD DELIVERY	29	188		3200						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	100009	11/1/1992	10/31/2023	365	N	288303	0	x3/x4/x38
P	M2	BLANCO HUB-TW (56498)	29	564		14164						
P	M2	BLANCO RECEIPT	29	554		14775						
P	M2	CLAY BASIN RECEIPT	29	75		58906						
P	M2	GREEN RIVER GATHERING	29	80		2209						
P	M2	OPAL PLANT	29	543		35541						
P	M2	STARR ROAD RECEIPT	29	401		75936						
P	M2	SUMAS RECEIPT	29	297		77875						
P	M2	WESTGAS ARKANSAS	29	552		8897						
P	MQ	BARTELHEIMER	29	273		233						
P	MQ	BETHEL SCHOOL	29	246		9990						
P	MQ	BLACK DIAMOND	29	258		2830						
P	MQ	CAMERON VILLAGE (EAST AUBURN)	29	257		50						
P	MQ	CENTRALIA/CHEHALIS	29	243		6100						
P	MQ	COVINGTON	29	259		4100						
P	MQ	DUVALL-COTTAGE LAKE	29	268		5000						
P	MQ	ECHO LAKE	29	271		700						
P	MQ	EVERGREEN SHORES-BLACK LAKE	29	484		1000						
P	MQ	FREDRICKSON	29	247		1						
P	MQ	GOLD BAR (MONROE)	29	478		1						
P	MQ	GRANITE FALLS	29	278		8820						
P	MQ	ISSAQUAH HIGHLANDS	29	263		28850						
P	MQ	LAKE FRANCIS	29	260		4755						
P	MQ	LAKE STEVENS	29	277		1666						
P	MQ	LITTLE ROCK TAP	29	483		1140						
P	MQ	MAPLE HEIGHTS	29	450		750						
P	MQ	MONROE	29	475		1196						
P	MQ	NORTH BEND/SNOQUALMIE	29	264		10250						
P	MQ	NORTH SEATTLE/EVERETT	29	481		83600						
P	MQ	NORTH TACOMA	29	482		80700						
P	MQ	OLYMPIA	29	547		13400						
P	MQ	RAINIER	29	545		150						
P	MQ	RAINIER TERRACE	29	251		5020						
P	MQ	REDMOND	29	265		28876						
P	MQ	SNOHOMISH	29	275		1930						
P	MQ	SOUTH SEATTLE	29	451		48000						
P	MQ	SOUTH TACOMA	29	250		26640						
P	MQ	STARTUP (MONROE)	29	477		1						
P	MQ	SULTAN (MONROE)	29	476		1						
P	MQ	TOLEDO	29	232		400						
P	MQ	WINLOCK	29	233		400						
P	MQ	YELM	29	245		700						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	100035	10/1/1990	10/31/2023	365	N	32800	0	x3/x4/x38/x156
P	M2	SUMAS RECEIPT	29	297		32800						
P	MQ	SOUTH SEATTLE	29	451		32800						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	100051	3/1/1992	10/31/2023	365	N	5000	0	x3/x4/x38/x156
P	M2	SUMAS RECEIPT	29	297		5000						
P	MQ	SOUTH SEATTLE	29	451		5000						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	100056	4/1/1993	10/31/2023	365	N	100000	0	x3/x4/x38/x89
P	M2	BLANCO HUB-TW (56498)	29	564		15216						
P	M2	CLAY BASIN RECEIPT	29	75		4000						
P	M2	GREEN RIVER GATHERING	29	80		18784						
P	M2	OPAL PLANT	29	543		4000						
P	M2	SUMAS RECEIPT	29	297		58000						
P	MQ	BETHEL SCHOOL	29	246		3670						
P	MQ	CAMERON VILLAGE (EAST AUBURN)	29	257		200						
P	MQ	CENTRALIA/CHEHALIS	29	243		200						
P	MQ	CHEHALIS RURAL TAP	29	234		100						
P	MQ	COVINGTON	29	259		1500						
P	MQ	DEER ISLAND	29	470		9200						
P	MQ	DUVALL-COTTAGE LAKE	29	268		3000						
P	MQ	EVERGREEN SHORES-BLACK LAKE	29	484		900						
P	MQ	GRANITE FALLS	29	278		230						
P	MQ	ISSAQUAH HIGHLANDS	29	263		5750						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		3000						
P	MQ	LAKE FRANCIS	29	260		3200						
P	MQ	LITTLE ROCK TAP	29	483		50						
P	MQ	MCMILLAN	29	242		50						
P	MQ	MONROE	29	475		300						
P	MQ	NORTH BEND/SNOQUALMIE	29	264		5000						
P	MQ	NORTH SEATTLE/EVERETT	29	481		15000						
P	MQ	NORTH TACOMA	29	482		5300						
P	MQ	NOVELTY HILL M/S	29	608		1900						
P	MQ	OLYMPIA	29	547		5000						
P	MQ	PORTLAND WEST/SCAPPOOSE	29	467		9014						
P	MQ	RAINIER	29	545		100						
P	MQ	RAINIER TERRACE	29	251		1000						
P	MQ	REDMOND	29	265		6100						
P	MQ	RIVERGATE (OREGON STEEL)	29	468		986						
P	MQ	SEDRO/WOOLLEY	29	284		3000						
P	MQ	SNOHOMISH	29	275		100						
P	MQ	SOUTH SEATTLE	29	451		8000						
P	MQ	SOUTH TACOMA	29	250		8000						
P	MQ	TOLEDO	29	232		150						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	100120	9/1/1994	10/31/2023	365	N	18430	0	x3/x4/x38/x156
P	M2	BLANCO RECEIPT	29	554		5400						
P	M2	SUMAS RECEIPT	29	297		13030						
P	MQ	EVERGREEN SHORES-BLACK LAKE	29	484		1710						
P	MQ	MACHIAS	29	276		817						
P	MQ	MAY VALLEY	29	262		1250						
P	MQ	NORTH PUYALLUP	29	252		3333						
P	MQ	OLYMPIA	29	547		11320						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	100132	11/1/1995	10/31/2023	365	N	10000	0	x3/x4/x38/x156
P	M2	SUMAS RECEIPT	29	297		10000						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		10000						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	121293	1/3/1998	10/31/2023	365	N	1848	0	x1/x4/x38
P	M2	IGNACIO PLANT	29	4		1848						
P	MQ	BELLINGHAM II	29	290		1848						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	127115	12/15/2001	12/14/2021	365	Y	50350	0	x1/x4/x38
P	M2	GOLDENDALE IN-LINE TRANS REC	29	619		50350						
P	MQ	GOLDENDALE ENERGY DELIVERY	29	618		50350						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	132124	4/30/2004	10/31/2023	365	N	21747	0	x1/x4/x38/x47
P	M2	SUMAS RECEIPT	29	297		21747						
P	MQ	SCOTT METER STATION	29	628		21747						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	134258	1/1/2006	10/31/2023	365	N	55000	0	x1/x4/x38/x47
P	M2	SUMAS RECEIPT	29	297		55000						
P	MQ	GRAYS HARBOR METER STATION	29	640		55000						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	135434	11/1/2008	10/31/2028	365	N	110704	0	x1/x4/x38/x92
P	M2	JACKSON PRAIRIE RECEIPT	29	235		110704						
P	MQ	BELLINGHAM (FERNDALE)	29	472		30500						
P	MQ	EVERETT DELTA METER STATION	29	674		75704						
P	MQ	SEDRO/WOOLLEY	29	284		4500						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	136459	11/1/2008	9/30/2044	365	N	11210	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		11210						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		710						
P	MQ	STANFIELD DELIVERY	29	188		10000						
P	MQ	WEYEHAEUSER (OSTRANDER PLANT)	29	228		500						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	138077	12/4/2009	12/3/2024	365	N	36928	0	x1/x4/x38/x163
P	M2	OLYMPIA LATERAL IN-LINE TRANS	29	735		36928						
P	MQ	OLYMPIA	29	547		36928						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	138409	5/1/2010	10/31/2023	365	N	2000	0	x1/x4/x38/x156
P	M2	SUMAS RECEIPT	29	297		2000						
P	MQ	NORTH TACOMA	29	482		2000						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	138412	6/1/2010	10/31/2023	365	N	9000	0	x3/x4/x38/x156
P	M2	SUMAS RECEIPT	29	297		9000						
P	MQ	SOUTH LONGVIEW FIBRE	29	226		9000						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	139228	11/1/2011	10/31/2023	365	N	616	0	x1/x4/x38
P	M2	OPAL PLANT	29	543		616						
P	MQ	CANYON (PUGET POWER)	29	248		616						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	139623	9/1/2012	10/31/2023	365	N	1000	0	x4/x38/x66/x156
P	M2	OPAL PLANT	29	543		420						
P	M2	SUMAS RECEIPT	29	297		580						
P	MQ	WENATCHEE	29	446		1545						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	139859	11/8/2012	11/7/2027	365	N	80120	0	x1/x4/x38/x163
P	M2	North Seattle In-Line Transfer	29	754		80120						
P	MQ	NORTH SEATTLE/EVERETT	29	481		80120						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	140053	11/1/2013	10/31/2028	365	N	63900	0	x1/x4/x38/x163
P	M2	South Seattle In-Line Transfer	29	759		63900						
P	MQ	SOUTH SEATTLE	29	451		63900						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	140415	6/27/2014	10/31/2023	365	N	2469	0	x4/x38/x66/x156
P	M2	IGNACIO PLANT	29	4		2139						
P	M2	SUMAS RECEIPT	29	297		330						
P	MQ	BUCKLEY	29	256		2469						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	140669	3/1/2015	3/31/2025	365	N	6150	0	x3/x4/x38
P	M2	SUMAS RECEIPT	29	297		6150						
P	MQ	CAMAS	29	217		800						
P	MQ	DEER ISLAND	29	470		3150						
P	MQ	MCMINNVILLE-AMITY	29	315		1600						
P	MQ	PORTLAND NORTHEAST	29	303		600						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	140678	4/1/2015	3/31/2020	365	N	1200	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		1200						
P	MQ	KERN RIVER MUDDY CREEK DELIV.	29	92		1200						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	140766	11/1/2015	10/31/2032	365	N	6650	0	x1/x4/x38
P	M2	JACKSON PRAIRIE RECEIPT	29	235		6650						
P	MQ	SOUTH LONGVIEW FIBRE	29	226		6650						
D	"Puget Sound Energy, Inc."	7942113	N	TF-1	140910	11/1/2015	10/31/2032	365	N	30420	0	x1/x4/x38
P	M2	JACKSON PRAIRIE RECEIPT	29	235		30420						
P	MQ	SEDRO/WOOLLEY	29	284		30420						
D	Questar Gas	7939069	N	TF-1	139525	5/1/2012	4/30/2017	365	N	4311	0	x4/x38/x66
P	M2	OPAL PLANT	29	543		4311						
P	MQ	BLANCO DELIVERY	29	555		4311						
D	Roseburg Forest Products	131075863	N	TF-1	100084	4/1/1993	10/31/2042	365	N	525	0	x1/x4/x38
P	M2	NORTH DOUGLAS CREEK	29	61		525						
P	MQ	ROUND PRAIRIE(ROSEBURG LUMBER)	29	355		525						
D	Roseburg Forest Products	131075863	N	TF-1	100141	12/1/1995	11/30/2020	365	N	2250	0	x3/x4/x38
P	M2	OPAL PLANT	29	543		1125						
P	M2	SUMAS RECEIPT	29	297		1125						
P	MQ	ROUND PRAIRIE(ROSEBURG LUMBER)	29	355		2250						
D	"Shell Energy North America (US), LP"	837565548	N	TF-1	134972	11/1/2006	3/31/2026	365	N	9500	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		9500						
P	MQ	BLANCO DELIVERY	29	555		9500						
D	"Shell Energy North America (US), LP"	837565548	N	TF-1	135526	4/1/2008	3/31/2026	365	N	10000	0	x1/x4/x38
P	M2	SUMAS RECEIPT	29	297		10000						
P	MQ	BLANCO DELIVERY	29	555		10000						
D	"Shell Energy North America (US), LP"	837565548	N	TF-1	137104	11/1/2008	10/31/2023	365	N	20500	0	x1/x4/x38
P	M2	STANFIELD RECEIPT	29	187		20500						
P	MQ	IGNACIO DELIVERY	29	3		20500						
D	Sierra Pacific Power Company	959415852	N	TF-1	100046	6/1/1991	6/30/2008	365	N	59696	0	x3/x4/x38
P	M2	GREEN RIVER GATHERING	29	80		9880						
P	M2	OPAL PLANT	29	543		14032						
P	M2	SUMAS RECEIPT	29	297		35784						
P	MQ	RENO LATERAL (TO PAIUTE)	29	459		59696						
D	Sierra Pacific Power Company	959415852	N	TF-1	100061	4/1/1993	3/31/2008	365	N	9000	0	x3/x4/x38
P	M2	IGNACIO PLANT	29	4		9000						
