H	"Columbia Gulf Transmission, LLC"	C000307          	4/2/2018	O	4/1/2018	T	T	Kay Dennison (832)320-5336	 			
D	"Mitsui & Co. Cameron LNG Sales, Inc."	80126411	N       	FTS-1   	172619	3/1/2018	7/22/2038	 	Y	125000		 
A	"Cameron LNG, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Mitsui & Co. Energy Marketing and Services (USA), Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	MAINLINE POOL	95	P20	MNL     	100000			 	 	 	 
P	M2	SABINE - HENRY HUB  	95	519	ON      	25000			 	 	 	 
P	MQ	Cameron LNG	95	4246	ON      	125000			 	 	 	 
D	Mountaineer Gas Company	112746458	N       	FTS-1   	79835	11/1/2004	10/31/2019	 	N	62219		 
P	M2	CGT-RAYNE	95	2700010	MNL     	62219			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	62219			 	 	 	 
D	New York State Electric & Gas Corporation	41866497	N       	FTS-1   	80242	11/1/2004	10/31/2019	 	N	23554		 
P	M2	CGT-RAYNE	95	2700010	MNL     	23554			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	23554			 	 	 	 
D	NJR Energy Services Company	25715165	N       	FTS-1   	199004	1/1/2018	10/31/2018	 	N	50000		 
P	M2	MAINLINE POOL	95	P20	MNL     	50000			 	 	 	 
P	MQ	FLORIDA GAS         	95	4118	ON      	25000			 	 	 	 
P	MQ	SONAT-SHADYSIDE     	95	4078	ON      	25000			 	 	 	 
D	"Noble Energy, Inc."	52877586	N       	FTS-1   	174453	11/1/2017	10/31/2032	 	Y	100000		 
P	M2	GULF-LEACH	95	801	MNL     	100000			 	 	 	 
P	MQ	MAINLINE POOL	95	P20	MNL     	100000			 	 	 	 
D	North Alabama Gas District	61141453	N       	FTS-1   	157957	11/1/2014	10/31/2019	 	N	1500		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	1500			 	 	 	 
P	MQ	MIDCOAST-ALCORN CNTY	95	4023	MNL     	1500			 	 	 	 
D	"Piedmont Natural Gas Company, Inc."	6996219	N       	FTS-1   	43462	11/1/1994	10/31/2022	 	N	9202		 
A	"Emera Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	9202			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	9202			 	 	 	 
D	"Piedmont Natural Gas Company, Inc."	6996219	N       	FTS-1   	145252	12/1/2013	10/31/2022	 	N	11755		 
A	"Emera Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	EGAN STOR-ACADIA-REC	95	4123	ON      	11755			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	11755			 	 	 	 
D	"Piedmont Natural Gas Company, Inc."	6996219	N       	FTS-1   	194490	11/1/2017	10/31/2022	 	N	58052		 
A	"Emera Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	58052			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	58052			 	 	 	 
D	Rainbow Energy Marketing Corporation	861498608	N       	FTS-1   	174541	4/1/2016	10/31/2018	 	N	20000		 
P	M2	MAINLINE POOL	95	P20	MNL     	20000			 	 	 	 
P	MQ	SONAT-SHADYSIDE     	95	4078	ON      	20000			 	 	 	 
D	"Range Resources - Appalachia, LLC"	114534337	N       	FTS-1   	144413	11/1/2013	10/31/2020	 	N	30000		 
P	M2	GULF-LEACH	95	801	MNL     	30000			 	 	 	 
P	MQ	FLORIDA GAS         	95	4118	ON      	30000			 	 	 	 
D	"Range Resources - Appalachia, LLC"	114534337	N       	FTS-1   	174461	11/1/2017	10/31/2032	 	Y	200000		 
A	"ENGIE Energy Marketing NA, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	GULF-LEACH	95	801	MNL     	200000			 	 	 	 
P	MQ	MAINLINE POOL	95	P20	MNL     	200000			 	 	 	 
D	"Range Resources - Appalachia, LLC"	114534337	N       	FTS-1   	196009	11/1/2017	10/31/2032	 	Y	200000		 
P	M2	"Tetco/Adair Co., Ky Receipt"	95	3194	MNL     	200000			 	 	 	 
P	MQ	CGT-RAYNE	95	2700010	MNL     	30000			 	 	 	 
P	MQ	FLORIDA GAS         	95	4118	ON      	20000			 	 	 	 
P	MQ	TRANSCO-EVANGELINE	95	478	MNL     	150000			 	 	 	 
D	Reynolds Consumer Products LLC	SR 4222738	N       	FTS-1   	147057	11/1/2013	10/31/2018	 	N	588		 
A	"CNE Gas Supply, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Compass Energy Gas Services, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Constellation Energy Services ?Çô Natural Gas, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"Constellation Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Constellation NewEnergy - Gas Division LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	588			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	588			 	 	 	 
D	Rice Energy Marketing LLC	454877837	N       	FTS-1   	162092	2/2/2015	10/31/2024	 	N	50000		 
A	"EQT Energy, LLC"	N       		 	 	 	 	 	 	 	 	 
A	"EQT Gathering, LLC"	N       		 	 	 	 	 	 	 	 	 
A	EQT Production Company	N       		 	 	 	 	 	 	 	 	 
A	Kentucky West Virginia Gas	N       		 	 	 	 	 	 	 	 	 
P	M2	GULF-LEACH	95	801	MNL     	50000			 	 	 	 
P	MQ	CGT-RAYNE	95	2700010	MNL     	50000			 	 	 	 
D	Roanoke Gas Company	7941669	N       	FTS-1   	79859	11/1/2004	3/31/2022	 	N	17349		 
A	ConocoPhillips Company	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	17349			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	17349			 	 	 	 
D	Sheldon Gas Company	92178458	N       	FTS-1   	43335	11/1/1994	10/31/2020	 	N	650		 
A	"M & B Gas Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	650			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	650			 	 	 	 
D	"Shell Energy North America (US), L.P."	837565548	N       	FTS-1   	202692	4/1/2018	4/30/2018	 	N	20000		 
P	M2	DMS-VENICE PLANT    	95	595	ON      	20000			 	 	 	 
P	MQ	MAINLINE POOL	95	P20	MNL     	20000			 	 	 	 
D	"South Jersey Resources Group, LLC"	36474336	N       	FTS-1   	12732	11/1/2009	10/31/2019	 	N	15000		 
P	M2	CGT-RAYNE	95	2700010	MNL     	15000			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	15000			 	 	 	 
D	Stand Energy Corporation	121293039	N       	FTS-1   	171323	4/1/2016	3/31/2021	 	N	0		 
P	M2	CGT-RAYNE	95	2700010	MNL     	0			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	0			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FTS-1   	75379	4/1/2003	3/31/2023	 	N	1837		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	1837			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	1837			 	 	 	 
D	Suburban Natural Gas Company	868257569	N       	FTS-1   	78852	11/1/2004	10/31/2024	 	N	3183		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	3183			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	3183			 	 	 	 
D	The Arlington Natural Gas Company	6832422	N       	FTS-1   	43334	11/1/1994	10/31/2020	 	N	941		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"M & B Gas Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	941			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	941			 	 	 	 
D	The Swickard Gas Co.	3842507	N       	FTS-1   	43364	11/1/1994	10/31/2020	 	N	357		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"M & B Gas Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	357			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	357			 	 	 	 
D	"UGI Penn Natural Gas, Inc."	79167763	N       	FTS-1   	79617	11/1/2004	3/31/2020	 	N	6324		 
A	Georgio Foods	N       		 	 	 	 	 	 	 	 	 
A	"UGI Utilities, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	6324			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	6324			 	 	 	 
D	"Virginia Natural Gas, Inc."	150491314	N       	FTS-1   	79294	11/1/2004	10/31/2025	 	N	51479		 
A	Atlanta Gas Light Company	N       		 	 	 	 	 	 	 	 	 
A	"Sequent Energy Management, L.P."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	51479			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	51479			 	 	 	 
D	"Virginia Power Services Energy Corp., Inc."	27054050	N       	FTS-1   	21053	11/1/2011	10/31/2019	 	N	20000		 
A	"Dominion Energy Fuel Services, Inc. (formerly VPEM)"	N       		 	 	 	 	 	 	 	 	 
P	M2	CENTERPOINT	95	4203	MNL     	20000			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	20000			 	 	 	 
D	Washington Gas Light Company	6920607	N       	FTS-1   	79356	11/1/2004	3/31/2022	 	N	140630		 
A	"Vega Energy Partners, Ltd."	N       		 	 	 	 	 	 	 	 	 
P	M2	CGT-RAYNE	95	2700010	MNL     	140630			 	 	 	 
P	MQ	GULF-LEACH	95	801	MNL     	140630			 	 	 	 
