H	"GULF SOUTH PIPELINE COMPANY, LP"	C000591	2/13/2018	R	1/1/2018	T	T	NATALIE LAWRENCE 713-479-8208				
P	M2	GOODRICH (FROM ENBRIDGE)	95	1607	SYSTEM 	1181	0					
P	MQ	HENDERSON AGGREGATE SLN - ENTEX	95	6629	SYSTEM 	23936	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	17979	0					
P	MQ	HOUSTON AGGREGATE	95	6640	SYSTEM 	83306	0					
P	MQ	HUNTSVILLE AGGREGATE SLN - ENTEX	95	10168	SYSTEM 	412	0					
P	M2	JACKSON COUNTY (FROM DESTIN)	95	15903	SYSTEM 	3361	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	33987	0					
P	MQ	JASPER AGGREGATE SLN - ENTEX	95	6639	SYSTEM 	2675	0					
P	MQ	KIRKPATRICK HEIGHTS SUBD CITY GATE	95	592	SYSTEM 	876	0					
P	MQ	LIVINGSTON AGGREGATE SLN - ENTEX	95	6641	SYSTEM 	2573	0					
P	MQ	LONGVIEW AGGREGATE SLN - ENTEX	95	6627	SYSTEM 	9498	0					
P	M2	LONGVIEW PLT (FROM ENBRIDGE)	95	11673	SYSTEM 	4369	0					
P	MQ	MARSHALL AGGREGATE SLN - ENTEX	95	6635	SYSTEM 	622	0					
P	MQ	MARSHALL AGGREGATE SLN - ENTEX	95	10171	SYSTEM 	139	0					
P	MQ	MISC AREA 08-266 AGGREGATE	95	6633	SYSTEM 	3575	0					
P	MQ	NACOGDOCHES AGGREGATE SLN - ENTEX	95	6638	SYSTEM 	11991	0					
P	MQ	ROSENBERG (TO KINDER MORGAN)	95	22950	SYSTEM 	12768	0					
P	MQ	SAN AUGUSTINE AGGREGATE SLN - ENTEX	95	6620	SYSTEM 	7	0					
P	M2	SAN AUGUSTINE CP #1	95	22602	SYSTEM 	5041	0					
P	M2	SHELL: N. TERREBONNE PLANT RESIDUE	95	165	SYSTEM 	8571	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	50981	0					
P	MQ	TATUM AGGREGATE SLN - ENTEX	95	6634	SYSTEM 	715	0					
P	M2	TECO POLK COUNTY - ENTERPRISE	95	12780	SYSTEM 	9815	0					
P	MQ	TENAHA AGGREGATE SLN - ENTEX	95	10170	SYSTEM 	846	0					
P	MQ	TYLER #5 AGGREGATE SLN - ENTEX	95	6644	SYSTEM 	5	0					
P	MQ	TYLER AGGREGATE	95	6628	SYSTEM 	433	0					
P	MQ	TYLER AGGREGATE SLN - ENTEX	95	10169	SYSTEM 	3396	0					
P	M2	VENICE PLT (FROM TARGA MIDSTREAM)	95	464	SYSTEM 	5377	0					
D	CENTERPOINT ENERGY RESOURCES CORP.	46700779	N	NNS-A	42358	6/1/2014	5/31/2019		N	35000	0	
P	M2	ENSTOR KATY STORAGE WITHDRAWAL	95	10509	SYSTEM 	17500	0					
P	MQ	NNS-A HOUSTON AGGREGATE CENTERPOINT	95	23202	SYSTEM 	35000	0					
P	M2	NNS-A STORAGE	95	23190	SYSTEM 	17500	0					
D	CENTERPOINT ENERGY RESOURCES CORP. DBA CENTERPOINT ENERGY LOUISIANA GAS	6948210	N	NNS-SCO	39509	4/1/2012	3/31/2014	1825	N	1036	0	
P	MQ	BELCHER/COTTON VALLEY AGGREGATE SLN	95	11258	SYSTEM 	720	0					
P	M2	BURFORD C P	95	21724	SYSTEM 	518	0					
P	MQ	FARMERVILLE AGGREGATE	95	11291	SYSTEM 	166	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	207	0					
P	MQ	NORTHWEST LA AGGREGATE - RELIANT	95	20666	SYSTEM 	150	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	311	0					
D	CENTERPOINT ENERGY RESOURCES CORP. DBA CENTERPOINT ENERGY LOUISIANA GAS	6948210	N	NNS	42354	10/1/2014	4/30/2023		N	100	0	
P	M2	BURFORD C P	95	21724	SYSTEM 	50	0					
P	MQ	CLAIBORNE PARISH PRISON (TO ARKLA)	95	20740	SYSTEM 	42	0					
P	MQ	COTTON VALLEY CITY GATE	95	9314	SYSTEM 	14	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	20	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	30	0					
P	MQ	UNION PARISH FARM TAP (RELIANT)	95	21052	SYSTEM 	20	0					
P	MQ	UNION PARISH RE-1473 (TO RELIANT)	95	20922	SYSTEM 	24	0					
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FTS	45770	2/1/2016	1/31/2018		N	2000	0	
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	2000	0					
P	MQ	TYLER AGGREGATE SLN - ENTEX	95	10169	SYSTEM 	2000	0					
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FTS	46270	5/1/2016	4/30/2019		N	4000	0	
P	MQ	BAYOU DINDE CITY GATE	95	20709	LAKE CHARLES 	200	0					
P	MQ	CALCASIEU INDUSTRIES	95	21737	LAKE CHARLES 	2500	0					
P	MQ	CALCASIEU REFINING	95	21738	LAKE CHARLES 	1300	0					
P	M2	DEEP LAKE (FROM NGPL)	95	3263	LAKE CHARLES 	1500	0					
P	M2	IOWA - FROM TEXAS GAS	95	21708	LAKE CHARLES 	2500	0					
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FTS	47399	4/1/2017	3/31/2020		N	10000	0	
P	MQ	CALCASIEU INDUSTRIES	95	21737	LAKE CHARLES 	5000	0					
P	MQ	CALCASIEU REFINING	95	21738	LAKE CHARLES 	5000	0					
P	M2	IOWA - FROM TEXAS GAS	95	21708	LAKE CHARLES 	10000	0					
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FTS	47604	8/1/2017	7/31/2020		N	2331	0	
P	MQ	CALCASIEU INDUSTRIES	95	21737	LAKE CHARLES 	1000	0					
P	MQ	CALCASIEU REFINING	95	21738	LAKE CHARLES 	1331	0					
P	M2	DEEP LAKE (FROM NGPL)	95	3263	LAKE CHARLES 	2331	0					
D	"CENTURY FLORIDA, TOWN OF"	38028742	N	NNS-SCO	45713	4/1/2016	3/31/2023		N	1300	0	
A	BP ENERGY COMPANY	N										
P	MQ	CENTURY CITY GATE	95	2593	SYSTEM 	1300	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	52	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	260	0					
P	M2	POOLING AREA #7	95	11467	SYSTEM 	598	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	390	0					
D	"CHATHAM, TOWN OF"	90941998	N	FTS-SCO	36210	4/1/2009	3/31/2019		N	422	0	
A	BLACKBELT ENERGY	N										
P	M2	BRACKY BRANCH C.P.	95	8999	SYSTEM 	422	0					
P	MQ	CHATHAM CITY GATE	95	3339	SYSTEM 	422	0					
D	"CHATHAM, TOWN OF"	90941998	N	NNS-SCO	36211	4/1/2009	4/30/2023		N	281	0	
A	BLACKBELT ENERGY	N										
P	M2	BRACKY BRANCH C.P.	95	8999	SYSTEM 	141	0					
P	MQ	CHATHAM CITY GATE	95	3339	SYSTEM 	281	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	56	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	84	0					
D	"CHESAPEAKE ENERGY MARKETING, L.L.C."	809849326	N	FTS	36376	2/1/2009	12/31/2031		N	10000	0	
A	TENASKA MARKETING VENTURES	N										
P	M2	DESOTO PARISH (ETC FIELD SERVICES)	95	22653	SYSTEM 	10000	0					
P	MQ	LONEWA (TO TEXAS GAS)	95	3362	SYSTEM 	10000	0					
D	"CHESAPEAKE ENERGY MARKETING, L.L.C."	809849326	N	FTS	36402	4/1/2009	3/31/2034		N	9000	0	
A	TENASKA MARKETING VENTURES	N										
P	M2	DESOTO PARISH (ETC FIELD SERVICES)	95	22653	SYSTEM 	9000	0					
P	MQ	HENRY HUB (TO SABINE)	95	10506	SYSTEM 	9000	0					
D	"CHESTER, CITY OF"	47549134	N	FTS-SCO	40850	4/1/2014	3/31/2019		N	76	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	76	0					
P	MQ	CHESTER CITY GATE	95	599	SYSTEM 	76	0					
D	"CHESTER, CITY OF"	47549134	N	NNS-SCO	45506	4/1/2016	3/31/2019		N	250	0	
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	125	0					
P	MQ	CHESTER CITY GATE	95	599	SYSTEM 	250	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	50	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	75	0					
D	"CHEVRON NATURAL GAS, A DIVISION OF CHEVRON U.S.A. INC."	9140559	N	FTS	41610	11/1/2014	10/31/2024		Y	100000	0	
P	M2	MARKWEST CARTHAGE [EXPANSION]	95	24245	SYSTEM 	38000	0					
P	M2	NAUTILUS (FROM NAUTILUS)	95	15872	SYSTEM 	50000	0					
P	MQ	PASCAGOULA HIGH PRESSURE (TO CHEVR	95	24251	SYSTEM 	100000	0					
P	M2	PERRYVILLE EXCHANGE POINT	95	23039	SYSTEM 	12000	0					
D	"CHEVRON NATURAL GAS, A DIVISION OF CHEVRON U.S.A. INC."	9140559	N	FSS-P	47780	4/1/2017	3/31/2019		N	0	500000	
P	IJ	TENNESSEE PETAL RECEIPT	95	108009	SYSTEM 	0	22000					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	65000					
D	"CHEVRON NATURAL GAS, A DIVISION OF CHEVRON U.S.A. INC."	9140559	N	FTS-P	47800	4/1/2017	3/31/2019		N	65000	0	
P	MQ	DESTIN PETAL DELIVERY	95	109013	SYSTEM 	30000	0					
P	MQ	GULF SOUTH 42 (TO GS VIA 42  EXPAN)	95	23032	SYSTEM 	35000	0					
P	M2	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	65000	0					
D	CHICKASAWHAY NATURAL GAS DISTRICT	91403881	N	NNS-SCO	39544	4/1/2012	3/31/2013	1825	N	6314	0	
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	M2	BIENVILLE (FROM PANENERGY)	95	6861	SYSTEM 	3157	0					
P	MQ	DESOTO/QUITMAN/SHUBUTA/WAYNESBORO 	95	2418	SYSTEM 	6314	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1263	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1894	0					
D	"CITRONELLE,THE UTILITY BOARD OF THE TOWN"	79459939	N	NNS-SCO	45715	4/1/2016	3/31/2023		N	2935	0	
A	BP ENERGY COMPANY	N										
P	M2	CENTERVILLE (FROM ANR)	95	425	SYSTEM 	367	0					
P	M2	ERATH (FROM NGPL)	95	3260	SYSTEM 	734	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	367	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	587	0					
P	MQ	NACHEZ ROAD - S.E.ALABAMA UTILITIES	95	13472	SYSTEM 	80	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	880	0					
P	MQ	TOWN OF CITRONELLE/BAYOU LA BATRE 	95	2621	SYSTEM 	2703	0					
P	MQ	WILMER ROAD - SOUTH ALABAMA UTILIT	95	7376	SYSTEM 	152	0					
D	"COLORADO BEND II POWER, LLC"	11057	N	FTS	46260	10/1/2016	9/30/2036		Y	185000	0	
A	"EXELON GENERATION COMPANY, LLC"	N										
P	MQ	COLORADO BEND PLANT (STATE HWY 60)	95	24287	SYSTEM 	185000	0					
P	M2	ENSTOR KATY STORAGE WITHDRAWAL	95	10509	SYSTEM 	145000	0					
P	M2	TRES PALACIOS STORAGE WITHDRAWAL	95	24293	SYSTEM 	40000	0					
D	CONOCOPHILLIPS COMPANY	1368265	N	FSS-B	47666	4/1/2017	3/31/2019		N	0	500000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	3950					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	3950					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	7150					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	7150					
D	CONOCOPHILLIPS COMPANY	1368265	N	FSS-B	47682	4/1/2017	3/31/2019		N	0	500000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	3950					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	3950					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	7150					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	7150					
D	CONOCOPHILLIPS COMPANY	1368265	N	FSS-B	47760	4/1/2017	3/31/2019		N	0	1000000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	7900					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	7900					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	14300					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	14300					
D	COOPERATIVE ENERGY	77893378	N	FSS-P	9389	1/1/2015	3/31/2031		N	0	500000	
A	SOUTHCROSS MARKETING COMPANY LTD.	N										
P	WR	SESH PETAL DELIVERY	95	109015	SYSTEM 	0	50000					
P	IJ	SESH PETAL RECEIPT	95	108015	SYSTEM 	0	10000					
D	"DE QUINCY, CITY OF"	37774429	N	FTS-SCO	36221	4/1/2009	3/31/2019		N	2400	0	
A	BLACKBELT ENERGY	N										
P	M2	BARLOW #1 WELL	95	21793	SYSTEM 	600	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	1800	0					
P	MQ	LMGA - DEQUINCY AGGREGATE	95	10128	SYSTEM 	2400	0					
D	"DE QUINCY, CITY OF"	37774429	N	NNS-SCO	36222	4/1/2009	4/30/2023		N	1200	0	
A	BLACKBELT ENERGY	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	600	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	240	0					
P	MQ	LMGA - DEQUINCY AGGREGATE	95	10128	SYSTEM 	1200	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	360	0					
D	"DELCAMBRE, TOWN OF"	169844982	N	FTS-SCO	36213	4/1/2009	3/31/2019		N	450	0	
A	BLACKBELT ENERGY	N										
P	MQ	DELCAMBRE CITY GATE	95	2941	SYSTEM 	450	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	450	0					
D	"DELCAMBRE, TOWN OF"	169844982	N	NNS-SCO	36214	4/1/2009	4/30/2023		N	300	0	
A	BLACKBELT ENERGY	N										
P	MQ	DELCAMBRE CITY GATE	95	2941	SYSTEM 	300	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	150	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	60	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	90	0					
D	"DENHAM SPRINGS, LOUISIANA, CITY OF"	50491083	N	FTS-SCO	36226	4/1/2009	3/31/2019		N	3480	0	
A	BLACKBELT ENERGY	N										
P	MQ	DENHAM SPRINGS #4 CITY GATE	95	6684	SYSTEM 	3480	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	3480	0					
D	"DENHAM SPRINGS, LOUISIANA, CITY OF"	50491083	N	NNS-SCO	36227	4/1/2009	4/30/2023		N	2320	0	
A	BLACKBELT ENERGY	N										
P	MQ	DENHAM SPRINGS #4 CITY GATE	95	6684	SYSTEM 	2320	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	1160	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	464	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	696	0					
D	"DEVON GAS SERVICES, L.P."	5088856	N	FTS	34694	2/1/2008	1/31/2013	1825	Y	180000	0	
P	MQ	AIR PRODUCTS HYDROGEN @ GARYVILLE	95	22493	SYSTEM 	57000	0					
P	M2	DCP EAST TEXAS PLANT (EXPANSION AR	95	22124	SYSTEM 	180000	0					
P	M2	ENTERPRISE - CARTHAGE (EXPANSION)	95	21923	SYSTEM 	180000	0					
P	MQ	HOLMESVILLE (TO TRANSCO)	95	2690	SYSTEM 	180000	0					
P	MQ	KOSCIUSKO (TO SOUTHERN NATURAL)	95	2466	SYSTEM 	125000	0					
P	MQ	KOSCIUSKO (TO TET)	95	2471	SYSTEM 	125000	0					
P	MQ	MONTPELIER/ST HELENA (TO FGT)	95	22182	SYSTEM 	180000	0					
P	MQ	OXYCHEM COGEN (ST CHARLES PARISH)	95	21289	SYSTEM 	20000	0					
P	MQ	TRANSFER @ HARRISVILLE	95	22112	SYSTEM 	180000	0					
P	M2	TRANSFER @ HARRISVILLE	95	22112	SYSTEM 	180000	0					
P	MQ	WALTHALL (TO TRANSCO)	95	22114	SYSTEM 	50000	0					
D	"DEVON GAS SERVICES, L.P."	5088856	N	FTS	40064	2/1/2013	1/31/2018		N	70000	0	
P	M2	DCP EAST TEXAS PLANT (EXPANSION AR	95	22124	SYSTEM 	70000	0					
P	MQ	PRAXAIR HYDROGEN ST. CHARLES/VALERO	95	23044	SYSTEM 	70000	0					
D	EAST TEXAS ELECTRIC COOP &  NE TEXAS ELECTRIC COOP	948535265	N	FTS	38999	8/1/2011	5/31/2023		N	20000	0	
A	"WESTSTAR ENERGY, INC"	N										
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	20000	0					
P	MQ	MARSHALL POWER PLANT (ENTERGY)	95	21349	SYSTEM 	20000	0					
D	EAST TEXAS ELECTRIC COOP &  NE TEXAS ELECTRIC COOP	948535265	N	FTS-SSO	39000	8/1/2011	5/31/2023		N	0	0	
A	"WESTSTAR ENERGY, INC"	N										
D	EAST TEXAS ELECTRIC COOP &  NE TEXAS ELECTRIC COOP	948535265	N	FTS	41417	11/1/2013	5/31/2023		N	10000	0	
A	"WESTSTAR ENERGY, INC"	N										
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	10000	0					
P	MQ	MARSHALL POWER PLANT (ENTERGY)	95	21349	SYSTEM 	10000	0					
D	"EASTON, CITY OF"	73621021	N	NNS-SCO	40854	4/1/2014	3/31/2019		N	477	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	238	0					
P	MQ	EASTON CITY GATE	95	577	SYSTEM 	477	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	96	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	143	0					
D	"ECO-ENERGY, LLC"	82949871	N	FSS-P	47768	4/1/2017	3/31/2018		N	0	250000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	6250					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	12500					
D	"ECO-ENERGY, LLC"	82949871	N	FSS-P	47896	4/1/2017	3/31/2018		N	0	250000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	6250					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	12500					
D	ELIZABETH NATURAL GAS CO INC	5608732	N	FTS	47801	1/1/2018	12/31/2019		N	50	0	
A	"AMES COMPANY, L.L.C."	N										
P	M2	AUGUSTINE #1 - NOBLE ENERGY	95	21432	SYSTEM 	50	0					
P	MQ	ELIZABETH GAS ALLEN PARISH JAIL	95	24260	SYSTEM 	25	0					
P	MQ	ELIZABETH NG - OBERLIN FARM TAPS	95	12026	SYSTEM 	25	0					
D	ENCANA MARKETING (USA) INC	147350552	N	FTS	37663	11/1/2010	10/31/2020		Y	150000	0	
A	CONOCOPHILLIPS COMPANY	N										
P	MQ	BOSCO (TO TEXAS GAS)	95	22095	SYSTEM 	60000	0					
P	M2	BRUSHY BAYOU CDP II - (EXPANSION)	95	22641	SYSTEM 	150000	0					
P	MQ	DELHI (TO COLUMBIA GULF)	95	22106	SYSTEM 	50000	0					
P	MQ	DELHI (TO SESH / SNG)	95	22406	SYSTEM 	40000	0					
P	MQ	DELHI (TO SESH)	95	22111	SYSTEM 	40000	0					
D	"ENTERGY LOUISIANA, LLC"	6947717	N	EFT	40489	12/1/2013	11/30/2020		Y	66667	0	
P	M2	BOSCO FROM TEXAS GAS	95	24294	SYSTEM 	33334	0					
P	MQ	NINE MILE POWER PLT (TO LP&L)	95	73	SYSTEM 	66667	0					
P	M2	TALLULAH (FROM GULF CROSSING)	95	22133	SYSTEM 	33333	0					
D	"ENTERGY LOUISIANA, LLC"	6947717	N	NNS	46655	9/1/2016	4/30/2023		N	20000	0	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	AMERICAN MIDSTREAM BATON ROUGE AGG	95	21365	SYSTEM 	12000	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	5000	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	4000	0					
P	M2	KILN (FROM TENN GAS)	95	2921	SYSTEM 	5000	0					
P	MQ	OAK HILLS-BR	95	178	SYSTEM 	500	0					
P	MQ	OLD HAMMOND HWY-BR	95	180	SYSTEM 	7500	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	6000	0					
D	"ENTERGY NEW ORLEANS, INC."	6947824	N	NNS	35233	4/1/2008	4/30/2023		Y	85000	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	DISCOVERY GAS TRANSMISSION	95	21805	SYSTEM 	6900	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	17000	0					
P	MQ	NOPSI AGGREGATE - NEW ORLEANS PUBL	95	9921	SYSTEM 	85000	0					
P	M2	POOLING AREA #11	95	17159	SYSTEM 	15000	0					
P	M2	POOLING AREA #16 - EXPANSION	95	22116	SYSTEM 	3700	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	25500	0					
P	M2	VENICE PLT (FROM TARGA MIDSTREAM)	95	464	SYSTEM 	16900	0					
D	"EOG RESOURCES, INC"	186830733	N	FTS	34687	2/1/2008	1/31/2018		Y	400000	0	
P	MQ	DESTIN - FGT INTERCONNECT	95	22163	SYSTEM 	200000	0					
P	MQ	DESTIN - GULFSTREAM INTERCONNECT	95	22164	SYSTEM 	200000	0					
P	M2	ENERGY TRANSFER - CARTHAGE (EXPANS	95	21922	SYSTEM 	500000	0					
P	MQ	HOLMESVILLE (TO TRANSCO)	95	2690	SYSTEM 	22500	0					
P	MQ	KOSCIUSKO (TO TET)	95	2471	SYSTEM 	55000	0					
P	MQ	MONTPELIER/ST HELENA (TO FGT)	95	22182	SYSTEM 	22500	0					
P	MQ	ROCK SPRINGS/SCOTT MTN (TO TRANSCO	95	22108	SYSTEM 	100000	0					
D	"ESTHERWOOD, VILLAGE OF"	11515277	N	FTS-SCO	36230	4/1/2009	3/31/2019		N	156	0	
A	BLACKBELT ENERGY	N										
P	MQ	ESTHERWOOD CITY GATE	95	2943	SYSTEM 	156	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	156	0					
D	"ESTHERWOOD, VILLAGE OF"	11515277	N	NNS-SCO	36231	4/1/2009	4/30/2023		N	130	0	
A	BLACKBELT ENERGY	N										
P	MQ	ESTHERWOOD CITY GATE	95	2943	SYSTEM 	130	0					
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	65	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	26	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	39	0					
D	"EXGEN TEXAS POWER, LLC"	79435743	N	EFT	47055	11/1/2017	10/31/2022		N	70000	0	
P	MQ	COLORADO BEND ENERGY CENTER	95	21856	SYSTEM 	70000	0					
P	M2	ENSTOR KATY STORAGE WITHDRAWAL	95	10509	SYSTEM 	45000	0					
P	M2	TRES PALACIOS STORAGE WITHDRAWAL	95	24293	SYSTEM 	25000	0					
D	"FAIRHOPE, CITY OF"	71935902	N	NNS-SCO	45716	4/1/2016	3/31/2023		N	6862	0	
A	BP ENERGY COMPANY	N										
P	M2	CENTERVILLE (FROM ANR)	95	425	SYSTEM 	858	0					
P	M2	ERATH (FROM NGPL)	95	3260	SYSTEM 	1715	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	858	0					
P	MQ	FAIRHOPE CITY GATE	95	2421	SYSTEM 	6862	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1372	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	2059	0					
D	FLORIDA POWER & LIGHT COMPANY	6922371	N	FTS	41618	4/1/2015	3/31/2025		Y	100000	0	
A	"DTE ENERGY TRADING, INC."	N										
P	M2	DCP EAST TEXAS PLANT (EXPANSION AR	95	22124	SYSTEM 	30000	0					
P	M2	ENBRIDGE - CARTHAGE (EXPANSION)	95	21921	SYSTEM 	20000	0					
P	M2	ENERGY TRANSFER - CARTHAGE (EXPANS	95	21922	SYSTEM 	20000	0					
P	MQ	GEORGE CO SEME (MERRILL TO FGT)	95	24229	SYSTEM 	60000	0					
P	MQ	GULFSTREAM INTERCONNECT	95	21264	SYSTEM 	40000	0					
P	M2	MARLIN PLANT REC - CARTHAGE (EXPAN	95	22171	SYSTEM 	30000	0					
D	FLORIDA POWER & LIGHT COMPANY	6922371	N	FTS	41619	4/1/2015	3/31/2025		Y	100000	0	
P	M2	BOSCO FROM TEXAS GAS	95	24294	SYSTEM 	100000	0					
P	MQ	GEORGE CO SEME (MERRILL TO FGT)	95	24229	SYSTEM 	100000	0					
D	"FOLEY, UTILITIES BOARD OF THE CITY OF"	38261780	N	NNS-SCO	45717	4/1/2016	3/31/2023		N	7000	0	
A	BP ENERGY COMPANY	N										
P	M2	CENTERVILLE (FROM ANR)	95	425	SYSTEM 	875	0					
P	MQ	CITY OF FOLEY AGGREGATE	95	21169	SYSTEM 	7000	0					
P	M2	ERATH (FROM NGPL)	95	3260	SYSTEM 	1750	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	875	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1400	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	2100	0					
D	"FRANKLINTON, TOWN OF"	782083190	N	FTS-SCO	36233	4/1/2009	3/31/2019		N	1343	0	
A	BLACKBELT ENERGY	N										
P	MQ	FRANKLINTON CITY GATE	95	2599	SYSTEM 	1343	0					
P	M2	PETAL STO LEG (FROM PETAL VIA GS L	95	10736	SYSTEM 	400	0					
P	M2	WAVELAND FIELD C.P. #1	95	2881	SYSTEM 	943	0					
D	"FRANKLINTON, TOWN OF"	782083190	N	NNS-SCO	36234	4/1/2009	4/30/2023		N	629	0	
