H	Viking Gas Transmission	C000581	4/2/2018	O	4/1/2018	T		Teri Tingler 918-588-7745		
P	M2	Emerson	29	33973	Zone-1	369			P	
P	MQ	Dresser	29	28789	Zone-2	369			P	
P	M2	Emerson	29	33973	Zone-1	720			P	
P	MQ	Boyceville	29	28689	Zone-2	720			P	
D	Wisconsin Gas LLC	7947047	N	FT-A	AF0025	11/1/2000	10/31/2019		N	16193
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Blackbrook	29	288050	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Cadott	29	28694	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Chili	29	288047	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Dresser	29	28789	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Greenwood	29	28667	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	South Colfax	29	28692	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Wheeler	29	362793	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Wilson	29	1400841	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	11003			P	
P	MQ	ANR Marshfield	29	28872	Zone-2	11003			P	
P	M2	Emerson	29	33973	Zone-1	2165			P	
P	MQ	Chisago Zn2	29	179031	Zone-2	2165			P	
P	M2	Emerson	29	33973	Zone-1	2356			P	
P	MQ	Wisc Gas Marshfield	29	288051	Zone-2	2356			P	
P	M2	Emerson	29	33973	Zone-1	669			P	
P	MQ	Boyceville	29	28689	Zone-2	669			P	
D	Wisconsin Gas LLC	7947047	N	FT-A	AF0059	11/1/2003	10/31/2018		N	33465
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Chisago Zn2	29	179031	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Greenwood	29	28667	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	1127			P	
P	MQ	ANR Marshfield	29	28872	Zone-2	1127			P	
P	M2	Emerson	29	33973	Zone-1	125			P	
P	MQ	Cadott	29	28694	Zone-2	125			P	
P	M2	Emerson	29	33973	Zone-1	15			P	
P	MQ	Blackbrook	29	288050	Zone-2	15			P	
P	M2	Emerson	29	33973	Zone-1	2602			P	
P	MQ	Wheeler	29	362793	Zone-2	2602			P	
P	M2	Emerson	29	33973	Zone-1	36			P	
P	MQ	Boyceville	29	28689	Zone-2	36			P	
P	M2	Emerson	29	33973	Zone-1	4486			P	
P	MQ	Wilson	29	1400841	Zone-2	4486			P	
P	M2	Emerson	29	33973	Zone-1	5			P	
P	MQ	South Colfax	29	28692	Zone-2	5			P	
P	M2	Emerson	29	33973	Zone-1	5034			P	
P	MQ	Wisc Gas Marshfield	29	288051	Zone-2	5034			P	
P	M2	Emerson	29	33973	Zone-1	6			P	
P	MQ	Dresser	29	28789	Zone-2	6			P	
P	M2	Emerson	29	33973	Zone-1	69			P	
P	MQ	Chili	29	288047	Zone-2	69			P	
P	M2	St. Vincent	29	174672	Zone-1	0			P	
P	MQ	ANR Marshfield	29	28872	Zone-2	0			P	
P	M2	St. Vincent	29	174672	Zone-1	0			P	
P	MQ	Chisago Zn2	29	179031	Zone-2	0			P	
P	M2	St. Vincent	29	174672	Zone-1	0			P	
P	MQ	Greenwood	29	28667	Zone-2	0			P	
P	M2	St. Vincent	29	174672	Zone-1	112			P	
P	MQ	Chili	29	288047	Zone-2	112			P	
P	M2	St. Vincent	29	174672	Zone-1	202			P	
P	MQ	Cadott	29	28694	Zone-2	202			P	
P	M2	St. Vincent	29	174672	Zone-1	25			P	
P	MQ	Blackbrook	29	288050	Zone-2	25			P	
P	M2	St. Vincent	29	174672	Zone-1	4196			P	
P	MQ	Wheeler	29	362793	Zone-2	4196			P	
P	M2	St. Vincent	29	174672	Zone-1	57			P	
P	MQ	Boyceville	29	28689	Zone-2	57			P	
P	M2	St. Vincent	29	174672	Zone-1	7			P	
P	MQ	South Colfax	29	28692	Zone-2	7			P	
P	M2	St. Vincent	29	174672	Zone-1	7234			P	
P	MQ	Wilson	29	1400841	Zone-2	7234			P	
P	M2	St. Vincent	29	174672	Zone-1	8118			P	
P	MQ	Wisc Gas Marshfield	29	288051	Zone-2	8118			P	
P	M2	St. Vincent	29	174672	Zone-1	9			P	
P	MQ	Dresser	29	28789	Zone-2	9			P	
D	Wisconsin Gas LLC	7947047	N	FT-A	AF0063	11/1/2003	10/31/2019		N	19030
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	ANR Marshfield	29	28872	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Chisago Zn2	29	179031	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Wilson	29	1400841	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	0			P	
P	MQ	Wisc Gas Marshfield	29	288051	Zone-2	0			P	
P	M2	Emerson	29	33973	Zone-1	197			P	
P	MQ	Chili	29	288047	Zone-2	197			P	
P	M2	Emerson	29	33973	Zone-1	237			P	
P	MQ	South Colfax	29	28692	Zone-2	237			P	
P	M2	Emerson	29	33973	Zone-1	3711			P	
P	MQ	Dresser	29	28789	Zone-2	3711			P	
P	M2	Emerson	29	33973	Zone-1	3793			P	
P	MQ	Blackbrook	29	288050	Zone-2	3793			P	
P	M2	Emerson	29	33973	Zone-1	3884			P	
P	MQ	Boyceville	29	28689	Zone-2	3884			P	
P	M2	Emerson	29	33973	Zone-1	5281			P	
P	MQ	Wheeler	29	362793	Zone-2	5281			P	
P	M2	Emerson	29	33973	Zone-1	956			P	
P	MQ	Cadott	29	28694	Zone-2	956			P	
P	M2	Emerson	29	33973	Zone-1	971			P	
P	MQ	Greenwood	29	28667	Zone-2	971			P	
D	Wisconsin Industrial Sand	831846121	N	FT-A	AF0226	7/1/2015	6/30/2025		N	654
A	Constellation Energy Services - Natural 	N								
P	M2	Emerson	29	33973	Zone-1	654			P	
P	MQ	North Colfax	29	288048	Zone-2	654			P	
D	"World Fuel Services, Inc."	606036481	N	FT-A	AF0239	9/1/2015	10/31/2019		N	550
A	"Kinect Energy, Inc."	N								
P	M2	Emerson	29	33973	Zone-1	550			P	
P	MQ	Chisago Zn1	29	11856	Zone-1	550			P	
D	"World Fuel Services, Inc."	606036481	N	FT-A	AF0240	9/1/2015	9/30/2022		N	300
A	"Kinect Energy, Inc."	N								
P	M2	Emerson	29	33973	Zone-1	300			P	
P	MQ	Chisago Zn1	29	11856	Zone-1	300			P	
