H	SOUTHERN NATURAL GAS COMPANY L.L.C.	C000021	4/2/2018	O	4/1/2018	T	T	Sherry Noack 713-420-3764				
P	IJ	SNG STORAGE	95	677777	Zone 1	0	37760					
D	SOUTHEAST ALABAMA GAS DISTRICT	9850058	N	CSS	452703-MCSSSNG-452708	11/1/1993	8/31/2018	365	N	0	1186736	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	23963					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	9129					
D	"SPARTA, CITY OF"	38388567	N	CSS	452837-MCSSSNG-452842	11/1/1993	8/31/2016	365	N	0	26546	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	536					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	204					
D	SPIRE ALABAMA INC.	6900104	N	CSS	450293-MCSSSNG-450303	11/1/1993	8/31/2017	365	N	0	12725820	
P	WR	SNG STORAGE	95	677777	Zone 0	0	256964					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	97891					
D	"STATESBORO, CITY OF"	26556241	N	CSS	452852-MCSSSNG-452857	11/1/1993	8/31/2016	365	N	0	141419	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	2856					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1088					
D	"SUMITON, TOWN OF"	627491012	N	CSS	452910-MCSSSNG-452914	11/1/1993	8/31/2016	365	N	0	25290	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	511					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	195					
D	"SUMMERVILLE, CITY OF"	26581793	N	CSS	452920-MCSSSNG-454782	6/1/2015	8/31/2016	365	N	0	168353	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	3399					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1295					
D	"SYLVANIA, CITY OF"	75923433	N	CSS	452935-MCSSSNG-452940	11/1/1993	8/31/2016	365	N	0	31488	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	636					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	242					
D	"SYLVESTER, CITY OF"	155690647	N	CSS	452944-MCSSSNG-454784	6/1/2015	8/31/2016	365	N	0	24608	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	497					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	189					
D	"TALLAHASSEE, CITY OF"	960320760	N	CSS	452962-MCSSSNG-452966	10/1/1996	8/31/2016	365	N	0	70781	
P	WR	SNG STORAGE	95	677777	Zone 0	0	1429					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	544					
D	"TALLAPOOSA, CITY OF"	47915913	N	CSS	452970-MCSSSNG-452974	11/1/1993	8/31/2016	365	N	0	47276	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	955					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	364					
D	"TALLASSEE, CITY OF"	118044528	N	CSS	452979-MCSSSNG-452983	11/1/1993	8/31/2016	365	N	0	80224	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1620					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	617					
D	"TCHULA, TOWN OF"	41942541	N	CSS	452988-MCSSSNG-452992	11/1/1993	8/31/2016	365	N	0	26130	
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	528					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	201					
D	TEXICAN NATURAL GAS COMPANY	157220096	N	CSS	453034-MCSSSNG-453116	11/1/1996	8/31/2016	365	N	0	152	
P	WR	SNG STORAGE	95	677777	Zone 0	0	3					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1					
D	"THOMASVILLE, GEORGIA"	155694763	N	CSS	453164-MCSSSNG-454828	6/1/2015	8/31/2016	365	N	0	97389	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1967					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	749					
D	"THOMSON, CITY OF"	879420768	N	CSS	453173-MCSSSNG-454830	6/1/2015	8/31/2016	365	N	0	94623	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1910					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	728					
D	"TIFTON, CITY OF"	38925715	N	CSS	453185-MCSSSNG-453190	11/1/1993	8/31/2016	365	N	0	98145	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1982					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	755					
D	"TRION, TOWN OF"	26582130	N	CSS	453215-MCSSSNG-453223	11/1/1993	8/31/2016	365	N	0	51381	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1038					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	395					
D	"TRUSSVILLE, CITY OF"	81392102	N	CSS	453230-MCSSSNG-453237	11/1/1993	3/31/2018	365	N	0	391323	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	7902					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	3010					
D	"TRUSSVILLE, CITY OF"	81392102	N	CSS	453230-MCSSSNG-453238	9/1/2012	8/31/2016	365	N	0	5845	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	118					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	45					
D	"UNADILLA, CITY OF"	45183472	N	CSS	453306-MCSSSNG-453309	11/1/1993	8/31/2016	365	N	0	16244	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	328					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	125					
D	"UNION SPRINGS, CITY OF"	784940892	N	CSS	453315-MCSSSNG-453319	11/1/1993	8/31/2016	365	N	0	43407	
A	TEXICAN NATURAL GAS COMPANY	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	876					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	334					
D	UTILITIES BOARD OF THE CITY OF SYLACAUGA	82143280	N	CSS	453325-MCSSSNG-453332	11/1/1993	8/31/2018	365	N	0	258358	
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	5217					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1987					
D	UTILITIES BOARD OF THE CITY OF SYLACAUGA	82143280	N	CSS	453325-MCSSSNG-453333	11/1/2002	8/31/2018	365	N	0	237218	
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	4790					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	1825					
D	"VIENNA, GEORGIA"	79379525	N	CSS	453346-MCSSSNG-454841	6/1/2015	8/31/2016	365	N	0	19765	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	399					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	152					
D	"WARNER ROBINS, CITY OF"	73465494	N	CSS	453405-MCSSSNG-454859	6/1/2015	8/31/2016	365	N	0	391510	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	7905					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	3011					
D	"WASHINGTON PARISH, LOUISIANA"	844182949	N	CSS	453419-MCSSSNG-453422	11/1/2011	8/31/2016	365	N	0	7736	
A	BLACK BELT ENERGY GAS DISTRICT	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	156					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	59					
D	WATERWORKS AND GAS BOARD OF DORA	964448377	N	CSS	451160-MCSSSNG-451165	11/1/1993	8/31/2016	365	N	0	15173	
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	306					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	117					
D	"WAYNESBORO, CITY OF"	21337761	N	CSS	453427-MCSSSNG-453434	11/1/1993	8/31/2016	365	N	0	61974	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1251					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	477					
D	"WEST JEFFERSON, TOWN OF"	968754994	N	CSS	453444-MCSSSNG-453448	11/1/1993	8/31/2016	365	N	0	18853	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	381					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	145					
D	WEST LINCOLN NAT GAS DISTRICT	15616667	N	CSS	453451-MCSSSNG-453452	11/1/1993	8/31/2016	365	N	0	13501	
A	"ADVANTAGE ENERGY, INC."	N										
A	"INTERCONN RESOURCES, LLC"	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	273					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	104					
D	"WEST POINT, CITY OF"	73466575	N	CSS	453459-MCSSSNG-453465	11/1/1993	8/31/2016	365	N	0	64589	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1304					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	497					
D	WILCOX COUNTY GAS DIST.	100641943	N	CSS	453484-MCSSSNG-453488	11/1/1993	8/31/2016	365	N	0	28938	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	584					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	222					
D	"WILTON, TOWN OF"	87634176	N	CSS	453493-MCSSSNG-453496	4/1/1997	8/31/2016	365	N	0	5902	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	119					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	45					
D	"WINNSBORO, TOWN OF"	7030	N	CSS	453500-MCSSSNG-453504	11/1/2006	8/31/2016	365	N	0	27535	
A	"SCANA ENERGY MARKETING, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	556					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	212					
D	"WRENS, CITY OF"	99309254	N	CSS	453522-MCSSSNG-453526	11/1/1993	8/31/2016	365	N	0	74207	
A	"SCANA ENERGY MARKETING, INC."	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	1499					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	571					
D	"YORK, CITY OF"	34144618	N	CSS	453534-MCSSSNG-453538	11/1/1993	8/31/2016	365	N	0	27506	
A	SEGAS ASSOCIATION	N										
P	WR	SNG STORAGE	95	677777	Zone 0	0	555					
P	IJ	SNG STORAGE	95	677777	Zone 1	0	211					
D	3V SIGMA USA INC.	9104381	N	FT	450252-MFTSNG-450253	11/1/2006	8/31/2016	365	N	27	0	x30
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	27	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	27	0					
D	"ACTIVE MINERALS INTERNATIONAL, LLC"	198244662	N	FT	450255-MFTSNG-450256	3/1/2009	2/28/2019	365	N	500	0	
A	"INTERCONN RESOURCES, LLC"	N										
P	MQ	ACT MIN/SNG  DECATUR	95	960630	Zone 3	500	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	500	0					
D	"ADAIRSVILLE, CITY OF"	95804092	N	FT	450260-MFTSNG-450268	11/1/2005	8/31/2016	365	N	600	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	ADAIRVIL/SNG   FLOYD	95	905500	Zone 3	600	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	600	0					
D	"ADAIRSVILLE, CITY OF"	95804092	N	FT	450260-MFTSNG-454492	6/1/2015	8/31/2016	365	N	794	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	ADAIRVIL/SNG   FLOYD	95	905500	Zone 3	794	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	520	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	60	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	9	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	52	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	96	0					
P	M2	PELICO/SNG   BIENVILLE	95	601500	Zone 0	57	0					
D	"ADEL, CITY OF"	85430460	N	FT	450275-MFTSNG-450278	10/1/2005	9/30/2016	365	N	80	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	ADEL/SNG   COOK	95	960010	Zone 3	80	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	80	0					
D	"ADEL, CITY OF"	85430460	N	FT	450275-MFTSNG-450279	1/1/2010	8/31/2016	365	N	402	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	ADEL/SNG   COOK	95	960010	Zone 3	402	0					
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	160	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	38	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	21	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	34	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	149	0					
D	AGY HOLDING CORP	52519563	N	FT	450283-MFTSNG-450284	11/1/2006	8/31/2016	365	N	2179	0	
A	TEXICAN NATURAL GAS COMPANY	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	160	0					
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	2179	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	1856	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	163	0					
D	AIR LIQUIDE LARGE INDUSTRIES U.S. L.P.	180015062	N	FT	450285-MFTSNG-450286	11/1/2006	8/31/2016	365	N	121	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	121	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	121	0					
D	ALBANY UTILITY BOARD	39064605	N	FT	450336-MFTSNG-450334	10/1/2005	8/31/2016	365	N	0	0	x2
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	ALBANY/SNG ALBANY #1-SGA DOUGHERTY	95	960021	Zone 3	0	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	0	0					
D	ALBANY UTILITY BOARD	39064605	N	FT	450336-MFTSNG-450339	10/1/2005	8/31/2016	365	N	3990	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	ALBANY/SNG ALBANY #1-SGA DOUGHERTY	95	960021	Zone 3	65	0					
P	MQ	ALBANY/SNG ALBANY AREA DOUGHERTY	95	960020	Zone 3	2425	0					
P	MQ	DOUGLAS/SNG   IRWIN	95	960170	Zone 3	500	0					
P	MQ	FITZGRLD/SNG   BEN HILL	95	960190	Zone 3	500	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	3954	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	36	0					
P	MQ	TIFTON/SNG AREA TIFT	95	960378	Zone 3	500	0					
D	"ANDERSONVILLE, CITY OF"	964469746	N	FT	450349-MFTSNG-450352	10/1/2005	8/31/2016	365	N	27	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	ANDRSVLE/SNG ANDERSONVILLE # 1 SUMT	95	960041	Zone 3	27	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	5	0					
P	M2	WHISKEY/SNG UDP LAKE LAROSE IBERIA	95	631900	Zone 0	22	0					
D	"ARGOS USA, INC."	107984890	N	FT	450362-MFTSNG-450363	11/1/2014	8/31/2016	365	N	27	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	27	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	27	0					
D	ARIZONA CHEMICAL COMPANY	139305197	N	FT	450365-MFTSNG-450366	5/1/2013	8/31/2016	365	N	1634	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	ARIZ CHM/SNG   CHATHAM	95	936300	Zone 3	1634	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	1634	0					
D	"ARMSTRONG WORLD IND.,INC."	786765586	N	FT	450368-MFTSNG-450370	11/1/1997	8/31/2016	365	N	3574	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG MACON WEST AREA MONROE	95	940055	Zone 3	3574	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	3574	0					
D	"ARMSTRONG WORLD IND.,INC."	786765586	N	FT	450368-MFTSNG-450371	11/1/1998	8/31/2016	365	N	1021	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG MACON WEST AREA MONROE	95	940055	Zone 3	1021	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	510	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	511	0					
D	"ASHBURN, CITY OF"	27157452	N	FT	450381-MFTSNG-450384	1/1/2010	8/31/2016	365	N	112	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	85	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	8	0					
P	MQ	ASHBURN/SNG   TURNER	95	960050	Zone 3	112	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	10	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	9	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	450390-MFTSNG-450399	9/1/2008	8/31/2016	365	N	20000	0	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	AGL/SNG   FULTON	95	910800	Zone 3	15000	0					
P	MQ	AGL/SNG ROME AREA FLOYD	95	940013	Zone 3	5000	0					
P	M2	GULFSTH/SNG PETAL CLARKE	95	606200	Zone 1	20000	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	460021-MFTSNG-450400	11/1/2009	10/31/2024		N	83722	0	x3/n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	AGL/SNG BRUNSWICK LINE AREA GLYNN	95	940041	Zone 3	49008	0					
P	MQ	AGL/SNG MACON SOUTH AREA TWIGGS	95	940047	Zone 3	34714	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	83722	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	450390-MFTSNG-450412	10/1/2005	8/31/2019	365	N	0	0	x4
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	AGL/SNG ATLANTA SUBURBS AREA FULTON	95	940018	Zone 3	0	0					
P	MQ	AGL/SNG AUGUSTA AREA RICHMOND	95	940016	Zone 3	0	0					
P	MQ	AGL/SNG BASS JUNCTION BIBB	95	937200	Zone 3	0	0					
P	MQ	AGL/SNG CALHOUN-CHATSWORTH AREA CAL	95	940045	Zone 3	0	0					
P	MQ	AGL/SNG CHATTANOOGA LINE N. AREA GO	95	940019	Zone 3	0	0					
P	MQ	AGL/SNG ROME AREA FLOYD	95	940013	Zone 3	0	0					
P	MQ	AGL/SNG SOUTH ATLANTA CLAYTON	95	600078	Zone 3	0	0					
P	MQ	AGL/SNG VALDOSTA AREA LOWNDES	95	960390	Zone 3	0	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	0	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	450390-MFTSNG-457254	4/1/2016	8/31/2017	365	N	71374	0	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	M2	AETHON/SNG UDP AETHON DE SOTO	95	651350	Zone 0	45	0					
P	MQ	AGL/SNG   FULTON	95	910800	Zone 3	2799	0					
P	MQ	AGL/SNG ATLANTA SUBURBS AREA FULTON	95	940018	Zone 3	25007	0					
P	MQ	AGL/SNG CALHOUN-CHATSWORTH AREA CAL	95	940045	Zone 3	3080	0					
P	MQ	AGL/SNG CEDARTOWN-ROCKMART AREA POL	95	940020	Zone 3	4759	0					
P	MQ	AGL/SNG CHATTANOOGA LINE N. AREA GO	95	940019	Zone 3	1878	0					
P	MQ	AGL/SNG ROME AREA FLOYD	95	940013	Zone 3	33851	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	2946	0					
P	M2	ARPPROD/SNG UDP SHORT CREEK TUSCALO	95	646090	Zone 2	7021	0					
P	M2	BRIDGHOL/SNG WHITE CASTLE ASCENSION	95	664000	Zone 0	623	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	1097	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	810	0					
P	M2	GULFSTH/SNG KOSCIUSKO ATTALA	95	651400	Zone 1	3369	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	1890	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	30439	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #2 JEFFE	95	646050	Zone 2	1650	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #4 JEFFE	95	646070	Zone 2	330	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #5 JEFFE	95	646040	Zone 2	3658	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #6 JEFFE	95	646080	Zone 2	2311	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	1817	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	8186	0					
P	M2	SOUTHXPL/SNG UDP WHITE OAK #4 TUSCA	95	353950	Zone 2	3086	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	2096	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	450390-MFTSNG-457255	4/1/2016	8/31/2017	365	N	181247	0	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	M2	AETHON/SNG UDP AETHON DE SOTO	95	651350	Zone 0	25	0					
P	MQ	AGL/SNG   TALBOTTON	95	913900	Zone 3	46	0					
P	MQ	AGL/SNG AUGUSTA AREA RICHMOND	95	940016	Zone 3	6261	0					
P	MQ	AGL/SNG BRUNSWICK LINE AREA GLYNN	95	940041	Zone 3	10526	0					
P	MQ	AGL/SNG DALLAS #2 COBB	95	600077	Zone 3	2447	0					
P	MQ	AGL/SNG EAST SOUTH MAIN ZONE 3 AREA	95	940043	Zone 3	4659	0					
P	MQ	AGL/SNG MACON SOUTH AREA TWIGGS	95	940047	Zone 3	6697	0					
P	MQ	AGL/SNG MACON WEST AREA MONROE	95	940055	Zone 3	1767	0					
P	MQ	AGL/SNG MACON-MILLEDGEVILLE #2 BALD	95	915900	Zone 3	4267	0					
P	MQ	AGL/SNG MARIETTA COBB	95	912200	Zone 3	44292	0					
P	MQ	AGL/SNG MONTEZUMA SUMTER	95	960250	Zone 3	605	0					
P	MQ	AGL/SNG SAVANNAH NORTH AREA CHATHAM	95	940049	Zone 3	4105	0					
P	MQ	AGL/SNG SAVANNAH SOUTH AREA CHATHAM	95	940050	Zone 3	15374	0					
P	MQ	AGL/SNG SOUTH ATLANTA CLAYTON	95	600078	Zone 3	74065	0					
P	MQ	AGL/SNG THOMASTON UPSON	95	917600	Zone 3	3177	0					
P	MQ	AGL/SNG VALDOSTA AREA LOWNDES	95	960390	Zone 3	2959	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	15243	0					
P	M2	ARPPROD/SNG UDP SHORT CREEK TUSCALO	95	646090	Zone 2	3617	0					
P	M2	BRIDGHOL/SNG WHITE CASTLE ASCENSION	95	664000	Zone 0	3219	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	10304	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	4190	0					
P	M2	GULFSTH/SNG KOSCIUSKO ATTALA	95	651400	Zone 1	1736	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	17760	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	56868	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #2 JEFFE	95	646050	Zone 2	850	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #4 JEFFE	95	646070	Zone 2	171	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #5 JEFFE	95	646040	Zone 2	1884	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #6 JEFFE	95	646080	Zone 2	1189	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	9401	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	42353	0					
P	M2	SOUTHXPL/SNG UDP WHITE OAK #4 TUSCA	95	353950	Zone 2	1590	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	10847	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	460673-MFTESNG-460674	12/1/2016	11/30/2026		Y	35000	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	AGL/SNG AUGUSTA AREA RICHMOND	95	940016	Zone 3	15000	0					
P	MQ	AGL/SNG SAVANNAH SOUTH AREA CHATHAM	95	940050	Zone 3	20000	0					
P	M2	TRNSCO/EEC Z4 HART	95	938510	Zone 3	17500	0					
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	17500	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	460675-MFTESNG-460676	12/1/2016	11/30/2026		Y	5000	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	AGL/SNG VALDOSTA AREA LOWNDES	95	960390	Zone 3	5000	0					
P	M2	TRNSCO/EEC Z4 HART	95	938510	Zone 3	2500	0					
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	2500	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	450390-MFTSNG-464358	5/1/2017	10/31/2032		N	41000	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	AGL/SNG BRUNSWICK LINE AREA GLYNN	95	940041	Zone 3	5500	0					
P	MQ	AGL/SNG SAVANNAH SOUTH AREA CHATHAM	95	940050	Zone 3	5500	0					
P	MQ	AGL/SNG SOUTH ATLANTA CLAYTON	95	600078	Zone 3	30000	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	41000	0					
