H	"PANHANDLE EASTERN PIPE LINE COMPANY, LP"	C000250	4/2/2018	O	4/1/2018	T	T	IRMA JARRETT (713) 989-7679				
D	FREEPOINT COMMODITIES LLC	967963906	N	FT	55515	4/1/2018	4/30/2018		N	50597		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	50597						
P	MQ	NORTHERN NATURAL	95	NNATL	FLD	50597						
D	GENERAL MOTORS CORPORATION	5356613	N	EFT	13500	11/1/1994	10/31/2030		N	11000		
A	DELTA ENERGY LLC	N										
P	M2	HEMPHILL DEMARCATION	95	HEMPH	FLD	11000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	8000						
P	MQ	GENERAL MOTORS	95	2591	MKT	3000						
D	GREEN PLAINS TRADE GROUP LLC DBA GREEN PLAINS ENERGY SERVICES	848984915	N	EFT	53171	11/1/2017	3/31/2019		N	5000		
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	5000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	5000						
D	GUARDIAN INDUSTRIES CORP.	54671169	N	EFT	18686	4/1/2005	3/31/2020		N	7600		
A	"CIMA ENERGY, LTD"	N										
P	M2	CRESCENDO - ETC FIELD SERVICES	95	40524	FLD	7600						
P	MQ	GUARDIAN GLASS	95	5586	MKT	7600						
D	"HARTREE PARTNERS, LP"	15956162	N	EFT	54687	4/1/2018	10/31/2018		N	25000		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	25000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	25000						
D	"HARTREE PARTNERS, LP"	15956162	N	EFT	55356	4/1/2018	10/31/2019		N	30000		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	30000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	30000						
D	"INDIANA GAS COMPANY, INC."	6938211	N	EFT	11718	5/1/1993	10/31/2034		N	66541		
A	"INDIANA GAS COMPANY, INC."	N										
P	M2	KP&L	95	KPOWR	FLD	48109						
P	M2	SNEED - SCOUT ENERGY	95	12724	FLD	18432						
P	MQ	CITIZENS ENERGY GROUP	95	CITGC	MKT	1						
P	MQ	INDIANA GAS	95	INGAS	MKT	66540						
D	"INDIANA GAS COMPANY, INC."	6938211	N	FS	15332	4/1/1997	3/31/2034		N		7752480	
A	"INDIANA GAS COMPANY, INC."	N										
P	IJ	INDIANA GAS - FS	95	66540	MKT		38881					
P	WR	INDIANA GAS - FS	95	66540	MKT		84495					
D	"INDIANA GAS COMPANY, INC."	6938211	N	EFT	15334	4/1/1997	3/31/2034		N	39240		
A	"INDIANA GAS COMPANY, INC."	N										
P	M2	INDIANA GAS	95	INGAS	MKT	39240						
P	MQ	INDIANA GAS - FS	95	66540	MKT	39240						
D	"INDIANA GAS COMPANY, INC."	6938211	N	EFT	52616	11/1/2017	3/31/2021		N	0		
P	M2	PUTNAM COUNTY - ROCKIES EXPRESS PIP	95	9254	MKT	0						
P	MQ	INDIANA GAS	95	INGAS	MKT	0						
D	INEOS NITRILES USA LLC	15062	N	FT	33529	11/1/2011	10/31/2019		N	730		YA1
A	"PCS NITROGEN FERTILIZER, LP"	N										
P	M2	BAKER - CIMARRON RIVER PIPELINE	95	13216	FLD	365						
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	365						
P	MQ	INEOS USA	95	9863	MKT	730						
D	INEOS NITRILES USA LLC	15062	N	FT	33530	11/1/2011	10/31/2019		N	1270		YA1
A	"PCS NITROGEN FERTILIZER, LP"	N										
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	1270						
P	MQ	INEOS USA	95	9863	MKT	1270						
D	"INTERSTATE GAS SUPPLY, INC."	626058655	N	EFT	18942	11/1/2005	3/31/2019		N	1000		
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	1000						
P	MQ	SEMCO ENERGY DBA SEMCO ENERGY GAS	95	SEMIC	MKT	1000						
D	"ISP LIMA, LLC"	788779887	N	FT	33834	1/1/2012	10/31/2019		N	5500		
P	M2	PUTNAM COUNTY - ROCKIES EXPRESS PIP	95	9254	MKT	5500						
P	MQ	ISP LIMA	95	9864	MKT	5500						
D	"JOHNS MANVILLE INTERNATIONAL, INC."	45426558	N	EFT	30930	11/1/2011	10/31/2021		N	10000		
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	10000						
P	MQ	COLUMBIA GAS OF OHIO	95	COLOH	MKT	2500						
P	MQ	JOHNS MANVILLE	95	JMANV	MKT	7500						
D	KCP&L GREATER MISSOURI OPERATIONS COMPANY	6966055	N	EFT	19146	7/1/2005	10/31/2019		N	30000		
P	M2	NGPL MOULTRIE COUNTY	95	NGPLM	MKT	30000						
P	MQ	PECULIAR POWER PLANT - KCP&L GREATE	95	9250	MKT	30000						
D	KCP&L GREATER MISSOURI OPERATIONS COMPANY	6966055	N	EFT	43239	4/1/2015	10/31/2019		N	15000		
P	M2	SUPERIOR PLANT	95	41417	FLD	15000						
P	MQ	PECULIAR POWER PLANT - KCP&L GREATE	95	9250	MKT	15000						
D	KINGFISHER MIDSTREAM LLC	80154376	N	FT	48380	4/1/2016	3/31/2036		N	50000		
A	"ARM ENERGY MANAGEMENT, LLC"	N										
P	M2	KINGFISHER MIDSTREAM PLANT - ARM	95	41434	FLD	50000						
P	MQ	FT - KINGFISHER MIDSTREAM LLC	95	F9017	FLD	50000						
D	KINGFISHER MIDSTREAM LLC	80154376	N	FT	49333	6/1/2016	5/31/2036		N	50000		
A	"ARM ENERGY MANAGEMENT, LLC"	N										
P	M2	KINGFISHER MIDSTREAM PLANT - ARM	95	41434	FLD	50000						
P	MQ	FT - KINGFISHER MIDSTREAM LLC	95	F9020	FLD	50000						
D	KINGFISHER MIDSTREAM LLC	80154376	N	FT	52261	8/1/2017	7/31/2019		N	20000		
P	M2	KINGFISHER MIDSTREAM PLANT - ARM	95	41434	FLD	20000						
P	MQ	FT - KINGFISHER MIDSTREAM LLC	95	F9031	FLD	20000						
D	"LACLEDE GAS COMPANY, MISSOURI GAS ENERGY DIVISION"	7928013	N	EFT	17071	10/1/2000	3/31/2019		N	10000		
A	"LACLEDE GAS COMPANY, MISSOURI GAS ENERGY DIVISION"	N										
P	M2	ELK CITY PLANT - ENBRIDGE G & P (OK	95	12475	FLD	10000						
P	MQ	MISSOURI GAS ENERGY	95	MGEMO	MKT	10000						
D	"LACLEDE GAS COMPANY, MISSOURI GAS ENERGY DIVISION"	7928013	N	FS	17073	10/1/2000	3/31/2031		N		1471800	
A	"LACLEDE GAS COMPANY, MISSOURI GAS ENERGY DIVISION"	N										
P	IJ	"LACLEDE GAS COMPANY, MISSOURI GAS E"	95	66608	FLD		10000					
P	WR	"LACLEDE GAS COMPANY, MISSOURI GAS E"	95	66608	FLD		20000					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	SCT	11474	5/1/1993	3/31/2019		N	2600		
A	SPIRE MARKETING INC.	N										
P	M2	HT - DUKE ENERGY TRADING AND MARKET	95	H0004	FLD	2600						
P	MQ	UNITED CITIES - BOWLING GREEN - LIB	95	387	MKT	2600						
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	SCT	11668	5/1/1993	3/31/2019		N	5000		
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	M2	PT - DUKE ENERGY TRADING AND MARKET	95	P9989	FLD	5000						
P	MQ	UNITED CITIES - LIBERTY ENERGY (MID	95	UNCIT	MKT	5000						
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	EFT	11671	5/1/1993	3/31/2019		N	8045		
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	M2	HT - DUKE ENERGY TRADING AND MARKET	95	H0004	FLD	8045						
P	MQ	UNITED CITIES - MISSOURI - LIBERTY	95	UNCMO	MKT	8045						
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	SCT	11680	5/1/1993	3/31/2019		N	1000		
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	M2	PT - DUKE ENERGY TRADING AND MARKET	95	P9989	FLD	1000						
P	MQ	UNITED CITIES - VIRDEN RURAL - LIBE	95	UCRUR	MKT	1000						
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	IOS	11794	5/1/1993	3/31/2019		N		52000	
A	SPIRE MARKETING INC.	N										
P	IJ	UNITED CITIES - BOWLING GREEN - IOS	95	66076	FLD		260					
P	WR	UNITED CITIES - BOWLING GREEN - IOS	95	66076	FLD		520					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	IOS	11861	5/1/1993	4/30/2019		N		200000	
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	IJ	UNITED CITIES - IOS - LIBERTY ENERG	95	66180	FLD		1000					
P	WR	UNITED CITIES - IOS - LIBERTY ENERG	95	66180	FLD		2000					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	SCT	11867	5/1/1993	4/30/2019		N	8000		
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	4000						
P	M2	TALLGRASS GRANT #1	95	9223	FLD	4000						
P	MQ	UNITED CITIES - BUTLER - LIBERTY EN	95	1200	MKT	8000						
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	FS	14088	4/1/1996	3/31/2019		N		668462	
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	IJ	UNITED CITIES - FS - LIBERTY ENERGY	95	66476	FLD		5783					
P	WR	UNITED CITIES - FS - LIBERTY ENERGY	95	66476	FLD		12201					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	EFT	14089	4/1/1996	3/31/2019		N	5056		
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	M2	KP&L	95	KPOWR	FLD	548						
P	M2	PHILLIPS - CIMARRON	95	2428	FLD	4508						
P	MQ	UNITED CITIES - FS - LIBERTY ENERGY	95	66476	FLD	5056						
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	FS	20968	4/1/2006	3/31/2019		N		115000	
A	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	N										
P	IJ	LIBERTY ENERGY (MIDSTATES) - FS	95	66654	FLD		1000					
P	WR	LIBERTY ENERGY (MIDSTATES) - FS	95	66654	FLD		1000					
D	LIMA REFINING COMPANY	199623414	N	FT	33523	11/1/2011	10/31/2019		N	12082		
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	12082						
P	MQ	HUSKY MARKETING AND SUPPLY	95	9865	MKT	12082						
D	LIMA REFINING COMPANY	199623414	N	FT	33526	11/1/2011	10/31/2019		N	2918		
P	M2	BAKER - CIMARRON RIVER PIPELINE	95	13216	FLD	1459						
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	1459						
P	MQ	HUSKY MARKETING AND SUPPLY	95	9865	MKT	2918						
D	LIMA REFINING COMPANY	199623414	N	FT	42884	11/1/2015	10/31/2018		N	7000		
P	M2	SNEED - SCOUT ENERGY	95	12724	FLD	7000						
P	MQ	HUSKY MARKETING AND SUPPLY	95	9865	MKT	7000						
D	"LNG INDY, LLC DBA KINETREX ENERGY"	64913873	N	EFT	51708	4/1/2017	3/31/2019		N	3000		
P	M2	PUTNAM COUNTY - ROCKIES EXPRESS PIP	95	9254	MKT	3000						
P	MQ	CITIZENS ENERGY GROUP	95	CITGC	MKT	3000						
D	MACQUARIE ENERGY LLC	798846036	N	EFT	45365	4/1/2015	10/31/2019		N	15000		
P	M2	SUPERIOR PLANT	95	41417	FLD	15000						
P	MQ	NORTHERN NATURAL	95	NNATL	FLD	15000						
D	MACQUARIE ENERGY LLC	798846036	N	EFT	55333	4/1/2018	4/30/2018		N	50145		
P	M2	DELHI CARPENTER RECEIPT - WIT	95	41215	FLD	10000						
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	10000						
P	M2	KN ALEDO CHECK PURCHASE - WIT	95	6132	FLD	10145						
P	M2	MARKWEST OKLAHOMA GAS RECEIPT POINT	95	13241	FLD	10000						
P	M2	WESTANA POINT	95	WTANA	FLD	10000						
P	MQ	PANHANDLE BOURBON	95	PBRBN	MKT	50145						
D	MACQUARIE ENERGY LLC	798846036	N	EFT	55652	4/1/2018	4/30/2018		N	9575		
P	M2	ROSE VALLEY PLANT	95	41424	FLD	9575						
P	MQ	NORTHERN NATURAL	95	NNATL	FLD	9575						
D	MICHIGAN GAS UTILITIES CORPORATION	622377096	N	EFT	17000	11/1/2000	3/31/2019		N	14000		
A	MICHIGAN GAS UTILITIES CORPORATION	N										
P	M2	CRESCENDO - ETC FIELD SERVICES	95	40524	FLD	3500						
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	3500						
P	M2	TALLGRASS GRANT #1	95	9223	FLD	3500						
P	M2	TRANSWESTERN - SNEED	95	7011	FLD	3500						
P	MQ	MICHIGAN GAS UTILITIES	95	MGU	MKT	14000						
D	"MID-MISSOURI ENERGY, LLC"	175963524	N	EFT	18597	2/15/2005	3/31/2030		N	4000		
A	"KINECT ENERGY, INC."	N										
P	M2	DORCHESTER HUGOTON - MOUSER	95	41152	FLD	4000						
P	MQ	CITY OF MARSHALL DEDUCT - MID-MISSO	95	9249	MKT	4000						
D	"MID-MISSOURI ENERGY, LLC"	175963524	N	EFT	42418	4/15/2014	5/31/2020		N	600		
A	"KINECT ENERGY, INC."	N										
P	M2	ANADARKO LIBERAL RECEIPT	95	13214	FLD	600						
P	MQ	CITY OF MARSHALL DEDUCT - MID-MISSO	95	9249	MKT	600						
D	"MISSOURI ETHANOL, LLC"	784381423	N	EFT	30676	4/1/2011	10/31/2021		N	4400		
A	"ETHANOL PRODUCTS, LLC D/B/A POET ETHANOL PRODUCTS"	N										
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	4400						
P	MQ	ETHANOL PLANT LATERAL - MISSOURI JM	95	9251	MKT	4400						
D	MORGAN STANLEY CAPITAL GROUP INC.	130198013	N	EFT	54683	4/1/2018	10/31/2019		N	80735		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	80735						
P	MQ	PANHANDLE BOURBON	95	PBRBN	MKT	80735						
D	MORGAN STANLEY CAPITAL GROUP INC.	130198013	N	EFT	55153	4/1/2018	10/31/2019		N	25000		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	25000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	25000						
D	MUNICIPAL GAS COMMISSION OF MISSOURI	159222772	N	IOS	11807	5/1/1993	3/31/2023		N		80000	
A	SPIRE MARKETING INC.	N										
P	IJ	MUNICIPAL GAS COMMISSION OF MISSOUR	95	66178	FLD		400					
P	WR	MUNICIPAL GAS COMMISSION OF MISSOUR	95	66178	FLD		800					
D	MUSTANG FUEL MARKETING COMPANY	556962975	N	FT	53296	10/11/2017	10/31/2019		N	35000		
P	M2	DOVER-HENNESSEY GAS PLANT - MUSTANG	95	2384	FLD	30000						
P	M2	RINGWOOD	95	40591	FLD	5000						
P	MQ	FT - MUSTANG FUEL MARKETING COMPANY	95	F9037	FLD	35000						
D	NEW-INDY IVEX LLC	187289905	N	EFT	26091	4/1/2009	7/31/2018		N	500		
A	BP CANADA ENERGY MARKETING CORP.	N										
P	M2	WESTANA POINT	95	WTANA	FLD	500						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	100						
P	MQ	INDIANA GAS	95	INGAS	MKT	400						
D	"NORTHEAST MISSOURI GRAIN, LLC"	106416592	N	EFT	17024	5/1/2000	10/31/2021		N	4700		
A	"ETHANOL PRODUCTS, LLC D/B/A POET ETHANOL PRODUCTS"	N										
P	M2	HT - OCCIDENTAL ENERGY MARKETING	95	H0394	FLD	2650						
P	M2	PT - ENABLE ENERGY RESOURCES	95	P9965	FLD	2050						
P	MQ	NORTHEAST MISSOURI GRAIN - CITY OF	95	9230	MKT	4700						
D	"NORTHEAST MISSOURI GRAIN, LLC"	106416592	N	EFT	31151	4/1/2011	10/31/2021		N	1350		
A	"ETHANOL PRODUCTS, LLC D/B/A POET ETHANOL PRODUCTS"	N										
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	1350						
P	MQ	NORTHEAST MISSOURI GRAIN - CITY OF	95	9230	MKT	1350						
D	NORTHERN ILLINOIS GAS COMPANY	6927792	N	FT	11582	5/1/1993	10/31/2021		N	507		
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	507						
P	MQ	NORTHERN ILLINOIS GAS - ATLAS	95	2338	MKT	507						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	EFT	11628	5/1/1993	3/31/2024		N	53000		
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	8000						
P	M2	DOVER-HENNESSEY GAS PLANT - MUSTANG	95	2384	FLD	10000						
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	22000						
P	M2	PHILLIPS - CIMARRON	95	2428	FLD	3000						
P	M2	SNEED - SCOUT ENERGY	95	12724	FLD	10000						
P	MQ	NIPSCO	95	NIPS	MKT	53000						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	FS	17359	6/1/2001	4/30/2024		N		6917211	
P	IJ	NORTHERN INDIANA PUBLIC SERVICE - F	95	66614	MKT		26991					
P	WR	NORTHERN INDIANA PUBLIC SERVICE - F	95	66614	MKT		86791					
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	EFT	17361	11/1/2001	4/30/2024		N	70000		
P	M2	NORTHERN INDIANA PUBLIC SERVICE - F	95	66614	MKT	70000						
P	MQ	NIPSCO	95	NIPS	MKT	70000						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	EFT	17940	12/1/2002	3/31/2024		N	15000		
A	NORTHERN INDIANA PUBLIC SERVICE COMPANY	N										
P	M2	NIPSCO	95	NIPS	MKT	15000						
P	MQ	NIPSCO - PARK	95	NIPSP	MKT	15000						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	EFT	17941	12/1/2002	3/31/2024		N	15000		
A	NORTHERN INDIANA PUBLIC SERVICE COMPANY	N										
P	M2	NIPSCO - PARK	95	NIPSP	MKT	15000						
P	MQ	NIPSCO	95	NIPS	MKT	15000						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	EFT	19412	4/1/2005	11/30/2023		N	4580		
A	NORTHERN INDIANA PUBLIC SERVICE COMPANY	N										
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	4580						
P	MQ	NORTHERN INDIANA PUBLIC SERVICE - F	95	66614	MKT	4580						
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY	6937585	N	EFT	19414	4/1/2005	3/31/2024		N	33000		
A	NORTHERN INDIANA PUBLIC SERVICE COMPANY	N										
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	33000						
P	MQ	NIPSCO	95	NIPS	MKT	33000						
D	NUCOR CORPORATION D/B/A NUCOR CRAWFORDSVILLE	181157009	N	EFT	48910	5/1/2016	10/31/2018		N	4000		
A	"MOBIUS RISK GROUP, LLC"	N										
P	M2	PUTNAM COUNTY - ROCKIES EXPRESS PIP	95	9254	MKT	4000						
P	MQ	INDIANA GAS	95	INGAS	MKT	4000						
D	OHIO GAS ENERGY SERVICES COMPANY	616476441	N	WS	11603	5/1/1993	3/31/2024		N		400000	
A	OHIO GAS ENERGY SERVICES COMPANY	N										
P	IJ	OHIO GAS - WS	95	66086	MKT		2000					
P	WR	OHIO GAS - WS	95	66086	MKT		4000					
D	OHIO GAS ENERGY SERVICES COMPANY	616476441	N	EFT	11604	5/1/1993	3/31/2024		N	2028		
A	OHIO GAS ENERGY SERVICES COMPANY	N										
P	M2	OHIO GAS	95	OHGAS	MKT	2028						
P	MQ	OHIO GAS - WS	95	66086	MKT	2028						
D	OHIO GAS ENERGY SERVICES COMPANY	616476441	N	IOS	11609	5/1/1993	3/31/2024		N		454000	
A	OHIO GAS ENERGY SERVICES COMPANY	N										
P	IJ	OHIO GAS - IOS	95	66058	FLD		2270					
P	WR	OHIO GAS - IOS	95	66058	FLD		4540					
D	OHIO GAS ENERGY SERVICES COMPANY	616476441	N	EFT	11617	5/1/1993	3/31/2024		N	6700		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	KP&L	95	KPOWR	FLD	6700						
P	MQ	OHIO GAS	95	OHGAS	MKT	6700						
D	OHIO GAS ENERGY SERVICES COMPANY	616476441	N	EFT	23719	4/1/2010	3/31/2025		N	5000		
A	"OCCIDENTAL ENERGY MARKETING, INC."	N										
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	5000						
P	MQ	OHIO GAS	95	OHGAS	MKT	5000						
D	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	79254828	N	EFT	33288	4/1/2012	3/31/2021		N	11000		
A	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	N										
P	M2	HANSFORD HINSHAW 200 INTERCONNECT -	95	41416	FLD	11000						
P	MQ	PONY EXPRESS - TALLGRASS INTERSTATE	95	PNYEX	MKT	11000						
D	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	79254828	N	IOS	41219	1/30/2014	3/31/2019		N		31200	
P	IJ	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61468	FLD		156					
P	WR	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61468	FLD		312					
D	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	79254828	N	WS	41220	1/30/2014	3/31/2019		N		145100	
P	IJ	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61469	FLD		726					
P	WR	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61469	FLD		1451					
D	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	79254828	N	WS	41236	1/30/2014	3/31/2019		N		212300	
P	IJ	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61472	FLD		1062					
P	WR	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61472	FLD		2123					
D	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	79254828	N	IOS	41237	1/30/2014	3/31/2019		N		45000	
P	IJ	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61473	FLD		225					
P	WR	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61473	FLD		450					
D	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	79254828	N	EFT	41238	1/30/2014	3/31/2022		N	2248		
P	M2	GARFIELD - ENABLE OKLAHOMA	95	12059	FLD	2248						
P	MQ	KP&L KANSAS	95	KP&LK	MKT	2248						
D	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	79254828	N	EFT	41239	1/30/2014	3/31/2019		N	737		
P	M2	KP&L	95	KPOWR	FLD	737						
P	MQ	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61469	FLD	737						
D	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	79254828	N	EFT	41250	1/30/2014	3/31/2019		N	1078		
P	M2	KP&L	95	KPOWR	FLD	1078						
P	MQ	"ONE GAS, INC. DBA KANSAS GAS SERVIC"	95	61472	FLD	1078						
D	"ONE GAS, INC. DBA KANSAS GAS SERVICE COMPANY"	79254828	N	EFT	41261	1/30/2014	3/31/2022		N	1561		
P	M2	KP&L	95	KPOWR	FLD	656						
P	M2	PLAINS LINE DEMARCATION	95	PLAIN	FLD	905						
P	MQ	KP&L KANSAS WEST OF HAVEN	95	KP&LW	FLD	1561						
D	"ONEOK FIELD SERVICES COMPANY, L.L.C."	807558072	N	FT	54137	1/1/2018	12/31/2018		N	30000		
P	M2	ROSE VALLEY PLANT	95	41424	FLD	30000						
P	MQ	"FT - ONEOK FIELD SERVICES COMPANY,"	95	F9040	FLD	30000						
D	"PCS NITROGEN FERTILIZER, LP"	858404015	N	FT	39650	11/1/2014	10/31/2019		N	45000		
P	M2	BAKER - CIMARRON RIVER PIPELINE	95	13216	FLD	15000						
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	15000						
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	15000						
P	MQ	PCS NITROGEN FERTILIZER	95	9862	MKT	45000						
D	"PCS NITROGEN FERTILIZER, LP"	858404015	N	FT	39655	11/1/2014	10/31/2019		N	22000		
P	M2	LEBANON LATERAL	95	2821	MKT	22000						
P	MQ	PCS NITROGEN FERTILIZER	95	9862	MKT	22000						
D	"PRO SOLUTIONS, L.L.C."	78453601	N	SCT	43783	11/1/2014	10/31/2018		N	25		
P	M2	SUPERIOR PLANT	95	41417	FLD	25						
P	MQ	JOHNSON CTY SCHOOL	95	9124	MKT	25						
D	"PRO SOLUTIONS, L.L.C."	78453601	N	EFT	47862	1/1/2016	4/30/2018		N	900		
P	M2	SUPERIOR PLANT	95	41417	FLD	900						
P	MQ	PRO SOLUTIONS - UNION ELECTRIC DEDU	95	9516	MKT	900						
D	"RANGE RESOURCES - APPALACHIA, LLC"	114534337	N	EFT	46553	9/1/2015	10/31/2025		Y	150000		
P	M2	LEBANON LATERAL	95	2821	MKT	150000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	50000						
P	MQ	DTE GAS CO - DETROIT	95	MCON	MKT	100000						
D	ROVER PIPELINE LLC	79717714	Y	FT	52308	8/31/2017	8/30/2032		N	752332		
P	M2	ROVER FALCON	95	RFALC	MKT	752332						
P	MQ	PANHANDLE BOURBON	95	PBRBN	MKT	752332						
D	SEILING PUBLIC WORKS AUTHORITY	41839648	N	SCT	11491	5/1/1993	3/31/2020		N	600		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	RINGWOOD	95	40591	FLD	600						
P	MQ	SEILING PUBLIC WORKS	95	2250	FLD	600						
D	"SEMCO ENERGY, INC., DBA SEMCO ENERGY GAS COMPANY"	89712079	N	EFT	20653	11/1/2006	3/31/2020		N	18500		
A	BP CANADA ENERGY MARKETING CORP.	N										
P	M2	ELK CITY PLANT - ENBRIDGE G & P (OK	95	12475	FLD	4625						
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	4625						
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	4625						
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	4625						
P	MQ	JACKSON PIPELINE	95	JACPL	MKT	10000						
P	MQ	SEMCO ENERGY DBA SEMCO ENERGY GAS	95	SEMIC	MKT	8500						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	EFT	43044	11/1/2014	10/31/2019		N	4500		
P	M2	LANTIS 1-29 - WEST BAY EXPLORATION	95	9859	MKT	4500						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	4500						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	EFT	49548	11/1/2016	5/5/2022		N	25000		
P	M2	PUTNAM COUNTY - ROCKIES EXPRESS PIP	95	9254	MKT	25000						
P	MQ	CONSUMERS ENERGY	95	MGS	MKT	25000						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FT	53748	11/1/2017	10/31/2019		N	5000		
P	M2	KN ALEDO CHECK PURCHASE - WIT	95	6132	FLD	5000						
P	MQ	"FT - SEQUENT ENERGY MANAGEMENT, L.P"	95	F9038	FLD	5000						
