H	Northern Natural Gas Company	C000060	4/2/2018	O	4/1/2018	B	B	Laura Demman (402) 398-7278				
P	MQ	READLYN IA #1	95	3813	Market	16	0					
P	MQ	RIDGEWAY IA #1	95	3814	Market	7	0					
P	MQ	STRAWBERRY PT. IA #1	95	3822	Market	21	0					
P	MQ	SUMNER IA #1	95	3823	Market	72	0					
P	MQ	TRIPOLI IA #1	95	3826	Market	33	0					
P	MQ	WEST UNION IA #1	95	3829	Market	62	0					
P	MQ	VALLEY NE #1	95	3943	Market	115	0					
P	MQ	WATERLOO NE #1	95	3945	Market	137	0					
P	MQ	AURORA IA #1	95	55885	Market	8	0					
P	MQ	GARNAVILLO IA #1	95	56192	Market	31	0					
P	MQ	GRIMES IA	95	78635	Market	1500	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TFX_M_4_10	110291	11/1/2022	10/31/2023		N	3945	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	1607	0					
P	M2	TBPL/NNG BEATRICE	95	1318	Market	1500	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	838	0					
P	MQ	ZONE D-BLACK HILLS	95	3044	Market	941	0	yi1				
P	MQ	ZONE ABC-BLACK HILLS	95	60228	Market	8042	0	yi1				
P	MQ	COLUMBUS NE #1	95	1411	Market	300	0					
P	MQ	COLUMBUS NE #2	95	1412	Market	600	0					
P	MQ	SPENCER IA #1B	95	2808	Market	3835	0					
P	MQ	WAUKON IA #1	95	2814	Market	82	0					
P	MQ	LUANA IA #1	95	2817	Market	6	0					
P	MQ	DECORAH IA #1	95	2820	Market	175	0					
P	MQ	CRESCO IA #1	95	2821	Market	82	0					
P	MQ	POSTVILLE IA #1	95	2822	Market	43	0					
P	MQ	WAKEFIELD NE #1	95	2840	Market	445	0					
P	MQ	WAYNE NE #1	95	2841	Market	1090	0					
P	MQ	VALLEY NE #1B	95	3494	Market	20	0					
P	MQ	CALMAR IA #1	95	3756	Market	31	0					
P	MQ	EDGEWOOD IA #1	95	3766	Market	25	0					
P	MQ	ELKADER IA #1	95	3767	Market	39	0					
P	MQ	FAYETTE IA #1	95	3772	Market	6	0					
P	MQ	GUTTENBURG IA #1	95	3782	Market	130	0					
P	MQ	HAWKEYE IA #1	95	3785	Market	8	0					
P	MQ	LAMONT IA #1	95	3791	Market	14	0					
P	MQ	MONONA IA #1	95	3801	Market	33	0					
P	MQ	OSSIAN IA #1	95	3807	Market	17	0					
P	MQ	READLYN IA #1	95	3813	Market	16	0					
P	MQ	RIDGEWAY IA #1	95	3814	Market	7	0					
P	MQ	STRAWBERRY PT. IA #1	95	3822	Market	21	0					
P	MQ	SUMNER IA #1	95	3823	Market	72	0					
P	MQ	TRIPOLI IA #1	95	3826	Market	33	0					
P	MQ	WEST UNION IA #1	95	3829	Market	62	0					
P	MQ	VALLEY NE #1	95	3943	Market	115	0					
P	MQ	WATERLOO NE #1	95	3945	Market	137	0					
P	MQ	AURORA IA #1	95	55885	Market	8	0					
P	MQ	GARNAVILLO IA #1	95	56192	Market	31	0					
P	MQ	GRIMES IA	95	78635	Market	1500	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TFX_M_4_4	110291	2/1/2018	10/31/2018		N	67519	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	24461	0					
P	M2	GRLKS/NNG CARLTON	95	388	Market	12898	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	13529	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	16631	0					
P	MQ	ZONE ABC-BLACK HILLS	95	60228	Market	56110	0	yi1				
P	MQ	COLUMBUS NE #1	95	1411	Market	4650	0					
P	MQ	COLUMBUS NE #2	95	1412	Market	1573	0					
P	MQ	LINCOLN NE #1B	95	1446	Market	6500	0					
P	MQ	COUNCIL BLUFFS IA #1	95	2805	Market	22356	0					
P	MQ	SPENCER IA #1B	95	2808	Market	1750	0					
P	MQ	NEWTON IA #1	95	2809	Market	4000	0					
P	MQ	SPIRIT LAKE IA #1	95	2812	Market	3052	0					
P	MQ	DENISON IA #1	95	2828	Market	1000	0					
P	MQ	PAPILLION NE #1A	95	2836	Market	2764	0					
P	MQ	SCHUYLER NE #1	95	2838	Market	2000	0					
P	MQ	WEEPING WATER NE #1	95	2842	Market	376	0					
P	MQ	ARNOLDS PARK IA #1	95	3757	Market	811	0					
P	MQ	RALSTON NE #1	95	3935	Market	506	0					
P	MQ	VALLEY NE #1A	95	3944	Market	317	0					
P	MQ	PAPILLION NE #1B	95	25072	Market	2000	0					
P	MQ	GRIMES IA	95	78635	Market	1255	0					
P	MQ	GRETNA NE #2	95	78873	Market	1200	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TFX_M_4_4	110291	11/1/2018	10/31/2022		N	67519	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	24461	0					
P	M2	GRLKS/NNG CARLTON	95	388	Market	12898	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	13529	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	16631	0					
P	MQ	ZONE ABC-BLACK HILLS	95	60228	Market	56110	0	yi1				
P	MQ	COLUMBUS NE #1	95	1411	Market	4650	0					
P	MQ	COLUMBUS NE #2	95	1412	Market	1573	0					
P	MQ	LINCOLN NE #1B	95	1446	Market	6500	0					
P	MQ	COUNCIL BLUFFS IA #1	95	2805	Market	22356	0					
P	MQ	SPENCER IA #1B	95	2808	Market	1750	0					
P	MQ	NEWTON IA #1	95	2809	Market	4000	0					
P	MQ	SPIRIT LAKE IA #1	95	2812	Market	3052	0					
P	MQ	DENISON IA #1	95	2828	Market	1000	0					
P	MQ	PAPILLION NE #1A	95	2836	Market	2764	0					
P	MQ	SCHUYLER NE #1	95	2838	Market	2000	0					
P	MQ	WEEPING WATER NE #1	95	2842	Market	376	0					
P	MQ	ARNOLDS PARK IA #1	95	3757	Market	811	0					
P	MQ	RALSTON NE #1	95	3935	Market	506	0					
P	MQ	VALLEY NE #1A	95	3944	Market	317	0					
P	MQ	PAPILLION NE #1B	95	25072	Market	2000	0					
P	MQ	GRIMES IA	95	78635	Market	1255	0					
P	MQ	GRETNA NE #2	95	78873	Market	1200	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TFX_M_4_4	110291	11/1/2022	10/31/2023		N	67519	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	24461	0					
P	M2	GRLKS/NNG CARLTON	95	388	Market	12898	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	13529	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	16631	0					
P	MQ	ZONE ABC-BLACK HILLS	95	60228	Market	56110	0	yi1				
P	MQ	COLUMBUS NE #1	95	1411	Market	4650	0					
P	MQ	COLUMBUS NE #2	95	1412	Market	1573	0					
P	MQ	LINCOLN NE #1B	95	1446	Market	6500	0					
P	MQ	COUNCIL BLUFFS IA #1	95	2805	Market	22356	0					
P	MQ	SPENCER IA #1B	95	2808	Market	1750	0					
P	MQ	NEWTON IA #1	95	2809	Market	4000	0					
P	MQ	SPIRIT LAKE IA #1	95	2812	Market	3052	0					
P	MQ	DENISON IA #1	95	2828	Market	1000	0					
P	MQ	PAPILLION NE #1A	95	2836	Market	2764	0					
P	MQ	SCHUYLER NE #1	95	2838	Market	2000	0					
P	MQ	WEEPING WATER NE #1	95	2842	Market	376	0					
P	MQ	ARNOLDS PARK IA #1	95	3757	Market	811	0					
P	MQ	RALSTON NE #1	95	3935	Market	506	0					
P	MQ	VALLEY NE #1A	95	3944	Market	317	0					
P	MQ	PAPILLION NE #1B	95	25072	Market	2000	0					
P	MQ	GRIMES IA	95	78635	Market	1255	0					
P	MQ	GRETNA NE #2	95	78873	Market	1200	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TFX_M_5_9	110291	2/1/2018	10/31/2018		N	11409	0	k6/k7
P	M2	NBPL/NNG WELCOME	95	1665	Market	11306	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	103	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TFX_M_5_9	110291	11/1/2018	10/31/2022		N	11409	0	k6/k7
P	M2	NBPL/NNG WELCOME	95	1665	Market	11306	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	103	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TFX_M_5_9	110291	11/1/2022	10/31/2023		N	11409	0	k6/k7
P	M2	NBPL/NNG WELCOME	95	1665	Market	11306	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	103	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF_M_1_12	110292	2/1/2018	10/31/2023		N	13477	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	13427	0					
P	M2	NBPL/NNG GRUNDY CENTER	95	60229	Market	50	0					
P	MQ	ZONE D-BLACK HILLS	95	3044	Market	39106	0	yi1				
P	MQ	ZONE ABC-BLACK HILLS	95	60228	Market	34760	0	yi1				
P	MQ	FAIRBURY NE #3	95	1189	Market	1	0					
P	MQ	WEST POINT NE #1	95	1307	Market	789	0					
P	MQ	WILBER NE #1	95	1308	Market	309	0					
P	MQ	RISING CITY NE #1	95	1361	Market	87	0					
P	MQ	SEWARD NE #1	95	1363	Market	909	0					
P	MQ	SHELBY NE #1	95	1364	Market	130	0					
P	MQ	COLUMBUS NE #3	95	1365	Market	30	0					
P	MQ	STAPLEHURST NE #1	95	1366	Market	1	0					
P	MQ	TEKAMAH NE #1	95	1369	Market	5	0					
P	MQ	ULYSSES NE #1	95	1372	Market	1	0					
P	MQ	CORTLAND NE #1	95	1374	Market	1	0					
P	MQ	CRAIG NE #1	95	1378	Market	1	0					
P	MQ	CRETE NE #1	95	1380	Market	777	0					
P	MQ	WAHOO NE #2	95	1382	Market	1	0					
P	MQ	CRETE NE #2	95	1384	Market	1	0					
P	MQ	WAVERLY NE #1	95	1393	Market	5	0					
P	MQ	ADAMS NE #1	95	1395	Market	1	0					
P	MQ	ARLINGTON NE #1	95	1397	Market	3	0					
P	MQ	BEATRICE NE #2	95	1403	Market	1	0					
P	MQ	BEE NE #1	95	1404	Market	1	0					
P	MQ	BEEMER NE #1	95	1406	Market	2	0					
P	MQ	BLAIR NE #1	95	1408	Market	1318	0					
P	MQ	CLATONIA NE #1	95	1409	Market	1	0					
P	MQ	COLUMBUS NE #1	95	1411	Market	3992	0					
P	MQ	COLUMBUS NE #2	95	1412	Market	739	0					
P	MQ	DAVID CITY NE #1	95	1413	Market	791	0					
P	MQ	DE WITT NE #1	95	1422	Market	2	0					
P	MQ	DORCHESTER NE #1	95	1425	Market	2	0					
P	MQ	FRIEND NE #1	95	1426	Market	4	0					
P	MQ	GARRISON NE #1	95	1428	Market	23	0					
P	MQ	GREENWOOD NE #1	95	1431	Market	2	0					
P	MQ	HALLAM NE #1	95	1434	Market	1	0					
P	MQ	LINCOLN NE #1B	95	1446	Market	505	0					
P	MQ	MEAD NE #1	95	1448	Market	2	0					
P	MQ	MILFORD NE #1	95	1451	Market	412	0					
P	MQ	NICKERSON NE #1	95	1454	Market	1	0					
P	MQ	OAKLAND NE #1	95	1458	Market	4	0					
P	MQ	OSCEOLA NE #1	95	1461	Market	170	0					
P	MQ	PLYMOUTH NE #1	95	1465	Market	1	0					
P	MQ	FORT CROOK NE #4	95	2257	Market	1	0					
P	MQ	COUNCIL BLUFFS IA #1	95	2805	Market	231	0					
P	MQ	SPENCER IA #1B	95	2808	Market	465	0					
P	MQ	NEWTON IA #1	95	2809	Market	2044	0					
P	MQ	NEWTON IA #1A	95	2810	Market	1	0					
P	MQ	ESTHERVILLE IA #1	95	2811	Market	910	0					
P	MQ	SPIRIT LAKE IA #1	95	2812	Market	302	0					
P	MQ	WEBSTER CITY IA #1	95	2813	Market	1176	0					
P	MQ	WAUKON IA #1	95	2814	Market	1380	0					
P	MQ	FREDERICKSBURG IA #1	95	2815	Market	3	0					
P	MQ	NEW HAMPTON IA #1	95	2816	Market	637	0					
P	MQ	LUANA IA #1	95	2817	Market	447	0					
P	MQ	HOPKINTON IA #1	95	2818	Market	252	0					
P	MQ	MAQUOKETA IA #1	95	2819	Market	1972	0					
P	MQ	DECORAH IA #1	95	2820	Market	3160	0					
P	MQ	CRESCO IA #1	95	2821	Market	1460	0					
P	MQ	POSTVILLE IA #1	95	2822	Market	1537	0					
P	MQ	ARLINGTON IA #2	95	2823	Market	319	0					
P	MQ	FOREST CITY IA #1	95	2827	Market	1612	0					
P	MQ	DENISON IA #1	95	2828	Market	1645	0					
P	MQ	AUBURN NE #1	95	2830	Market	10	0					
P	MQ	BELLEVUE NE #1	95	2831	Market	37	0					
P	MQ	FAIRBURY NE #1	95	2832	Market	782	0					
P	MQ	FORT CROOK NE #1	95	2833	Market	2	0					
P	MQ	PAPILLION NE #1A	95	2836	Market	1	0					
P	MQ	RALSTON NE #1B	95	2837	Market	24	0					
P	MQ	SCHUYLER NE #1	95	2838	Market	1091	0					
P	MQ	SCHUYLER NE #2	95	2839	Market	1	0					
P	MQ	WAKEFIELD NE #1	95	2840	Market	5	0					
P	MQ	WAYNE NE #1	95	2841	Market	527	0					
P	MQ	WEEPING WATER NE #1	95	2842	Market	3	0					
P	MQ	FAIRBURY NE #2	95	3490	Market	1	0					
P	MQ	FORT CROOK NE #1A	95	3492	Market	1	0					
P	MQ	VALLEY NE #1B	95	3494	Market	1	0					
P	MQ	HOOPER NE #1	95	3745	Market	2	0					
P	MQ	ACKLEY IA #1	95	3747	Market	341	0					
P	MQ	ADAIR IA #1	95	3748	Market	3	0					
P	MQ	ANAMOSA IA #1	95	3749	Market	1354	0					
P	MQ	ANAMOSA IA #1A	95	3750	Market	12	0					
P	MQ	ANDREW IA #1	95	3751	Market	90	0					
P	MQ	ANITA IA #1	95	3752	Market	4	0					
P	MQ	ARLINGTON IA #1	95	3753	Market	394	0					
P	MQ	BELLEVUE IA #1	95	3754	Market	630	0					
P	MQ	BOXHOLM IA #1	95	3755	Market	1	0					
P	MQ	CALMAR IA #1	95	3756	Market	13	0					
P	MQ	ARNOLDS PARK IA #1	95	3757	Market	15	0					
P	MQ	DAYTON IA #1	95	3759	Market	3	0					
P	MQ	DELHI IA #1	95	3760	Market	189	0					
P	MQ	DIKE IA #1	95	3761	Market	3	0					
P	MQ	DYERSVILLE IA #1	95	3764	Market	1701	0					
P	MQ	EARLVILLE IA #1	95	3765	Market	294	0					
P	MQ	EDGEWOOD IA #1	95	3766	Market	98	0					
P	MQ	ELKADER IA #1	95	3767	Market	467	0					
P	MQ	EPWORTH IA #1	95	3768	Market	467	0					
P	MQ	FARLEY IA #1	95	3770	Market	375	0					
P	MQ	FARNHAMVILLE IA #1	95	3771	Market	2	0					
P	MQ	FAYETTE IA #1	95	3772	Market	219	0					
P	MQ	FERTILE IA #1	95	3773	Market	135	0					
P	MQ	FOSTORIA IA #1	95	3774	Market	1	0					
P	MQ	GLIDDEN IA #1	95	3775	Market	265	0					
P	MQ	GOWRIE IA #1	95	3776	Market	4	0					
P	MQ	GRAND JUNCTION IA #1	95	3777	Market	3	0					
P	MQ	GREENE IA #1	95	3779	Market	5	0					
P	MQ	GRUNDY CENTER IA #1	95	3781	Market	10	0					
P	MQ	GUTTENBURG IA #1	95	3782	Market	528	0					
P	MQ	HANLONTOWN IA #1	95	3783	Market	28	0					
P	MQ	HARCOURT IA #1	95	3784	Market	1	0					
P	MQ	HAWKEYE IA #1	95	3785	Market	12	0					
P	MQ	IONIA IA #1	95	3786	Market	1	0					
P	MQ	JOICE IA #1	95	3787	Market	60	0					
P	MQ	KELLOGG IA #1	95	3788	Market	2	0					
P	MQ	KLEMME IA #1	95	3789	Market	2	0					
P	MQ	LAKE MILLS IA #1	95	3790	Market	585	0					
P	MQ	LAMONT IA #1	95	3791	Market	48	0					
P	MQ	LANGWORTHY IA #1	95	3792	Market	15	0					
P	MQ	LAPORTE CITY IA #1	95	3793	Market	830	0					
P	MQ	LEHIGH IA #1	95	3794	Market	2	0					
P	MQ	MADRID IA #1	95	3795	Market	422	0					
P	MQ	MANCHESTER IA #1	95	3796	Market	2093	0					
P	MQ	MARBLE ROCK IA #1	95	3797	Market	1	0					
P	MQ	MILFORD IA #1	95	3798	Market	544	0					
P	MQ	MILES IA #1	95	3799	Market	115	0					
P	MQ	MITCHELL IA #1	95	3800	Market	1	0					
P	MQ	MONONA IA #1	95	3801	Market	313	0					
P	MQ	MONTICELLO IA #1	95	3802	Market	1221	0					
P	MQ	OGDEN IA #1	95	3804	Market	8	0					
P	MQ	ONAWA IA #1	95	3806	Market	475	0					
P	MQ	OSSIAN IA #1	95	3807	Market	100	0					
P	MQ	PAULLINA IA #1	95	3808	Market	5	0					
P	MQ	PILOT MOUND IA #1	95	3809	Market	1	0					
P	MQ	POCAHONTAS IA #1	95	3810	Market	345	0					
P	MQ	PRIMGHAR IA #1	95	3811	Market	4	0					
P	MQ	RALSTON IA #1	95	3812	Market	6	0					
P	MQ	READLYN IA #1	95	3813	Market	151	0					
P	MQ	RIDGEWAY IA #1	95	3814	Market	1	0					
P	MQ	RIPPEY IA #1	95	3815	Market	1	0					
P	MQ	ROCKFORD IA #1	95	3816	Market	4	0					
P	MQ	ROYAL IA #1	95	3817	Market	2	0					
P	MQ	ST ANSGAR IA #1	95	3818	Market	4	0					
P	MQ	SCRANTON IA #1	95	3819	Market	42	0					
P	MQ	STORY CITY IA #1	95	3821	Market	518	0					
P	MQ	STRAWBERRY PT. IA #1	95	3822	Market	284	0					
P	MQ	SUMNER IA #1	95	3823	Market	542	0					
P	MQ	TERRILL IA #1	95	3825	Market	1	0					
P	MQ	TRIPOLI IA #1	95	3826	Market	225	0					
P	MQ	WALLINGFORD IA #1	95	3828	Market	1	0					
P	MQ	WEST UNION IA #1	95	3829	Market	1175	0					
P	MQ	WOODWARD IA #1	95	3830	Market	4	0					
P	MQ	WORTHINGTON IA #1	95	3831	Market	133	0					
P	MQ	ASHLAND NE #1	95	3908	Market	7	0					
P	MQ	BANCROFT NE #1	95	3910	Market	2	0					
P	MQ	BLUE SPRINGS NE #1	95	3911	Market	1	0					
P	MQ	EAGLE NE #1	95	3912	Market	3	0					
P	MQ	ELMWOOD NE #1	95	3915	Market	2	0					
P	MQ	EMERSON NE #1	95	3916	Market	3	0					
P	MQ	FORT CROOK NE #1B	95	3919	Market	1	0					
P	MQ	HUMBOLDT NE #1	95	3922	Market	3	0					
P	MQ	JACKSON NE #1	95	3923	Market	1	0					
P	MQ	JOHNSON NE #1	95	3924	Market	1	0					
P	MQ	LOUISVILLE NE #1	95	3925	Market	1	0					
P	MQ	MURDOCK NE #1	95	3927	Market	1	0					
P	MQ	NORTH BEND NE #1	95	3928	Market	571	0					
P	MQ	NORTH BEND NE #1A	95	3929	Market	7	0					
P	MQ	ODELL NE #1	95	3930	Market	1	0					
P	MQ	PALMYRA NE #1	95	3931	Market	2	0					
P	MQ	PAWNEE CITY NE #1	95	3933	Market	3	0					
P	MQ	PERU NE #1	95	3934	Market	2	0					
P	MQ	RALSTON NE #1	95	3935	Market	15	0					
P	MQ	RALSTON NE #1A	95	3936	Market	1	0					
P	MQ	STERLING NE #1	95	3937	Market	1	0					
P	MQ	TABLE ROCK NE #1	95	3938	Market	1	0					
P	MQ	TECUMSEH NE #1	95	3941	Market	5	0					
P	MQ	UEHLING NE #1	95	3942	Market	1	0					
P	MQ	VALLEY NE #1	95	3943	Market	4	0					
P	MQ	VALLEY NE #1A	95	3944	Market	1	0					
P	MQ	WATERLOO NE #1	95	3945	Market	2	0					
P	MQ	WYMORE NE #1	95	3947	Market	248	0					
P	MQ	WEST POINT #2 W.P. FEED PRODUCTS	95	22926	Market	1	0					
P	MQ	PAPILLION NE #1B	95	25072	Market	37	0					
P	MQ	DUBUQUE IA #2	95	25075	Market	12	0					
P	MQ	KLEMME IA #2	95	25077	Market	1	0					
P	MQ	LOUISVILLE NE 2	95	26020	Market	3	0					
P	MQ	HOMER NE #1	95	35958	Market	1	0					
P	MQ	ROSALIE NE #1	95	35959	Market	1	0					
P	MQ	WALTHILL NE #1	95	35961	Market	2	0					
P	MQ	WINNEBAGO NE #1	95	35962	Market	2	0					
P	MQ	BENNET NE #1	95	49521	Market	1	0					
P	MQ	LA MOTTE/ZWINGLE IA #1	95	52642	Market	113	0					
P	MQ	BAXTER IA #1	95	52645	Market	2	0					
P	MQ	HICKMAN NE	95	55883	Market	204	0					
P	MQ	LAKEVIEW WALL LAKE IA	95	55884	Market	2	0					
P	MQ	AURORA IA #1	95	55885	Market	4	0					
P	MQ	LEWIS IA #1	95	55886	Market	1	0					
P	MQ	SPRINGVILLE IA	95	55887	Market	359	0					
P	MQ	LAWLER IA #1	95	55889	Market	1	0					
P	MQ	STANHOPE IA	95	55894	Market	1	0					
P	MQ	HAWAIIAN VILLAGE NE	95	56098	Market	1	0					
P	MQ	GARNAVILLO IA #1	95	56192	Market	57	0					
P	MQ	FONDA IA #1	95	56209	Market	1	0					
P	MQ	HALLAM #3 (SHELDON PLT) TBS	95	57417	Market	1	0					
P	MQ	LA PORTE CITY #1A(EAGLE CENTER)	95	57558	Market	40	0					
P	MQ	"SIDNEY,TABOR,HAM IA #1"	95	57740	Market	2579	0					
P	MQ	ZONE A FARMTAPS BLACK HILLS	95	59143	Market	4121	0					
P	MQ	ZONE D FARMTAPS BLACK HILLS	95	59146	Market	388	0					
P	MQ	EPWORTH TBS #1A (PEOPSTA IDSTR PARK)	95	59397	Market	2406	0					
P	MQ	CRETE NE #3	95	61872	Market	63	0					
P	MQ	BUCCANEER NE #1	95	62072	Market	1	0					
P	MQ	MARSHALL COUNTY REC - HARVESTER	95	78078	Market	25	0					
P	MQ	ANKENY WEST IA #2	95	78184	Market	25	0					
P	MQ	GRIMES IA	95	78635	Market	11	0					
P	MQ	GRETNA NE #2	95	78873	Market	18	0					
P	MQ	LINCOLN #1D	95	78973	Market	1	0					
P	MQ	DUBUQUE IA #4	95	79020	Market	11099	0					
P	MQ	DUBUQUE IA #5	95	79267	Market	12	0					
P	MQ	CARTER LAKE IA #1A	95	79310	Market	356	0					
D	"BLACK HILLS UTILITY HOLDINGS, INC."	809024784	N	TF_M_11_3	110292	2/1/2018	10/31/2023		N	91085	0	k6/k7
P	M2	OGDEN DEF. DELIVERY	95	98	Market	1471	0					
P	M2	NBPL/NNG VENTURA	95	192	Market	69227	0					
P	M2	GRLKS/NNG CARLTON	95	388	Market	1740	0					
P	M2	TBPL/NNG BEATRICE	95	1318	Market	9150	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	7352	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	974	0					
P	M2	NBPL/NNG GRUNDY CENTER	95	60229	Market	1171	0					
P	MQ	ZONE D-BLACK HILLS	95	3044	Market	5612	0	yi1				
P	MQ	ZONE ABC-BLACK HILLS	95	60228	Market	25084	0	yi1				
P	MQ	WEST POINT NE #1	95	1307	Market	139	0					
P	MQ	RISING CITY NE #1	95	1361	Market	46	0					
P	MQ	SHELBY NE #1	95	1364	Market	100	0					
P	MQ	COLUMBUS NE #3	95	1365	Market	5	0					
P	MQ	STAPLEHURST NE #1	95	1366	Market	53	0					
P	MQ	TEKAMAH NE #1	95	1369	Market	223	0					
P	MQ	ULYSSES NE #1	95	1372	Market	55	0					
P	MQ	CORTLAND NE #1	95	1374	Market	85	0					
P	MQ	CRAIG NE #1	95	1378	Market	38	0					
P	MQ	WAVERLY NE #1	95	1393	Market	233	0					
P	MQ	ADAMS NE #1	95	1395	Market	77	0					
P	MQ	ARLINGTON NE #1	95	1397	Market	198	0					
P	MQ	BEATRICE NE #2	95	1403	Market	1	0					
P	MQ	BEE NE #1	95	1404	Market	35	0					
P	MQ	BEEMER NE #1	95	1406	Market	124	0					
P	MQ	CLATONIA NE #1	95	1409	Market	44	0					
P	MQ	DAVID CITY NE #3	95	1420	Market	5	0					
P	MQ	DE WITT NE #1	95	1422	Market	105	0					
P	MQ	DORCHESTER NE #1	95	1425	Market	108	0					
P	MQ	FRIEND NE #1	95	1426	Market	201	0					
P	MQ	GARRISON NE #1	95	1428	Market	9	0					
P	MQ	GREENWOOD NE #1	95	1431	Market	95	0					
P	MQ	HALLAM NE #1	95	1434	Market	49	0					
P	MQ	LINCOLN NE #1B	95	1446	Market	864	0					
P	MQ	MEAD NE #1	95	1448	Market	86	0					
P	MQ	MILFORD NE #1	95	1451	Market	10	0					
P	MQ	MYNARD NE #1	95	1452	Market	9	0					
P	MQ	NICKERSON NE #1	95	1454	Market	43	0					
P	MQ	OAKLAND NE #1	95	1458	Market	171	0					
P	MQ	OSCEOLA NE #1	95	1461	Market	144	0					
P	MQ	PLYMOUTH NE #1	95	1465	Market	69	0					
P	MQ	PLYMOUTH NE #2	95	1467	Market	1	0					
P	MQ	GRUNDY CENTER IA #2	95	2255	Market	1	0					
P	MQ	COUNCIL BLUFFS IA #1	95	2805	Market	3055	0					
P	MQ	SPENCER IA #1B	95	2808	Market	2	0					
P	MQ	WAUKON IA #1	95	2814	Market	180	0					
P	MQ	FREDERICKSBURG IA #1	95	2815	Market	192	0					
P	MQ	LUANA IA #1	95	2817	Market	11	0					
P	MQ	HOPKINTON IA #1	95	2818	Market	33	0					
P	MQ	MAQUOKETA IA #1	95	2819	Market	256	0					
P	MQ	DECORAH IA #1	95	2820	Market	292	0					
P	MQ	CRESCO IA #1	95	2821	Market	179	0					
P	MQ	POSTVILLE IA #1	95	2822	Market	75	0					
P	MQ	ARLINGTON IA #2	95	2823	Market	4	0					
P	MQ	FOREST CITY IA #1	95	2827	Market	400	0					
P	MQ	AUBURN NE #1	95	2830	Market	591	0					
P	MQ	BELLEVUE NE #1	95	2831	Market	2992	0					
P	MQ	FORT CROOK NE #1	95	2833	Market	462	0					
P	MQ	PAPILLION NE #1A	95	2836	Market	123	0					
P	MQ	RALSTON NE #1B	95	2837	Market	509	0					
P	MQ	SCHUYLER NE #1	95	2838	Market	288	0					
P	MQ	WAKEFIELD NE #1	95	2840	Market	166	0					
P	MQ	WEEPING WATER NE #1	95	2842	Market	47	0					
P	MQ	FAIRBURY NE #2	95	3490	Market	5	0					
P	MQ	HOOPER NE #1	95	3745	Market	113	0					
P	MQ	ADAIR IA #1	95	3748	Market	107	0					
P	MQ	ANAMOSA IA #1	95	3749	Market	176	0					
P	MQ	ANAMOSA IA #1A	95	3750	Market	1	0					
P	MQ	ANDREW IA #1	95	3751	Market	12	0					
P	MQ	ANITA IA #1	95	3752	Market	138	0					
P	MQ	ARLINGTON IA #1	95	3753	Market	21	0					
P	MQ	BELLEVUE IA #1	95	3754	Market	82	0					
P	MQ	BOXHOLM IA #1	95	3755	Market	47	0					
P	MQ	CALMAR IA #1	95	3756	Market	45	0					
P	MQ	ARNOLDS PARK IA #1	95	3757	Market	208	0					
P	MQ	DAYTON IA #1	95	3759	Market	161	0					
P	MQ	DELHI IA #1	95	3760	Market	25	0					
P	MQ	DIKE IA #1	95	3761	Market	163	0					
P	MQ	DIKE IA #1A	95	3762	Market	18	0					
P	MQ	DYERSVILLE IA #1	95	3764	Market	221	0					
P	MQ	EARLVILLE IA #1	95	3765	Market	38	0					
P	MQ	EDGEWOOD IA #1	95	3766	Market	42	0					
P	MQ	ELKADER IA #1	95	3767	Market	89	0					
P	MQ	EPWORTH IA #1	95	3768	Market	44	0					
P	MQ	FARLEY IA #1	95	3770	Market	49	0					
P	MQ	FARNHAMVILLE IA #1	95	3771	Market	85	0					
P	MQ	FAYETTE IA #1	95	3772	Market	48	0					
P	MQ	FERTILE IA #1	95	3773	Market	33	0					
