H	ANR PIPELINE COMPANY	C000623	4/2/2018	O	4/1/2018	 T 	 T 	 T 	Kay Dennison832-320-5336			
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113884	11/1/2007	10/31/2020	 	N	2095	0	0
P	MQ	WAUKESHA                       	95	28844	WI7D	2095	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	2095	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113886	11/1/2007	10/31/2020	 	N	425	0	0
P	MQ	WEST BEND                      	95	40496	WI7D	425	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	425	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113887	11/1/2007	3/31/2019	 	N	71	0	0
P	MQ	WEYAUWEGA                      	95	42139	WI7T	71	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	71	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113889	11/1/2007	10/31/2020	 	N	494	0	0
P	MQ	WISCONSIN RAPIDS               	95	28883	WI7X	494	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	494	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113890	11/1/2007	10/31/2020	 	N	274	0	0
P	MQ	FAIRWATER                      	95	40197	WI7U	274	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	274	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113893	11/1/2007	3/31/2019	 	N	49	0	0
P	MQ	MARINETTE                      	95	28761	WI7N	49	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	49	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113895	11/1/2007	3/31/2019	 	N	100	0	0
P	MQ	TWO RIVERS                     	95	28740	WI7M	100	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	100	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113898	11/1/2007	3/31/2019	 	N	52	0	0
P	MQ	FREMONT READFIELD              	95	139405	WI7F	52	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	52	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113899	11/1/2007	3/31/2019	 	N	38	0	0
P	MQ	COLEMAN                        	95	28769	WI7N	38	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	38	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113901	11/1/2007	3/31/2019	 	N	60	0	0
P	MQ	LAONA                          	95	28704	WI7P	60	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	60	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113903	11/1/2007	3/31/2019	 	N	30	0	0
P	MQ	ANTIGO                         	95	28730	WI7P	30	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	30	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113904	11/1/2007	10/31/2020	 	N	529	0	0
P	MQ	FREDONIA                       	95	28828	WI7M	529	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	529	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113906	11/1/2007	3/31/2019	 	N	184	0	0
P	MQ	TOMAHAWK                       	95	28734	WI7P	184	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	184	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113910	11/1/2007	3/31/2019	 	N	104	0	0
P	MQ	SOUTH WAUSAU                   	95	28743	WI7P	104	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	104	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113911	11/1/2007	3/31/2019	 	N	14	0	0
P	MQ	CLINTONVILLE                   	95	28854	WI7J	14	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	14	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113914	11/1/2007	3/31/2019	 	N	133	0	0
P	MQ	MARSHFIELD WI                  	95	28875	WI7Q	133	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	133	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113916	11/1/2007	3/31/2019	 	N	119	0	0
P	MQ	SHEBOYGAN                      	95	28831	WI7M	119	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	119	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113917	11/1/2007	3/31/2019	 	N	91	0	0
P	MQ	GILLETT                        	95	40223	WI7N	91	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	91	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113918	11/1/2007	3/31/2019	 	N	25	0	0
P	MQ	FREEDOM                        	95	28780	WI7G	25	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	25	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113921	11/1/2007	3/31/2019	 	N	351	0	0
P	MQ	MADISON                        	95	36867	WI7U	351	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	351	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113922	11/1/2007	10/31/2020	 	N	3216	0	0
P	MQ	RACINE                         	95	28720	WI7E	3216	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	3216	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113924	11/1/2007	3/31/2019	 	N	175	0	0
P	MQ	BELOIT                         	95	36934	WI7Z	175	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	175	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113925	11/1/2007	3/31/2019	 	N	160	0	0
P	MQ	FORT ATKINSON                  	95	28811	WI7W	160	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	160	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113928	11/1/2007	3/31/2019	 	N	201	0	0
P	MQ	ABBOTSFORD/EDGAR               	95	28759	WI7R	201	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	201	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113929	11/1/2007	3/31/2019	 	N	20	0	0
P	MQ	ADAMS WI                       	95	28865	WI7U	20	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	20	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113931	11/1/2007	3/31/2019	 	N	39	0	0
P	MQ	BONDUEL                        	95	28823	WI7J	39	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	39	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113933	11/1/2007	10/31/2020	 	N	490	0	0
P	MQ	COLUMBUS                       	95	28672	WI7V	490	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	490	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113936	11/1/2007	10/31/2020	 	N	406	0	0
P	MQ	FORT ATKINSON                  	95	28811	WI7W	406	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	406	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113937	11/1/2007	10/31/2020	 	N	935	0	0
P	MQ	HARTFORD EAST                  	95	384136	WI7D	935	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	935	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113938	11/1/2007	3/31/2019	 	N	93	0	0
P	MQ	HORTONVILLE                    	95	40224	WI7F	93	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	93	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113942	11/1/2007	3/31/2019	 	N	30	0	0
P	MQ	MERRILL                        	95	28732	WI7P	30	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	30	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113945	11/1/2007	10/31/2020	 	N	949	0	0
P	MQ	BELOIT                         	95	36934	WI7Z	949	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	949	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113948	11/1/2007	3/31/2019	 	N	25	0	0
P	MQ	OCONTO FALLS                   	95	28771	WI7N	25	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	25	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113953	11/1/2007	3/31/2019	 	N	94	0	0
P	MQ	WATERLOO                       	95	28682	WI7V	94	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	94	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113956	11/1/2007	10/31/2020	 	N	240	0	0
P	MQ	STEVENS POINT                  	95	28794	WI7T	240	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	240	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113960	11/1/2007	10/31/2020	 	N	255	0	0
P	MQ	WEST GREEN BAY                 	95	28788	WI7L	255	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	255	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113961	11/1/2007	3/31/2019	 	N	145	0	0
P	MQ	MARION                         	95	28853	WI7J	145	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	145	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113962	11/1/2007	3/31/2019	 	N	28	0	0
P	MQ	BERLIN                         	95	40497	WI7H	28	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	28	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113963	11/1/2007	3/31/2019	 	N	92	0	0
P	MQ	VALDERS                        	95	28738	WI7M	92	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	92	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113966	11/1/2007	3/31/2019	 	N	60	0	0
P	MQ	JANESVILLE WI                  	95	40304	WI7W	60	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	60	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113967	11/1/2007	3/31/2019	 	N	36	0	0
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	36	0	0				
P	MQ	OSHKOSH RIPPLE ROAD            	95	444972	WI7H	36	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113975	11/1/2007	3/31/2019	 	N	192	0	0
P	MQ	WEST GREEN BAY                 	95	28788	WI7L	192	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	192	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113976	11/1/2007	3/31/2019	 	N	853	0	0
P	MQ	LAKE GENEVA                    	95	40226	WI7C	853	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	853	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113978	11/1/2007	3/31/2019	 	N	79	0	0
P	MQ	CRIVITZ                        	95	174790	WI7K	79	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	79	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113981	11/1/2007	3/31/2019	 	N	391	0	0
P	MQ	CHILTON                        	95	28662	WI7I	391	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	391	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113982	11/1/2007	3/31/2019	 	N	29	0	0
P	MQ	BEAR CREEK                     	95	28855	WI7J	29	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	29	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113987	11/1/2007	3/31/2019	 	N	2452	0	0
P	MQ	RACINE                         	95	28720	WI7E	2452	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	2452	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113992	11/1/2007	3/31/2019	 	N	134	0	0
P	MQ	ROSHOLT (WISC) INT             	95	174791	WI7T	134	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	134	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113995	11/1/2007	3/31/2019	 	N	4	0	0
P	MQ	RHINELANDER                    	95	28774	WI7P	4	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	4	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113996	11/1/2007	3/31/2019	 	N	33	0	0
P	MQ	WAUPACA                        	95	28859	WI7T	33	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	33	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	113999	11/1/2007	3/31/2019	 	N	195	0	0
P	MQ	PULASKI                        	95	28819	WI7N	195	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	195	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	114000	11/1/2007	3/31/2019	 	N	241	0	0
P	MQ	LITTLE CHUTE                   	95	28778	WI7A	241	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	241	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	114005	11/1/2007	3/31/2019	 	N	590	0	0
P	MQ	WINCHESTER (WEP SALES)         	95	100052	WI7H	590	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	590	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	114007	11/1/2007	3/31/2019	 	N	500	0	0
P	MQ	MENOMINEE FALLS                	95	28834	WI7D	500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	500	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	114010	11/1/2007	3/31/2019	 	N	50	0	0
P	MQ	AUBURNDALE                     	95	28880	WI7S	50	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	50	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	ETS  	114091	11/1/2008	3/31/2021	 	N	0	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
P	MQ	GUARDIAN CEDAR DEL             	95	338685	MI7U	0	0	0				
D	UNITED STATES GYPSUM COMPANY                                               	5212600	N	FTS-1	114122	3/1/2008	3/31/2019	 	N	2190	0	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	MQ	OTSEGO                         	95	11562	MI7L	2190	0	0				
P	M2	FARWELL (RECEIPT)              	95	48644	MI7E	2190	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	FSS  	114369	4/1/2010	3/31/2019	 	Y	0	5340800	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	5340800	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	30519	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	106816	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	FSS  	114370	4/1/2010	3/31/2019	 	Y	0	2670400	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	2670400	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	15259	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	53408	0				
D	"UNITED WISCONSIN GRAIN PRODUCERS, LLC                                      "	159166276	N	FTS-1	114489	11/1/2009	10/31/2019	 	Y	2500	0	0
A	"EDF ENERGY SERVICES, LLC                                                   "	N										
P	MQ	RANDOLPH                       	95	28670	WI7U	2500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	2500	0	0				
D	"NORTHERN STATES POWER COMPANY, A MINNESOTA CORPORATION                     "	6962419	N	FTS-1	114492	11/1/2010	10/31/2019	 	Y	66500	0	0
P	MQ	MARSHFIELD/VIKING INT          	95	28873	WI7Q	66500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	66500	0	0				
D	WISCONSIN PUBLIC SERVICE CORPORATION                                       	7947435	N	ETS  	114505	11/1/2009	10/31/2019	 	Y	3000	0	0
P	MQ	WPSC - GROUP 1                 	95	139258	WI7K	3000	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	3000	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	114525	5/1/2008	3/31/2019	 	N	225	0	0
P	MQ	SUN PRAIRIE                    	95	28679	WI7V	225	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	225	0	0				
D	"EDF TRADING NORTH AMERICA, LLC                                             "	130385763	N	ETS  	114532	4/1/2009	5/31/2019	 	N	15720	0	0
P	MQ	FARWELL (DELIVERY)             	95	11616	MI7E	15720	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	15720	0	0				
D	"UGI UTILITIES, INC.                                                        "	799376595	N	FSS  	114585	4/1/2009	3/31/2019	 	Y	0	2771059	0
A	"DIRECT ENERGY BUSINESS MARKETING, LLC;                                     "	N										
A	"DIRECT ENERGY BUSINESS MARKETING, LLC                                      "	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	2771059	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	13855	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	39029	0				
D	"UGI UTILITIES, INC.                                                        "	799376595	N	FTS-1	114586	4/1/2009	3/31/2019	 	Y	14800	0	0
P	MQ	LEBANON/COLGA INT              	95	38843	ME3B	14800	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	14800	0	0				
D	"UGI UTILITIES, INC.                                                        "	799376595	N	FTS-1	114588	4/1/2009	3/31/2019	 	Y	5311	0	0
P	M2	S E HEADSTATION                	95	103565	SE2A	5311	0	0				
P	MQ	LEBANON/GLEN KARN-TETCO        	95	174721	ME3B	5311	0	0				
D	"UGI UTILITIES, INC.                                                        "	799376595	N	FTS-1	114590	4/1/2009	3/31/2019	 	Y	10575	0	0
P	MQ	LEBANON - TEXAS EASTERN        	95	28447	ME3B	10575	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	10575	0	0				
D	"UGI UTILITIES, INC.                                                        "	799376595	N	FTS-1	114591	4/1/2009	3/31/2019	 	Y	8600	0	0
A	"UGI ENERGY SERVICES, LLC                                                   "	N										
P	MQ	LEBANON/COLGA INT              	95	38843	ME3B	8600	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	8600	0	0				
D	"UGI UTILITIES, INC.                                                        "	799376595	N	FTS-1	114592	4/1/2009	3/31/2019	 	Y	0	0	0
P	MQ	LEBANON - TEXAS EASTERN        	95	28447	ME3B	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"UGI UTILITIES, INC.                                                        "	799376595	N	FTS-1	114593	4/1/2009	3/31/2019	 	Y	0	0	0
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
P	MQ	LEBANON/GLEN KARN-TETCO        	95	174721	ME3B	0	0	0				
D	"UGI UTILITIES, INC.                                                        "	799376595	N	FTS-1	114594	4/1/2009	3/31/2019	 	Y	0	0	0
P	MQ	LEBANON/COLGA INT              	95	38843	ME3B	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"UGI UTILITIES, INC.                                                        "	799376595	N	FTS-1	114595	4/1/2009	3/31/2019	 	Y	13929	0	0
A	"DIRECT ENERGY BUSINESS MARKETING, LLC                                      "	N										
P	M2	S W HEADSTATION                	95	103702	SW4A	13929	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	13929	0	0				
D	TENNESSEE VALLEY AUTHORITY                                                 	1883032	N	FTS-3	114655	6/1/2012	5/31/2022	 	N	50000	0	3125
P	M2	CENTERPOINT/PERRYVILLE         	95	154017	ME2B	50000	0	3125				
P	MQ	WEAKLEY COUNTY INT             	95	274229	ME2C	50000	0	3125				
D	TENNESSEE VALLEY AUTHORITY                                                 	1883032	N	FTS-3	114656	6/1/2012	5/31/2022	 	N	50000	0	3125
P	M2	S E HEADSTATION                	95	103565	SE2A	50000	0	3125				
P	MQ	WEAKLEY COUNTY INT             	95	274229	ME2C	50000	0	3125				
D	"NORTHERN STATES POWER COMPANY, A WISCONSIN CORPORATION                     "	504803995	N	FTS-1	114667	11/1/2009	10/31/2019	 	Y	8500	0	0
P	MQ	MARSHFIELD/VIKING INT          	95	28873	WI7Q	8500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	8500	0	0				
D	"DIDION ETHANOL, LLC                                                        "	804407612	N	FTS-1	114677	11/1/2009	10/31/2019	 	Y	4250	0	0
P	MQ	RANDOLPH                       	95	28670	WI7U	4250	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	4250	0	0				
D	"SUMMIT NATURAL GAS OF MISSOURI, INC.                                       "	177053308	N	FTS-1	114767	7/1/2009	3/31/2020	 	N	600	0	0
P	MQ	GALLATIN INTERCONNECT          	95	171759	MW6B	600	0	0				
P	M2	REX WEST INT                   	95	696539	MW5B	600	0	0				
D	SAPUTO CHEESE USA INC.                                                     	796426286	N	FTS-1	114823	11/1/2008	10/31/2019	 	N	1200	0	0
P	MQ	FOND DU LAC                    	95	28702	WI7H	1200	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	1200	0	0				
D	OHIO GAS ENERGY SERVICES COMPANY                                           	616476441	N	ETS  	114832	11/1/2009	10/31/2019	 	N	4000	0	0
A	"SHELL ENERGY NORTH AMERICA (US), L.P.                                      "	N										
P	M2	S E HEADSTATION                	95	103565	SE2A	4000	0	0				
P	MQ	OHIO GAS-GRP 1                 	95	139251	MI7A	4000	0	0				
D	"BELOIT BOX BOARD COMPANY, INC.                                             "	6111512	N	FTS-1	114882	3/1/2009	10/31/2018	 	N	450	0	0
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC                                "	N										
P	MQ	BELOIT                         	95	36934	WI7Z	450	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	450	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	ETS  	115067	4/1/2009	3/31/2021	 	N	0	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	MQ	WISC EPC-GRP 1                 	95	139256	WI7G	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	115138	11/1/2008	10/31/2019	 	N	100	0	0
P	MQ	VALDERS                        	95	28738	WI7M	100	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	100	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	115224	12/1/2008	3/31/2019	 	N	610	0	0
P	MQ	LAKE GENEVA                    	95	40226	WI7C	610	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	610	0	0				
D	NORTHERN ILLINOIS GAS COMPANY D/B/A NICOR GAS COMPANY                      	6927792	N	ETS  	115269	11/1/2009	3/31/2027	 	N	30000	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	30000	0	0				
P	MQ	NICOR GRP 1                    	95	395744	WI7A	30000	0	0				
D	NORTHERN ILLINOIS GAS COMPANY D/B/A NICOR GAS COMPANY                      	6927792	N	ETS  	115270	4/1/2010	3/31/2027	 	N	50000	0	0
P	M2	S E HEADSTATION                	95	103565	SE2A	50000	0	0				
P	MQ	NICOR GRP 1                    	95	395744	WI7A	50000	0	0				
D	"CHESAPEAKE ENERGY MARKETING, L.L.C.                                        "	809849326	N	FTS-1	115458	1/1/2011	12/31/2025	 	N	100000	0	0
P	MQ	SHADYSIDE/SONAT (DEL)          	95	10369	SE2A	100000	0	0				
P	M2	TIGER INTERCONNECT             	95	927982	ME2A	100000	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	115497	11/1/2009	10/31/2019	 	N	50	0	0
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	50	0	0				
P	MQ	OSHKOSH RIPPLE ROAD            	95	444972	WI7H	50	0	0				
D	"BIG RIVER RESOURCES WEST BURLINGTON, LLC                                   "	143635113	N	FTS-1	115815	4/1/2010	10/31/2034	 	N	5240	0	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	MQ	CRYSTAL FALLS-FORTUNE LK       	95	11661	WI7O	5240	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	5240	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	115931	7/1/2009	10/31/2020	 	N	315	0	0
P	MQ	MANITOWOC                      	95	28736	WI7M	315	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	315	0	0				
D	WISCONSIN POWER AND LIGHT COMPANY                                          	7946452	N	ETS  	115957	7/1/2009	3/31/2023	 	N	0	0	0
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
P	MQ	WISC POWER GRP 2               	95	854822	WI7J	0	0	0				
D	WISCONSIN POWER AND LIGHT COMPANY                                          	7946452	N	NNS  	115958	7/1/2009	3/31/2023	 	N	10000	0	0
P	MQ	WISC POWER GRP 2               	95	854822	WI7J	10000	0	0				
D	WISCONSIN POWER AND LIGHT COMPANY                                          	7946452	N	ETS  	116064	4/1/2010	10/31/2022	 	N	34094	0	0
P	MQ	WISC POWER-GRP 1               	95	139257	WI7J	34094	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	34094	0	0				
D	"BIG RIVER RESOURCES WEST BURLINGTON, LLC                                   "	143635113	N	FTS-1	116236	11/1/2010	10/31/2034	 	N	0	0	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	M2	S W HEADSTATION                	95	103702	SW4A	0	0	0				
P	MQ	MAUMEE NORTH/EAST OHIO         	95	108641	MI7B	0	0	0				
D	MADISON GAS AND ELECTRIC COMPANY                                           	7946346	N	ETS  	117331	11/1/2011	10/31/2026	 	N	10809	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	10809	0	0				
P	MQ	MADISON GAS-GRP 1              	95	139253	WI7U	10809	0	0				
D	MADISON GAS AND ELECTRIC COMPANY                                           	7946346	N	ETS  	117332	11/1/2011	10/31/2026	 	N	15000	0	0
P	M2	JANESVILLE/NNG INT             	95	28808	WI7W	15000	0	0				
P	MQ	MADISON GAS-GRP 1              	95	139253	WI7U	15000	0	0				
D	MADISON GAS AND ELECTRIC COMPANY                                           	7946346	N	ETS  	117334	11/1/2011	10/31/2026	 	N	0	0	0
P	M2	S E HEADSTATION                	95	103565	SE2A	0	0	0				
P	MQ	MADISON GAS-GRP 1              	95	139253	WI7U	0	0	0				
