H	"EL PASO NATURAL GAS COMPANY, L.L.C."	C000967	4/2/2018	O	4/1/2018	T		Sherry Saunders 719-520-3711				
D	"EOG RESOURCES, INC."	186830733	N	FT-1	FT3HT000-FT1EPNG	4/1/2017	3/31/2021		N	10000	0	n1
P	M2	DELAWAR/EPNG (IZORRO) ZORRO RECEIPT	95	49027	TEXAS - PERMIAN BASI	10000	0					
P	MQ	ETP/EPNG (IVALEROW) VALERO WAHA PEC	95	301945	TEXAS - PERMIAN BASI	10000	0					
D	"EOG RESOURCES, INC."	186830733	N	FT-1	FT3JZ000-FT1EPNG	1/1/2018	12/31/2022		N	7000	0	n1
P	M2	DELAWAR/EPNG (IZORRO) ZORRO RECEIPT	95	49027	TEXAS - PERMIAN BASI	7000	0					
P	MQ	ETP/EPNG (IVALEROW) VALERO WAHA PEC	95	301945	TEXAS - PERMIAN BASI	7000	0					
D	ETC FIELD SERVICES LLC	143622871	N	FT-1	FT34U000-FT1EPNG	9/1/2011	8/31/2019		N	8700	0	n1
A	"ENERGY TRANSFER PARTNERS, LP"	N										
P	MQ	ETC FS/EPNG (DAVALON) AVALON DEL	95	334859	NEW MEXICO - PERMIAN	2800	0					
P	MQ	ETC FS/EPNG (DHOBSON) HOBSON BOOSTE	95	316115	NEW MEXICO - PERMIAN	1000	0					
P	MQ	ETC FS/EPNG (DJALCPLX) JAL 3 FUEL W	95	300912	TEXAS - PERMIAN BASI	1500	0					
P	MQ	ETC FS/EPNG (DMOUNTN) MOUNTAIN DEL	95	334854	TEXAS - PERMIAN BASI	300	0					
P	MQ	ETC FS/EPNG (DWANTZDP) WANTZ DEL PO	95	314547	NEW MEXICO - PERMIAN	1100	0					
P	MQ	ETC FS/EPNG (DWTGFUEL) FUEL GAS FOR	95	333466	TEXAS - PERMIAN BASI	1000	0					
P	M2	ETC FS/EPNG (IJALCPLX) #3 PLT 16 DI	95	301814	NEW MEXICO - PERMIAN	2600	0					
P	M2	ETC FS/EPNG (ISIDRICH) RICHARDSON K	95	377033	TEXAS - PERMIAN BASI	2000	0					
P	MQ	NMGASCO/EPNG (IGCNMLSK) NMGAS LUSK	95	301530	NEW MEXICO - PERMIAN	1000	0					
P	M2	OPLCTX/EPNG (IDELHIWA) DELHI TRANS	95	314970	TEXAS - PERMIAN BASI	4100	0					
D	"ETC MARKETING,  LTD."	124416152	N	FT-1	610703-FT1EPNG	4/1/2018	3/31/2019		N	10000	0	n1
A	"ENERGY TRANSFER PARTNERS, LP"	N										
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	10000	0					
P	MQ	SOCETS/EPNG (DSCALTOP) TOPOCK SOCAL	95	332503	CALIFORNIA - NO BASI	10000	0					
D	"ETC MARKETING,  LTD."	124416152	N	FT-1	610704-FT1EPNG	4/1/2018	3/31/2019		N	10000	0	n1
A	"ENERGY TRANSFER PARTNERS, LP"	N										
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	10000	0					
P	MQ	SOCETS/EPNG (DSCALTOP) TOPOCK SOCAL	95	332503	CALIFORNIA - NO BASI	10000	0					
D	"ETC MARKETING,  LTD."	124416152	N	FT-1	610915-FT1EPNG	4/1/2018	10/31/2019		N	19879	0	n1
A	"ENERGY TRANSFER PARTNERS, LP"	N										
P	MQ	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	19879	0					
P	M2	ETC FS/EPNG (IREDBLUF) RED BLUFF RE	95	800911	TEXAS - PERMIAN BASI	19879	0					
D	"ETC MARKETING,  LTD."	124416152	N	FT-1	610916-FT1EPNG	4/1/2018	10/31/2018		N	12121	0	n1
A	"ENERGY TRANSFER PARTNERS, LP"	N										
P	M2	ETC FS/EPNG (IREDBLUF) RED BLUFF RE	95	800911	TEXAS - PERMIAN BASI	12121	0					
P	MQ	ONEOKWES/EPNG (IFRANKLN) FRANKLIN D	95	303836	TEXAS - NO BASIN	12121	0					
D	"EWM P1, LLC"	86920152	N	FT-1	FT3FM000-FT1EPNG	1/12/2017	1/31/2048		Y	1900	0	n1
A	"SUMMIT ENERGY SERVICES, INC."	N										
P	M2	EPNG/EPNG (EPEWMLAT) EWM LATERAL EL	95	49485	TEXAS - NO BASIN	1900	0					
P	MQ	EWMPLLC/EPNG (DBUTRFDT) BUTTERFIELD	95	48794	TEXAS - NO BASIN	1900	0					
D	FREEPORT MINERALS CORPORATION	1213149	N	FT-1	FT2CE000-FTAEPNG	4/1/2007	12/31/2013	365	N	13096	0	
A	CONOCO PHILLIPS	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	1036	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	12060	0					
P	MQ	FREEPMIN/EPNG (DMORADMN) MORENCI AD	95	320423	ARIZONA - NO BASIN	132	0					
P	MQ	FREEPMIN/EPNG (DMORSMLT) MORENCI SM	95	330073	ARIZONA - NO BASIN	133	0					
P	MQ	FREEPMIN/EPNG (DPD  SIL) TYRONE SME	95	300961	NEW MEXICO - NO BASI	0	0					
P	MQ	FREEPMIN/EPNG (DPD MIA) MIAMI PLT M	95	331542	ARIZONA - NO BASIN	0	0					
P	MQ	FREEPMIN/EPNG (DPD MOR) MORENCI	95	314950	ARIZONA - NO BASIN	3102	0					
P	MQ	FREEPMIN/EPNG (DPD NOG) ESPERANZA	95	331523	ARIZONA - NO BASIN	0	0					
P	MQ	FREEPMIN/EPNG (DPD WIL) JCT POWER P	95	330072	ARIZONA - NO BASIN	0	0					
P	MQ	NMPSC/EPNG (ILUNAPWR) LUNA ENERGY F	95	314566	NEW MEXICO - NO BASI	1036	0					
P	MQ	TXGASSRV/EPNG (DSUG ELP) EL PASO AR	95	301057	TEXAS - NO BASIN	8693	0					
D	FREEPORT MINERALS CORPORATION	1213149	N	FT-1	FT2CF000-FTAEPNG	4/1/2007	12/31/2013	365	N	14953	0	
A	CONOCO PHILLIPS	N										
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	14953	0					
P	MQ	FREEPMIN/EPNG (DPD  HUR) HURLEY SME	95	300960	NEW MEXICO - NO BASI	11000	0					
P	MQ	FREEPMIN/EPNG (DPD MIA) MIAMI PLT M	95	331542	ARIZONA - NO BASIN	2094	0					
P	MQ	NMPSC/EPNG (ILUNAPWR) LUNA ENERGY F	95	314566	NEW MEXICO - NO BASI	1859	0					
D	FREEPORT MINERALS CORPORATION	1213149	N	FT-1	FT3DE000-FT1EPNG	1/1/2015	12/31/2039		N	23451	0	n1
A	CONOCO PHILLIPS	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	662	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	5389	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	4355	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	13045	0					
P	MQ	FREEPMIN/EPNG (DPD  HUR) HURLEY SME	95	300960	NEW MEXICO - NO BASI	0	0					
P	MQ	FREEPMIN/EPNG (DPD  SIL) TYRONE SME	95	300961	NEW MEXICO - NO BASI	3016	0					
P	MQ	FREEPMIN/EPNG (DPD MIA) MIAMI PLT M	95	331542	ARIZONA - NO BASIN	10406	0					
P	MQ	FREEPMIN/EPNG (DPD NOG) ESPERANZA	95	331523	ARIZONA - NO BASIN	1247	0					
P	MQ	FREEPMIN/EPNG (DPD WIL) JCT POWER P	95	330072	ARIZONA - NO BASIN	675	0					
P	MQ	NMPSC/EPNG (ILUNAPWR) LUNA ENERGY F	95	314566	NEW MEXICO - NO BASI	8107	0					
D	"GIGO TRANSPORT, INC."	76859196	N	FT-1	FT3HB000-FT1EPNG	11/1/2016	10/31/2021		Y	13500	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	0	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	13500	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
P	MQ	GASDECHI/EPNG (ISAMLELP) GASODUCTOS	95	314910	TEXAS - NO BASIN	13500	0					
P	MQ	NNG/EPNG (INN30PLA) EPNG TO NN PLAI	95	314430	TEXAS - PERMIAN BASI	0	0					
D	"GIGO TRANSPORT, INC."	76859196	N	FT-1	610868-FT1EPNG	4/1/2018	10/31/2021		Y	8000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	8000	0					
P	MQ	GASDECHI/EPNG (ISAMLELP) GASODUCTOS	95	314910	TEXAS - NO BASIN	8000	0					
D	GREEN PLAINS TRADE GROUP LLC (DBA GREEN PLAINS ENERGY SVCS)	848984915	N	FT-1	610532-FT1EPNG	12/1/2017	12/31/2018		N	17900	0	n1
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	5400	0					
P	MQ	NGPL/EPNG (INGPLMOR) MOORE COUNTY I	95	314350	TEXAS - ANADARKO BAS	17900	0					
P	M2	NNG/EPNG (INN26PLA) 26 IN HOBBS (01	95	300109	TEXAS - PERMIAN BASI	12500	0					
D	"HARTREE PARTNERS, LP"	15956162	N	FT-1	610670-FT1EPNG	4/1/2018	3/31/2020		N	51000	0	n1
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	51000	0					
P	MQ	NGPL/EPNG (INGPLMOR) MOORE COUNTY I	95	314350	TEXAS - ANADARKO BAS	50000	0					
P	MQ	NNG/EPNG (INNDUMAS) DUMAS PLT	95	305421	TEXAS - ANADARKO BAS	1000	0					
D	HILCORP SAN JUAN L.P.	80879028	N	FT-1	610398-FT1EPNG	11/1/2017	10/31/2018		N	100000	0	n1
A	CONOCOPHILLIPS COMPANY	N										
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	75000	0					
P	M2	EMP-EOIT/EPNG (ILEARWAS) TRANSOK TO	95	314520	TEXAS - ANADARKO BAS	25000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	75000	0					
P	MQ	SOCETS/EPNG (DSCALTOP) TOPOCK SOCAL	95	332503	CALIFORNIA - NO BASI	25000	0					
D	HILCORP SAN JUAN L.P.	80879028	N	FT-1	610399-FT1EPNG	11/1/2017	10/31/2020		N	100000	0	n1
A	CONOCOPHILLIPS COMPANY	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	100000	0					
P	MQ	TRANSCOL/EPNG (ITCOLBLA) TRANSCOLOR	95	301881	NEW MEXICO - SAN JUA	100000	0					
D	J. ARON & COMPANY LLC	6980312	N	FT-1	610908-FT1EPNG	4/1/2018	4/30/2018		N	5000	0	n1
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	5000	0					
P	MQ	NGPL/EPNG (INGPLMOR) MOORE COUNTY I	95	314350	TEXAS - ANADARKO BAS	5000	0					
D	"JAMES LAKE MIDSTREAM, LLC"	79607168	N	FT-1	FT3FZ000-FT1EPNG	1/1/2016	12/31/2018		N	28000	0	n1
A	BP ENERGY COMPANY	N										
P	MQ	ETP/EPNG (IVALEROW) VALERO WAHA PEC	95	301945	TEXAS - PERMIAN BASI	28000	0					
P	M2	JLMIDST/EPNG (IJMSLAKE)JAMES LAKE R	95	47836	TEXAS - PERMIAN BASI	28000	0					
D	"JBS TOLLESON, INC."	148361249	N	FT-1	FT2E4000-FT1EPNG	5/1/2007	4/30/2023		N	900	0	n1
A	CONOCOPHILLIPS COMPANY	N										
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	900	0					
P	MQ	SWGAS/EPNG (DSWG PHW) SOUTHWEST GAS	95	301120	ARIZONA - NO BASIN	900	0					
D	KINDER MORGAN TEXAS PIPELINE LLC	131905205	Y	FT-1	610693-FT1EPNG	4/1/2018	3/31/2019		N	11949	0	n1
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	11949	0					
P	M2	KMTP/EPNG (IMNDZTRL) MENDOZA TRAIL	95	48148	TEXAS - PERMIAN BASI	11949	0					
D	"KOCH ENERGY SERVICES, LLC"	832703297	N	FT-1	610711-FT1EPNG	4/1/2018	3/31/2019		N	10000	0	n1
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	10000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	10000	0					
D	"KOCH ENERGY SERVICES, LLC"	832703297	N	FT-1	610901-FT1EPNG	4/1/2018	4/30/2018		N	5000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	5000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	5000	0					
D	"LAS CRUCES, NM (CITY OF)"	77609279	N	FT-1	FT2AG000-FTAEPNG	2/1/2007	10/31/2011	365	N	4305	0	
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	4305	0					
P	MQ	CTYLASCR/EPNG (DLASCLAS) LAS CRUCES	95	300917	NEW MEXICO - NO BASI	4305	0					
D	"LAS CRUCES, NM (CITY OF)"	77609279	N	FT-1	FT2AH000-FTAEPNG	2/1/2007	10/31/2011	365	N	5155	0	
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	4500	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	655	0					
P	MQ	CTYLASCR/EPNG (DLASCLAS) LAS CRUCES	95	300917	NEW MEXICO - NO BASI	5155	0					
D	"LAS CRUCES, NM (CITY OF)"	77609279	N	FT-1	FT2AJ000-FT1EPNG	2/1/2007	6/30/2024		N	5387	0	n1
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	1469	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	3918	0					
P	MQ	CTYLASCR/EPNG (DLASCLAS) LAS CRUCES	95	300917	NEW MEXICO - NO BASI	5387	0					
D	"LONESTAR PROSPECTS, LTD DBA VISTA SAND"	834881778	N	FT-1	610505-FT1EPNG	12/13/2017	11/30/2027		N	3300	0	n1
A	"MARABOU MIDSTREAM SERVICES, LP"	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	3300	0					
P	MQ	LSPROSP/EPNG (DHOGGDEL) HOGG DELIVE	95	49715	TEXAS - PERMIAN BASI	3300	0					
D	"LONESTAR PROSPECTS, LTD DBA VISTA SAND"	834881778	N	FT-1	610517-FT1EPNG	2/1/2018	6/30/2018		N	2900	0	n1
A	"MARABOU MIDSTREAM SERVICES, LP"	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	2900	0					
P	MQ	LSPROSP/EPNG (DHOGGDEL) HOGG DELIVE	95	49715	TEXAS - PERMIAN BASI	2900	0					
D	LUMINANT ENERGY COMPANY LLC	606252393	N	FT-1	FT3K4000-FT1EPNG	9/1/2017	3/31/2019		N	80000	0	n1
P	M2	DBMPL/EPNG (IRAMSEYN) RAMSEY NORTH	95	48164	NEW MEXICO - PERMIAN	80000	0					
P	MQ	LAFRONT/EPNG (IODESAEC) ODESSA ECTO	95	320615	TEXAS - PERMIAN BASI	80000	0					
D	"MEX GAS SUPPLY, S.L."	812504850	N	FT-1	FT2GZ000-FT1EPNG	1/1/2008	12/31/2019		N	10661	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	10661	0					
P	MQ	PEMEX/EPNG (DPMEXWIL) MONUMENT 90	95	331864	ARIZONA - NO BASIN	10661	0					
D	"MEX GAS SUPPLY, S.L."	812504850	N	FT-1	FT2QQ000-FT1EPNG	1/1/2009	12/31/2019		N	54790	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	54790	0					
P	MQ	GASDECHI/EPNG (ISAMLELP) GASODUCTOS	95	314910	TEXAS - NO BASIN	54790	0					
D	"MEX GAS SUPPLY, S.L."	812504850	N	FT-1	FT3EV000-FT1EPNG	11/1/2015	11/1/2020		N	10000	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	10000	0					
P	MQ	ETP/EPNG (IVALEROW) VALERO WAHA PEC	95	301945	TEXAS - PERMIAN BASI	0	0					
P	MQ	GASDECHI/EPNG (ISAMLELP) GASODUCTOS	95	314910	TEXAS - NO BASIN	10000	0					
D	"MEXICANA DE COBRE, S. A. DE C. V."	810009324	N	FT-1	FT369000-FT1EPNG	4/1/2013	3/31/2028		N	90000	0	n1
A	J. ARON & COMPANY LLC	N										
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	90000	0					
P	MQ	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	90000	0					
D	"MEXICANA DE COBRE, S. A. DE C. V."	810009324	N	FT-1	FT399000-FT1EPNG	1/1/2014	12/31/2033		Y	90000	0	n1
P	M2	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	90000	0					
P	MQ	MXCANCOB/EPNG (IDOUGLAS) MEX COBRE/	95	314946	WILLCOX LATERAL	90000	0					
D	"MEXICANA DE COBRE, S. A. DE C. V."	810009324	N	FT-1	FT3HK000-FT1EPNG	11/11/2016	12/31/2033		Y	9000	0	n1
A	J. ARON & COMPANY LLC	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	0	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	9000	0					
P	MQ	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	9000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	0	0					
D	"MEXICANA DE COBRE, S. A. DE C. V."	810009324	N	FT-1	FT3HL000-FT1EPNG	11/11/2016	12/31/2021		N	9000	0	n1
P	M2	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	9000	0					
P	MQ	MXCANCOB/EPNG (IDOUGLAS) MEX COBRE/	95	314946	WILLCOX LATERAL	9000	0					
D	"MIECO, INC."	118562412	N	FT-1	610896-FT1EPNG	4/1/2018	10/31/2018		N	25000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	25000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	12463	0					
P	MQ	SOCETS/EPNG (DSCALEHR) SOCAL EHRENB	95	301016	CALIFORNIA - NO BASI	12537	0					
D	"MIECO, INC."	118562412	N	FT-1	610902-FT1EPNG	4/1/2018	10/31/2018		N	25000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	25000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	12463	0					
P	MQ	SOCETS/EPNG (DSCALEHR) SOCAL EHRENB	95	301016	CALIFORNIA - NO BASI	12537	0					
D	MRC PERMIAN COMPANY	71370366	N	FT-1	610181-FT1EPNG	11/1/2017	3/31/2035		N	72000	0	n1
P	M2	DLK BRM/EPNG (IBOUNDSR) BOUNDS REC	95	48862	NEW MEXICO - PERMIAN	72000	0					
P	MQ	ETP/EPNG (IVALEROW) VALERO WAHA PEC	95	301945	TEXAS - PERMIAN BASI	72000	0					
D	MRC PERMIAN COMPANY	71370366	N	FT-1	610669-FT1EPNG	3/1/2018	4/30/2018		Y	45000	0	n1
P	M2	DLK BRM/EPNG (IBOUNDSR) BOUNDS REC	95	48862	NEW MEXICO - PERMIAN	45000	0					
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	45000	0					
D	MUNICH RE TRADING LLC	833126936	N	FT-1	FT3J4000-FT1EPNG	5/1/2017	3/31/2020		N	50000	0	n1
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	50000	0					
P	MQ	NGPL/EPNG (INGPLMOR) MOORE COUNTY I	95	314350	TEXAS - ANADARKO BAS	50000	0					
D	NAVAJO TRIBAL UTILITY AUTHORITY	800021990	N	FT-1	FT2AL000-FTAEPNG	2/1/2007	10/31/2011	365	N	11316	0	
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	10753	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	563	0					
P	MQ	NTUA/EPNG (DNTUAFCP) FOUR CORNERS	95	331026	NEW MEXICO - SAN JUA	7538	0					
P	MQ	NTUA/EPNG (DNTUASJE) NTUA FLAGSTAFF	95	300949	ARIZONA - NO BASIN	1678	0					
P	MQ	NTUA/EPNG (DNTUASJT) NTUA SJT MCKIN	95	300950	NEW MEXICO - SAN JUA	2100	0					
D	NAVAJO TRIBAL UTILITY AUTHORITY	800021990	N	FT-1	FT2AM000-FTAEPNG	2/1/2007	10/31/2011	365	N	1207	0	
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	1207	0					
P	MQ	NTUA/EPNG (DNTUAFCP) FOUR CORNERS	95	331026	NEW MEXICO - SAN JUA	1207	0					
D	NAVAJO TRIBAL UTILITY AUTHORITY	800021990	N	FT-1	FT2AN000-FT1EPNG	2/1/2007	6/30/2029		N	1497	0	n1
A	"SHELL ENERGY NORTH AMERICA (US), L.P."	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	621	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	876	0					
P	MQ	NTUA/EPNG (DNTUAFCP) FOUR CORNERS	95	331026	NEW MEXICO - SAN JUA	621	0					
P	MQ	NTUA/EPNG (DNTUASJE) NTUA FLAGSTAFF	95	300949	ARIZONA - NO BASIN	876	0					
D	"NEW MEXICO GAS COMPANY, INC."	825244697	N	FT-1	FT3FV000-FT1EPNG	1/1/2016	12/31/2020		Y	54705	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	21705	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	23000	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	10000	0					
P	MQ	NMGASCO/EPNG (DGCNMFAR) CLOVIS TAKE	95	330088	NEW MEXICO - ANADARK	12800	0					
P	MQ	NMGASCO/EPNG (DGCNMSJX) SOCORRO GRA	95	300870	NEW MEXICO - NO BASI	8905	0					
P	MQ	NMGASCO/EPNG (IGCNMLSK) NMGAS LUSK	95	301530	NEW MEXICO - PERMIAN	23000	0					
P	MQ	NMGASCO/EPNG (IRIOPUER) RIO PUERCO	95	301797	NEW MEXICO - NO BASI	10000	0					
D	"NEW MEXICO GAS COMPANY, INC."	825244697	N	FT-1	FT3FW000-FT1EPNG	1/1/2016	12/31/2020		Y	15482	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	15482	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	0	0					
P	MQ	KGS/EPNG (IKEYSTOR) UNOCAL KEYSTONE	95	301595	TEXAS - PERMIAN BASI	0	0					
P	MQ	NMGASCO/EPNG (DGCNMGAL) GCNM GALLUP	95	300866	NEW MEXICO - SAN JUA	8482	0					
P	MQ	NMGASCO/EPNG (DGCNMSJT) FARMINGTON	95	300869	NEW MEXICO - SAN JUA	7000	0					
P	MQ	NMGASCO/EPNG (DODOEDEL) ODOE DELIVE	95	48864	NEW MEXICO - SAN JUA	0	0					
P	MQ	NMGASCO/EPNG (IGCNMKTZ) KUTZ DEL	95	314193	NEW MEXICO - SAN JUA	0	0					
P	MQ	NMGASCO/EPNG (IGLPGCNM) GALLUP-GRAN	95	303962	NEW MEXICO - SAN JUA	0	0					
D	"NEW MEXICO GAS COMPANY, INC."	825244697	N	FT-1	FT3FX000-FT1EPNG	1/1/2016	12/31/2020		Y	24618	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	130	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	24488	0					
P	MQ	NMGASCO/EPNG (DGCNMAFT) GCNM AFTON	95	300854	NEW MEXICO - NO BASI	1473	0					
P	MQ	NMGASCO/EPNG (DGCNMALA) ALAMOGORDO	95	334503	NEW MEXICO - NO BASI	7700	0					
P	MQ	NMGASCO/EPNG (DGCNMAT1) PNM ANTHONY	95	300857	NEW MEXICO - NO BASI	609	0					
P	MQ	NMGASCO/EPNG (DGCNMDUG) GCNM DOUGLA	95	300861	NEW MEXICO - NO BASI	1803	0					
P	MQ	NMGASCO/EPNG (DGCNMELP) GCNM ANTHON	95	300862	NEW MEXICO - NO BASI	705	0					
P	MQ	NMGASCO/EPNG (DGCNMEP1) SUNLAND PAR	95	331976	NEW MEXICO - NO BASI	1513	0					
P	MQ	NMGASCO/EPNG (DGCNMTOC) TRUTH OR CO	95	331378	NEW MEXICO - NO BASI	4141	0					
P	MQ	NMGASCO/EPNG (DPNM HRE) BAYARD TAKE	95	330052	NEW MEXICO - NO BASI	1554	0					
P	MQ	NMGASCO/EPNG (DPNM HUR) PNM HURLEY/	95	300990	NEW MEXICO - NO BASI	3312	0					
P	MQ	NMGASCO/EPNG (DPNM TYR) TYRONE SUBD	95	320490	NEW MEXICO - NO BASI	136	0					
P	MQ	NMGASCO/EPNG (DPNMTATU) PNM TATUM A	95	300992	NEW MEXICO - PERMIAN	130	0					
P	MQ	NMGASCO/EPNG (DSTERESA) SANTA TERES	95	314955	NEW MEXICO - NO BASI	1542	0					
D	"NEW MEXICO GAS COMPANY, INC."	825244697	N	FT-1	FT3FY000-FT1EPNG	1/1/2016	12/31/2020		Y	140	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	140	0					
P	MQ	OKTEX/EPNG (DWGI AT2) WESTERN INTER	95	320491	TEXAS - NO BASIN	40	0					
P	MQ	OKTEX/EPNG (DWGI EP1) CANUTILLO TEX	95	330796	TEXAS - NO BASIN	100	0					
D	"OCCIDENTAL ENERGY MARKETING, INC."	52298721	N	FT-1	FT3G6000-FT1EPNG	1/1/2016	12/31/2020		N	15500	0	n1
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	12500	0					
P	MQ	EPNG/EPNG (WAHATRAN) WAHA TRANSFER	95	302407	TEXAS - PERMIAN BASI	3000	0					
P	M2	JLMIDST/EPNG (IJMSLAKE)JAMES LAKE R	95	47836	TEXAS - PERMIAN BASI	4500	0					
